date,value
1990-01-01,230.8
1990-02-01,233.1
1990-03-01,235.3
1990-04-01,236.9
1990-05-01,237.5
1990-06-01,240.2
1990-07-01,239.6
1990-08-01,239.0
1990-09-01,238.6
1990-10-01,240.1
1990-11-01,242.2
1990-12-01,243.1
1991-01-01,241.7
1991-02-01,241.3
1991-03-01,241.1
1991-04-01,241.2
1991-05-01,242.4
1991-06-01,241.8
1991-07-01,243.0
1991-08-01,243.0
1991-09-01,242.8
1991-10-01,242.9
1991-11-01,244.8
1991-12-01,247.0
1992-01-01,246.0
1992-02-01,247.4
1992-03-01,247.8
1992-04-01,247.9
1992-05-01,247.1
1992-06-01,246.3
1992-07-01,246.8
1992-08-01,246.7
1992-09-01,247.5
1992-10-01,246.6
1992-11-01,246.9
1992-12-01,248.7
1993-01-01,249.7
1993-02-01,249.9
1993-03-01,250.9
1993-04-01,251.2
1993-05-01,250.5
1993-06-01,252.0
1993-07-01,252.2
1993-08-01,252.8
1993-09-01,253.0
1993-10-01,257.0
1993-11-01,257.2
1993-12-01,256.3
1994-01-01,257.5
1994-02-01,259.1
1994-03-01,259.3
1994-04-01,257.5
1994-05-01,257.0
1994-06-01,258.2
1994-07-01,258.5
1994-08-01,259.7
1994-09-01,261.6
1994-10-01,260.6
1994-11-01,261.4
1994-12-01,260.6
1995-01-01,261.0
1995-02-01,261.5
1995-03-01,260.7
1995-04-01,260.5
1995-05-01,261.1
1995-06-01,262.7
1995-07-01,261.9
1995-08-01,263.1
1995-09-01,262.7
1995-10-01,263.4
1995-11-01,262.4
1995-12-01,262.1
1996-01-01,260.9
1996-02-01,261.0
1996-03-01,261.8
1996-04-01,263.1
1996-05-01,263.7
1996-06-01,263.7
1996-07-01,264.6
1996-08-01,265.0
1996-09-01,264.2
1996-10-01,265.5
1996-11-01,265.3
1996-12-01,264.2
1997-01-01,265.2
1997-02-01,265.6
1997-03-01,265.8
1997-04-01,267.7
1997-05-01,268.4
1997-06-01,269.1
1997-07-01,269.9
1997-08-01,269.4
1997-09-01,269.9
1997-10-01,271.7
1997-11-01,270.9
1997-12-01,270.6
1998-01-01,273.4
1998-02-01,273.8
1998-03-01,274.4
1998-04-01,273.9
1998-05-01,275.1
1998-06-01,273.9
1998-07-01,274.7
1998-08-01,274.2
1998-09-01,275.0
1998-10-01,276.0
1998-11-01,276.9
1998-12-01,278.0
1999-01-01,278.6
1999-02-01,277.0
1999-03-01,278.5
1999-04-01,278.4
1999-05-01,278.3
1999-06-01,278.0
1999-07-01,278.0
1999-08-01,278.4
1999-09-01,280.4
1999-10-01,280.5
1999-11-01,281.9
1999-12-01,282.3
2000-01-01,282.0
2000-02-01,282.1
2000-03-01,283.4
2000-04-01,283.0
2000-05-01,283.9
2000-06-01,284.1
2000-07-01,284.8
2000-08-01,284.8
2000-09-01,284.0
2000-10-01,285.0
2000-11-01,285.0
2000-12-01,286.5
2001-01-01,284.2
2001-02-01,287.1
2001-03-01,286.9
2001-04-01,289.1
2001-05-01,289.2
2001-06-01,289.3
2001-07-01,291.3
2001-08-01,292.1
2001-09-01,291.3
2001-10-01,291.4
2001-11-01,289.9
2001-12-01,289.0
2002-01-01,290.5
2002-02-01,293.5
2002-03-01,294.1
2002-04-01,294.2
2002-05-01,293.3
2002-06-01,294.1
2002-07-01,294.7
2002-08-01,295.6
2002-09-01,295.5
2002-10-01,297.9
2002-11-01,298.0
2002-12-01,298.7
2003-01-01,297.2
2003-02-01,298.1
2003-03-01,298.7
2003-04-01,297.4
2003-05-01,299.2
2003-06-01,299.7
2003-07-01,298.6
2003-08-01,299.5
2003-09-01,300.5
2003-10-01,299.7
2003-11-01,300.0
2003-12-01,300.5
2004-01-01,301.9
2004-02-01,300.4
2004-03-01,302.2
2004-04-01,302.1
2004-05-01,302.2
2004-06-01,303.3
2004-07-01,304.4
2004-08-01,304.9
2004-09-01,305.8
2004-10-01,307.2
2004-11-01,306.2
2004-12-01,307.4
2005-01-01,308.4
2005-02-01,307.3
2005-03-01,308.0
2005-04-01,308.4
2005-05-01,309.1
2005-06-01,308.5
2005-07-01,310.7
2005-08-01,311.0
2005-09-01,310.8
2005-10-01,310.9
2005-11-01,311.9
2005-12-01,311.0
2006-01-01,310.9
2006-02-01,312.9
2006-03-01,314.3
2006-04-01,315.3
2006-05-01,315.1
2006-06-01,318.4
