date,value
1990-01-01,910.4
1990-02-01,909.5
1990-03-01,912.5
1990-04-01,914.3
1990-05-01,917.7
1990-06-01,919.9
1990-07-01,922.4
1990-08-01,923.5
1990-09-01,926.7
1990-10-01,923.4
1990-11-01,924.4
1990-12-01,924.1
1991-01-01,919.6
1991-02-01,921.8
1991-03-01,925.1
1991-04-01,925.2
1991-05-01,924.0
1991-06-01,928.2
1991-07-01,930.1
1991-08-01,933.4
1991-09-01,935.6
1991-10-01,939.0
1991-11-01,937.9
1991-12-01,940.1
1992-01-01,945.0
1992-02-01,946.3
1992-03-01,948.3
1992-04-01,950.9
1992-05-01,955.5
1992-06-01,956.4
1992-07-01,956.1
1992-08-01,957.1
1992-09-01,958.3
1992-10-01,961.9
1992-11-01,964.3
1992-12-01,967.0
1993-01-01,970.2
1993-02-01,974.3
1993-03-01,975.3
1993-04-01,979.1
1993-05-01,981.2
1993-06-01,982.7
1993-07-01,986.1
1993-08-01,988.1
1993-09-01,990.6
1993-10-01,997.7
1993-11-01,1000.1
1993-12-01,1003.6
1994-01-01,1004.4
1994-02-01,1004.6
1994-03-01,1009.7
1994-04-01,1016.1
1994-05-01,1023.4
1994-06-01,1025.5
1994-07-01,1032.2
1994-08-01,1034.1
1994-09-01,1040.2
1994-10-01,1039.0
1994-11-01,1041.8
1994-12-01,1043.9
1995-01-01,1050.9
1995-02-01,1053.6
1995-03-01,1056.4
1995-04-01,1055.8
1995-05-01,1054.6
1995-06-01,1059.5
1995-07-01,1060.6
1995-08-01,1064.1
1995-09-01,1067.3
1995-10-01,1066.9
1995-11-01,1068.3
1995-12-01,1071.4
1996-01-01,1072.2
1996-02-01,1070.5
1996-03-01,1073.5
1996-04-01,1073.5
1996-05-01,1075.9
1996-06-01,1078.8
1996-07-01,1082.3
1996-08-01,1083.6
1996-09-01,1080.8
1996-10-01,1081.6
1996-11-01,1084.4
1996-12-01,1083.1
1997-01-01,1082.6
1997-02-01,1085.2
1997-03-01,1087.5
1997-04-01,1092.9
1997-05-01,1093.7
1997-06-01,1092.7
1997-07-01,1098.7
1997-08-01,1099.1
1997-09-01,1099.4
1997-10-01,1104.2
1997-11-01,1105.1
1997-12-01,1106.9
1998-01-01,1106.2
1998-02-01,1107.1
1998-03-01,1106.9
1998-04-01,1107.9
1998-05-01,1112.0
1998-06-01,1113.0
1998-07-01,1115.4
1998-08-01,1115.1
