date,value
1990-01-01,158.9
1990-02-01,159.5
1990-03-01,159.1
1990-04-01,159.6
1990-05-01,159.6
1990-06-01,159.3
1990-07-01,158.4
1990-08-01,158.6
1990-09-01,159.0
1990-10-01,158.8
1990-11-01,160.3
1990-12-01,160.2
1991-01-01,160.7
1991-02-01,160.1
1991-03-01,160.0
1991-04-01,159.2
1991-05-01,159.7
1991-06-01,158.2
1991-07-01,159.6
1991-08-01,160.0
1991-09-01,161.1
1991-10-01,161.4
1991-11-01,162.0
1991-12-01,163.0
1992-01-01,162.0
1992-02-01,162.6
1992-03-01,161.7
1992-04-01,163.2
1992-05-01,163.8
1992-06-01,165.2
1992-07-01,165.6
1992-08-01,166.1
1992-09-01,166.2
1992-10-01,166.4
1992-11-01,166.7
1992-12-01,167.1
1993-01-01,168.6
1993-02-01,168.9
1993-03-01,169.3
1993-04-01,173.1
1993-05-01,175.3
1993-06-01,176.0
1993-07-01,176.1
1993-08-01,176.7
1993-09-01,178.4
1993-10-01,180.1
1993-11-01,180.2
1993-12-01,181.2
1994-01-01,182.2
1994-02-01,183.6
1994-03-01,184.4
1994-04-01,184.8
1994-05-01,184.7
1994-06-01,184.7
1994-07-01,185.5
1994-08-01,186.5
1994-09-01,186.5
1994-10-01,188.5
1994-11-01,189.7
1994-12-01,190.6
1995-01-01,192.1
1995-02-01,193.0
1995-03-01,193.8
1995-04-01,193.6
1995-05-01,195.0
1995-06-01,196.3
1995-07-01,198.7
1995-08-01,199.3
1995-09-01,199.5
1995-10-01,197.6
1995-11-01,198.5
1995-12-01,198.3
1996-01-01,201.2
1996-02-01,202.0
1996-03-01,202.2
1996-04-01,204.4
1996-05-01,203.2
1996-06-01,203.1
1996-07-01,202.7
1996-08-01,203.3
1996-09-01,205.1
1996-10-01,203.9
1996-11-01,205.2
1996-12-01,206.1
1997-01-01,209.2
1997-02-01,209.8
1997-03-01,209.7
1997-04-01,208.3
1997-05-01,208.0
1997-06-01,207.8
1997-07-01,208.5
1997-08-01,209.0
1997-09-01,210.4
1997-10-01,213.1
1997-11-01,215.5
1997-12-01,215.0
1998-01-01,214.2
1998-02-01,214.7
1998-03-01,214.9
1998-04-01,215.9
1998-05-01,217.6
1998-06-01,218.4
1998-07-01,218.3
1998-08-01,217.9
1998-09-01,217.5
1998-10-01,217.4
1998-11-01,217.9
1998-12-01,218.1
1999-01-01,218.5
1999-02-01,218.4
1999-03-01,218.2
1999-04-01,221.7
1999-05-01,222.8
1999-06-01,225.4
1999-07-01,224.4
1999-08-01,224.6
1999-09-01,225.1
1999-10-01,225.6
1999-11-01,226.2
1999-12-01,226.9
2000-01-01,227.6
2000-02-01,228.1
2000-03-01,227.8
2000-04-01,227.5
2000-05-01,227.3
2000-06-01,228.3
2000-07-01,228.2
2000-08-01,229.3
2000-09-01,231.0
2000-10-01,230.5
2000-11-01,230.2
2000-12-01,229.8
2001-01-01,230.4
2001-02-01,231.4
2001-03-01,231.8
2001-04-01,230.8
2001-05-01,230.1
2001-06-01,229.8
2001-07-01,229.9
2001-08-01,230.4
2001-09-01,230.6
2001-10-01,228.6
2001-11-01,227.7
2001-12-01,227.4
2002-01-01,226.7
2002-02-01,227.1
2002-03-01,227.7
2002-04-01,229.4
2002-05-01,230.2
2002-06-01,230.2
2002-07-01,229.6
2002-08-01,229.8
2002-09-01,229.3
2002-10-01,229.6
2002-11-01,232.4
2002-12-01,231.6
2003-01-01,231.7
2003-02-01,231.5
2003-03-01,231.0
2003-04-01,231.6
2003-05-01,231.7
2003-06-01,231.9
2003-07-01,232.8
2003-08-01,233.2
2003-09-01,234.2
2003-10-01,235.9
2003-11-01,236.9
2003-12-01,237.1
2004-01-01,238.4
2004-02-01,238.8
2004-03-01,240.1
2004-04-01,238.2
2004-05-01,240.6
2004-06-01,241.5
2004-07-01,242.7
2004-08-01,243.0
2004-09-01,242.7
2004-10-01,244.0
2004-11-01,244.8
2004-12-01,246.2
2005-01-01,246.1
2005-02-01,247.3
2005-03-01,247.9
2005-04-01,251.6
2005-05-01,253.5
2005-06-01,254.4
2005-07-01,256.3
2005-08-01,256.9
2005-09-01,259.2
2005-10-01,258.4
2005-11-01,259.1
2005-12-01,259.6
2006-01-01,261.8
2006-02-01,262.8
2006-03-01,263.5
2006-04-01,264.9
2006-05-01,264.5
2006-06-01,266.5
2006-07-01,267.3
2006-08-01,267.7
2006-09-01,269.5
2006-10-01,269.4
2006-11-01,270.1
2006-12-01,270.4
2007-01-01,270.8
2007-02-01,271.6
2007-03-01,272.8
2007-04-01,271.4
2007-05-01,271.9
2007-06-01,272.0
2007-07-01,270.4
2007-08-01,272.4
2007-09-01,273.4
2007-10-01,275.5
2007-11-01,275.6
2007-12-01,276.6
2008-01-01,276.0
2008-02-01,275.1
2008-03-01,273.4
2008-04-01,272.5
2008-05-01,270.8
2008-06-01,270.6
2008-07-01,270.0
2008-08-01,269.9
2008-09-01,269.1
2008-10-01,267.1
2008-11-01,265.5
2008-12-01,263.3
2009-01-01,261.6
2009-02-01,260.8
2009-03-01,259.4
2009-04-01,257.1
2009-05-01,257.4
2009-06-01,256.5
2009-07-01,255.2
2009-08-01,255.5
2009-09-01,252.8
2009-10-01,252.4
2009-11-01,251.4
2009-12-01,251.7
2010-01-01,251.8
2010-02-01,251.3
2010-03-01,251.3
2010-04-01,253.3
2010-05-01,253.4
2010-06-01,254.9
2010-07-01,254.7
2010-08-01,254.4
2010-09-01,253.3
2010-10-01,255.0
2010-11-01,256.4
2010-12-01,257.1
2011-01-01,256.2
2011-02-01,256.2
2011-03-01,256.8
2011-04-01,257.6
2011-05-01,258.9
2011-06-01,258.8
2011-07-01,259.6
2011-08-01,259.7
2011-09-01,261.4
2011-10-01,261.4
2011-11-01,262.4
2011-12-01,262.1
2012-01-01,264.1
2012-02-01,264.0
2012-03-01,265.7
2012-04-01,265.0
2012-05-01,266.4
2012-06-01,267.1
2012-07-01,266.7
2012-08-01,267.8
2012-09-01,269.0
2012-10-01,269.1
2012-11-01,268.2
2012-12-01,269.3
2013-01-01,270.8
2013-02-01,272.2
2013-03-01,272.2
2013-04-01,273.0
2013-05-01,273.9
2013-06-01,274.4
2013-07-01,276.3
2013-08-01,277.7
2013-09-01,278.4
2013-10-01,279.3
2013-11-01,280.6
2013-12-01,281.5
2014-01-01,281.3
2014-02-01,283.1
2014-03-01,283.9
2014-04-01,284.7
2014-05-01,285.5
2014-06-01,285.8
2014-07-01,286.4
2014-08-01,287.3
2014-09-01,288.3
2014-10-01,289.2
2014-11-01,290.8
2014-12-01,291.9
2015-01-01,295.9
2015-02-01,295.2
2015-03-01,296.2
2015-04-01,297.3
2015-05-01,297.7
2015-06-01,298.5
2015-07-01,299.1
2015-08-01,300.2
2015-09-01,300.2
2015-10-01,301.9
2015-11-01,302.4
2015-12-01,303.7
2016-01-01,303.9
2016-02-01,305.4
2016-03-01,305.1
2016-04-01,307.0
2016-05-01,308.7
2016-06-01,308.5
2016-07-01,310.9
2016-08-01,312.1
2016-09-01,312.8
2016-10-01,314.2
2016-11-01,313.6
2016-12-01,313.7
2017-01-01,314.2
2017-02-01,315.7
2017-03-01,317.6
2017-04-01,320.2
2017-05-01,319.6
2017-06-01,320.0
2017-07-01,320.0
2017-08-01,320.3
2017-09-01,321.7
2017-10-01,322.4
2017-11-01,322.9
2017-12-01,323.9
2018-01-01,323.8
2018-02-01,325.8
2018-03-01,327.5
2018-04-01,325.6
2018-05-01,326.2
2018-06-01,325.8
2018-07-01,325.6
2018-08-01,325.7
2018-09-01,325.9
2018-10-01,325.9
2018-11-01,327.6
2018-12-01,328.5
2019-01-01,329.5
2019-02-01,330.6
2019-03-01,332.0
2019-04-01,331.1
2019-05-01,330.0
2019-06-01,328.7
2019-07-01,330.2
2019-08-01,332.2
2019-09-01,333.9
2019-10-01,333.5
2019-11-01,333.8
2019-12-01,336.7
2020-01-01,338.6
2020-02-01,339.8
2020-03-01,330.3
2020-04-01,192.0
2020-05-01,230.4
2020-06-01,263.0
2020-07-01,251.4
2020-08-01,252.6
2020-09-01,266.1
2020-10-01,274.1
2020-11-01,280.0
2020-12-01,280.5
2021-01-01,281.3
2021-02-01,282.7
2021-03-01,285.6
2021-04-01,292.5
2021-05-01,299.7
2021-06-01,307.2
2021-07-01,311.8
2021-08-01,316.3
2021-09-01,319.5
2021-10-01,322.5
2021-11-01,324.2
2021-12-01,326.5
2022-01-01,328.7
2022-02-01,329.8
2022-03-01,330.4
2022-04-01,333.4
2022-05-01,335.1
2022-06-01,336.7
2022-07-01,338.4
2022-08-01,339.6
2022-09-01,340.7
2022-10-01,345.6
2022-11-01,347.4
2022-12-01,348.8
2023-01-01,350.0
2023-02-01,353.4
2023-03-01,352.1
2023-04-01,357.1
2023-05-01,357.5
2023-06-01,357.5
2023-07-01,356.3
2023-08-01,358.8
2023-09-01,360.7
2023-10-01,358.8
2023-11-01,360.1
2023-12-01,362.1
2024-01-01,365.3
2024-02-01,365.0
2024-03-01,365.5
2024-04-01,365.2
2024-05-01,364.4
