date,value
1990-01-01,1473.4
1990-02-01,1475.8
1990-03-01,1478.5
1990-04-01,1484.8
1990-05-01,1488.6
1990-06-01,1483.1
1990-07-01,1483.6
1990-08-01,1482.3
1990-09-01,1485.4
1990-10-01,1486.5
1990-11-01,1489.5
1990-12-01,1485.1
1991-01-01,1495.9
1991-02-01,1492.7
1991-03-01,1491.9
1991-04-01,1487.4
1991-05-01,1485.6
1991-06-01,1488.6
1991-07-01,1483.8
1991-08-01,1486.2
1991-09-01,1488.5
1991-10-01,1496.5
1991-11-01,1498.8
1991-12-01,1501.5
1992-01-01,1501.3
1992-02-01,1501.0
1992-03-01,1500.4
1992-04-01,1506.0
1992-05-01,1513.0
1992-06-01,1515.3
1992-07-01,1520.7
1992-08-01,1525.2
1992-09-01,1535.3
1992-10-01,1526.8
1992-11-01,1527.4
1992-12-01,1532.5
1993-01-01,1534.9
1993-02-01,1545.3
1993-03-01,1552.0
1993-04-01,1566.8
1993-05-01,1575.7
1993-06-01,1582.0
1993-07-01,1587.5
1993-08-01,1591.4
1993-09-01,1603.1
1993-10-01,1617.8
1993-11-01,1622.6
1993-12-01,1634.0
1994-01-01,1640.7
1994-02-01,1647.4
1994-03-01,1655.6
1994-04-01,1668.1
1994-05-01,1674.9
1994-06-01,1687.1
1994-07-01,1698.0
1994-08-01,1711.9
1994-09-01,1715.7
1994-10-01,1723.1
1994-11-01,1737.1
1994-12-01,1744.7
1995-01-01,1752.0
1995-02-01,1761.6
1995-03-01,1765.2
1995-04-01,1774.9
1995-05-01,1783.5
1995-06-01,1793.3
1995-07-01,1797.4
1995-08-01,1803.6
1995-09-01,1811.0
1995-10-01,1821.1
1995-11-01,1824.9
1995-12-01,1834.1
1996-01-01,1854.9
1996-02-01,1863.3
1996-03-01,1867.8
1996-04-01,1866.1
1996-05-01,1877.7
1996-06-01,1886.0
1996-07-01,1892.8
1996-08-01,1904.7
1996-09-01,1909.9
1996-10-01,1914.1
1996-11-01,1931.1
1996-12-01,1932.4
1997-01-01,1939.5
1997-02-01,1948.4
1997-03-01,1954.4
1997-04-01,1966.8
1997-05-01,1973.7
1997-06-01,1977.5
1997-07-01,1980.5
1997-08-01,1983.4
1997-09-01,2001.4
1997-10-01,2016.5
1997-11-01,2031.0
1997-12-01,2037.6
1998-01-01,2038.2
1998-02-01,2040.4
1998-03-01,2050.7
1998-04-01,2054.2
1998-05-01,2066.6
1998-06-01,2070.4
1998-07-01,2071.9
1998-08-01,2085.3
1998-09-01,2096.9
1998-10-01,2098.1
1998-11-01,2109.4
1998-12-01,2111.0
1999-01-01,2116.4
1999-02-01,2124.2
1999-03-01,2128.0
1999-04-01,2144.6
1999-05-01,2151.6
1999-06-01,2164.2
1999-07-01,2177.0
1999-08-01,2175.3
1999-09-01,2181.7
1999-10-01,2191.4
1999-11-01,2197.0
1999-12-01,2202.8
2000-01-01,2207.6
2000-02-01,2217.3
2000-03-01,2225.2
2000-04-01,2228.3
2000-05-01,2243.1
2000-06-01,2241.3
2000-07-01,2243.4
2000-08-01,2250.1
2000-09-01,2258.6
2000-10-01,2261.7
2000-11-01,2265.7
2000-12-01,2275.0
2001-01-01,2265.2
2001-02-01,2272.8
2001-03-01,2278.3
2001-04-01,2273.8
2001-05-01,2268.8
2001-06-01,2268.8
2001-07-01,2267.9
2001-08-01,2267.7
2001-09-01,2267.2
2001-10-01,2257.5
2001-11-01,2251.1
2001-12-01,2248.0
2002-01-01,2256.1
2002-02-01,2251.9
2002-03-01,2258.0
2002-04-01,2267.9
2002-05-01,2266.5
2002-06-01,2270.2
2002-07-01,2264.1
2002-08-01,2269.0
2002-09-01,2267.5
2002-10-01,2270.1
2002-11-01,2285.3
2002-12-01,2279.1
2003-01-01,2281.5
2003-02-01,2281.8
2003-03-01,2283.2
2003-04-01,2286.3
2003-05-01,2290.3
2003-06-01,2292.7
2003-07-01,2294.3
2003-08-01,2301.5
2003-09-01,2304.8
2003-10-01,2317.7
2003-11-01,2323.4
2003-12-01,2330.5
2004-01-01,2338.2
2004-02-01,2342.0
2004-03-01,2349.9
2004-04-01,2357.5
2004-05-01,2367.5
2004-06-01,2377.0
2004-07-01,2388.4
2004-08-01,2395.8
2004-09-01,2398.9
2004-10-01,2425.5
2004-11-01,2431.4
2004-12-01,2443.9
2005-01-01,2444.3
2005-02-01,2457.6
2005-03-01,2466.1
2005-04-01,2489.0
2005-05-01,2498.8
2005-06-01,2508.3
2005-07-01,2524.1
2005-08-01,2534.2
2005-09-01,2547.6
2005-10-01,2548.5
2005-11-01,2560.5
2005-12-01,2571.9
2006-01-01,2594.2
2006-02-01,2608.3
2006-03-01,2621.3
2006-04-01,2627.7
2006-05-01,2635.8
2006-06-01,2646.0
2006-07-01,2645.2
2006-08-01,2651.8
2006-09-01,2658.7
2006-10-01,2660.6
2006-11-01,2659.4
2006-12-01,2664.2
2007-01-01,2664.0
2007-02-01,2672.0
2007-03-01,2680.2
2007-04-01,2672.9
2007-05-01,2674.5
