date,value
1990-01-01,1107.6
1990-02-01,1106.5
1990-03-01,1107.5
1990-04-01,1105.9
1990-05-01,1098.2
1990-06-01,1100.9
1990-07-01,1110.6
1990-08-01,1108.5
1990-09-01,1110.5
1990-10-01,1108.6
1990-11-01,1109.7
1990-12-01,1110.9
1991-01-01,1109.9
1991-02-01,1114.2
1991-03-01,1114.5
1991-04-01,1130.2
1991-05-01,1127.3
1991-06-01,1126.4
1991-07-01,1124.6
1991-08-01,1122.8
1991-09-01,1123.3
1991-10-01,1123.4
1991-11-01,1125.5
1991-12-01,1126.9
1992-01-01,1111.7
1992-02-01,1112.5
1992-03-01,1113.2
1992-04-01,1120.2
1992-05-01,1115.0
1992-06-01,1111.1
1992-07-01,1119.5
1992-08-01,1117.5
1992-09-01,1119.5
1992-10-01,1120.0
1992-11-01,1119.7
1992-12-01,1117.7
1993-01-01,1123.4
1993-02-01,1120.8
1993-03-01,1120.8
1993-04-01,1120.4
1993-05-01,1124.5
1993-06-01,1125.5
1993-07-01,1124.0
1993-08-01,1127.2
1993-09-01,1130.0
1993-10-01,1133.4
1993-11-01,1132.3
1993-12-01,1137.6
1994-01-01,1138.8
1994-02-01,1139.7
1994-03-01,1141.2
1994-04-01,1139.8
1994-05-01,1142.5
1994-06-01,1144.7
1994-07-01,1146.6
1994-08-01,1147.6
1994-09-01,1151.6
1994-10-01,1152.6
1994-11-01,1156.2
1994-12-01,1159.2
1995-01-01,1164.6
1995-02-01,1168.5
1995-03-01,1172.5
1995-04-01,1176.5
1995-05-01,1180.9
1995-06-01,1182.9
1995-07-01,1185.6
1995-08-01,1191.0
1995-09-01,1194.9
1995-10-01,1196.0
1995-11-01,1203.8
1995-12-01,1206.1
1996-01-01,1216.5
1996-02-01,1222.2
1996-03-01,1225.9
1996-04-01,1219.4
1996-05-01,1226.9
1996-06-01,1218.9
1996-07-01,1224.3
1996-08-01,1226.8
1996-09-01,1227.8
1996-10-01,1237.7
1996-11-01,1242.5
1996-12-01,1247.2
1997-01-01,1229.1
1997-02-01,1232.1
1997-03-01,1238.2
1997-04-01,1244.9
1997-05-01,1248.1
1997-06-01,1253.0
1997-07-01,1233.1
1997-08-01,1238.6
1997-09-01,1239.6
1997-10-01,1237.9
1997-11-01,1239.7
1997-12-01,1235.6
1998-01-01,1248.7
1998-02-01,1254.9
1998-03-01,1255.0
1998-04-01,1257.5
1998-05-01,1259.2
1998-06-01,1264.2
1998-07-01,1266.1
1998-08-01,1269.5
1998-09-01,1276.3
1998-10-01,1273.0
1998-11-01,1277.7
1998-12-01,1284.0
1999-01-01,1280.1
1999-02-01,1284.2
1999-03-01,1288.7
1999-04-01,1289.9
1999-05-01,1296.5
1999-06-01,1297.1
1999-07-01,1302.2
1999-08-01,1301.5
1999-09-01,1308.8
1999-10-01,1313.8
1999-11-01,1316.8
1999-12-01,1318.1
2000-01-01,1315.5
2000-02-01,1319.2
2000-03-01,1325.0
2000-04-01,1326.6
2000-05-01,1329.3
2000-06-01,1336.8
2000-07-01,1341.0
2000-08-01,1345.8
2000-09-01,1352.1
