date,value
1990-01-01,12496.6
1990-02-01,12514.4
1990-03-01,12515.5
1990-04-01,12535.5
1990-05-01,12547.8
1990-06-01,12551.1
1990-07-01,12573.7
1990-08-01,12554.8
1990-09-01,12546.5
1990-10-01,12563.4
1990-11-01,12548.6
1990-12-01,12548.2
1991-01-01,12521.6
1991-02-01,12486.2
1991-03-01,12441.8
1991-04-01,12443.5
1991-05-01,12417.3
1991-06-01,12394.7
1991-07-01,12392.3
1991-08-01,12389.8
1991-09-01,12375.8
1991-10-01,12379.5
1991-11-01,12343.5
1991-12-01,12317.7
1992-01-01,12273.0
1992-02-01,12235.6
1992-03-01,12264.9
1992-04-01,12259.3
1992-05-01,12239.8
1992-06-01,12211.8
1992-07-01,12215.7
1992-08-01,12180.6
1992-09-01,12153.4
1992-10-01,12169.2
1992-11-01,12160.4
1992-12-01,12119.0
1993-01-01,12149.4
1993-02-01,12119.5
1993-03-01,12089.4
1993-04-01,12065.8
1993-05-01,12064.2
1993-06-01,12071.2
1993-07-01,12097.1
1993-08-01,12099.6
1993-09-01,12092.3
1993-10-01,12091.0
1993-11-01,12085.3
1993-12-01,12113.9
1994-01-01,12112.8
1994-02-01,12130.5
1994-03-01,12169.2
1994-04-01,12164.3
1994-05-01,12175.0
1994-06-01,12189.9
1994-07-01,12219.4
1994-08-01,12228.6
1994-09-01,12260.8
1994-10-01,12268.1
1994-11-01,12300.7
1994-12-01,12337.1
1995-01-01,12325.5
1995-02-01,12389.3
1995-03-01,12396.4
1995-04-01,12412.7
1995-05-01,12440.8
1995-06-01,12474.0
1995-07-01,12463.1
1995-08-01,12512.0
1995-09-01,12568.5
1995-10-01,12549.3
1995-11-01,12594.5
1995-12-01,12609.6
1996-01-01,12663.5
1996-02-01,12704.0
1996-03-01,12721.1
1996-04-01,12716.0
1996-05-01,12768.5
1996-06-01,12783.3
1996-07-01,12801.7
1996-08-01,12836.0
1996-09-01,12863.5
1996-10-01,12903.5
1996-11-01,12961.1
1996-12-01,12955.5
1997-01-01,12970.3
1997-02-01,13026.1
1997-03-01,13081.5
1997-04-01,13143.7
1997-05-01,13176.6
1997-06-01,13199.4
1997-07-01,13232.5
1997-08-01,13251.4
1997-09-01,13291.0
1997-10-01,13327.1
1997-11-01,13339.4
1997-12-01,13392.9
1998-01-01,13477.9
1998-02-01,13497.9
1998-03-01,13528.5
1998-04-01,13568.6
1998-05-01,13627.3
1998-06-01,13665.3
1998-07-01,13716.9
1998-08-01,13758.2
1998-09-01,13810.2
1998-10-01,13830.4
1998-11-01,13873.0
1998-12-01,13888.8
1999-01-01,13878.0
1999-02-01,13914.2
1999-03-01,13937.6
1999-04-01,13994.7
1999-05-01,14026.2
1999-06-01,14043.5
1999-07-01,14136.8
1999-08-01,14144.8
1999-09-01,14192.4
1999-10-01,14249.5
1999-11-01,14280.4
1999-12-01,14322.5
2000-01-01,14342.6
2000-02-01,14384.1
2000-03-01,14430.4
2000-04-01,14481.2
2000-05-01,14550.0
2000-06-01,14592.8
2000-07-01,14625.1
2000-08-01,14657.8
2000-09-01,14718.7
2000-10-01,14713.5
2000-11-01,14756.4
2000-12-01,14797.9
2001-01-01,14830.4
2001-02-01,14826.4
2001-03-01,14829.5
2001-04-01,14792.9
2001-05-01,14770.6
2001-06-01,14763.4
2001-07-01,14697.8
2001-08-01,14697.7
2001-09-01,14655.8
2001-10-01,14633.8
2001-11-01,14587.9
2001-12-01,14565.7
2002-01-01,14574.6
2002-02-01,14578.3
2002-03-01,14599.3
2002-04-01,14613.1
2002-05-01,14629.0
2002-06-01,14621.0
2002-07-01,14585.4
2002-08-01,14596.9
2002-09-01,14598.9
2002-10-01,14608.9
2002-11-01,14615.3
2002-12-01,14601.2
2003-01-01,14592.5
2003-02-01,14574.4
2003-03-01,14558.5
2003-04-01,14578.2
2003-05-01,14575.5
2003-06-01,14579.5
2003-07-01,14557.0
2003-08-01,14568.0
2003-09-01,14564.7
2003-10-01,14596.1
2003-11-01,14580.2
2003-12-01,14587.9
2004-01-01,14626.7
2004-02-01,14642.3
2004-03-01,14666.9
2004-04-01,14685.9
2004-05-01,14711.5
2004-06-01,14724.4
2004-07-01,14780.9
2004-08-01,14773.4
2004-09-01,14782.9
2004-10-01,14838.8
2004-11-01,14861.8
2004-12-01,14864.5
2005-01-01,14881.7
2005-02-01,14907.1
2005-03-01,14931.3
2005-04-01,14983.0
2005-05-01,14985.7
2005-06-01,15006.1
2005-07-01,15061.8
2005-08-01,15093.9
2005-09-01,15140.1
2005-10-01,15146.4
2005-11-01,15185.7
2005-12-01,15221.6
2006-01-01,15213.5
2006-02-01,15254.2
2006-03-01,15259.9
2006-04-01,15265.1
2006-05-01,15312.1
2006-06-01,15348.9
2006-07-01,15341.3
2006-08-01,15370.0
2006-09-01,15388.9
2006-10-01,15379.3
2006-11-01,15385.0
2006-12-01,15396.9
2007-01-01,15410.1
2007-02-01,15436.8
2007-03-01,15467.8
2007-04-01,15423.3
2007-05-01,15445.8
2007-06-01,15468.1
2007-07-01,15502.2
2007-08-01,15487.2
2007-09-01,15482.1
2007-10-01,15461.5
2007-11-01,15473.3
2007-12-01,15484.7
2008-01-01,15433.8
2008-02-01,15445.4
2008-03-01,15423.8
2008-04-01,15428.8
2008-05-01,15398.3
2008-06-01,15374.6
2008-07-01,15343.9
2008-08-01,15292.8
2008-09-01,15260.7
2008-10-01,15158.2
2008-11-01,15058.2
2008-12-01,14981.2
2009-01-01,14862.7
2009-02-01,14729.3
2009-03-01,14636.6
2009-04-01,14545.8
2009-05-01,14493.9
2009-06-01,14427.5
2009-07-01,14324.0
2009-08-01,14276.0
2009-09-01,14225.9
2009-10-01,14264.2
2009-11-01,14245.7
2009-12-01,14225.5
2010-01-01,14215.7
2010-02-01,14191.6
2010-03-01,14196.8
2010-04-01,14291.3
2010-05-01,14329.7
2010-06-01,14312.1
2010-07-01,14291.7
2010-08-01,14282.3
2010-09-01,14279.6
2010-10-01,14331.7
