date,value
1990-01-01,164.6
1990-02-01,164.6
1990-03-01,165.7
1990-04-01,166.5
1990-05-01,167.4
1990-06-01,167.7
1990-07-01,167.4
1990-08-01,168.5
1990-09-01,168.6
1990-10-01,168.2
1990-11-01,169.1
1990-12-01,168.9
1991-01-01,168.6
1991-02-01,168.6
1991-03-01,168.2
1991-04-01,166.5
1991-05-01,167.6
1991-06-01,168.9
1991-07-01,169.3
1991-08-01,168.9
1991-09-01,168.9
1991-10-01,169.2
1991-11-01,171.2
1991-12-01,172.8
1992-01-01,173.4
1992-02-01,174.5
1992-03-01,175.6
1992-04-01,175.4
1992-05-01,177.9
1992-06-01,179.2
1992-07-01,182.0
1992-08-01,183.2
1992-09-01,182.7
1992-10-01,184.4
1992-11-01,185.4
1992-12-01,184.8
1993-01-01,186.6
1993-02-01,187.5
1993-03-01,188.6
1993-04-01,190.6
1993-05-01,189.8
1993-06-01,190.5
1993-07-01,190.7
1993-08-01,191.3
1993-09-01,192.6
1993-10-01,193.7
1993-11-01,194.4
1993-12-01,195.9
1994-01-01,197.9
1994-02-01,197.6
1994-03-01,198.1
1994-04-01,200.8
1994-05-01,200.2
1994-06-01,201.0
1994-07-01,203.7
1994-08-01,204.1
1994-09-01,204.6
1994-10-01,207.5
1994-11-01,208.9
1994-12-01,210.3
1995-01-01,210.9
1995-02-01,211.7
1995-03-01,212.9
1995-04-01,213.9
1995-05-01,215.0
1995-06-01,217.4
1995-07-01,216.7
1995-08-01,217.1
1995-09-01,216.8
1995-10-01,216.1
1995-11-01,216.7
1995-12-01,216.8
1996-01-01,217.3
1996-02-01,217.7
1996-03-01,219.1
1996-04-01,220.1
1996-05-01,220.2
1996-06-01,219.7
1996-07-01,219.6
1996-08-01,220.4
1996-09-01,221.6
1996-10-01,221.5
1996-11-01,221.9
1996-12-01,223.0
1997-01-01,223.2
1997-02-01,224.3
1997-03-01,224.5
1997-04-01,224.0
1997-05-01,225.0
1997-06-01,227.0
1997-07-01,228.5
1997-08-01,228.7
1997-09-01,228.1
1997-10-01,227.4
1997-11-01,228.7
1997-12-01,229.1
1998-01-01,228.9
1998-02-01,230.4
1998-03-01,229.1
1998-04-01,227.9
1998-05-01,229.8
1998-06-01,230.4
1998-07-01,230.4
1998-08-01,230.9
1998-09-01,231.3
1998-10-01,232.7
1998-11-01,235.1
1998-12-01,235.0
1999-01-01,236.8
1999-02-01,238.1
1999-03-01,237.3
1999-04-01,237.6
1999-05-01,237.6
1999-06-01,238.5
1999-07-01,238.6
1999-08-01,238.1
1999-09-01,239.9
1999-10-01,241.6
1999-11-01,240.1
1999-12-01,237.7
2000-01-01,240.6
2000-02-01,241.6
2000-03-01,243.6
2000-04-01,244.6
2000-05-01,245.2
2000-06-01,245.8
2000-07-01,246.9
2000-08-01,247.1
2000-09-01,247.7
2000-10-01,248.7
2000-11-01,250.8
2000-12-01,249.3
2001-01-01,249.6
2001-02-01,249.7
2001-03-01,249.6
2001-04-01,248.8
2001-05-01,247.6
2001-06-01,248.4
2001-07-01,247.8
2001-08-01,247.4
2001-09-01,246.6
2001-10-01,243.8
2001-11-01,243.7
2001-12-01,242.9
2002-01-01,245.7
2002-02-01,246.1
2002-03-01,244.8
2002-04-01,247.7
2002-05-01,248.3
2002-06-01,248.8
2002-07-01,247.6
2002-08-01,247.2
2002-09-01,247.1
2002-10-01,246.9
2002-11-01,246.0
2002-12-01,247.7
2003-01-01,246.9
2003-02-01,245.2
2003-03-01,244.0
2003-04-01,243.9
2003-05-01,243.9
2003-06-01,244.5
2003-07-01,244.9
2003-08-01,246.2
2003-09-01,246.1
2003-10-01,246.8
2003-11-01,247.1
2003-12-01,246.9
2004-01-01,247.8
2004-02-01,248.0
2004-03-01,248.9
2004-04-01,250.1
2004-05-01,251.1
2004-06-01,251.5
2004-07-01,252.0
2004-08-01,252.3
2004-09-01,253.0
2004-10-01,252.9
2004-11-01,253.1
2004-12-01,254.2
2005-01-01,254.6
2005-02-01,255.4
2005-03-01,256.8
2005-04-01,255.7
2005-05-01,256.9
2005-06-01,257.1
2005-07-01,257.7
2005-08-01,257.8
2005-09-01,258.3
2005-10-01,259.2
2005-11-01,259.3
2005-12-01,260.5
2006-01-01,262.6
2006-02-01,262.6
2006-03-01,262.8
2006-04-01,262.1
2006-05-01,263.4
2006-06-01,264.7
2006-07-01,265.1
2006-08-01,265.4
2006-09-01,265.9
2006-10-01,267.0
2006-11-01,268.2
2006-12-01,269.5
2007-01-01,267.6
2007-02-01,268.1
2007-03-01,269.5
2007-04-01,269.9
2007-05-01,269.7
2007-06-01,269.6
2007-07-01,269.8
2007-08-01,269.8
2007-09-01,270.7
2007-10-01,271.9
2007-11-01,273.2
2007-12-01,274.2
2008-01-01,274.0
2008-02-01,274.5
2008-03-01,274.2
2008-04-01,274.9
2008-05-01,277.6
2008-06-01,275.5
2008-07-01,273.8
2008-08-01,272.7
2008-09-01,272.1
2008-10-01,270.5
2008-11-01,269.6
2008-12-01,267.6
2009-01-01,265.8
2009-02-01,264.8
2009-03-01,263.3
2009-04-01,262.8
2009-05-01,264.1
2009-06-01,261.7
2009-07-01,262.3
2009-08-01,261.6
2009-09-01,261.7
2009-10-01,261.3
2009-11-01,260.3
2009-12-01,259.6
2010-01-01,260.0
2010-02-01,260.4
2010-03-01,259.9
2010-04-01,261.7
2010-05-01,261.5
2010-06-01,262.3
2010-07-01,262.9
2010-08-01,263.8
2010-09-01,264.2
2010-10-01,266.3
2010-11-01,265.7
2010-12-01,268.0
2011-01-01,269.2
2011-02-01,267.6
2011-03-01,269.4
2011-04-01,269.3
2011-05-01,269.7
2011-06-01,270.2
2011-07-01,271.0
2011-08-01,272.3
2011-09-01,274.6
2011-10-01,274.1
2011-11-01,274.8
2011-12-01,274.9
2012-01-01,275.7
2012-02-01,275.2
2012-03-01,277.9
2012-04-01,277.4
2012-05-01,278.2
2012-06-01,279.6
2012-07-01,280.1
2012-08-01,280.4
2012-09-01,280.6
2012-10-01,282.1
2012-11-01,285.0
2012-12-01,284.1
2013-01-01,284.9
2013-02-01,286.6
2013-03-01,287.1
2013-04-01,287.8
2013-05-01,288.2
2013-06-01,290.2
2013-07-01,290.8
2013-08-01,291.0
2013-09-01,290.7
2013-10-01,291.1
2013-11-01,290.9
2013-12-01,292.6
2014-01-01,295.3
2014-02-01,295.8
2014-03-01,297.6
2014-04-01,298.9
2014-05-01,300.0
2014-06-01,299.6
2014-07-01,300.6
2014-08-01,301.7
2014-09-01,303.3
2014-10-01,303.7
2014-11-01,303.5
2014-12-01,305.8
2015-01-01,306.4
2015-02-01,308.6
2015-03-01,309.0
2015-04-01,310.4
2015-05-01,312.3
2015-06-01,312.6
2015-07-01,313.4
2015-08-01,314.4
2015-09-01,316.5
2015-10-01,316.5
2015-11-01,318.0
2015-12-01,318.3
2016-01-01,319.1
2016-02-01,320.6
2016-03-01,320.8
2016-04-01,321.1
2016-05-01,321.7
2016-06-01,322.2
2016-07-01,324.2
2016-08-01,326.6
2016-09-01,326.0
2016-10-01,326.2
2016-11-01,326.6
2016-12-01,327.4
2017-01-01,329.1
2017-02-01,330.0
2017-03-01,330.8
2017-04-01,330.8
2017-05-01,331.7
2017-06-01,332.8
2017-07-01,333.6
2017-08-01,333.6
2017-09-01,334.4
2017-10-01,335.3
2017-11-01,335.7
2017-12-01,337.2
2018-01-01,339.2
2018-02-01,338.1
2018-03-01,339.3
2018-04-01,339.5
2018-05-01,338.5
2018-06-01,339.7
2018-07-01,338.6
2018-08-01,338.6
2018-09-01,338.2
2018-10-01,340.3
2018-11-01,342.2
2018-12-01,342.7
2019-01-01,342.9
2019-02-01,344.2
2019-03-01,343.3
2019-04-01,344.0
2019-05-01,344.1
2019-06-01,344.6
2019-07-01,345.7
2019-08-01,346.0
2019-09-01,346.2
2019-10-01,346.6
2019-11-01,346.7
2019-12-01,347.4
2020-01-01,347.7
2020-02-01,348.6
2020-03-01,340.3
2020-04-01,174.3
2020-05-01,205.9
2020-06-01,238.4
2020-07-01,255.9
2020-08-01,264.6
2020-09-01,276.5
2020-10-01,284.8
2020-11-01,279.3
2020-12-01,247.9
2021-01-01,268.4
2021-02-01,279.4
2021-03-01,284.3
2021-04-01,294.7
2021-05-01,302.3
2021-06-01,308.2
2021-07-01,313.7
2021-08-01,317.2
2021-09-01,320.7
2021-10-01,324.7
2021-11-01,326.2
2021-12-01,327.5
2022-01-01,328.9
2022-02-01,332.1
2022-03-01,334.2
2022-04-01,337.8
2022-05-01,337.4
2022-06-01,336.3
2022-07-01,339.4
2022-08-01,340.6
2022-09-01,341.3
2022-10-01,342.4
2022-11-01,344.3
2022-12-01,345.4
2023-01-01,346.9
2023-02-01,348.6
2023-03-01,349.7
2023-04-01,348.5
2023-05-01,350.5
2023-06-01,351.5
2023-07-01,351.2
2023-08-01,352.6
2023-09-01,351.1
2023-10-01,351.3
2023-11-01,353.0
2023-12-01,353.7
2024-01-01,352.7
2024-02-01,351.9
2024-03-01,353.4
2024-04-01,352.4
2024-05-01,353.6
2024-06-01,353.8
2024-07-01,352.8
2024-08-01,352.2
