date,value
1990-01-01,1502.2
1990-02-01,1506.5
1990-03-01,1510.6
1990-04-01,1514.3
1990-05-01,1523.7
1990-06-01,1522.1
1990-07-01,1522.4
1990-08-01,1525.2
1990-09-01,1529.2
1990-10-01,1527.1
1990-11-01,1534.4
1990-12-01,1532.6
1991-01-01,1538.1
1991-02-01,1535.6
1991-03-01,1536.5
1991-04-01,1537.7
1991-05-01,1539.0
1991-06-01,1543.3
1991-07-01,1544.6
1991-08-01,1542.2
1991-09-01,1548.9
1991-10-01,1553.7
1991-11-01,1558.9
1991-12-01,1563.1
1992-01-01,1567.9
1992-02-01,1571.3
1992-03-01,1575.4
1992-04-01,1581.3
1992-05-01,1591.0
1992-06-01,1593.5
1992-07-01,1601.6
1992-08-01,1604.1
1992-09-01,1609.4
1992-10-01,1615.8
1992-11-01,1620.1
1992-12-01,1622.4
1993-01-01,1632.5
1993-02-01,1640.9
1993-03-01,1649.1
1993-04-01,1658.4
1993-05-01,1658.5
1993-06-01,1665.4
1993-07-01,1675.0
1993-08-01,1680.7
1993-09-01,1683.3
1993-10-01,1693.8
1993-11-01,1697.9
1993-12-01,1704.8
1994-01-01,1716.6
1994-02-01,1719.4
1994-03-01,1725.5
1994-04-01,1738.3
1994-05-01,1745.7
1994-06-01,1751.0
1994-07-01,1759.5
1994-08-01,1766.2
1994-09-01,1773.6
1994-10-01,1781.1
1994-11-01,1791.3
1994-12-01,1797.1
1995-01-01,1803.7
1995-02-01,1810.5
1995-03-01,1818.2
1995-04-01,1820.7
1995-05-01,1823.6
1995-06-01,1831.7
1995-07-01,1833.5
1995-08-01,1841.8
1995-09-01,1851.3
1995-10-01,1855.0
1995-11-01,1860.2
1995-12-01,1867.1
1996-01-01,1872.3
1996-02-01,1874.5
1996-03-01,1882.2
1996-04-01,1889.8
1996-05-01,1896.9
1996-06-01,1899.6
1996-07-01,1894.3
1996-08-01,1905.9
1996-09-01,1912.9
1996-10-01,1919.4
1996-11-01,1928.5
1996-12-01,1932.6
1997-01-01,1942.3
1997-02-01,1948.9
1997-03-01,1955.4
1997-04-01,1955.7
1997-05-01,1967.4
1997-06-01,1975.0
1997-07-01,1984.1
1997-08-01,1985.9
1997-09-01,1995.6
1997-10-01,2005.6
1997-11-01,2015.1
1997-12-01,2021.2
1998-01-01,2027.1
1998-02-01,2030.4
1998-03-01,2036.0
1998-04-01,2037.7
1998-05-01,2048.8
1998-06-01,2052.2
1998-07-01,2060.5
1998-08-01,2064.4
1998-09-01,2068.7
1998-10-01,2076.5
1998-11-01,2084.4
1998-12-01,2090.5
1999-01-01,2100.6
1999-02-01,2110.3
1999-03-01,2109.1
1999-04-01,2129.1
1999-05-01,2123.8
1999-06-01,2129.2
1999-07-01,2132.4
1999-08-01,2134.7
1999-09-01,2140.4
1999-10-01,2152.1
1999-11-01,2156.2
1999-12-01,2162.0
2000-01-01,2171.7
2000-02-01,2178.0
2000-03-01,2191.8
2000-04-01,2198.3
2000-05-01,2209.1
2000-06-01,2209.8
2000-07-01,2216.5
