date,value
1990-01-01,1653.2
1990-02-01,1649.2
1990-03-01,1648.8
1990-04-01,1639.6
1990-05-01,1639.4
1990-06-01,1637.9
1990-07-01,1628.9
1990-08-01,1622.1
1990-09-01,1618.9
1990-10-01,1606.0
1990-11-01,1599.5
1990-12-01,1594.3
1991-01-01,1594.3
1991-02-01,1581.9
1991-03-01,1580.2
1991-04-01,1578.2
1991-05-01,1572.0
1991-06-01,1570.2
1991-07-01,1559.5
1991-08-01,1555.0
1991-09-01,1553.3
1991-10-01,1550.3
1991-11-01,1547.1
1991-12-01,1544.9
1992-01-01,1536.9
1992-02-01,1533.3
1992-03-01,1531.4
1992-04-01,1536.7
1992-05-01,1536.1
1992-06-01,1533.6
1992-07-01,1539.2
1992-08-01,1536.3
1992-09-01,1534.7
1992-10-01,1533.9
1992-11-01,1533.6
1992-12-01,1530.6
1993-01-01,1542.8
1993-02-01,1543.4
1993-03-01,1537.1
1993-04-01,1532.4
1993-05-01,1534.4
1993-06-01,1532.0
1993-07-01,1534.6
1993-08-01,1534.4
1993-09-01,1537.9
1993-10-01,1542.5
1993-11-01,1542.5
1993-12-01,1545.0
1994-01-01,1537.2
1994-02-01,1532.1
1994-03-01,1535.0
1994-04-01,1550.2
1994-05-01,1549.8
1994-06-01,1553.5
1994-07-01,1556.5
1994-08-01,1557.5
1994-09-01,1560.1
1994-10-01,1563.4
1994-11-01,1563.4
1994-12-01,1563.1
1995-01-01,1567.3
1995-02-01,1568.3
1995-03-01,1570.9
1995-04-01,1566.3
1995-05-01,1566.0
1995-06-01,1565.2
1995-07-01,1568.0
1995-08-01,1570.8
1995-09-01,1571.7
1995-10-01,1571.1
1995-11-01,1574.5
1995-12-01,1575.7
1996-01-01,1567.3
1996-02-01,1574.8
1996-03-01,1577.9
1996-04-01,1582.9
1996-05-01,1588.7
1996-06-01,1592.0
1996-07-01,1588.1
1996-08-01,1596.1
1996-09-01,1594.3
1996-10-01,1604.0
1996-11-01,1607.9
1996-12-01,1607.9
1997-01-01,1601.0
1997-02-01,1602.0
1997-03-01,1607.5
1997-04-01,1610.0
1997-05-01,1611.7
1997-06-01,1613.8
1997-07-01,1613.4
1997-08-01,1615.0
1997-09-01,1622.8
1997-10-01,1625.8
1997-11-01,1628.6
1997-12-01,1633.2
1998-01-01,1636.5
1998-02-01,1640.3
1998-03-01,1644.4
1998-04-01,1640.1
1998-05-01,1646.3
1998-06-01,1649.2
1998-07-01,1654.8
1998-08-01,1655.0
1998-09-01,1654.8
1998-10-01,1658.0
1998-11-01,1662.8
1998-12-01,1664.4
1999-01-01,1669.0
1999-02-01,1669.9
1999-03-01,1673.4
1999-04-01,1673.7
1999-05-01,1672.2
1999-06-01,1674.4
1999-07-01,1681.4
1999-08-01,1683.6
1999-09-01,1680.7
1999-10-01,1681.8
1999-11-01,1683.3
1999-12-01,1687.0
2000-01-01,1689.8
2000-02-01,1691.6
2000-03-01,1697.4
2000-04-01,1697.5
2000-05-01,1702.3
2000-06-01,1703.5
2000-07-01,1709.9
2000-08-01,1705.1
2000-09-01,1705.2
2000-10-01,1702.9
2000-11-01,1702.1
2000-12-01,1703.9
2001-01-01,1698.8
2001-02-01,1692.7
2001-03-01,1690.2
2001-04-01,1687.5
2001-05-01,1690.5
2001-06-01,1689.3
2001-07-01,1690.5
2001-08-01,1687.4
2001-09-01,1686.9
2001-10-01,1686.6
2001-11-01,1684.1
2001-12-01,1682.4
2002-01-01,1681.8
2002-02-01,1680.5
2002-03-01,1680.7
2002-04-01,1680.3
2002-05-01,1678.4
2002-06-01,1676.4
2002-07-01,1669.9
2002-08-01,1670.1
2002-09-01,1668.0
2002-10-01,1664.8
2002-11-01,1663.5
2002-12-01,1661.6
2003-01-01,1663.0
2003-02-01,1657.6
2003-03-01,1654.2
2003-04-01,1651.7
2003-05-01,1652.1
2003-06-01,1649.0
2003-07-01,1648.1
2003-08-01,1647.5
2003-09-01,1646.9
2003-10-01,1652.4
2003-11-01,1653.1
2003-12-01,1649.1
2004-01-01,1650.7
2004-02-01,1650.8
2004-03-01,1653.6
2004-04-01,1655.9
2004-05-01,1657.7
2004-06-01,1656.8
2004-07-01,1658.8
2004-08-01,1662.1
2004-09-01,1661.6
2004-10-01,1663.4
2004-11-01,1665.6
2004-12-01,1666.0
2005-01-01,1666.6
2005-02-01,1667.4
2005-03-01,1665.5
2005-04-01,1674.5
2005-05-01,1671.5
2005-06-01,1672.8
2005-07-01,1672.7
2005-08-01,1672.2
2005-09-01,1672.9
2005-10-01,1671.1
2005-11-01,1673.0
2005-12-01,1675.7
2006-01-01,1690.9
2006-02-01,1684.9
2006-03-01,1684.0
2006-04-01,1693.4
2006-05-01,1694.4
2006-06-01,1696.4
2006-07-01,1699.2
2006-08-01,1703.1
2006-09-01,1692.0
2006-10-01,1692.2
2006-11-01,1692.5
2006-12-01,1696.6
2007-01-01,1697.8
2007-02-01,1696.9
2007-03-01,1696.8
2007-04-01,1698.3
2007-05-01,1701.5
2007-06-01,1706.4
2007-07-01,1708.5
2007-08-01,1709.5
2007-09-01,1708.4
2007-10-01,1710.5
2007-11-01,1711.8
2007-12-01,1712.5
2008-01-01,1719.1
2008-02-01,1719.8
2008-03-01,1720.9
2008-04-01,1718.1
2008-05-01,1715.5
2008-06-01,1714.6
2008-07-01,1708.6
2008-08-01,1706.8
2008-09-01,1702.0
2008-10-01,1696.4
2008-11-01,1691.0
2008-12-01,1682.2
2009-01-01,1672.7
2009-02-01,1665.7
2009-03-01,1655.1
2009-04-01,1638.2
2009-05-01,1639.6
2009-06-01,1632.6
2009-07-01,1624.2
2009-08-01,1621.8
2009-09-01,1622.8
2009-10-01,1617.7
2009-11-01,1617.4
2009-12-01,1615.8
2010-01-01,1601.0
2010-02-01,1601.8
2010-03-01,1603.7
2010-04-01,1612.9
2010-05-01,1621.8
2010-06-01,1616.3
2010-07-01,1621.7
2010-08-01,1623.4
2010-09-01,1622.1
2010-10-01,1627.0
2010-11-01,1625.4
2010-12-01,1626.6
2011-01-01,1626.5
2011-02-01,1629.8
2011-03-01,1628.3
2011-04-01,1638.4
2011-05-01,1634.3
2011-06-01,1631.0
2011-07-01,1637.9
2011-08-01,1634.9
2011-09-01,1638.1
2011-10-01,1635.6
2011-11-01,1635.9
2011-12-01,1639.4
2012-01-01,1642.4
2012-02-01,1647.3
2012-03-01,1650.2
2012-04-01,1643.0
2012-05-01,1644.5
2012-06-01,1645.9
2012-07-01,1646.5
2012-08-01,1646.9
2012-09-01,1651.0
2012-10-01,1653.2
2012-11-01,1653.4
2012-12-01,1655.8
2013-01-01,1653.7
2013-02-01,1652.2
2013-03-01,1657.4
2013-04-01,1660.2
2013-05-01,1659.8
2013-06-01,1665.0
2013-07-01,1668.9
2013-08-01,1665.3
2013-09-01,1663.1
2013-10-01,1662.4
2013-11-01,1664.1
2013-12-01,1660.8
2014-01-01,1665.7
2014-02-01,1662.2
2014-03-01,1665.6
2014-04-01,1671.3
2014-05-01,1672.2
2014-06-01,1672.3
2014-07-01,1675.1
2014-08-01,1675.8
2014-09-01,1676.8
2014-10-01,1677.3
2014-11-01,1680.0
2014-12-01,1680.9
2015-01-01,1683.9
2015-02-01,1681.3
2015-03-01,1681.6
2015-04-01,1683.8
2015-05-01,1688.3
2015-06-01,1690.7
2015-07-01,1685.9
2015-08-01,1685.9
2015-09-01,1687.9
2015-10-01,1690.8
2015-11-01,1691.8
2015-12-01,1689.5
2016-01-01,1687.2
2016-02-01,1690.7
2016-03-01,1696.0
2016-04-01,1691.5
2016-05-01,1692.8
2016-06-01,1688.8
2016-07-01,1694.0
2016-08-01,1693.5
2016-09-01,1693.1
2016-10-01,1693.8
2016-11-01,1693.3
2016-12-01,1695.1
2017-01-01,1697.5
2017-02-01,1695.7
2017-03-01,1696.3
2017-04-01,1694.5
2017-05-01,1697.0
2017-06-01,1698.6
2017-07-01,1696.8
2017-08-01,1697.0
2017-09-01,1696.6
2017-10-01,1694.8
2017-11-01,1695.0
2017-12-01,1694.5
2018-01-01,1696.2
2018-02-01,1697.9
2018-03-01,1696.5
2018-04-01,1693.8
2018-05-01,1698.3
2018-06-01,1702.4
2018-07-01,1700.4
2018-08-01,1700.8
2018-09-01,1700.5
2018-10-01,1700.7
2018-11-01,1699.4
2018-12-01,1702.4
2019-01-01,1696.5
2019-02-01,1696.7
2019-03-01,1696.4
2019-04-01,1697.8
2019-05-01,1696.5
2019-06-01,1694.7
2019-07-01,1695.9
2019-08-01,1693.6
2019-09-01,1695.6
2019-10-01,1696.8
2019-11-01,1698.3
2019-12-01,1693.6
2020-01-01,1701.7
2020-02-01,1699.0
2020-03-01,1683.1
2020-04-01,1407.9
2020-05-01,1439.4
2020-06-01,1496.2
2020-07-01,1530.7
2020-08-01,1555.8
2020-09-01,1576.7
2020-10-01,1585.2
2020-11-01,1587.0
2020-12-01,1583.8
2021-01-01,1586.2
2021-02-01,1588.8
2021-03-01,1597.6
2021-04-01,1598.7
2021-05-01,1606.1
2021-06-01,1609.8
2021-07-01,1625.2
2021-08-01,1624.8
2021-09-01,1625.6
2021-10-01,1640.2
2021-11-01,1643.1
2021-12-01,1648.8
2022-01-01,1645.4
2022-02-01,1659.2
2022-03-01,1665.0
2022-04-01,1667.6
2022-05-01,1667.0
2022-06-01,1665.3
2022-07-01,1672.9
2022-08-01,1674.3
2022-09-01,1674.3
2022-10-01,1673.4
2022-11-01,1675.8
2022-12-01,1678.5
2023-01-01,1689.9
2023-02-01,1688.5
2023-03-01,1689.9
2023-04-01,1684.6
2023-05-01,1692.1
2023-06-01,1700.2
2023-07-01,1697.7
2023-08-01,1698.7
2023-09-01,1700.0
2023-10-01,1700.7
2023-11-01,1701.0
2023-12-01,1701.6
2024-01-01,1704.6
2024-02-01,1704.6
2024-03-01,1707.4
2024-04-01,1706.5
2024-05-01,1707.9
2024-06-01,1711.7
2024-07-01,1712.3
2024-08-01,1710.2
2024-09-01,1713.3
2024-10-01,1714.6
2024-11-01,1715.6
2024-12-01,1715.8
2025-01-01,1716.8
2025-02-01,1716.0
2025-03-01,1717.6
2025-04-01,1720.1
2025-05-01,1718.0
2025-06-01,1717.2
2025-07-01,1716.7
2025-08-01,1714.8
2025-09-01,1716.4
2025-10-01,1716.0
2025-11-01,1716.6
2025-12-01,1717.0
2026-01-01,1721.2
2026-02-01,1717.2
2026-03-01,1719.6
2026-04-01,1723.9
2026-05-01,1725.0
2026-06-01,1727.7
2026-07-01,1730.5
