date,value
1990-01-01,344.6
1990-02-01,350.5
1990-03-01,350.9
1990-04-01,348.4
1990-05-01,349.0
1990-06-01,348.4
1990-07-01,346.1
1990-08-01,349.2
1990-09-01,348.9
1990-10-01,346.9
1990-11-01,342.7
1990-12-01,342.6
1991-01-01,347.2
1991-02-01,340.9
1991-03-01,347.1
1991-04-01,337.6
1991-05-01,343.0
1991-06-01,342.9
1991-07-01,340.4
1991-08-01,337.3
1991-09-01,339.3
1991-10-01,342.1
1991-11-01,341.1
1991-12-01,339.9
1992-01-01,340.3
1992-02-01,338.2
1992-03-01,338.0
1992-04-01,340.7
1992-05-01,341.8
1992-06-01,341.6
1992-07-01,341.5
1992-08-01,342.1
1992-09-01,340.9
1992-10-01,339.5
1992-11-01,343.9
1992-12-01,343.5
1993-01-01,344.9
1993-02-01,346.3
1993-03-01,344.3
1993-04-01,347.2
1993-05-01,348.0
1993-06-01,348.0
1993-07-01,349.6
1993-08-01,349.7
1993-09-01,352.0
1993-10-01,349.9
1993-11-01,349.9
1993-12-01,351.1
1994-01-01,350.8
1994-02-01,349.9
1994-03-01,350.8
1994-04-01,351.8
1994-05-01,353.7
1994-06-01,355.2
1994-07-01,353.7
1994-08-01,358.2
1994-09-01,359.3
1994-10-01,360.0
1994-11-01,361.7
1994-12-01,361.8
1995-01-01,362.9
1995-02-01,363.0
1995-03-01,364.5
1995-04-01,364.1
1995-05-01,364.1
1995-06-01,362.9
1995-07-01,364.3
1995-08-01,368.0
1995-09-01,368.9
1995-10-01,369.4
1995-11-01,369.2
1995-12-01,369.9
1996-01-01,364.8
1996-02-01,372.5
1996-03-01,371.5
1996-04-01,376.6
1996-05-01,378.5
1996-06-01,379.0
1996-07-01,375.9
1996-08-01,375.3
1996-09-01,376.9
1996-10-01,378.8
1996-11-01,379.9
1996-12-01,380.3
1997-01-01,381.6
1997-02-01,383.2
1997-03-01,383.9
1997-04-01,384.8
1997-05-01,385.3
1997-06-01,387.6
1997-07-01,385.5
1997-08-01,388.9
1997-09-01,389.8
1997-10-01,391.1
1997-11-01,392.6
1997-12-01,395.5
1998-01-01,395.6
1998-02-01,395.3
1998-03-01,395.8
1998-04-01,396.5
1998-05-01,397.8
1998-06-01,399.7
1998-07-01,398.3
1998-08-01,402.6
1998-09-01,404.4
1998-10-01,402.3
1998-11-01,402.4
1998-12-01,406.2
1999-01-01,405.9
1999-02-01,408.0
1999-03-01,409.1
1999-04-01,410.9
1999-05-01,411.2
1999-06-01,411.3
1999-07-01,411.8
1999-08-01,414.6
1999-09-01,413.8
1999-10-01,417.5
1999-11-01,418.7
1999-12-01,419.5
2000-01-01,417.2
2000-02-01,418.9
2000-03-01,420.5
2000-04-01,419.4
2000-05-01,419.2
2000-06-01,421.0
2000-07-01,421.1
2000-08-01,419.6
2000-09-01,420.3
2000-10-01,421.2
2000-11-01,420.7
2000-12-01,421.7
2001-01-01,420.7
2001-02-01,422.0
2001-03-01,424.8
2001-04-01,421.6
2001-05-01,421.1
2001-06-01,421.3
2001-07-01,418.7
2001-08-01,418.2
2001-09-01,416.1
2001-10-01,416.9
2001-11-01,416.5
2001-12-01,415.7
2002-01-01,413.2
2002-02-01,414.7
2002-03-01,412.8
2002-04-01,413.7
2002-05-01,415.4
2002-06-01,413.2
2002-07-01,414.7
2002-08-01,415.4
2002-09-01,417.9
2002-10-01,414.6
2002-11-01,415.0
2002-12-01,415.0
2003-01-01,412.6
2003-02-01,410.5
2003-03-01,409.8
2003-04-01,412.3
2003-05-01,413.8
2003-06-01,415.3
2003-07-01,414.8
2003-08-01,415.7
2003-09-01,417.6
2003-10-01,418.0
2003-11-01,418.2
2003-12-01,419.2
2004-01-01,420.5
2004-02-01,423.3
2004-03-01,422.9
2004-04-01,420.1
2004-05-01,422.5
2004-06-01,424.3
2004-07-01,424.3
2004-08-01,425.2
2004-09-01,426.1
2004-10-01,427.6
2004-11-01,428.2
2004-12-01,427.7
