date,value
1990-01-01,708.1
1990-02-01,712.6
1990-03-01,713.2
1990-04-01,712.9
1990-05-01,709.3
1990-06-01,709.8
1990-07-01,710.7
1990-08-01,710.9
1990-09-01,709.4
1990-10-01,706.7
1990-11-01,706.6
1990-12-01,706.2
1991-01-01,692.5
1991-02-01,692.2
1991-03-01,691.6
1991-04-01,687.6
1991-05-01,685.8
1991-06-01,683.9
1991-07-01,683.9
1991-08-01,683.2
1991-09-01,684.4
1991-10-01,686.4
1991-11-01,686.5
1991-12-01,687.6
1992-01-01,686.9
1992-02-01,684.9
1992-03-01,685.9
1992-04-01,687.6
1992-05-01,692.1
1992-06-01,694.2
1992-07-01,696.1
1992-08-01,699.6
1992-09-01,700.1
1992-10-01,707.3
1992-11-01,712.9
1992-12-01,711.0
1993-01-01,714.3
1993-02-01,719.0
1993-03-01,720.4
1993-04-01,725.7
1993-05-01,731.1
1993-06-01,732.1
1993-07-01,733.1
1993-08-01,736.4
1993-09-01,736.3
1993-10-01,735.8
1993-11-01,735.6
1993-12-01,737.0
1994-01-01,740.6
1994-02-01,742.0
1994-03-01,746.3
1994-04-01,749.8
1994-05-01,751.2
1994-06-01,751.3
1994-07-01,750.9
1994-08-01,752.4
1994-09-01,753.3
1994-10-01,750.9
1994-11-01,752.3
1994-12-01,755.8
1995-01-01,757.1
1995-02-01,759.7
1995-03-01,762.9
1995-04-01,762.9
1995-05-01,763.9
1995-06-01,766.5
1995-07-01,769.6
1995-08-01,769.3
1995-09-01,770.1
1995-10-01,770.4
1995-11-01,774.4
1995-12-01,776.9
1996-01-01,782.1
1996-02-01,782.9
1996-03-01,788.1
1996-04-01,788.0
1996-05-01,787.9
1996-06-01,790.6
1996-07-01,781.4
1996-08-01,784.9
1996-09-01,789.1
1996-10-01,797.8
1996-11-01,796.8
1996-12-01,801.8
1997-01-01,804.3
1997-02-01,806.7
1997-03-01,807.8
1997-04-01,806.3
1997-05-01,806.9
1997-06-01,803.9
1997-07-01,808.7
1997-08-01,814.1
1997-09-01,819.0
1997-10-01,805.6
1997-11-01,807.1
1997-12-01,809.9
1998-01-01,814.6
1998-02-01,815.8
1998-03-01,814.1
1998-04-01,814.8
1998-05-01,817.5
1998-06-01,822.0
1998-07-01,825.7
1998-08-01,826.2
1998-09-01,827.0
1998-10-01,830.2
1998-11-01,832.8
1998-12-01,835.7
1999-01-01,827.3
1999-02-01,830.9
1999-03-01,829.4
1999-04-01,834.7
1999-05-01,838.2
1999-06-01,844.9
1999-07-01,840.9
1999-08-01,841.7
1999-09-01,841.8
1999-10-01,838.0
1999-11-01,839.5
1999-12-01,840.0
2000-01-01,839.7
2000-02-01,840.6
2000-03-01,842.8
2000-04-01,854.2
2000-05-01,849.9
2000-06-01,853.3
2000-07-01,859.3
2000-08-01,858.3
2000-09-01,859.1
2000-10-01,869.8
2000-11-01,871.9
2000-12-01,873.4
2001-01-01,870.3
2001-02-01,873.0
2001-03-01,875.9
2001-04-01,873.7
2001-05-01,875.4
2001-06-01,874.1
2001-07-01,872.2
2001-08-01,871.4
2001-09-01,872.6
2001-10-01,865.2
2001-11-01,861.0
2001-12-01,859.7
2002-01-01,860.7
2002-02-01,863.0
2002-03-01,865.7
2002-04-01,871.7
2002-05-01,873.9
2002-06-01,876.4
2002-07-01,874.1
2002-08-01,876.8
2002-09-01,878.1
2002-10-01,881.4
2002-11-01,881.9
2002-12-01,883.5
2003-01-01,883.5
2003-02-01,881.0
2003-03-01,881.5
2003-04-01,880.5
2003-05-01,881.4
2003-06-01,883.5
2003-07-01,889.0
2003-08-01,890.2
2003-09-01,895.3
2003-10-01,897.6
2003-11-01,901.6
2003-12-01,906.4
2004-01-01,917.6
2004-02-01,918.6
2004-03-01,919.3
2004-04-01,921.1
2004-05-01,923.0
2004-06-01,924.6
2004-07-01,931.3
2004-08-01,930.0
2004-09-01,920.4
2004-10-01,934.6
2004-11-01,938.5
2004-12-01,942.3
2005-01-01,941.8
2005-02-01,942.7
2005-03-01,940.8
2005-04-01,944.2
2005-05-01,948.4
2005-06-01,951.8
2005-07-01,952.5
2005-08-01,956.4
2005-09-01,958.4
2005-10-01,959.0
2005-11-01,958.2
2005-12-01,960.0
2006-01-01,959.8
2006-02-01,959.4
2006-03-01,960.2
2006-04-01,958.7
2006-05-01,960.3
2006-06-01,962.9
2006-07-01,964.1
2006-08-01,967.6
2006-09-01,968.0
2006-10-01,969.4
2006-11-01,974.1
2006-12-01,975.5
2007-01-01,977.9
2007-02-01,980.3
2007-03-01,983.8
2007-04-01,984.2
2007-05-01,985.2
2007-06-01,984.3
2007-07-01,983.5
2007-08-01,984.4
2007-09-01,984.2
2007-10-01,982.8
2007-11-01,987.2
2007-12-01,988.0
2008-01-01,985.7
2008-02-01,987.3
2008-03-01,985.7
2008-04-01,981.8
2008-05-01,978.4
2008-06-01,974.6
2008-07-01,970.2
2008-08-01,965.4
2008-09-01,960.2
2008-10-01,954.5
2008-11-01,953.5
2008-12-01,951.2
2009-01-01,945.9
2009-02-01,941.1
2009-03-01,936.4
2009-04-01,932.9
2009-05-01,930.2
2009-06-01,926.1
2009-07-01,923.8
2009-08-01,920.6
2009-09-01,919.9
2009-10-01,916.5
2009-11-01,916.2
2009-12-01,915.2
2010-01-01,916.7
2010-02-01,919.2
2010-03-01,921.3
2010-04-01,925.8
2010-05-01,929.2
2010-06-01,931.4
2010-07-01,932.9
2010-08-01,935.3
2010-09-01,935.8
2010-10-01,943.4
2010-11-01,943.1
2010-12-01,945.3
2011-01-01,944.4
2011-02-01,940.1
2011-03-01,945.6
2011-04-01,949.9
2011-05-01,953.1
2011-06-01,954.7
2011-07-01,958.5
2011-08-01,962.5
2011-09-01,967.1
2011-10-01,969.5
2011-11-01,971.4
2011-12-01,973.4
2012-01-01,981.3
2012-02-01,982.0
2012-03-01,989.4
2012-04-01,993.7
2012-05-01,994.1
2012-06-01,998.5
2012-07-01,1000.2
2012-08-01,1001.6
2012-09-01,1004.3
2012-10-01,1008.8
2012-11-01,1011.9
2012-12-01,1015.2
2013-01-01,1016.0
2013-02-01,1020.7
2013-03-01,1024.7
2013-04-01,1027.3
2013-05-01,1032.6
2013-06-01,1037.5
2013-07-01,1045.1
2013-08-01,1046.1
2013-09-01,1048.8
2013-10-01,1050.7
2013-11-01,1055.4
2013-12-01,1057.8
2014-01-01,1061.9
2014-02-01,1064.1
2014-03-01,1072.1
2014-04-01,1078.1
2014-05-01,1082.1
2014-06-01,1088.0
2014-07-01,1089.9
2014-08-01,1091.2
2014-09-01,1096.4
2014-10-01,1098.9
2014-11-01,1103.3
2014-12-01,1106.6
2015-01-01,1111.5
2015-02-01,1116.0
2015-03-01,1119.9
2015-04-01,1121.1
2015-05-01,1125.3
2015-06-01,1131.4
2015-07-01,1135.0
2015-08-01,1139.9
2015-09-01,1145.2
2015-10-01,1152.5
2015-11-01,1157.3
