date,value
1990-01-01,5382.2
1990-02-01,5393.0
1990-03-01,5399.8
1990-04-01,5402.6
1990-05-01,5410.2
1990-06-01,5412.1
1990-07-01,5400.1
1990-08-01,5402.2
1990-09-01,5396.1
1990-10-01,5386.8
1990-11-01,5372.1
1990-12-01,5363.4
1991-01-01,5341.4
1991-02-01,5317.3
1991-03-01,5303.0
1991-04-01,5293.7
1991-05-01,5291.3
1991-06-01,5283.8
1991-07-01,5288.7
1991-08-01,5299.9
1991-09-01,5293.3
1991-10-01,5283.3
1991-11-01,5289.6
1991-12-01,5280.1
1992-01-01,5292.6
1992-02-01,5285.8
1992-03-01,5322.6
1992-04-01,5307.0
1992-05-01,5326.8
1992-06-01,5335.4
1992-07-01,5350.2
1992-08-01,5353.4
1992-09-01,5369.9
1992-10-01,5389.9
1992-11-01,5413.2
1992-12-01,5424.6
1993-01-01,5442.4
1993-02-01,5471.8
1993-03-01,5481.7
1993-04-01,5528.9
1993-05-01,5535.6
1993-06-01,5555.3
1993-07-01,5573.5
1993-08-01,5587.8
1993-09-01,5590.2
1993-10-01,5623.1
1993-11-01,5624.9
1993-12-01,5642.0
1994-01-01,5666.7
1994-02-01,5682.6
1994-03-01,5705.5
1994-04-01,5735.9
1994-05-01,5752.9
1994-06-01,5774.7
1994-07-01,5796.6
1994-08-01,5811.6
1994-09-01,5837.3
1994-10-01,5832.1
1994-11-01,5888.6
1994-12-01,5872.8
1995-01-01,5890.0
1995-02-01,5911.6
1995-03-01,5932.1
1995-04-01,5934.8
1995-05-01,5952.5
1995-06-01,5970.0
1995-07-01,5969.4
1995-08-01,5991.1
1995-09-01,6015.8
1995-10-01,6023.2
1995-11-01,6049.5
1995-12-01,6069.9
1996-01-01,6064.6
1996-02-01,6087.0
1996-03-01,6133.4
1996-04-01,6113.2
1996-05-01,6132.8
1996-06-01,6141.4
1996-07-01,6161.3
1996-08-01,6185.9
1996-09-01,6210.7
1996-10-01,6225.8
1996-11-01,6243.1
1996-12-01,6261.7
1997-01-01,6289.3
1997-02-01,6294.5
1997-03-01,6313.0
1997-04-01,6353.0
1997-05-01,6370.5
1997-06-01,6380.6
1997-07-01,6414.5
1997-08-01,6432.8
1997-09-01,6463.4
1997-10-01,6462.6
1997-11-01,6473.1
1997-12-01,6495.7
1998-01-01,6531.1
1998-02-01,6539.0
1998-03-01,6547.7
1998-04-01,6547.4
1998-05-01,6570.8
1998-06-01,6592.5
1998-07-01,6624.3
1998-08-01,6630.9
1998-09-01,6647.8
1998-10-01,6677.8
1998-11-01,6695.1
1998-12-01,6714.1
1999-01-01,6708.5
1999-02-01,6737.5
1999-03-01,6746.8
