date,value
1990-01-01,239.3
1990-02-01,239.6
1990-03-01,240.8
1990-04-01,239.6
1990-05-01,238.8
1990-06-01,240.4
1990-07-01,240.2
1990-08-01,242.0
1990-09-01,242.3
1990-10-01,241.2
1990-11-01,241.1
1990-12-01,241.2
1991-01-01,238.0
1991-02-01,236.3
1991-03-01,236.4
1991-04-01,236.5
1991-05-01,237.1
1991-06-01,238.6
1991-07-01,236.6
1991-08-01,236.8
1991-09-01,236.8
1991-10-01,235.0
1991-11-01,235.9
1991-12-01,236.7
1992-01-01,238.1
1992-02-01,239.4
1992-03-01,240.2
1992-04-01,241.8
1992-05-01,243.8
1992-06-01,242.8
1992-07-01,244.7
1992-08-01,245.8
1992-09-01,245.1
1992-10-01,251.4
1992-11-01,250.6
1992-12-01,249.5
1993-01-01,255.1
1993-02-01,258.2
1993-03-01,256.9
1993-04-01,259.5
1993-05-01,260.7
1993-06-01,262.0
1993-07-01,264.4
1993-08-01,266.0
1993-09-01,266.8
1993-10-01,270.6
1993-11-01,271.7
1993-12-01,272.5
1994-01-01,272.8
1994-02-01,274.1
1994-03-01,276.3
1994-04-01,276.6
1994-05-01,276.9
1994-06-01,277.9
1994-07-01,276.2
1994-08-01,279.3
1994-09-01,281.5
1994-10-01,282.8
1994-11-01,285.6
1994-12-01,287.1
1995-01-01,291.8
1995-02-01,292.7
1995-03-01,293.6
1995-04-01,294.8
1995-05-01,294.1
1995-06-01,296.6
1995-07-01,299.2
1995-08-01,301.5
1995-09-01,303.1
1995-10-01,300.5
1995-11-01,302.6
1995-12-01,304.0
1996-01-01,305.3
1996-02-01,306.5
1996-03-01,308.5
1996-04-01,309.5
1996-05-01,311.9
1996-06-01,316.0
1996-07-01,329.4
1996-08-01,318.3
1996-09-01,314.6
1996-10-01,311.3
1996-11-01,312.5
1996-12-01,312.2
1997-01-01,311.8
1997-02-01,313.1
1997-03-01,314.0
1997-04-01,317.2
1997-05-01,316.7
1997-06-01,317.1
1997-07-01,316.7
1997-08-01,317.3
1997-09-01,317.7
1997-10-01,315.7
1997-11-01,316.3
1997-12-01,317.0
1998-01-01,320.1
1998-02-01,319.7
1998-03-01,320.5
1998-04-01,318.3
1998-05-01,320.8
1998-06-01,321.4
1998-07-01,320.6
1998-08-01,322.3
1998-09-01,322.5
1998-10-01,324.1
1998-11-01,325.2
1998-12-01,325.3
1999-01-01,323.0
1999-02-01,324.8
1999-03-01,325.0
1999-04-01,326.2
1999-05-01,329.3
1999-06-01,330.2
1999-07-01,331.3
1999-08-01,332.5
1999-09-01,333.3
1999-10-01,334.1
1999-11-01,334.8
1999-12-01,337.1
2000-01-01,335.2
2000-02-01,334.9
2000-03-01,337.0
2000-04-01,334.9
2000-05-01,334.0
2000-06-01,333.8
2000-07-01,340.6
2000-08-01,339.2
2000-09-01,339.9
2000-10-01,340.3
2000-11-01,339.7
2000-12-01,337.9
2001-01-01,339.1
2001-02-01,340.1
2001-03-01,339.3
2001-04-01,340.4
2001-05-01,339.9
2001-06-01,339.7
2001-07-01,337.6
2001-08-01,337.5
2001-09-01,337.3
2001-10-01,339.7
2001-11-01,339.9
2001-12-01,338.8
2002-01-01,336.4
2002-02-01,337.4
2002-03-01,338.3
2002-04-01,340.4
2002-05-01,340.6
2002-06-01,348.9
2002-07-01,339.6
2002-08-01,339.1
2002-09-01,340.2
2002-10-01,339.8
2002-11-01,340.9
2002-12-01,342.8
2003-01-01,343.3
2003-02-01,343.4
2003-03-01,344.3
2003-04-01,345.2
2003-05-01,345.1
2003-06-01,345.1
2003-07-01,349.5
2003-08-01,351.1
2003-09-01,353.5
2003-10-01,351.6
2003-11-01,351.9
2003-12-01,352.9
2004-01-01,355.0
2004-02-01,356.3
2004-03-01,356.0
2004-04-01,356.7
2004-05-01,358.6
2004-06-01,360.0
2004-07-01,360.1
2004-08-01,361.5
2004-09-01,361.9
2004-10-01,363.6
2004-11-01,364.3
2004-12-01,366.0
2005-01-01,366.6
2005-02-01,366.7
2005-03-01,366.8
2005-04-01,373.6
2005-05-01,375.6
2005-06-01,374.4
2005-07-01,370.5
2005-08-01,371.8
2005-09-01,372.9
2005-10-01,373.8
2005-11-01,375.2
2005-12-01,374.7
2006-01-01,378.9
2006-02-01,381.0
2006-03-01,381.8
2006-04-01,381.0
2006-05-01,381.3
2006-06-01,381.9
2006-07-01,382.5
2006-08-01,383.2
2006-09-01,384.0
2006-10-01,388.1
2006-11-01,391.6
2006-12-01,392.2
2007-01-01,393.4
2007-02-01,395.3
2007-03-01,396.1
2007-04-01,395.0
2007-05-01,395.7
2007-06-01,396.2
2007-07-01,395.6
2007-08-01,396.8
2007-09-01,396.4
2007-10-01,397.0
2007-11-01,397.2
2007-12-01,396.2
2008-01-01,399.1
2008-02-01,399.0
2008-03-01,398.1
2008-04-01,395.1
