date,value
1990-01-01,3017.9
1990-02-01,3023.8
1990-03-01,3034.5
1990-04-01,3027.7
1990-05-01,3031.5
1990-06-01,3039.7
1990-07-01,3036.0
1990-08-01,3035.9
1990-09-01,3031.6
1990-10-01,3017.6
1990-11-01,3016.0
1990-12-01,3007.1
1991-01-01,2995.4
1991-02-01,2979.5
1991-03-01,2978.2
1991-04-01,2970.5
1991-05-01,2974.7
1991-06-01,2982.9
1991-07-01,2969.6
1991-08-01,2968.6
1991-09-01,2971.3
1991-10-01,2970.1
1991-11-01,2974.2
1991-12-01,2978.4
1992-01-01,2990.8
1992-02-01,2993.8
1992-03-01,3005.8
1992-04-01,3008.8
1992-05-01,3019.4
1992-06-01,3020.7
1992-07-01,3033.6
1992-08-01,3036.6
1992-09-01,3042.0
1992-10-01,3060.3
1992-11-01,3064.4
1992-12-01,3067.7
1993-01-01,3078.9
1993-02-01,3093.1
1993-03-01,3093.2
1993-04-01,3111.6
1993-05-01,3118.6
1993-06-01,3126.8
1993-07-01,3150.2
1993-08-01,3156.8
1993-09-01,3168.9
1993-10-01,3198.3
1993-11-01,3205.8
1993-12-01,3218.6
1994-01-01,3232.3
1994-02-01,3242.7
1994-03-01,3253.8
1994-04-01,3266.3
1994-05-01,3276.4
1994-06-01,3286.9
1994-07-01,3298.8
1994-08-01,3315.2
1994-09-01,3332.9
1994-10-01,3346.0
1994-11-01,3367.5
1994-12-01,3378.4
1995-01-01,3389.5
1995-02-01,3394.5
1995-03-01,3407.7
1995-04-01,3415.1
1995-05-01,3421.1
1995-06-01,3436.7
1995-07-01,3424.8
1995-08-01,3447.2
1995-09-01,3463.7
1995-10-01,3464.5
1995-11-01,3475.9
1995-12-01,3486.7
1996-01-01,3499.7
1996-02-01,3516.5
1996-03-01,3528.0
1996-04-01,3540.3
1996-05-01,3554.1
1996-06-01,3570.2
1996-07-01,3625.5
1996-08-01,3568.8
1996-09-01,3564.4
1996-10-01,3573.8
1996-11-01,3582.4
1996-12-01,3590.2
1997-01-01,3599.2
1997-02-01,3606.7
1997-03-01,3616.0
1997-04-01,3623.1
1997-05-01,3628.8
1997-06-01,3633.4
1997-07-01,3641.8
1997-08-01,3646.6
1997-09-01,3669.0
1997-10-01,3679.3
1997-11-01,3691.7
1997-12-01,3709.3
1998-01-01,3720.4
1998-02-01,3727.4
1998-03-01,3737.3
1998-04-01,3732.6
1998-05-01,3752.2
1998-06-01,3765.9
1998-07-01,3774.1
1998-08-01,3788.2
1998-09-01,3797.2
1998-10-01,3806.1
1998-11-01,3819.2
1998-12-01,3824.9
1999-01-01,3813.2
1999-02-01,3830.0
1999-03-01,3834.4
1999-04-01,3862.1
1999-05-01,3877.9
1999-06-01,3889.6
1999-07-01,3893.8
1999-08-01,3899.1
1999-09-01,3913.8
1999-10-01,3922.6
1999-11-01,3933.5
1999-12-01,3946.3
2000-01-01,3933.1
2000-02-01,3947.4
2000-03-01,3964.9
2000-04-01,3963.6
2000-05-01,3979.8
2000-06-01,3980.9
2000-07-01,3992.0
2000-08-01,3992.3
2000-09-01,3998.9
2000-10-01,3997.9
2000-11-01,3995.7
2000-12-01,4003.5
2001-01-01,4011.9
2001-02-01,4010.1
2001-03-01,4010.6
2001-04-01,3985.7
2001-05-01,3977.5
2001-06-01,3972.9
2001-07-01,3963.9
2001-08-01,3962.8
2001-09-01,3953.4
2001-10-01,3943.8
2001-11-01,3932.9
2001-12-01,3927.2
2002-01-01,3894.1
2002-02-01,3895.4
2002-03-01,3898.3
2002-04-01,3902.2
2002-05-01,3903.0
2002-06-01,3911.9
2002-07-01,3891.0
2002-08-01,3890.4
2002-09-01,3888.7
2002-10-01,3894.3
2002-11-01,3894.8
2002-12-01,3895.9
2003-01-01,3869.7
2003-02-01,3867.6
2003-03-01,3867.8
2003-04-01,3863.8
2003-05-01,3861.6
2003-06-01,3860.7
2003-07-01,3867.5
2003-08-01,3870.2
2003-09-01,3878.9
2003-10-01,3869.5
2003-11-01,3875.0
2003-12-01,3884.0
2004-01-01,3884.8
2004-02-01,3890.8
2004-03-01,3901.5
2004-04-01,3907.8
2004-05-01,3912.4
2004-06-01,3913.6
2004-07-01,3928.7
2004-08-01,3936.0
2004-09-01,3927.6
2004-10-01,3952.7
2004-11-01,3957.6
2004-12-01,3961.9
2005-01-01,3977.6
2005-02-01,3980.7
2005-03-01,3973.6
2005-04-01,4010.4
2005-05-01,4022.1
2005-06-01,4016.2
2005-07-01,4030.6
2005-08-01,4046.6
2005-09-01,4051.1
2005-10-01,4052.5
2005-11-01,4065.2
2005-12-01,4070.3
2006-01-01,4083.3
2006-02-01,4086.3
2006-03-01,4092.7
2006-04-01,4105.7
2006-05-01,4106.4
2006-06-01,4111.0
2006-07-01,4106.4
2006-08-01,4113.3
2006-09-01,4115.8
2006-10-01,4133.7
2006-11-01,4137.7
2006-12-01,4144.6
2007-01-01,4161.3
2007-02-01,4162.9
2007-03-01,4167.3
2007-04-01,4162.5
2007-05-01,4162.9
2007-06-01,4166.3
2007-07-01,4162.8
2007-08-01,4167.4
2007-09-01,4167.7
2007-10-01,4167.7
2007-11-01,4169.0
