date,value
1990-01-01,517.5
1990-02-01,521.2
1990-03-01,521.9
1990-04-01,526.0
1990-05-01,527.2
1990-06-01,529.0
1990-07-01,529.6
1990-08-01,530.6
1990-09-01,530.7
1990-10-01,535.0
1990-11-01,537.1
1990-12-01,536.2
1991-01-01,540.7
1991-02-01,537.5
1991-03-01,535.8
1991-04-01,535.2
1991-05-01,535.4
1991-06-01,537.1
1991-07-01,539.8
1991-08-01,541.5
1991-09-01,541.2
1991-10-01,542.0
1991-11-01,542.3
1991-12-01,542.3
1992-01-01,542.6
1992-02-01,542.7
1992-03-01,542.6
1992-04-01,543.1
1992-05-01,542.2
1992-06-01,542.7
1992-07-01,544.5
1992-08-01,544.2
1992-09-01,542.4
1992-10-01,542.0
1992-11-01,540.9
1992-12-01,541.8
1993-01-01,538.4
1993-02-01,540.5
1993-03-01,540.1
1993-04-01,541.8
1993-05-01,541.2
1993-06-01,540.9
1993-07-01,539.3
1993-08-01,536.8
1993-09-01,536.5
1993-10-01,538.6
1993-11-01,535.9
1993-12-01,535.1
1994-01-01,535.7
1994-02-01,535.4
1994-03-01,536.0
1994-04-01,536.5
1994-05-01,533.5
1994-06-01,536.3
1994-07-01,536.6
1994-08-01,535.7
1994-09-01,536.3
1994-10-01,537.2
1994-11-01,538.0
1994-12-01,537.3
1995-01-01,536.6
1995-02-01,535.7
1995-03-01,535.9
1995-04-01,534.5
1995-05-01,533.6
1995-06-01,534.2
1995-07-01,533.2
1995-08-01,530.8
1995-09-01,530.4
1995-10-01,530.5
1995-11-01,530.8
1995-12-01,530.0
1996-01-01,530.7
1996-02-01,532.6
1996-03-01,532.5
1996-04-01,529.3
1996-05-01,529.9
1996-06-01,529.5
1996-07-01,532.1
1996-08-01,531.3
1996-09-01,529.2
1996-10-01,530.5
1996-11-01,530.8
1996-12-01,532.5
1997-01-01,533.1
1997-02-01,533.3
1997-03-01,533.3
1997-04-01,532.1
1997-05-01,531.6
1997-06-01,531.6
1997-07-01,531.4
1997-08-01,532.8
1997-09-01,529.6
1997-10-01,530.7
1997-11-01,530.3
1997-12-01,530.7
1998-01-01,530.8
1998-02-01,530.3
1998-03-01,530.4
1998-04-01,531.2
1998-05-01,531.7
1998-06-01,530.7
1998-07-01,532.1
1998-08-01,533.3
1998-09-01,532.7
1998-10-01,531.3
1998-11-01,531.7
1998-12-01,531.5
1999-01-01,528.6
1999-02-01,529.4
1999-03-01,530.5
1999-04-01,532.7
1999-05-01,532.8
1999-06-01,534.1
1999-07-01,535.4
1999-08-01,539.0
1999-09-01,537.6
1999-10-01,540.2
1999-11-01,541.1
1999-12-01,542.5
2000-01-01,542.6
2000-02-01,544.2
2000-03-01,546.5
2000-04-01,549.5
2000-05-01,550.5
2000-06-01,553.3
2000-07-01,553.2
2000-08-01,552.8
2000-09-01,556.8
2000-10-01,557.0
2000-11-01,557.8
2000-12-01,558.7
2001-01-01,554.4
2001-02-01,558.4
2001-03-01,559.4
2001-04-01,557.8
2001-05-01,556.0
2001-06-01,559.9
2001-07-01,558.5
2001-08-01,559.4
2001-09-01,559.4
2001-10-01,549.5
2001-11-01,547.1
2001-12-01,546.4
2002-01-01,549.7
2002-02-01,550.7
2002-03-01,552.4
2002-04-01,550.0
2002-05-01,556.2
2002-06-01,562.1
2002-07-01,559.4
2002-08-01,559.3
2002-09-01,560.9
2002-10-01,562.0
2002-11-01,561.6
2002-12-01,564.6
2003-01-01,566.0
2003-02-01,566.0
2003-03-01,566.2
2003-04-01,564.7
2003-05-01,566.9
2003-06-01,566.9
2003-07-01,569.4
2003-08-01,568.7
2003-09-01,569.4
2003-10-01,571.4
2003-11-01,571.0
2003-12-01,573.4
2004-01-01,575.4
2004-02-01,576.0
2004-03-01,576.6
2004-04-01,579.4
2004-05-01,581.0
2004-06-01,582.5
2004-07-01,586.0
2004-08-01,586.0
2004-09-01,586.9
2004-10-01,591.0
2004-11-01,593.2
2004-12-01,592.6
2005-01-01,593.9
2005-02-01,594.8
2005-03-01,595.9
2005-04-01,599.5
2005-05-01,601.0
2005-06-01,602.5
2005-07-01,605.1
2005-08-01,607.6
2005-09-01,607.1
2005-10-01,607.3
2005-11-01,605.8
2005-12-01,610.3
2006-01-01,609.0
2006-02-01,612.8
2006-03-01,614.0
2006-04-01,614.8
2006-05-01,616.9
2006-06-01,619.2
2006-07-01,618.5
2006-08-01,621.6
2006-09-01,623.2
2006-10-01,619.2
2006-11-01,622.7
2006-12-01,623.5
2007-01-01,623.4
2007-02-01,624.4
2007-03-01,625.2
2007-04-01,620.7
2007-05-01,626.2
2007-06-01,629.1
2007-07-01,626.4
2007-08-01,625.3
2007-09-01,627.9
2007-10-01,627.3
2007-11-01,624.9
2007-12-01,628.9
2008-01-01,627.7
2008-02-01,628.1
2008-03-01,627.8
2008-04-01,626.2
2008-05-01,625.8
2008-06-01,623.9
2008-07-01,620.7
2008-08-01,621.5
2008-09-01,615.3
2008-10-01,611.6
2008-11-01,614.1
2008-12-01,606.0
2009-01-01,604.2
2009-02-01,600.7
2009-03-01,598.6
2009-04-01,595.3
2009-05-01,593.4
2009-06-01,594.4
2009-07-01,590.8
2009-08-01,589.4
2009-09-01,586.9
2009-10-01,587.0
2009-11-01,584.6
2009-12-01,584.2
2010-01-01,587.6
2010-02-01,585.2
2010-03-01,585.6
2010-04-01,586.9
2010-05-01,588.2
2010-06-01,586.6
2010-07-01,588.9
2010-08-01,587.3
2010-09-01,587.3
2010-10-01,589.8
2010-11-01,593.6
2010-12-01,590.6
2011-01-01,589.8
2011-02-01,593.2
2011-03-01,594.0
2011-04-01,592.8
2011-05-01,592.2
2011-06-01,591.6
2011-07-01,596.0
2011-08-01,594.6
2011-09-01,597.2
2011-10-01,597.9
2011-11-01,598.8
2011-12-01,600.0
2012-01-01,591.5
2012-02-01,601.8
2012-03-01,601.4
2012-04-01,604.9
2012-05-01,606.2
2012-06-01,607.3
2012-07-01,608.6
2012-08-01,614.7
2012-09-01,610.5
2012-10-01,612.1
2012-11-01,617.0
2012-12-01,614.1
2013-01-01,607.7
2013-02-01,617.2
2013-03-01,617.5
2013-04-01,616.8
2013-05-01,620.1
2013-06-01,620.3
2013-07-01,622.3
2013-08-01,620.4
2013-09-01,622.9
2013-10-01,625.0
2013-11-01,623.9
2013-12-01,626.2
2014-01-01,625.0
2014-02-01,624.8
2014-03-01,625.5
2014-04-01,625.6
2014-05-01,628.0
2014-06-01,627.7
2014-07-01,628.1
2014-08-01,630.8
2014-09-01,630.6
2014-10-01,631.4
2014-11-01,634.9
2014-12-01,629.6
2015-01-01,634.0
2015-02-01,634.4
2015-03-01,634.8
2015-04-01,635.9
2015-05-01,636.8
2015-06-01,638.2
2015-07-01,639.8
2015-08-01,643.7
2015-09-01,639.9
2015-10-01,643.7
2015-11-01,642.1
2015-12-01,645.9
2016-01-01,641.1
2016-02-01,644.3
2016-03-01,643.8
2016-04-01,645.0
2016-05-01,646.0
2016-06-01,645.5
2016-07-01,649.3
2016-08-01,652.6
2016-09-01,651.1
2016-10-01,649.9
2016-11-01,651.8
2016-12-01,650.8
2017-01-01,652.6
2017-02-01,653.2
2017-03-01,654.4
2017-04-01,655.4
2017-05-01,655.0
2017-06-01,655.7
2017-07-01,654.9
2017-08-01,651.8
2017-09-01,657.2
2017-10-01,656.7
2017-11-01,655.1
2017-12-01,657.4
2018-01-01,656.1
2018-02-01,657.0
2018-03-01,658.3
2018-04-01,657.0
2018-05-01,656.8
2018-06-01,658.5
2018-07-01,656.5
2018-08-01,659.4
2018-09-01,658.2
2018-10-01,659.4
2018-11-01,660.7
2018-12-01,660.0
2019-01-01,656.9
2019-02-01,658.9
2019-03-01,658.3
2019-04-01,657.4
2019-05-01,658.2
2019-06-01,656.5
2019-07-01,657.4
2019-08-01,656.7
2019-09-01,662.2
2019-10-01,660.8
2019-11-01,660.6
2019-12-01,659.3
2020-01-01,663.4
2020-02-01,662.6
2020-03-01,655.9
2020-04-01,508.9
2020-05-01,508.1
2020-06-01,526.3
2020-07-01,527.6
2020-08-01,529.4
2020-09-01,512.6
2020-10-01,531.1
2020-11-01,543.1
2020-12-01,551.1
2021-01-01,553.8
2021-02-01,556.4
2021-03-01,564.9
2021-04-01,578.5
2021-05-01,584.2
2021-06-01,591.6
2021-07-01,600.7
2021-08-01,600.5
2021-09-01,598.9
2021-10-01,602.4
2021-11-01,603.6
2021-12-01,606.1
2022-01-01,604.9
2022-02-01,607.5
2022-03-01,610.7
2022-04-01,614.4
2022-05-01,613.1
2022-06-01,614.9
2022-07-01,620.2
2022-08-01,622.8
2022-09-01,625.3
2022-10-01,627.5
2022-11-01,627.9
2022-12-01,628.0
2023-01-01,628.4
2023-02-01,633.2
2023-03-01,632.2
2023-04-01,633.8
2023-05-01,633.3
2023-06-01,634.6
2023-07-01,634.4
2023-08-01,631.8
2023-09-01,630.2
2023-10-01,631.0
2023-11-01,632.1
2023-12-01,633.7
2024-01-01,635.0
2024-02-01,637.3
2024-03-01,637.6
2024-04-01,635.3
2024-05-01,638.5
2024-06-01,636.3
2024-07-01,636.1
2024-08-01,638.3
2024-09-01,641.5
2024-10-01,641.6
2024-11-01,642.9
2024-12-01,641.3
2025-01-01,644.0
2025-02-01,641.6
2025-03-01,643.9
2025-04-01,642.0
2025-05-01,641.9
2025-06-01,639.7
2025-07-01,641.5
2025-08-01,641.7
2025-09-01,642.0
2025-10-01,642.8
2025-11-01,642.8
2025-12-01,641.5
2026-01-01,643.3
2026-02-01,643.4
2026-03-01,642.6
2026-04-01,644.0
2026-05-01,645.7
2026-06-01,643.2
2026-07-01,642.7
