date,value
1990-01-01,1216.5
1990-02-01,1222.1
1990-03-01,1219.8
1990-04-01,1220.9
1990-05-01,1222.4
1990-06-01,1222.0
1990-07-01,1230.4
1990-08-01,1230.1
1990-09-01,1235.2
1990-10-01,1233.3
1990-11-01,1233.7
1990-12-01,1233.2
1991-01-01,1233.8
1991-02-01,1233.0
1991-03-01,1233.6
1991-04-01,1235.5
1991-05-01,1235.8
1991-06-01,1237.4
1991-07-01,1242.4
1991-08-01,1240.9
1991-09-01,1242.7
1991-10-01,1240.9
1991-11-01,1239.6
1991-12-01,1242.1
1992-01-01,1243.8
1992-02-01,1248.1
1992-03-01,1248.7
1992-04-01,1250.3
1992-05-01,1252.5
1992-06-01,1252.8
1992-07-01,1252.5
1992-08-01,1253.0
1992-09-01,1253.3
1992-10-01,1255.5
1992-11-01,1259.1
1992-12-01,1260.1
1993-01-01,1262.5
1993-02-01,1265.4
1993-03-01,1265.8
1993-04-01,1270.8
1993-05-01,1275.6
1993-06-01,1279.2
1993-07-01,1278.6
1993-08-01,1281.6
1993-09-01,1286.2
1993-10-01,1291.3
1993-11-01,1292.6
1993-12-01,1294.6
1994-01-01,1297.0
1994-02-01,1298.0
1994-03-01,1303.9
1994-04-01,1312.7
1994-05-01,1316.0
1994-06-01,1325.9
1994-07-01,1323.8
1994-08-01,1327.5
1994-09-01,1331.4
1994-10-01,1330.5
1994-11-01,1339.1
1994-12-01,1339.6
1995-01-01,1346.1
1995-02-01,1350.7
1995-03-01,1354.4
1995-04-01,1352.7
1995-05-01,1352.0
1995-06-01,1356.7
1995-07-01,1357.7
1995-08-01,1362.3
1995-09-01,1363.8
1995-10-01,1367.2
1995-11-01,1370.6
1995-12-01,1374.4
1996-01-01,1377.6
1996-02-01,1375.2
1996-03-01,1380.0
1996-04-01,1383.0
1996-05-01,1380.2
1996-06-01,1380.1
1996-07-01,1383.1
1996-08-01,1387.8
1996-09-01,1384.3
1996-10-01,1392.0
1996-11-01,1393.7
1996-12-01,1394.3
1997-01-01,1394.8
1997-02-01,1395.6
1997-03-01,1397.0
1997-04-01,1400.1
1997-05-01,1405.3
1997-06-01,1407.2
1997-07-01,1410.2
1997-08-01,1409.3
1997-09-01,1412.4
1997-10-01,1418.1
1997-11-01,1419.9
1997-12-01,1425.1
1998-01-01,1428.9
1998-02-01,1433.0
1998-03-01,1431.9
1998-04-01,1437.0
1998-05-01,1443.3
1998-06-01,1446.4
1998-07-01,1446.6
1998-08-01,1448.0
1998-09-01,1449.9
1998-10-01,1453.2
1998-11-01,1455.4
1998-12-01,1459.9
1999-01-01,1457.3
1999-02-01,1463.0
1999-03-01,1464.7
1999-04-01,1472.6
1999-05-01,1472.5
1999-06-01,1474.8
1999-07-01,1474.6
1999-08-01,1472.2
1999-09-01,1471.7
1999-10-01,1473.7
1999-11-01,1476.0
1999-12-01,1478.2
2000-01-01,1477.3
2000-02-01,1479.9
2000-03-01,1485.7
2000-04-01,1478.5
2000-05-01,1479.2
2000-06-01,1476.8
2000-07-01,1484.3
2000-08-01,1484.2
2000-09-01,1482.6
2000-10-01,1483.5
2000-11-01,1483.0
2000-12-01,1478.1
2001-01-01,1478.6
2001-02-01,1475.8
2001-03-01,1473.7
2001-04-01,1473.3
2001-05-01,1473.2
2001-06-01,1470.3
2001-07-01,1467.4
2001-08-01,1467.5
2001-09-01,1463.7
2001-10-01,1455.1
2001-11-01,1452.5
2001-12-01,1450.9
2002-01-01,1453.4
2002-02-01,1450.9
2002-03-01,1447.2
2002-04-01,1449.6
2002-05-01,1449.5
2002-06-01,1449.2
2002-07-01,1446.9
2002-08-01,1444.6
2002-09-01,1446.7
2002-10-01,1443.7
2002-11-01,1445.4
2002-12-01,1444.6
2003-01-01,1442.6
2003-02-01,1440.9
2003-03-01,1437.7
2003-04-01,1436.5
2003-05-01,1436.7
2003-06-01,1435.1
2003-07-01,1436.3
2003-08-01,1439.7
2003-09-01,1442.7
2003-10-01,1444.6
2003-11-01,1445.3
2003-12-01,1447.7
2004-01-01,1448.5
2004-02-01,1448.7
2004-03-01,1449.8
2004-04-01,1454.3
2004-05-01,1453.8
2004-06-01,1456.5
2004-07-01,1461.4
2004-08-01,1460.7
2004-09-01,1459.6
2004-10-01,1463.2
2004-11-01,1464.8
2004-12-01,1467.3
2005-01-01,1465.5
2005-02-01,1471.5
2005-03-01,1476.2
2005-04-01,1478.4
2005-05-01,1479.4
2005-06-01,1480.3
2005-07-01,1483.9
2005-08-01,1484.3
2005-09-01,1488.5
2005-10-01,1487.5
2005-11-01,1488.2
2005-12-01,1489.5
2006-01-01,1494.8
2006-02-01,1500.2
2006-03-01,1502.3
2006-04-01,1503.7
2006-05-01,1504.1
