date,value
1990-01-01,36.1
1990-02-01,36.5
1990-03-01,37.0
1990-04-01,37.2
1990-05-01,36.8
1990-06-01,36.6
1990-07-01,36.3
1990-08-01,36.7
1990-09-01,36.7
1990-10-01,36.7
1990-11-01,36.7
1990-12-01,37.0
1991-01-01,37.0
1991-02-01,36.9
1991-03-01,36.9
1991-04-01,37.0
1991-05-01,37.1
1991-06-01,37.2
1991-07-01,37.5
1991-08-01,37.5
1991-09-01,37.8
1991-10-01,38.1
1991-11-01,38.3
1991-12-01,38.3
1992-01-01,38.5
1992-02-01,39.1
1992-03-01,39.1
1992-04-01,39.1
1992-05-01,40.2
1992-06-01,39.9
1992-07-01,39.9
1992-08-01,40.3
1992-09-01,40.1
1992-10-01,40.3
1992-11-01,40.2
1992-12-01,40.3
1993-01-01,40.7
1993-02-01,40.8
1993-03-01,40.7
1993-04-01,40.9
1993-05-01,41.0
1993-06-01,41.1
1993-07-01,41.7
1993-08-01,41.7
1993-09-01,42.2
1993-10-01,42.6
1993-11-01,42.6
1993-12-01,42.7
1994-01-01,42.2
1994-02-01,42.2
1994-03-01,42.6
1994-04-01,43.0
1994-05-01,42.8
1994-06-01,43.3
1994-07-01,43.8
1994-08-01,43.8
1994-09-01,44.0
1994-10-01,44.6
1994-11-01,45.4
1994-12-01,44.8
1995-01-01,46.0
1995-02-01,46.9
1995-03-01,46.8
1995-04-01,46.2
1995-05-01,46.6
1995-06-01,47.0
1995-07-01,46.5
1995-08-01,46.8
1995-09-01,46.9
1995-10-01,46.8
1995-11-01,46.8
1995-12-01,46.8
1996-01-01,47.6
1996-02-01,47.2
1996-03-01,47.8
1996-04-01,48.0
1996-05-01,47.8
1996-06-01,48.1
1996-07-01,48.0
1996-08-01,48.1
1996-09-01,47.9
1996-10-01,47.8
1996-11-01,48.0
1996-12-01,48.4
1997-01-01,48.7
1997-02-01,48.8
1997-03-01,48.5
1997-04-01,48.6
1997-05-01,48.9
1997-06-01,49.0
1997-07-01,49.3
1997-08-01,49.3
1997-09-01,49.5
1997-10-01,49.3
1997-11-01,49.2
1997-12-01,49.3
1998-01-01,49.5
1998-02-01,50.2
1998-03-01,49.9
1998-04-01,49.5
1998-05-01,50.2
1998-06-01,50.0
1998-07-01,49.7
1998-08-01,49.8
1998-09-01,50.1
1998-10-01,50.1
1998-11-01,50.0
1998-12-01,50.0
1999-01-01,50.0
1999-02-01,50.0
1999-03-01,50.1
1999-04-01,50.7
1999-05-01,50.4
1999-06-01,50.4
1999-07-01,50.8
1999-08-01,50.6
1999-09-01,50.7
1999-10-01,51.8
1999-11-01,51.5
1999-12-01,51.8
2000-01-01,51.6
2000-02-01,51.8
2000-03-01,51.9
2000-04-01,52.9
2000-05-01,52.1
2000-06-01,52.4
2000-07-01,52.9
2000-08-01,53.1
2000-09-01,53.3
2000-10-01,52.7
2000-11-01,53.1
2000-12-01,53.0
2001-01-01,53.1
2001-02-01,53.3
2001-03-01,53.5
2001-04-01,53.2
2001-05-01,53.1
2001-06-01,53.1
2001-07-01,53.0
2001-08-01,52.8
2001-09-01,52.7
2001-10-01,52.7
2001-11-01,53.1
2001-12-01,52.9
2002-01-01,52.5
2002-02-01,52.7
2002-03-01,52.5
2002-04-01,53.0
2002-05-01,53.0
2002-06-01,53.4
2002-07-01,53.4
2002-08-01,53.4
2002-09-01,53.8
2002-10-01,54.4
2002-11-01,53.8
2002-12-01,53.6
2003-01-01,54.3
2003-02-01,54.0
2003-03-01,54.2
2003-04-01,53.9
2003-05-01,54.0
2003-06-01,54.2
2003-07-01,54.4
2003-08-01,54.7
2003-09-01,54.4
2003-10-01,54.8
2003-11-01,54.8
2003-12-01,55.1
2004-01-01,55.3
2004-02-01,55.6
2004-03-01,55.6
2004-04-01,55.3
2004-05-01,55.6
2004-06-01,56.1
2004-07-01,55.5
2004-08-01,55.7
2004-09-01,55.8
2004-10-01,55.4
2004-11-01,56.1
2004-12-01,55.7
2005-01-01,57.1
2005-02-01,56.2
2005-03-01,56.5
2005-04-01,56.7
2005-05-01,56.8
2005-06-01,56.9
2005-07-01,57.5
2005-08-01,57.4
2005-09-01,57.7
2005-10-01,57.5
2005-11-01,57.9
2005-12-01,58.3
2006-01-01,59.0
2006-02-01,58.9
2006-03-01,59.1
2006-04-01,59.6
2006-05-01,59.4
2006-06-01,59.3
2006-07-01,59.5
2006-08-01,59.8
2006-09-01,60.0
2006-10-01,60.4
2006-11-01,60.6
2006-12-01,61.5
2007-01-01,62.2
2007-02-01,62.3
2007-03-01,62.8
2007-04-01,62.8
2007-05-01,63.1
2007-06-01,63.6
2007-07-01,63.4
2007-08-01,63.1
2007-09-01,63.6
2007-10-01,63.7
2007-11-01,64.2
2007-12-01,64.3
2008-01-01,64.1
2008-02-01,64.3
2008-03-01,64.2
2008-04-01,63.8
2008-05-01,64.0
2008-06-01,63.8
2008-07-01,63.8
2008-08-01,63.4
2008-09-01,63.2
2008-10-01,61.9
2008-11-01,61.4
2008-12-01,60.2
2009-01-01,60.3
2009-02-01,60.0
2009-03-01,59.1
2009-04-01,58.3
2009-05-01,58.8
2009-06-01,58.6
2009-07-01,58.6
2009-08-01,58.1
2009-09-01,57.9
2009-10-01,58.1
2009-11-01,57.9
2009-12-01,58.0
2010-01-01,57.9
2010-02-01,57.5
2010-03-01,57.4
2010-04-01,57.7
2010-05-01,57.8
2010-06-01,57.8
2010-07-01,57.7
2010-08-01,58.0
2010-09-01,58.1
2010-10-01,58.5
2010-11-01,58.4
2010-12-01,58.3
2011-01-01,58.5
2011-02-01,58.3
2011-03-01,58.2
2011-04-01,59.5
2011-05-01,58.6
2011-06-01,59.2
2011-07-01,59.7
2011-08-01,59.8
2011-09-01,59.9
2011-10-01,59.8
2011-11-01,60.2
2011-12-01,60.0
2012-01-01,60.1
2012-02-01,60.8
2012-03-01,60.8
2012-04-01,60.8
2012-05-01,61.1
2012-06-01,60.7
2012-07-01,61.0
2012-08-01,61.4
2012-09-01,62.0
2012-10-01,61.9
2012-11-01,62.1
2012-12-01,62.4
2013-01-01,62.8
2013-02-01,62.7
2013-03-01,62.8
2013-04-01,63.4
2013-05-01,63.3
2013-06-01,63.4
2013-07-01,63.5
2013-08-01,63.0
2013-09-01,63.5
2013-10-01,64.8
2013-11-01,64.5
2013-12-01,64.3
2014-01-01,64.7
2014-02-01,65.1
2014-03-01,65.4
2014-04-01,65.4
2014-05-01,65.8
2014-06-01,66.4
2014-07-01,66.2
2014-08-01,66.3
2014-09-01,65.7
2014-10-01,66.4
2014-11-01,66.4
2014-12-01,66.6
2015-01-01,67.0
2015-02-01,66.9
2015-03-01,67.5
2015-04-01,67.0
2015-05-01,67.9
2015-06-01,68.0
2015-07-01,68.6
2015-08-01,68.8
2015-09-01,69.5
