date,value
1990-01-01,376.9
1990-02-01,379.1
1990-03-01,381.8
1990-04-01,384.5
1990-05-01,383.8
1990-06-01,383.5
1990-07-01,384.0
1990-08-01,387.5
1990-09-01,390.6
1990-10-01,390.3
1990-11-01,390.4
1990-12-01,390.8
1991-01-01,392.7
1991-02-01,393.4
1991-03-01,393.8
1991-04-01,395.2
1991-05-01,395.8
1991-06-01,396.5
1991-07-01,397.4
1991-08-01,399.0
1991-09-01,401.0
1991-10-01,401.1
1991-11-01,402.6
1991-12-01,402.8
1992-01-01,407.2
1992-02-01,408.6
1992-03-01,409.9
1992-04-01,410.6
1992-05-01,412.8
1992-06-01,414.4
1992-07-01,415.5
1992-08-01,416.4
1992-09-01,415.8
1992-10-01,419.3
1992-11-01,421.3
1992-12-01,421.4
1993-01-01,424.0
1993-02-01,425.8
1993-03-01,425.7
1993-04-01,428.0
1993-05-01,430.6
1993-06-01,431.3
1993-07-01,434.7
1993-08-01,437.2
1993-09-01,439.0
1993-10-01,441.0
1993-11-01,442.3
1993-12-01,444.8
1994-01-01,447.7
1994-02-01,449.4
1994-03-01,452.9
1994-04-01,455.9
1994-05-01,458.4
1994-06-01,459.6
1994-07-01,460.2
1994-08-01,461.0
1994-09-01,465.3
1994-10-01,464.6
1994-11-01,465.5
1994-12-01,467.3
1995-01-01,470.0
1995-02-01,472.0
1995-03-01,474.2
1995-04-01,472.4
1995-05-01,472.5
1995-06-01,474.1
1995-07-01,473.7
1995-08-01,476.2
1995-09-01,479.3
1995-10-01,480.9
1995-11-01,481.1
1995-12-01,481.2
1996-01-01,481.7
1996-02-01,481.4
1996-03-01,484.1
1996-04-01,486.2
1996-05-01,487.3
1996-06-01,489.6
1996-07-01,490.7
1996-08-01,492.4
1996-09-01,492.2
1996-10-01,493.9
1996-11-01,495.4
1996-12-01,496.1
1997-01-01,499.1
1997-02-01,499.7
1997-03-01,500.6
1997-04-01,502.8
1997-05-01,503.8
1997-06-01,505.0
1997-07-01,506.0
1997-08-01,507.6
1997-09-01,510.1
1997-10-01,509.5
1997-11-01,511.0
1997-12-01,512.8
1998-01-01,514.8
1998-02-01,516.8
1998-03-01,516.1
1998-04-01,517.2
1998-05-01,519.7
1998-06-01,519.0
1998-07-01,521.6
1998-08-01,523.9
1998-09-01,524.4
1998-10-01,526.4
1998-11-01,527.8
1998-12-01,529.4
1999-01-01,529.8
1999-02-01,531.7
1999-03-01,532.9
1999-04-01,534.2
1999-05-01,536.0
1999-06-01,539.5
1999-07-01,541.1
1999-08-01,542.2
1999-09-01,543.4
1999-10-01,545.3
1999-11-01,547.0
1999-12-01,548.5
2000-01-01,550.8
2000-02-01,552.0
2000-03-01,553.5
2000-04-01,558.7
2000-05-01,561.4
2000-06-01,559.9
2000-07-01,561.0
2000-08-01,563.6
2000-09-01,564.1
2000-10-01,563.6
2000-11-01,566.0
2000-12-01,566.4
2001-01-01,567.9
2001-02-01,569.3
2001-03-01,570.9
2001-04-01,570.5
2001-05-01,569.8
