date,value
1990-01-01,385.9
1990-02-01,387.7
1990-03-01,389.2
1990-04-01,391.7
1990-05-01,391.3
1990-06-01,395.3
1990-07-01,399.6
1990-08-01,397.8
1990-09-01,399.3
1990-10-01,398.5
1990-11-01,398.6
1990-12-01,398.9
1991-01-01,401.0
1991-02-01,399.5
1991-03-01,399.0
1991-04-01,394.8
1991-05-01,392.3
1991-06-01,390.4
1991-07-01,388.5
1991-08-01,388.9
1991-09-01,391.7
1991-10-01,391.1
1991-11-01,393.7
1991-12-01,392.9
1992-01-01,390.6
1992-02-01,391.6
1992-03-01,393.5
1992-04-01,392.3
1992-05-01,397.8
1992-06-01,398.5
1992-07-01,394.9
1992-08-01,394.3
1992-09-01,392.3
1992-10-01,404.7
1992-11-01,405.7
1992-12-01,406.1
1993-01-01,409.3
1993-02-01,410.6
1993-03-01,409.8
1993-04-01,411.9
1993-05-01,412.8
1993-06-01,413.6
1993-07-01,416.3
1993-08-01,418.0
1993-09-01,419.2
1993-10-01,422.1
1993-11-01,419.0
1993-12-01,422.2
1994-01-01,422.0
1994-02-01,422.7
1994-03-01,424.9
1994-04-01,427.3
1994-05-01,427.3
1994-06-01,429.2
1994-07-01,428.9
1994-08-01,428.6
1994-09-01,430.8
1994-10-01,433.7
1994-11-01,436.1
1994-12-01,435.9
1995-01-01,441.3
1995-02-01,443.1
1995-03-01,445.5
1995-04-01,446.1
1995-05-01,444.8
1995-06-01,448.4
1995-07-01,454.0
1995-08-01,453.9
1995-09-01,456.5
1995-10-01,454.1
1995-11-01,455.1
1995-12-01,456.2
1996-01-01,456.0
1996-02-01,456.1
1996-03-01,456.8
1996-04-01,456.7
1996-05-01,456.9
1996-06-01,459.4
1996-07-01,458.1
1996-08-01,458.1
1996-09-01,456.9
1996-10-01,456.5
1996-11-01,457.6
1996-12-01,458.1
1997-01-01,461.4
1997-02-01,461.6
1997-03-01,462.8
1997-04-01,455.2
1997-05-01,457.0
1997-06-01,458.0
1997-07-01,457.5
1997-08-01,458.4
1997-09-01,461.0
1997-10-01,460.7
1997-11-01,465.3
1997-12-01,466.7
1998-01-01,462.5
1998-02-01,464.9
1998-03-01,462.3
1998-04-01,467.4
1998-05-01,470.9
1998-06-01,470.8
1998-07-01,477.0
1998-08-01,475.9
1998-09-01,475.2
1998-10-01,479.5
1998-11-01,482.5
1998-12-01,484.5
1999-01-01,474.8
1999-02-01,478.1
1999-03-01,478.1
1999-04-01,478.8
1999-05-01,478.7
1999-06-01,479.5
1999-07-01,478.6
1999-08-01,477.9
1999-09-01,477.9
1999-10-01,482.2
1999-11-01,482.6
1999-12-01,484.5
2000-01-01,484.2
2000-02-01,484.1
2000-03-01,487.3
2000-04-01,487.3
2000-05-01,483.9
2000-06-01,486.4
2000-07-01,486.2
2000-08-01,487.0
2000-09-01,487.9
2000-10-01,489.5
2000-11-01,490.2
2000-12-01,488.4
2001-01-01,489.8
2001-02-01,491.7
2001-03-01,493.5
2001-04-01,494.2
2001-05-01,494.0
2001-06-01,494.9
2001-07-01,492.9
2001-08-01,492.8
2001-09-01,490.2
2001-10-01,488.0
2001-11-01,487.2
2001-12-01,487.0
2002-01-01,489.6
2002-02-01,489.5
2002-03-01,489.0
2002-04-01,489.6
2002-05-01,490.4
2002-06-01,491.4
2002-07-01,493.3
2002-08-01,493.8
2002-09-01,493.9
2002-10-01,494.9
2002-11-01,495.4
2002-12-01,496.0
2003-01-01,494.9
2003-02-01,492.7
2003-03-01,491.3
2003-04-01,495.9
2003-05-01,496.6
2003-06-01,498.5
2003-07-01,497.6
2003-08-01,497.5
2003-09-01,499.2
2003-10-01,500.3
2003-11-01,500.8
2003-12-01,503.1
2004-01-01,504.1
2004-02-01,503.0
2004-03-01,503.8
2004-04-01,503.8
2004-05-01,505.0
2004-06-01,505.2
2004-07-01,507.8
2004-08-01,508.2
2004-09-01,508.2
2004-10-01,508.2
2004-11-01,508.8
2004-12-01,508.9
2005-01-01,506.2
2005-02-01,508.7
2005-03-01,507.5
2005-04-01,513.2
2005-05-01,511.9
2005-06-01,510.7
2005-07-01,513.9
2005-08-01,514.2
2005-09-01,517.0
2005-10-01,514.5
2005-11-01,515.5
2005-12-01,515.9
2006-01-01,517.4
2006-02-01,521.6
2006-03-01,521.2
2006-04-01,521.5
2006-05-01,519.8
2006-06-01,523.7
2006-07-01,524.2
2006-08-01,524.1
2006-09-01,523.8
2006-10-01,524.2
2006-11-01,525.9
2006-12-01,528.5
2007-01-01,530.6
2007-02-01,529.9
2007-03-01,529.9
2007-04-01,530.5
2007-05-01,530.8
2007-06-01,531.3
2007-07-01,530.7
2007-08-01,531.6
2007-09-01,531.5
2007-10-01,534.3
2007-11-01,534.8
2007-12-01,534.4
2008-01-01,534.5
2008-02-01,534.2
2008-03-01,533.5
2008-04-01,536.7
2008-05-01,535.2
2008-06-01,535.3
2008-07-01,534.0
2008-08-01,533.2
2008-09-01,530.9
2008-10-01,531.5
2008-11-01,528.1
2008-12-01,526.9
2009-01-01,524.1
2009-02-01,521.8
2009-03-01,520.0
2009-04-01,517.5
2009-05-01,518.4
2009-06-01,517.4
2009-07-01,516.0
2009-08-01,514.1
2009-09-01,515.2
2009-10-01,512.9
2009-11-01,513.0
2009-12-01,512.8
2010-01-01,512.8
2010-02-01,513.4
2010-03-01,512.9
2010-04-01,513.5
2010-05-01,513.9
2010-06-01,514.9
2010-07-01,514.6
2010-08-01,515.7
2010-09-01,517.5
2010-10-01,518.9
2010-11-01,520.1
2010-12-01,520.7
2011-01-01,518.6
2011-02-01,517.7
2011-03-01,520.1
2011-04-01,521.3
2011-05-01,520.1
2011-06-01,520.0
2011-07-01,520.1
2011-08-01,525.7
2011-09-01,526.3
2011-10-01,526.4
2011-11-01,528.0
2011-12-01,527.7
2012-01-01,531.1
2012-02-01,533.4
2012-03-01,536.4
2012-04-01,535.7
2012-05-01,534.2
2012-06-01,534.4
2012-07-01,535.1
2012-08-01,539.4
2012-09-01,538.2
2012-10-01,539.0
2012-11-01,540.8
2012-12-01,542.9
2013-01-01,543.6
2013-02-01,543.8
2013-03-01,545.1
2013-04-01,543.7
2013-05-01,545.1
2013-06-01,546.3
2013-07-01,548.8
2013-08-01,549.1
2013-09-01,548.7
2013-10-01,547.8
2013-11-01,548.1
2013-12-01,550.0
2014-01-01,555.2
2014-02-01,554.8
2014-03-01,555.8
2014-04-01,557.7
2014-05-01,558.0
2014-06-01,558.7
2014-07-01,558.4
2014-08-01,558.7
2014-09-01,559.5
2014-10-01,562.4
2014-11-01,563.2
2014-12-01,564.4
2015-01-01,565.2
2015-02-01,568.6
2015-03-01,568.9
2015-04-01,572.8
2015-05-01,577.8
2015-06-01,579.0
2015-07-01,579.8
2015-08-01,581.1
2015-09-01,584.0
2015-10-01,586.6
2015-11-01,589.4
2015-12-01,594.2
2016-01-01,593.3
2016-02-01,592.6
2016-03-01,592.8
2016-04-01,595.9
2016-05-01,594.8
2016-06-01,595.3
2016-07-01,597.5
2016-08-01,597.7
2016-09-01,600.9
2016-10-01,601.7
2016-11-01,606.4
2016-12-01,601.2
2017-01-01,604.3
2017-02-01,607.5
2017-03-01,609.4
2017-04-01,609.6
2017-05-01,610.5
2017-06-01,612.3
2017-07-01,611.3
2017-08-01,614.7
2017-09-01,613.3
2017-10-01,613.7
2017-11-01,613.2
2017-12-01,611.5
2018-01-01,613.3
2018-02-01,613.7
2018-03-01,617.2
2018-04-01,614.3
2018-05-01,616.8
2018-06-01,619.8
2018-07-01,619.5
2018-08-01,620.9
2018-09-01,618.9
2018-10-01,619.7
2018-11-01,619.3
2018-12-01,620.2
2019-01-01,621.5
2019-02-01,621.3
2019-03-01,621.2
2019-04-01,621.9
2019-05-01,622.2
2019-06-01,624.6
2019-07-01,624.0
2019-08-01,622.7
2019-09-01,622.2
2019-10-01,624.1
2019-11-01,625.7
2019-12-01,628.7
2020-01-01,630.2
2020-02-01,630.5
2020-03-01,603.1
2020-04-01,331.0
2020-05-01,335.5
2020-06-01,368.8
2020-07-01,431.7
2020-08-01,447.1
2020-09-01,459.0
2020-10-01,466.1
2020-11-01,433.5
2020-12-01,410.5
2021-01-01,424.9
2021-02-01,456.7
2021-03-01,469.6
2021-04-01,481.3
2021-05-01,488.1
2021-06-01,501.9
2021-07-01,522.5
2021-08-01,526.1
2021-09-01,532.0
2021-10-01,541.0
2021-11-01,544.0
2021-12-01,550.6
2022-01-01,548.6
2022-02-01,551.2
2022-03-01,555.6
2022-04-01,558.0
2022-05-01,560.1
2022-06-01,562.9
2022-07-01,570.6
2022-08-01,572.5
2022-09-01,573.0
2022-10-01,575.5
2022-11-01,578.8
2022-12-01,578.0
2023-01-01,589.2
2023-02-01,589.9
2023-03-01,591.7
2023-04-01,589.7
2023-05-01,589.0
2023-06-01,595.2
2023-07-01,595.7
2023-08-01,597.2
2023-09-01,597.9
2023-10-01,596.3
2023-11-01,598.0
2023-12-01,598.2
2024-01-01,598.1
2024-02-01,599.8
2024-03-01,601.3
2024-04-01,600.1
2024-05-01,601.7
2024-06-01,602.7
2024-07-01,601.7
2024-08-01,601.9
2024-09-01,604.9
2024-10-01,604.2
2024-11-01,603.7
2024-12-01,605.1
2025-01-01,606.7
2025-02-01,604.3
2025-03-01,602.8
2025-04-01,604.5
2025-05-01,606.4
2025-06-01,604.0
2025-07-01,605.5
2025-08-01,605.9
2025-09-01,603.7
2025-10-01,605.1
2025-11-01,602.5
2025-12-01,603.4
2026-01-01,602.7
2026-02-01,601.7
2026-03-01,602.1
2026-04-01,605.2
2026-05-01,607.9
