date,value
1990-01-01,5270.1
1990-02-01,5279.1
1990-03-01,5291.3
1990-04-01,5282.1
1990-05-01,5289.6
1990-06-01,5299.2
1990-07-01,5303.3
1990-08-01,5308.4
1990-09-01,5297.8
1990-10-01,5279.7
1990-11-01,5273.7
1990-12-01,5270.2
1991-01-01,5276.5
1991-02-01,5257.7
1991-03-01,5254.9
1991-04-01,5254.8
1991-05-01,5241.3
1991-06-01,5232.0
1991-07-01,5219.3
1991-08-01,5205.9
1991-09-01,5213.9
1991-10-01,5217.1
1991-11-01,5212.9
1991-12-01,5203.4
1992-01-01,5213.1
1992-02-01,5210.3
1992-03-01,5207.5
1992-04-01,5207.8
1992-05-01,5221.6
1992-06-01,5227.8
1992-07-01,5234.5
1992-08-01,5242.5
1992-09-01,5246.3
1992-10-01,5256.6
1992-11-01,5270.1
1992-12-01,5271.3
1993-01-01,5288.0
1993-02-01,5295.6
1993-03-01,5290.0
1993-04-01,5311.2
1993-05-01,5321.0
1993-06-01,5318.9
1993-07-01,5320.9
1993-08-01,5333.8
1993-09-01,5343.1
1993-10-01,5372.5
1993-11-01,5382.8
1993-12-01,5397.3
1994-01-01,5393.2
1994-02-01,5402.2
1994-03-01,5427.9
1994-04-01,5440.2
1994-05-01,5456.9
1994-06-01,5469.2
1994-07-01,5468.6
1994-08-01,5480.6
1994-09-01,5502.8
1994-10-01,5486.9
1994-11-01,5505.7
1994-12-01,5514.3
1995-01-01,5551.5
1995-02-01,5569.7
1995-03-01,5583.9
1995-04-01,5580.7
1995-05-01,5578.4
1995-06-01,5595.6
1995-07-01,5563.8
1995-08-01,5577.9
1995-09-01,5631.6
1995-10-01,5612.7
1995-11-01,5619.7
1995-12-01,5632.1
1996-01-01,5644.6
1996-02-01,5647.3
1996-03-01,5655.2
1996-04-01,5658.0
1996-05-01,5662.7
1996-06-01,5682.9
1996-07-01,5680.0
1996-08-01,5693.5
1996-09-01,5688.7
1996-10-01,5702.8
1996-11-01,5722.0
1996-12-01,5722.5
1997-01-01,5726.1
1997-02-01,5727.7
1997-03-01,5739.8
1997-04-01,5740.4
1997-05-01,5760.9
1997-06-01,5767.1
1997-07-01,5760.1
1997-08-01,5757.7
1997-09-01,5773.3
1997-10-01,5784.3
1997-11-01,5812.5
1997-12-01,5827.4
1998-01-01,5846.6
1998-02-01,5849.8
1998-03-01,5848.2
1998-04-01,5860.4
1998-05-01,5880.7
1998-06-01,5885.7
1998-07-01,5904.5
1998-08-01,5911.4
1998-09-01,5927.8
1998-10-01,5921.1
1998-11-01,5934.7
1998-12-01,5943.8
1999-01-01,5912.0
1999-02-01,5930.6
1999-03-01,5934.2
1999-04-01,5946.9
1999-05-01,5944.8
1999-06-01,5958.0
1999-07-01,5958.1
1999-08-01,5961.3
1999-09-01,5957.8
1999-10-01,5985.9
1999-11-01,5991.3
1999-12-01,6004.9
2000-01-01,6011.5
2000-02-01,6018.5
2000-03-01,6037.2
2000-04-01,6042.8
2000-05-01,6046.7
2000-06-01,6056.7
2000-07-01,6041.5
2000-08-01,6054.5
2000-09-01,6055.4
2000-10-01,6050.5
2000-11-01,6055.1
2000-12-01,6043.6
2001-01-01,6041.8
2001-02-01,6045.7
2001-03-01,6044.0
2001-04-01,6032.8
2001-05-01,6028.9
2001-06-01,6025.0
2001-07-01,5991.7
2001-08-01,5977.0
2001-09-01,5960.3
2001-10-01,5933.9
2001-11-01,5919.0
2001-12-01,5913.3
2002-01-01,5912.8
2002-02-01,5900.1
2002-03-01,5891.3
2002-04-01,5892.7
2002-05-01,5886.2
2002-06-01,5885.4
2002-07-01,5873.1
2002-08-01,5875.0
2002-09-01,5870.2
2002-10-01,5872.4
2002-11-01,5871.1
2002-12-01,5860.5
2003-01-01,5847.1
2003-02-01,5832.1
2003-03-01,5818.1
2003-04-01,5815.4
2003-05-01,5806.0
2003-06-01,5804.5
2003-07-01,5802.9
2003-08-01,5802.7
2003-09-01,5799.0
2003-10-01,5796.1
2003-11-01,5792.3
2003-12-01,5796.5
2004-01-01,5797.7
