date,value
1990-01-01,209.5
1990-02-01,209.7
1990-03-01,209.8
1990-04-01,204.2
1990-05-01,204.0
1990-06-01,205.6
1990-07-01,209.3
1990-08-01,209.7
1990-09-01,209.6
1990-10-01,207.6
1990-11-01,208.9
1990-12-01,210.2
1991-01-01,208.5
1991-02-01,207.8
1991-03-01,208.2
1991-04-01,207.9
1991-05-01,206.1
1991-06-01,208.1
1991-07-01,205.8
1991-08-01,205.6
1991-09-01,206.6
1991-10-01,206.5
1991-11-01,206.5
1991-12-01,206.4
1992-01-01,207.8
1992-02-01,208.4
1992-03-01,208.7
1992-04-01,210.1
1992-05-01,210.6
1992-06-01,211.1
1992-07-01,212.1
1992-08-01,212.9
1992-09-01,212.8
1992-10-01,215.0
1992-11-01,216.3
1992-12-01,215.3
1993-01-01,216.2
1993-02-01,217.4
1993-03-01,216.6
1993-04-01,218.5
1993-05-01,219.4
1993-06-01,220.6
1993-07-01,220.5
1993-08-01,220.9
1993-09-01,221.4
1993-10-01,224.1
1993-11-01,224.0
1993-12-01,225.2
1994-01-01,225.8
1994-02-01,225.7
1994-03-01,226.5
1994-04-01,226.1
1994-05-01,226.4
1994-06-01,227.9
1994-07-01,227.9
1994-08-01,228.6
1994-09-01,229.7
1994-10-01,228.0
1994-11-01,229.1
1994-12-01,231.0
1995-01-01,232.9
1995-02-01,233.4
1995-03-01,234.8
1995-04-01,235.7
1995-05-01,236.2
1995-06-01,237.1
1995-07-01,239.0
1995-08-01,239.8
1995-09-01,241.1
1995-10-01,239.6
1995-11-01,239.4
1995-12-01,240.5
1996-01-01,238.5
1996-02-01,240.5
1996-03-01,240.6
1996-04-01,242.1
1996-05-01,243.3
1996-06-01,245.4
1996-07-01,246.2
1996-08-01,247.9
1996-09-01,246.0
1996-10-01,248.6
1996-11-01,250.6
1996-12-01,250.7
1997-01-01,248.2
1997-02-01,250.0
1997-03-01,250.3
1997-04-01,249.1
1997-05-01,248.6
1997-06-01,249.2
1997-07-01,251.2
1997-08-01,251.1
1997-09-01,252.5
1997-10-01,251.6
1997-11-01,251.2
1997-12-01,251.0
1998-01-01,252.3
1998-02-01,253.7
1998-03-01,253.7
1998-04-01,253.9
1998-05-01,255.6
1998-06-01,255.0
1998-07-01,253.2
1998-08-01,254.9
1998-09-01,254.1
1998-10-01,258.5
1998-11-01,260.0
1998-12-01,261.5
1999-01-01,256.2
1999-02-01,259.2
1999-03-01,259.9
1999-04-01,261.8
1999-05-01,263.2
1999-06-01,264.1
1999-07-01,263.6
1999-08-01,263.7
1999-09-01,263.1
1999-10-01,264.5
1999-11-01,265.4
1999-12-01,266.8
