date,value
1990-01-01,2513.5
1990-02-01,2513.1
1990-03-01,2517.7
1990-04-01,2507.6
1990-05-01,2511.1
1990-06-01,2529.3
1990-07-01,2543.1
1990-08-01,2545.1
1990-09-01,2531.0
1990-10-01,2527.6
1990-11-01,2517.1
1990-12-01,2515.0
1991-01-01,2511.3
1991-02-01,2498.4
1991-03-01,2490.6
1991-04-01,2502.6
1991-05-01,2501.7
1991-06-01,2508.4
1991-07-01,2506.5
1991-08-01,2512.6
1991-09-01,2512.6
1991-10-01,2515.3
1991-11-01,2514.9
1991-12-01,2517.1
1992-01-01,2524.2
1992-02-01,2527.3
1992-03-01,2527.6
1992-04-01,2540.4
1992-05-01,2551.1
1992-06-01,2554.8
1992-07-01,2562.5
1992-08-01,2576.4
1992-09-01,2566.0
1992-10-01,2573.3
1992-11-01,2575.5
1992-12-01,2580.3
1993-01-01,2596.8
1993-02-01,2599.5
1993-03-01,2597.1
1993-04-01,2608.1
1993-05-01,2613.2
1993-06-01,2624.4
1993-07-01,2628.9
1993-08-01,2643.3
1993-09-01,2636.6
1993-10-01,2656.0
1993-11-01,2663.0
1993-12-01,2673.3
1994-01-01,2676.4
1994-02-01,2683.4
1994-03-01,2695.8
1994-04-01,2686.1
1994-05-01,2697.8
1994-06-01,2710.3
1994-07-01,2717.7
1994-08-01,2732.6
1994-09-01,2741.0
1994-10-01,2735.5
1994-11-01,2749.3
1994-12-01,2760.7
1995-01-01,2769.5
1995-02-01,2775.0
1995-03-01,2786.6
1995-04-01,2781.3
1995-05-01,2780.7
1995-06-01,2786.1
1995-07-01,2783.1
1995-08-01,2793.1
1995-09-01,2807.3
1995-10-01,2801.7
1995-11-01,2803.1
1995-12-01,2807.5
1996-01-01,2795.1
1996-02-01,2800.1
1996-03-01,2800.5
1996-04-01,2807.9
1996-05-01,2814.5
1996-06-01,2813.9
1996-07-01,2800.8
1996-08-01,2812.8
1996-09-01,2832.0
1996-10-01,2834.9
1996-11-01,2838.0
1996-12-01,2837.6
1997-01-01,2837.8
1997-02-01,2847.1
1997-03-01,2851.2
1997-04-01,2856.3
1997-05-01,2856.3
1997-06-01,2856.0
1997-07-01,2863.9
1997-08-01,2856.2
1997-09-01,2867.7
1997-10-01,2873.6
1997-11-01,2876.9
1997-12-01,2882.0
1998-01-01,2896.8
1998-02-01,2901.8
1998-03-01,2899.4
1998-04-01,2907.5
1998-05-01,2918.8
1998-06-01,2921.9
1998-07-01,2903.8
1998-08-01,2928.0
1998-09-01,2928.1
1998-10-01,2935.7
1998-11-01,2946.4
1998-12-01,2952.0
1999-01-01,2926.5
1999-02-01,2950.7
1999-03-01,2955.6
1999-04-01,2967.5
1999-05-01,2976.3
1999-06-01,2974.6
1999-07-01,2974.0
1999-08-01,2975.1
1999-09-01,2980.5
1999-10-01,2992.8
1999-11-01,2997.9
1999-12-01,3007.8
2000-01-01,3008.8
2000-02-01,3007.4
2000-03-01,3017.1
2000-04-01,3017.2
2000-05-01,3024.2
2000-06-01,3019.9
2000-07-01,3010.3
2000-08-01,3011.9
2000-09-01,3003.5
2000-10-01,2992.7
2000-11-01,2983.3
2000-12-01,2973.8
2001-01-01,2960.1
2001-02-01,2965.9
2001-03-01,2965.5
2001-04-01,2961.0
2001-05-01,2949.2
2001-06-01,2949.0
2001-07-01,2927.5
2001-08-01,2928.1
2001-09-01,2928.6
2001-10-01,2916.0
2001-11-01,2907.0
2001-12-01,2900.6
2002-01-01,2895.9
2002-02-01,2900.0
2002-03-01,2895.9
2002-04-01,2897.6
2002-05-01,2901.2
2002-06-01,2902.6
2002-07-01,2918.7
2002-08-01,2919.9
2002-09-01,2916.6
2002-10-01,2911.2
2002-11-01,2912.3
2002-12-01,2908.9
2003-01-01,2905.9
2003-02-01,2905.0
2003-03-01,2900.6
2003-04-01,2899.2
2003-05-01,2899.3
2003-06-01,2895.1
2003-07-01,2889.9
2003-08-01,2897.6
2003-09-01,2899.3
2003-10-01,2908.5
2003-11-01,2909.5
2003-12-01,2910.2
2004-01-01,2912.8
2004-02-01,2911.6
2004-03-01,2920.5
2004-04-01,2930.9
2004-05-01,2932.5
2004-06-01,2932.9
2004-07-01,2938.7
2004-08-01,2941.2
2004-09-01,2943.1
2004-10-01,2948.4
2004-11-01,2950.2
2004-12-01,2949.9
2005-01-01,2949.8
2005-02-01,2955.7
2005-03-01,2952.0
2005-04-01,2961.1
2005-05-01,2955.5
2005-06-01,2956.0
2005-07-01,2959.4
2005-08-01,2956.6
2005-09-01,2969.5
2005-10-01,2972.8
2005-11-01,2974.5
2005-12-01,2976.1
2006-01-01,2978.8
2006-02-01,2982.1
2006-03-01,2986.7
2006-04-01,2982.6
2006-05-01,2974.3
2006-06-01,2983.8
2006-07-01,2971.5
2006-08-01,2974.8
2006-09-01,2977.1
2006-10-01,2981.4
2006-11-01,2981.1
2006-12-01,2989.4
2007-01-01,2989.0
2007-02-01,2979.1
2007-03-01,2994.7
2007-04-01,2992.9
2007-05-01,2991.3
2007-06-01,2998.2
2007-07-01,2989.5
2007-08-01,2986.5
2007-09-01,2992.5
2007-10-01,2993.3
2007-11-01,2995.1
2007-12-01,2993.4
2008-01-01,2991.6
2008-02-01,2991.5
2008-03-01,2979.9
2008-04-01,2980.1
2008-05-01,2981.3
2008-06-01,2976.2
2008-07-01,2970.6
2008-08-01,2966.8
2008-09-01,2955.4
2008-10-01,2939.4
2008-11-01,2920.8
2008-12-01,2894.0
2009-01-01,2858.7
2009-02-01,2842.0
2009-03-01,2821.9
2009-04-01,2796.3
2009-05-01,2789.3
2009-06-01,2775.6
2009-07-01,2765.2
2009-08-01,2780.1
2009-09-01,2770.9
2009-10-01,2771.2
2009-11-01,2777.4
2009-12-01,2775.1
2010-01-01,2781.2
2010-02-01,2781.3
2010-03-01,2787.3
2010-04-01,2796.9
2010-05-01,2809.8
2010-06-01,2801.6
2010-07-01,2815.1
2010-08-01,2800.9
2010-09-01,2798.6
2010-10-01,2811.3
2010-11-01,2809.5
2010-12-01,2812.1
2011-01-01,2822.1
2011-02-01,2825.7
2011-03-01,2833.3
2011-04-01,2839.9
2011-05-01,2848.0
2011-06-01,2838.2
2011-07-01,2852.4
2011-08-01,2840.3
2011-09-01,2860.3
2011-10-01,2863.7
2011-11-01,2861.6
2011-12-01,2871.0
2012-01-01,2883.2
2012-02-01,2892.9
2012-03-01,2898.0
2012-04-01,2895.3
2012-05-01,2898.9
2012-06-01,2903.4
2012-07-01,2896.7
2012-08-01,2903.2
2012-09-01,2916.2
2012-10-01,2916.9
2012-11-01,2914.8
2012-12-01,2916.2
2013-01-01,2918.5
2013-02-01,2930.6
2013-03-01,2929.6
2013-04-01,2927.8
2013-05-01,2919.9
2013-06-01,2929.4
2013-07-01,2924.5
2013-08-01,2944.6
2013-09-01,2945.5
2013-10-01,2952.1
2013-11-01,2966.0
2013-12-01,2966.4
2014-01-01,2944.0
2014-02-01,2957.3
2014-03-01,2964.2
2014-04-01,2971.7
2014-05-01,2980.5
2014-06-01,2984.2
2014-07-01,2978.0
2014-08-01,2984.5
2014-09-01,2985.2
2014-10-01,2992.9
2014-11-01,3004.2
2014-12-01,3009.3
2015-01-01,3014.0
2015-02-01,3012.2
2015-03-01,3013.9
2015-04-01,3018.5
2015-05-01,3031.1
2015-06-01,3038.3
2015-07-01,3032.9
2015-08-01,3042.0
2015-09-01,3044.8
2015-10-01,3049.5
2015-11-01,3055.2
2015-12-01,3059.1
2016-01-01,3059.0
2016-02-01,3064.8
2016-03-01,3067.1
2016-04-01,3066.2
2016-05-01,3063.0
2016-06-01,3063.5
2016-07-01,3078.9
2016-08-01,3078.1
2016-09-01,3088.8
2016-10-01,3084.3
2016-11-01,3088.6
2016-12-01,3086.6
2017-01-01,3090.8
2017-02-01,3093.6
2017-03-01,3098.9
2017-04-01,3101.9
2017-05-01,3104.4
2017-06-01,3112.8
2017-07-01,3107.8
2017-08-01,3106.5
2017-09-01,3118.2
2017-10-01,3115.0
2017-11-01,3118.0
2017-12-01,3122.4
2018-01-01,3121.2
2018-02-01,3125.0
2018-03-01,3132.8
2018-04-01,3132.7
2018-05-01,3136.9
2018-06-01,3145.3
2018-07-01,3139.9
2018-08-01,3148.1
2018-09-01,3149.7
2018-10-01,3149.0
2018-11-01,3145.2
2018-12-01,3145.1
2019-01-01,3164.8
2019-02-01,3165.3
2019-03-01,3162.3
2019-04-01,3155.6
2019-05-01,3147.9
2019-06-01,3158.4
2019-07-01,3149.4
2019-08-01,3162.0
2019-09-01,3162.6
2019-10-01,3159.9
2019-11-01,3164.8
2019-12-01,3168.3
2020-01-01,3162.4
2020-02-01,3165.3
2020-03-01,3138.5
2020-04-01,2670.3
2020-05-01,2796.7
2020-06-01,2911.5
2020-07-01,2966.0
2020-08-01,2996.2
2020-09-01,3011.8
2020-10-01,3032.1
2020-11-01,3033.4
2020-12-01,3036.9
2021-01-01,3049.0
2021-02-01,3040.4
2021-03-01,3054.9
2021-04-01,3054.1
2021-05-01,3062.6
2021-06-01,3076.1
