date,value
1990-01-01,1088.1
1990-02-01,1088.5
1990-03-01,1089.7
1990-04-01,1089.5
1990-05-01,1092.5
1990-06-01,1093.1
1990-07-01,1083.8
1990-08-01,1092.6
1990-09-01,1095.3
1990-10-01,1095.3
1990-11-01,1102.2
1990-12-01,1097.2
1991-01-01,1087.3
1991-02-01,1086.7
1991-03-01,1091.7
1991-04-01,1095.1
1991-05-01,1093.9
1991-06-01,1093.1
1991-07-01,1101.3
1991-08-01,1103.7
1991-09-01,1103.2
1991-10-01,1104.7
1991-11-01,1104.5
1991-12-01,1106.4
1992-01-01,1111.1
1992-02-01,1110.7
1992-03-01,1110.2
1992-04-01,1116.5
1992-05-01,1115.3
1992-06-01,1113.1
1992-07-01,1114.1
1992-08-01,1123.5
1992-09-01,1117.1
1992-10-01,1120.3
1992-11-01,1126.8
1992-12-01,1123.1
1993-01-01,1120.9
1993-02-01,1125.6
1993-03-01,1127.6
1993-04-01,1130.7
1993-05-01,1133.0
1993-06-01,1138.9
1993-07-01,1137.0
1993-08-01,1138.5
1993-09-01,1141.4
1993-10-01,1141.5
1993-11-01,1142.1
1993-12-01,1145.8
1994-01-01,1151.4
1994-02-01,1151.8
1994-03-01,1157.3
1994-04-01,1154.9
1994-05-01,1163.1
1994-06-01,1168.6
1994-07-01,1160.4
1994-08-01,1174.2
1994-09-01,1177.4
1994-10-01,1180.9
1994-11-01,1190.7
1994-12-01,1185.4
1995-01-01,1191.3
1995-02-01,1194.8
1995-03-01,1196.8
1995-04-01,1193.6
1995-05-01,1195.1
1995-06-01,1198.5
1995-07-01,1198.3
1995-08-01,1202.9
1995-09-01,1206.6
1995-10-01,1208.9
1995-11-01,1204.8
1995-12-01,1214.4
1996-01-01,1213.2
1996-02-01,1217.1
1996-03-01,1221.8
1996-04-01,1226.6
1996-05-01,1220.7
1996-06-01,1229.2
1996-07-01,1220.9
1996-08-01,1229.3
1996-09-01,1237.0
1996-10-01,1240.7
1996-11-01,1247.2
1996-12-01,1248.2
1997-01-01,1246.5
1997-02-01,1252.3
1997-03-01,1257.3
1997-04-01,1264.2
1997-05-01,1269.1
1997-06-01,1270.6
1997-07-01,1274.2
1997-08-01,1276.0
1997-09-01,1280.4
1997-10-01,1282.2
1997-11-01,1286.1
1997-12-01,1288.9
1998-01-01,1298.8
1998-02-01,1304.5
1998-03-01,1300.5
1998-04-01,1308.4
1998-05-01,1315.5
1998-06-01,1316.6
1998-07-01,1314.7
1998-08-01,1320.8
1998-09-01,1320.1
1998-10-01,1323.2
1998-11-01,1325.4
1998-12-01,1326.7
1999-01-01,1322.5
1999-02-01,1327.3
1999-03-01,1326.7
1999-04-01,1324.0
1999-05-01,1321.7
1999-06-01,1325.0
1999-07-01,1331.0
1999-08-01,1329.9
1999-09-01,1326.7
1999-10-01,1334.3
1999-11-01,1336.5
1999-12-01,1340.4
2000-01-01,1340.9
2000-02-01,1338.4
2000-03-01,1341.4
2000-04-01,1346.5
2000-05-01,1349.6
2000-06-01,1349.9
2000-07-01,1346.0
2000-08-01,1348.8
2000-09-01,1346.4
2000-10-01,1351.5
2000-11-01,1352.5
2000-12-01,1350.1
2001-01-01,1352.9
2001-02-01,1351.7
2001-03-01,1354.4
2001-04-01,1352.3
2001-05-01,1351.6
2001-06-01,1349.0
2001-07-01,1351.6
2001-08-01,1348.4
2001-09-01,1347.5
2001-10-01,1347.1
2001-11-01,1344.2
2001-12-01,1342.4
2002-01-01,1343.7
2002-02-01,1338.4
2002-03-01,1338.5
2002-04-01,1341.2
2002-05-01,1339.7
2002-06-01,1339.0
2002-07-01,1339.7
2002-08-01,1339.3
2002-09-01,1335.7
2002-10-01,1327.8
2002-11-01,1329.4
2002-12-01,1326.5
2003-01-01,1323.0
2003-02-01,1320.2
2003-03-01,1313.8
2003-04-01,1312.2
2003-05-01,1313.6
2003-06-01,1309.5
2003-07-01,1311.4
2003-08-01,1311.3
2003-09-01,1311.7
2003-10-01,1312.5
2003-11-01,1313.5
2003-12-01,1311.8
2004-01-01,1313.8
2004-02-01,1308.9
2004-03-01,1313.4
2004-04-01,1322.5
2004-05-01,1324.8
2004-06-01,1325.1
2004-07-01,1329.8
2004-08-01,1330.3
2004-09-01,1334.4
2004-10-01,1334.7
2004-11-01,1334.4
2004-12-01,1335.3
2005-01-01,1327.9
2005-02-01,1332.7
2005-03-01,1334.5
2005-04-01,1333.7
2005-05-01,1334.2
2005-06-01,1334.2
2005-07-01,1328.7
2005-08-01,1330.7
2005-09-01,1336.3
2005-10-01,1337.2
2005-11-01,1340.7
2005-12-01,1342.2
2006-01-01,1344.4
2006-02-01,1350.8
2006-03-01,1351.9
2006-04-01,1351.1
2006-05-01,1352.8
2006-06-01,1358.2
2006-07-01,1346.0
2006-08-01,1354.2
2006-09-01,1362.0
2006-10-01,1362.2
2006-11-01,1360.9
2006-12-01,1369.8
2007-01-01,1367.9
2007-02-01,1368.9
2007-03-01,1378.9
2007-04-01,1376.7
2007-05-01,1377.5
2007-06-01,1387.7
2007-07-01,1387.5
2007-08-01,1385.5
2007-09-01,1387.4
2007-10-01,1387.1
2007-11-01,1390.3
2007-12-01,1387.5
2008-01-01,1392.2
2008-02-01,1394.1
2008-03-01,1396.4
2008-04-01,1398.6
2008-05-01,1396.3
2008-06-01,1395.8
2008-07-01,1392.8
2008-08-01,1386.5
2008-09-01,1392.7
2008-10-01,1392.1
2008-11-01,1389.2
2008-12-01,1385.1
2009-01-01,1381.1
2009-02-01,1373.4
2009-03-01,1363.6
2009-04-01,1351.4
2009-05-01,1348.1
2009-06-01,1341.9
2009-07-01,1338.6
2009-08-01,1335.1
2009-09-01,1331.8
2009-10-01,1327.8
2009-11-01,1328.6
2009-12-01,1324.3
2010-01-01,1322.9
