date,value
1990-01-01,1450.5
1990-02-01,1453.1
1990-03-01,1459.8
1990-04-01,1453.1
1990-05-01,1457.9
1990-06-01,1455.2
1990-07-01,1463.9
1990-08-01,1467.5
1990-09-01,1467.1
1990-10-01,1465.2
1990-11-01,1462.9
1990-12-01,1463.4
1991-01-01,1455.2
1991-02-01,1455.8
1991-03-01,1453.2
1991-04-01,1460.1
1991-05-01,1459.3
1991-06-01,1460.2
1991-07-01,1462.6
1991-08-01,1467.2
1991-09-01,1468.6
1991-10-01,1470.9
1991-11-01,1477.8
1991-12-01,1479.6
1992-01-01,1483.0
1992-02-01,1487.9
1992-03-01,1488.8
1992-04-01,1492.0
1992-05-01,1496.0
1992-06-01,1498.2
1992-07-01,1499.6
1992-08-01,1500.8
1992-09-01,1505.4
1992-10-01,1507.0
1992-11-01,1509.0
1992-12-01,1509.7
1993-01-01,1521.3
1993-02-01,1526.1
1993-03-01,1520.9
1993-04-01,1526.4
1993-05-01,1529.7
1993-06-01,1534.2
1993-07-01,1541.1
1993-08-01,1541.1
1993-09-01,1545.2
1993-10-01,1550.6
1993-11-01,1556.0
1993-12-01,1557.3
1994-01-01,1547.6
1994-02-01,1560.1
1994-03-01,1570.4
1994-04-01,1576.5
1994-05-01,1583.5
1994-06-01,1585.7
1994-07-01,1590.8
1994-08-01,1594.6
1994-09-01,1604.3
1994-10-01,1601.2
1994-11-01,1609.2
1994-12-01,1617.2
1995-01-01,1614.4
1995-02-01,1619.1
1995-03-01,1624.8
1995-04-01,1627.7
1995-05-01,1627.8
1995-06-01,1635.3
1995-07-01,1626.9
1995-08-01,1640.9
1995-09-01,1642.4
1995-10-01,1640.5
1995-11-01,1640.0
1995-12-01,1644.7
1996-01-01,1637.3
1996-02-01,1647.3
1996-03-01,1649.8
1996-04-01,1649.8
1996-05-01,1655.9
1996-06-01,1657.9
1996-07-01,1662.8
1996-08-01,1667.0
1996-09-01,1671.1
1996-10-01,1675.0
1996-11-01,1678.5
1996-12-01,1677.6
1997-01-01,1680.2
1997-02-01,1686.5
1997-03-01,1690.9
1997-04-01,1695.7
1997-05-01,1695.8
1997-06-01,1702.5
1997-07-01,1704.8
1997-08-01,1700.5
1997-09-01,1705.5
1997-10-01,1712.2
1997-11-01,1713.2
1997-12-01,1717.8
1998-01-01,1723.9
1998-02-01,1723.1
1998-03-01,1726.3
1998-04-01,1734.1
1998-05-01,1739.7
1998-06-01,1742.6
1998-07-01,1745.5
1998-08-01,1752.9
1998-09-01,1752.0
1998-10-01,1751.8
1998-11-01,1756.0
1998-12-01,1758.4
1999-01-01,1756.6
1999-02-01,1767.3
1999-03-01,1767.9
1999-04-01,1780.6
1999-05-01,1785.3
1999-06-01,1788.2
1999-07-01,1787.3
1999-08-01,1792.1
1999-09-01,1793.5
1999-10-01,1797.9
1999-11-01,1799.8
1999-12-01,1804.5
2000-01-01,1805.0
2000-02-01,1810.9
2000-03-01,1821.0
2000-04-01,1816.4
2000-05-01,1822.6
2000-06-01,1817.6
2000-07-01,1816.1
2000-08-01,1818.3
2000-09-01,1816.0
2000-10-01,1821.3
2000-11-01,1817.5
2000-12-01,1818.1
2001-01-01,1814.2
2001-02-01,1815.1
2001-03-01,1805.0
2001-04-01,1802.6
2001-05-01,1801.0
2001-06-01,1801.2
2001-07-01,1795.1
2001-08-01,1791.0
2001-09-01,1784.3
2001-10-01,1781.3
2001-11-01,1777.8
2001-12-01,1773.9
2002-01-01,1780.3
2002-02-01,1779.7
2002-03-01,1778.8
2002-04-01,1776.8
2002-05-01,1777.8
2002-06-01,1779.1
2002-07-01,1778.4
2002-08-01,1774.7
2002-09-01,1776.8
2002-10-01,1779.5
2002-11-01,1779.7
2002-12-01,1777.7
2003-01-01,1774.2
2003-02-01,1770.7
2003-03-01,1772.1
2003-04-01,1769.7
2003-05-01,1770.5
2003-06-01,1770.7
2003-07-01,1765.8
2003-08-01,1769.4
2003-09-01,1776.9
2003-10-01,1778.2
2003-11-01,1777.7
2003-12-01,1781.3
2004-01-01,1780.1
2004-02-01,1781.9
2004-03-01,1783.3
2004-04-01,1784.2
2004-05-01,1782.9
2004-06-01,1786.0
2004-07-01,1781.7
2004-08-01,1790.7
2004-09-01,1792.6
2004-10-01,1797.7
2004-11-01,1799.3
2004-12-01,1801.6
2005-01-01,1799.3
2005-02-01,1806.4
2005-03-01,1805.7
2005-04-01,1810.5
2005-05-01,1812.1
2005-06-01,1814.5
2005-07-01,1813.9
2005-08-01,1821.8
2005-09-01,1822.6
2005-10-01,1821.0
2005-11-01,1824.3
2005-12-01,1823.0
2006-01-01,1830.8
2006-02-01,1834.1
2006-03-01,1840.5
2006-04-01,1835.7
2006-05-01,1835.7
2006-06-01,1835.2
2006-07-01,1829.3
2006-08-01,1837.7
2006-09-01,1838.2
2006-10-01,1836.7
2006-11-01,1838.0
2006-12-01,1848.3
2007-01-01,1852.2
2007-02-01,1850.9
2007-03-01,1855.6
2007-04-01,1855.8
2007-05-01,1861.3
2007-06-01,1862.2
2007-07-01,1855.2
2007-08-01,1852.7
2007-09-01,1859.1
2007-10-01,1855.7
2007-11-01,1859.6
2007-12-01,1858.2
2008-01-01,1861.2
2008-02-01,1860.4
2008-03-01,1854.4
2008-04-01,1853.3
2008-05-01,1855.2
2008-06-01,1850.1
2008-07-01,1844.4
2008-08-01,1842.7
2008-09-01,1832.0
2008-10-01,1824.6
2008-11-01,1818.5
2008-12-01,1806.7
2009-01-01,1786.8
2009-02-01,1777.9
2009-03-01,1767.9
2009-04-01,1760.6
2009-05-01,1758.9
2009-06-01,1754.2
2009-07-01,1751.7
2009-08-01,1751.0
2009-09-01,1752.4
2009-10-01,1752.1
2009-11-01,1753.3
2009-12-01,1749.2
2010-01-01,1747.1
2010-02-01,1739.6
2010-03-01,1748.3
2010-04-01,1756.5
2010-05-01,1765.1
2010-06-01,1766.2
2010-07-01,1759.2
2010-08-01,1758.1
2010-09-01,1763.9
2010-10-01,1770.9
2010-11-01,1770.5
2010-12-01,1773.9
2011-01-01,1769.5
2011-02-01,1774.5
2011-03-01,1777.4
2011-04-01,1779.3
2011-05-01,1776.5
2011-06-01,1781.1
2011-07-01,1781.1
2011-08-01,1789.3
2011-09-01,1792.9
2011-10-01,1792.1
2011-11-01,1795.4
2011-12-01,1794.6
2012-01-01,1802.8
2012-02-01,1804.9
2012-03-01,1810.0
2012-04-01,1807.7
2012-05-01,1811.6
2012-06-01,1814.4
2012-07-01,1810.9
2012-08-01,1809.2
2012-09-01,1813.1
2012-10-01,1815.7
2012-11-01,1816.4
2012-12-01,1817.1
2013-01-01,1821.1
2013-02-01,1822.1
2013-03-01,1825.1
2013-04-01,1823.4
2013-05-01,1824.9
2013-06-01,1826.1
2013-07-01,1827.7
2013-08-01,1833.2
2013-09-01,1836.8
2013-10-01,1838.1
2013-11-01,1840.5
2013-12-01,1842.0
2014-01-01,1841.3
2014-02-01,1840.4
2014-03-01,1844.9
2014-04-01,1853.1
2014-05-01,1853.7
2014-06-01,1855.4
2014-07-01,1860.8
2014-08-01,1865.7
2014-09-01,1865.5
2014-10-01,1867.8
2014-11-01,1870.1
2014-12-01,1873.5
2015-01-01,1876.8
2015-02-01,1874.7
2015-03-01,1869.8
2015-04-01,1872.7
2015-05-01,1882.5
2015-06-01,1885.6
2015-07-01,1884.1
2015-08-01,1889.8
2015-09-01,1891.0
2015-10-01,1896.3
2015-11-01,1902.3
2015-12-01,1902.9
2016-01-01,1902.0
2016-02-01,1902.0
2016-03-01,1903.0
2016-04-01,1905.3
2016-05-01,1906.9
2016-06-01,1902.8
2016-07-01,1914.1
2016-08-01,1913.9
2016-09-01,1913.9
2016-10-01,1914.1
2016-11-01,1909.8
2016-12-01,1914.0
2017-01-01,1915.3
2017-02-01,1918.8
2017-03-01,1919.8
2017-04-01,1918.4
2017-05-01,1917.5
2017-06-01,1920.6
2017-07-01,1916.7
2017-08-01,1914.6
2017-09-01,1923.1
2017-10-01,1927.0
2017-11-01,1925.6
2017-12-01,1924.2
2018-01-01,1921.1
2018-02-01,1926.0
2018-03-01,1926.1
2018-04-01,1930.6
2018-05-01,1931.7
2018-06-01,1935.9
2018-07-01,1930.8
2018-08-01,1927.6
2018-09-01,1934.1
2018-10-01,1932.8
2018-11-01,1936.9
2018-12-01,1932.3
2019-01-01,1939.0
2019-02-01,1937.2
2019-03-01,1938.1
2019-04-01,1940.7
2019-05-01,1944.4
2019-06-01,1943.3
2019-07-01,1950.2
2019-08-01,1948.6
2019-09-01,1951.0
2019-10-01,1946.2
2019-11-01,1952.0
2019-12-01,1951.1
2020-01-01,1952.2
2020-02-01,1954.9
2020-03-01,1940.3
2020-04-01,1663.2
2020-05-01,1694.5
2020-06-01,1783.6
2020-07-01,1814.2
2020-08-01,1837.6
2020-09-01,1846.5
2020-10-01,1855.8
2020-11-01,1856.7
2020-12-01,1855.1
2021-01-01,1876.0
2021-02-01,1872.3
2021-03-01,1886.5
2021-04-01,1883.9
2021-05-01,1892.2
2021-06-01,1896.4
2021-07-01,1906.3
2021-08-01,1913.6
2021-09-01,1907.6
2021-10-01,1928.6
2021-11-01,1931.7
2021-12-01,1938.7
2022-01-01,1937.0
2022-02-01,1946.7
2022-03-01,1950.1
2022-04-01,1955.9
2022-05-01,1957.5
2022-06-01,1958.0
2022-07-01,1968.3
2022-08-01,1976.8
2022-09-01,1984.3
2022-10-01,1987.2
2022-11-01,1990.9
2022-12-01,1992.7
2023-01-01,2006.4
2023-02-01,2007.4
2023-03-01,2010.2
2023-04-01,2010.7
2023-05-01,2011.9
2023-06-01,2016.1
2023-07-01,2013.4
2023-08-01,2018.0
2023-09-01,2024.0
2023-10-01,2024.8
2023-11-01,2026.2
2023-12-01,2029.8
2024-01-01,2032.6
2024-02-01,2033.8
2024-03-01,2035.9
2024-04-01,2034.8
2024-05-01,2036.2
2024-06-01,2037.5
2024-07-01,2036.7
2024-08-01,2042.0
2024-09-01,2039.4
2024-10-01,2038.4
2024-11-01,2037.0
2024-12-01,2035.0
2025-01-01,2027.5
2025-02-01,2034.5
2025-03-01,2036.1
2025-04-01,2039.5
2025-05-01,2040.2
2025-06-01,2037.0
2025-07-01,2035.9
2025-08-01,2036.0
2025-09-01,2032.1
2025-10-01,2028.7
2025-11-01,2027.3
2025-12-01,2029.3
2026-01-01,2033.0
2026-02-01,2032.1
2026-03-01,2033.3
2026-04-01,2034.2
2026-05-01,2030.3
2026-06-01,2031.0
2026-07-01,2033.3
