date,value
1990-01-01,126.0
1990-02-01,126.7
1990-03-01,127.3
1990-04-01,125.8
1990-05-01,126.6
1990-06-01,127.0
1990-07-01,126.5
1990-08-01,128.3
1990-09-01,129.0
1990-10-01,126.3
1990-11-01,125.7
1990-12-01,125.7
1991-01-01,124.5
1991-02-01,124.3
1991-03-01,123.9
1991-04-01,125.5
1991-05-01,127.0
1991-06-01,127.0
1991-07-01,126.4
1991-08-01,126.4
1991-09-01,126.5
1991-10-01,126.8
1991-11-01,126.1
1991-12-01,126.6
1992-01-01,128.0
1992-02-01,127.6
1992-03-01,127.3
1992-04-01,129.0
1992-05-01,130.0
1992-06-01,130.6
1992-07-01,131.1
1992-08-01,131.0
1992-09-01,131.2
1992-10-01,134.3
1992-11-01,133.7
1992-12-01,133.1
1993-01-01,132.2
1993-02-01,133.0
1993-03-01,133.3
1993-04-01,133.9
1993-05-01,134.1
1993-06-01,134.6
1993-07-01,135.4
1993-08-01,136.3
1993-09-01,136.8
1993-10-01,138.7
1993-11-01,139.8
1993-12-01,141.6
1994-01-01,141.4
1994-02-01,143.3
1994-03-01,144.0
1994-04-01,145.5
1994-05-01,146.7
1994-06-01,147.6
1994-07-01,149.9
1994-08-01,152.0
1994-09-01,154.8
1994-10-01,156.2
1994-11-01,157.7
1994-12-01,158.6
1995-01-01,160.2
1995-02-01,161.8
1995-03-01,162.5
1995-04-01,164.3
1995-05-01,168.2
1995-06-01,167.0
1995-07-01,168.0
1995-08-01,170.7
1995-09-01,171.6
1995-10-01,169.0
1995-11-01,168.8
1995-12-01,166.8
1996-01-01,169.1
1996-02-01,169.3
1996-03-01,169.8
1996-04-01,169.4
1996-05-01,171.3
1996-06-01,172.1
1996-07-01,173.0
1996-08-01,173.9
1996-09-01,175.1
1996-10-01,176.9
1996-11-01,177.8
1996-12-01,178.2
1997-01-01,177.7
1997-02-01,177.8
1997-03-01,178.1
1997-04-01,176.4
1997-05-01,175.6
1997-06-01,176.1
1997-07-01,176.7
1997-08-01,177.0
1997-09-01,177.4
1997-10-01,178.6
1997-11-01,180.5
1997-12-01,180.7
1998-01-01,178.0
1998-02-01,178.6
1998-03-01,177.7
1998-04-01,180.9
1998-05-01,181.4
1998-06-01,181.7
1998-07-01,181.8
1998-08-01,181.7
1998-09-01,181.2
1998-10-01,180.4
1998-11-01,181.0
1998-12-01,181.9
1999-01-01,182.6
1999-02-01,182.9
1999-03-01,183.5
1999-04-01,182.9
1999-05-01,182.6
1999-06-01,185.3
1999-07-01,186.4
1999-08-01,187.2
1999-09-01,188.0
1999-10-01,191.9
1999-11-01,192.2
1999-12-01,192.8
2000-01-01,195.5
2000-02-01,195.1
2000-03-01,194.6
2000-04-01,194.4
2000-05-01,194.9
2000-06-01,195.2
2000-07-01,194.5
2000-08-01,194.7
2000-09-01,195.0
2000-10-01,195.9
2000-11-01,196.6
2000-12-01,196.8
2001-01-01,196.7
2001-02-01,196.6
2001-03-01,197.7
2001-04-01,196.4
2001-05-01,195.5
2001-06-01,194.3
2001-07-01,194.3
2001-08-01,194.5
2001-09-01,194.6
2001-10-01,194.6
2001-11-01,193.4
2001-12-01,193.4
2002-01-01,193.2
2002-02-01,193.3
2002-03-01,193.4
2002-04-01,195.0
2002-05-01,195.2
2002-06-01,195.4
2002-07-01,195.5
2002-08-01,195.2
2002-09-01,194.7
2002-10-01,194.0
2002-11-01,195.8
2002-12-01,195.1
2003-01-01,196.3
2003-02-01,197.2
2003-03-01,196.7
2003-04-01,198.2
2003-05-01,197.9
2003-06-01,197.8
2003-07-01,199.1
2003-08-01,199.8
2003-09-01,200.1
2003-10-01,200.4
2003-11-01,199.5
2003-12-01,200.8
2004-01-01,201.1
2004-02-01,201.4
2004-03-01,201.5
2004-04-01,203.0
2004-05-01,202.7
2004-06-01,203.3
2004-07-01,204.2
2004-08-01,204.9
2004-09-01,205.0
2004-10-01,206.6
2004-11-01,208.1
2004-12-01,208.2
2005-01-01,207.3
2005-02-01,207.0
2005-03-01,208.0
2005-04-01,210.4
2005-05-01,212.1
2005-06-01,212.2
2005-07-01,211.8
2005-08-01,212.1
2005-09-01,180.2
2005-10-01,169.7
2005-11-01,171.8
2005-12-01,173.1
2006-01-01,174.5
2006-02-01,179.4
2006-03-01,181.3
2006-04-01,180.6
2006-05-01,181.5
2006-06-01,184.3
2006-07-01,186.0
2006-08-01,187.2
2006-09-01,187.3
2006-10-01,189.0
2006-11-01,189.9
2006-12-01,191.0
2007-01-01,191.3
2007-02-01,191.5
2007-03-01,192.7
2007-04-01,191.3
2007-05-01,192.1
2007-06-01,193.2
2007-07-01,193.4
2007-08-01,192.9
2007-09-01,194.4
2007-10-01,194.9
2007-11-01,195.1
2007-12-01,195.9
2008-01-01,196.0
2008-02-01,196.2
2008-03-01,195.5
2008-04-01,197.4
2008-05-01,196.9
2008-06-01,196.1
2008-07-01,196.6
2008-08-01,195.7
2008-09-01,191.9
2008-10-01,196.2
2008-11-01,196.1
2008-12-01,196.0
2009-01-01,195.7
2009-02-01,196.3
2009-03-01,195.6
2009-04-01,194.4
2009-05-01,195.0
2009-06-01,194.5
2009-07-01,194.1
2009-08-01,194.5
2009-09-01,194.7
2009-10-01,193.4
2009-11-01,193.0
2009-12-01,191.9
2010-01-01,192.7
2010-02-01,192.6
2010-03-01,193.1
2010-04-01,193.7
2010-05-01,193.4
2010-06-01,194.3
2010-07-01,193.8
2010-08-01,193.9
2010-09-01,195.5
2010-10-01,196.8
2010-11-01,196.9
2010-12-01,196.4
2011-01-01,196.7
2011-02-01,198.0
2011-03-01,198.5
2011-04-01,199.3
2011-05-01,200.0
2011-06-01,199.9
2011-07-01,201.1
2011-08-01,202.6
2011-09-01,202.5
2011-10-01,203.4
2011-11-01,203.9
2011-12-01,204.8
2012-01-01,205.6
2012-02-01,205.6
2012-03-01,205.7
2012-04-01,206.1
2012-05-01,205.8
2012-06-01,205.9
2012-07-01,206.9
2012-08-01,207.1
2012-09-01,207.5
2012-10-01,208.7
2012-11-01,208.4
2012-12-01,210.1
2013-01-01,210.6
2013-02-01,210.1
2013-03-01,210.6
2013-04-01,212.3
2013-05-01,212.7
2013-06-01,213.6
2013-07-01,214.2
2013-08-01,215.1
2013-09-01,215.3
2013-10-01,215.3
2013-11-01,216.5
2013-12-01,215.7
2014-01-01,216.8
2014-02-01,217.8
2014-03-01,218.5
2014-04-01,219.5
2014-05-01,220.7
2014-06-01,221.4
2014-07-01,221.7
2014-08-01,222.3
2014-09-01,222.2
2014-10-01,223.2
2014-11-01,224.7
2014-12-01,225.1
2015-01-01,226.0
2015-02-01,226.8
2015-03-01,226.6
2015-04-01,226.4
2015-05-01,227.0
2015-06-01,227.4
2015-07-01,228.5
2015-08-01,228.6
2015-09-01,229.4
2015-10-01,230.5
2015-11-01,231.1
2015-12-01,232.5
2016-01-01,231.9
2016-02-01,231.2
2016-03-01,232.5
2016-04-01,232.9
2016-05-01,233.2
2016-06-01,232.6
2016-07-01,232.3
2016-08-01,231.0
2016-09-01,231.4
2016-10-01,231.3
2016-11-01,230.9
2016-12-01,230.7
2017-01-01,230.7
2017-02-01,232.5
2017-03-01,232.1
2017-04-01,231.6
2017-05-01,232.1
2017-06-01,232.7
2017-07-01,233.3
2017-08-01,233.2
2017-09-01,235.4
2017-10-01,234.5
2017-11-01,234.3
2017-12-01,235.2
2018-01-01,234.4
2018-02-01,233.8
2018-03-01,237.1
2018-04-01,236.9
2018-05-01,236.4
2018-06-01,237.0
2018-07-01,236.6
2018-08-01,236.5
2018-09-01,237.4
2018-10-01,237.4
2018-11-01,236.9
2018-12-01,236.0
2019-01-01,237.7
2019-02-01,238.4
2019-03-01,237.0
2019-04-01,238.4
2019-05-01,238.7
2019-06-01,238.3
2019-07-01,235.5
2019-08-01,237.0
2019-09-01,238.3
2019-10-01,236.6
2019-11-01,237.6
2019-12-01,237.9
2020-01-01,238.5
2020-02-01,238.5
2020-03-01,230.2
2020-04-01,132.9
2020-05-01,148.2
2020-06-01,168.7
2020-07-01,173.0
2020-08-01,179.8
2020-09-01,178.2
2020-10-01,187.5
2020-11-01,192.5
2020-12-01,192.1
2021-01-01,192.2
2021-02-01,190.4
2021-03-01,194.0
2021-04-01,196.9
2021-05-01,199.4
2021-06-01,202.3
2021-07-01,207.7
2021-08-01,207.4
2021-09-01,190.8
2021-10-01,202.7
2021-11-01,205.7
2021-12-01,207.7
2022-01-01,208.6
2022-02-01,210.2
2022-03-01,210.1
2022-04-01,209.5
2022-05-01,211.3
2022-06-01,212.7
2022-07-01,215.5
2022-08-01,215.5
2022-09-01,217.8
2022-10-01,217.5
2022-11-01,217.9
2022-12-01,217.3
2023-01-01,220.3
2023-02-01,221.1
2023-03-01,221.7
2023-04-01,220.3
2023-05-01,220.7
2023-06-01,221.7
2023-07-01,220.3
2023-08-01,221.1
2023-09-01,222.6
2023-10-01,221.8
2023-11-01,222.6
2023-12-01,223.2
2024-01-01,222.5
2024-02-01,221.4
2024-03-01,223.7
2024-04-01,224.6
2024-05-01,224.9
2024-06-01,223.7
2024-07-01,223.8
2024-08-01,223.8
2024-09-01,223.1
2024-10-01,225.9
2024-11-01,226.5
2024-12-01,226.1
2025-01-01,225.3
2025-02-01,226.5
2025-03-01,225.1
2025-04-01,227.2
2025-05-01,225.4
2025-06-01,223.5
2025-07-01,225.1
2025-08-01,225.4
2025-09-01,223.7
2025-10-01,226.0
2025-11-01,225.6
2025-12-01,225.6
2026-01-01,224.9
2026-02-01,225.5
2026-03-01,226.7
2026-04-01,227.6
2026-05-01,226.6
2026-06-01,225.1
2026-07-01,226.0
