date,value
1990-01-01,1570.2
1990-02-01,1573.0
1990-03-01,1578.3
1990-04-01,1581.7
1990-05-01,1592.6
1990-06-01,1590.3
1990-07-01,1593.6
1990-08-01,1601.2
1990-09-01,1599.5
1990-10-01,1598.6
1990-11-01,1601.5
1990-12-01,1599.2
1991-01-01,1605.1
1991-02-01,1604.9
1991-03-01,1607.1
1991-04-01,1610.2
1991-05-01,1616.8
1991-06-01,1616.0
1991-07-01,1613.4
1991-08-01,1613.6
1991-09-01,1616.8
1991-10-01,1619.5
1991-11-01,1619.1
1991-12-01,1616.4
1992-01-01,1619.1
1992-02-01,1617.3
1992-03-01,1617.6
1992-04-01,1621.1
1992-05-01,1626.2
1992-06-01,1629.6
1992-07-01,1626.4
1992-08-01,1629.4
1992-09-01,1627.3
1992-10-01,1632.8
1992-11-01,1636.5
1992-12-01,1638.0
1993-01-01,1640.2
1993-02-01,1643.6
1993-03-01,1644.4
1993-04-01,1647.3
1993-05-01,1651.5
1993-06-01,1653.6
1993-07-01,1654.3
1993-08-01,1659.9
1993-09-01,1664.9
1993-10-01,1676.0
1993-11-01,1679.8
1993-12-01,1687.2
1994-01-01,1693.5
1994-02-01,1698.0
1994-03-01,1709.4
1994-04-01,1705.8
1994-05-01,1708.9
1994-06-01,1713.8
1994-07-01,1725.7
1994-08-01,1732.0
1994-09-01,1737.4
1994-10-01,1740.8
1994-11-01,1747.3
1994-12-01,1752.5
1995-01-01,1755.0
1995-02-01,1757.6
1995-03-01,1760.4
1995-04-01,1760.7
1995-05-01,1766.0
1995-06-01,1771.5
1995-07-01,1776.4
1995-08-01,1781.3
1995-09-01,1786.8
1995-10-01,1783.6
1995-11-01,1785.6
1995-12-01,1785.7
1996-01-01,1792.1
1996-02-01,1795.2
1996-03-01,1796.6
1996-04-01,1802.0
1996-05-01,1807.7
1996-06-01,1811.1
1996-07-01,1810.2
1996-08-01,1814.0
1996-09-01,1818.9
1996-10-01,1820.7
1996-11-01,1826.0
1996-12-01,1826.4
1997-01-01,1827.0
1997-02-01,1829.0
1997-03-01,1833.3
1997-04-01,1839.6
1997-05-01,1839.3
1997-06-01,1845.2
1997-07-01,1854.7
1997-08-01,1853.3
1997-09-01,1860.5
1997-10-01,1866.7
1997-11-01,1873.6
1997-12-01,1878.1
1998-01-01,1872.2
1998-02-01,1877.4
1998-03-01,1877.7
1998-04-01,1890.0
1998-05-01,1894.9
1998-06-01,1894.6
1998-07-01,1895.6
1998-08-01,1897.4
1998-09-01,1896.6
1998-10-01,1891.4
1998-11-01,1892.0
1998-12-01,1894.0
1999-01-01,1894.5
1999-02-01,1896.4
1999-03-01,1893.3
1999-04-01,1887.6
1999-05-01,1884.0
1999-06-01,1889.2
1999-07-01,1893.7
1999-08-01,1896.5
1999-09-01,1897.9
1999-10-01,1905.7
1999-11-01,1908.9
1999-12-01,1908.1
2000-01-01,1916.7
2000-02-01,1918.4
2000-03-01,1920.8
2000-04-01,1922.2
2000-05-01,1930.0
2000-06-01,1918.7
2000-07-01,1918.2
2000-08-01,1919.9
2000-09-01,1918.0
2000-10-01,1920.6
2000-11-01,1918.1
2000-12-01,1923.1
2001-01-01,1925.4
2001-02-01,1925.3
2001-03-01,1926.6
2001-04-01,1923.1
2001-05-01,1922.6
2001-06-01,1920.8
2001-07-01,1915.0
2001-08-01,1917.1
2001-09-01,1917.0
2001-10-01,1910.5
2001-11-01,1907.6
2001-12-01,1904.4
2002-01-01,1899.0
2002-02-01,1895.3
2002-03-01,1893.9
2002-04-01,1900.5
2002-05-01,1898.9
2002-06-01,1900.0
2002-07-01,1898.9
2002-08-01,1899.1
2002-09-01,1900.0
2002-10-01,1896.4
2002-11-01,1900.3
2002-12-01,1897.1
2003-01-01,1907.5
2003-02-01,1907.6
2003-03-01,1901.3
2003-04-01,1903.6
2003-05-01,1905.5
2003-06-01,1904.8
2003-07-01,1905.7
2003-08-01,1906.2
2003-09-01,1910.1
2003-10-01,1914.0
2003-11-01,1914.9
2003-12-01,1913.6
2004-01-01,1914.8
2004-02-01,1916.4
2004-03-01,1919.9
2004-04-01,1919.9
2004-05-01,1915.7
2004-06-01,1918.7
2004-07-01,1919.5
2004-08-01,1923.0
2004-09-01,1914.9
2004-10-01,1921.1
2004-11-01,1927.0
2004-12-01,1926.4
2005-01-01,1928.0
2005-02-01,1926.5
2005-03-01,1930.1
2005-04-01,1943.7
2005-05-01,1945.0
2005-06-01,1947.7
2005-07-01,1954.7
2005-08-01,1955.1
2005-09-01,1826.2
2005-10-01,1774.6
2005-11-01,1793.0
2005-12-01,1804.0
2006-01-01,1812.7
2006-02-01,1824.6
2006-03-01,1839.0
2006-04-01,1840.6
2006-05-01,1849.0
2006-06-01,1855.0
2006-07-01,1852.9
2006-08-01,1865.8
2006-09-01,1877.1
2006-10-01,1877.6
2006-11-01,1881.3
2006-12-01,1889.2
2007-01-01,1900.2
2007-02-01,1906.5
2007-03-01,1915.1
2007-04-01,1904.4
2007-05-01,1907.1
2007-06-01,1914.8
2007-07-01,1913.9
2007-08-01,1920.5
2007-09-01,1926.3
2007-10-01,1932.7
2007-11-01,1934.1
2007-12-01,1938.3
2008-01-01,1934.1
2008-02-01,1939.5
2008-03-01,1938.2
2008-04-01,1940.3
2008-05-01,1940.6
2008-06-01,1941.4
2008-07-01,1939.7
2008-08-01,1946.3
2008-09-01,1927.6
2008-10-01,1945.0
2008-11-01,1945.3
2008-12-01,1943.8
2009-01-01,1933.3
2009-02-01,1930.4
2009-03-01,1920.0
2009-04-01,1906.8
2009-05-01,1906.7
2009-06-01,1899.5
2009-07-01,1897.6
2009-08-01,1898.1
2009-09-01,1896.8
2009-10-01,1889.1
2009-11-01,1888.8
2009-12-01,1881.2
2010-01-01,1877.4
2010-02-01,1876.2
2010-03-01,1884.0
2010-04-01,1885.3
2010-05-01,1893.5
2010-06-01,1899.8
2010-07-01,1889.7
2010-08-01,1889.7
2010-09-01,1888.2
2010-10-01,1889.6
2010-11-01,1888.3
2010-12-01,1892.6
2011-01-01,1895.9
2011-02-01,1899.6
2011-03-01,1901.9
2011-04-01,1903.8
2011-05-01,1903.1
2011-06-01,1898.2
2011-07-01,1907.8
2011-08-01,1908.2
2011-09-01,1911.2
2011-10-01,1911.4
2011-11-01,1911.8
2011-12-01,1913.6
2012-01-01,1918.1
2012-02-01,1920.5
2012-03-01,1924.3
2012-04-01,1934.6
2012-05-01,1935.7
2012-06-01,1933.3
2012-07-01,1927.6
2012-08-01,1925.8
2012-09-01,1926.8
2012-10-01,1932.0
2012-11-01,1935.9
2012-12-01,1937.8
2013-01-01,1941.5
2013-02-01,1948.8
2013-03-01,1950.3
2013-04-01,1953.6
2013-05-01,1952.5
2013-06-01,1956.3
2013-07-01,1955.1
2013-08-01,1958.5
2013-09-01,1963.3
2013-10-01,1965.9
2013-11-01,1969.0
2013-12-01,1963.9
2014-01-01,1969.8
2014-02-01,1971.9
2014-03-01,1975.6
2014-04-01,1977.9
2014-05-01,1982.0
2014-06-01,1983.6
2014-07-01,1988.3
2014-08-01,1992.2
2014-09-01,1998.3
2014-10-01,1998.6
2014-11-01,2003.8
2014-12-01,2007.2
2015-01-01,2004.5
2015-02-01,2001.0
2015-03-01,1994.4
2015-04-01,1992.6
2015-05-01,1994.9
2015-06-01,1993.8
2015-07-01,1997.8
2015-08-01,1999.2
2015-09-01,1996.8
2015-10-01,1996.2
2015-11-01,1994.4
2015-12-01,1992.1
2016-01-01,1985.5
2016-02-01,1980.2
2016-03-01,1978.6
2016-04-01,1979.3
2016-05-01,1978.2
2016-06-01,1974.8
2016-07-01,1978.9
2016-08-01,1967.5
2016-09-01,1973.9
2016-10-01,1969.8
2016-11-01,1970.4
2016-12-01,1970.3
2017-01-01,1971.2
2017-02-01,1979.0
2017-03-01,1975.4
2017-04-01,1973.5
2017-05-01,1977.7
2017-06-01,1978.1
2017-07-01,1974.3
2017-08-01,1974.1
2017-09-01,1977.1
2017-10-01,1974.0
2017-11-01,1974.5
2017-12-01,1977.7
2018-01-01,1978.7
2018-02-01,1978.5
2018-03-01,1991.9
2018-04-01,1993.0
2018-05-01,1991.2
2018-06-01,1994.5
2018-07-01,1990.5
2018-08-01,1992.0
2018-09-01,1994.6
2018-10-01,1997.7
2018-11-01,1994.9
2018-12-01,1993.2
2019-01-01,1996.2
2019-02-01,1998.4
2019-03-01,1996.4
2019-04-01,1998.2
2019-05-01,1995.3
2019-06-01,1994.1
2019-07-01,1986.7
2019-08-01,1993.2
2019-09-01,1994.5
2019-10-01,1991.1
2019-11-01,1993.4
2019-12-01,1988.9
2020-01-01,1991.8
2020-02-01,1992.8
2020-03-01,1971.6
2020-04-01,1706.6
2020-05-01,1733.8
2020-06-01,1778.9
2020-07-01,1790.7
2020-08-01,1811.1
2020-09-01,1811.2
2020-10-01,1834.0
2020-11-01,1845.5
2020-12-01,1850.0
2021-01-01,1850.3
2021-02-01,1846.4
2021-03-01,1863.1
2021-04-01,1868.5
2021-05-01,1876.3
2021-06-01,1881.2
2021-07-01,1894.0
2021-08-01,1894.7
2021-09-01,1852.9
2021-10-01,1898.9
2021-11-01,1905.4
2021-12-01,1911.1
2022-01-01,1907.5
2022-02-01,1912.5
2022-03-01,1913.5
2022-04-01,1920.7
2022-05-01,1923.6
2022-06-01,1923.8
2022-07-01,1938.6
2022-08-01,1941.4
2022-09-01,1944.8
2022-10-01,1940.5
2022-11-01,1941.8
2022-12-01,1942.2
2023-01-01,1950.1
2023-02-01,1952.1
2023-03-01,1957.1
2023-04-01,1955.1
2023-05-01,1959.2
2023-06-01,1962.8
2023-07-01,1952.5
2023-08-01,1958.8
2023-09-01,1964.5
2023-10-01,1967.2
2023-11-01,1965.8
2023-12-01,1970.8
2024-01-01,1973.6
2024-02-01,1973.2
2024-03-01,1978.0
2024-04-01,1981.8
2024-05-01,1984.4
2024-06-01,1981.0
2024-07-01,1990.2
2024-08-01,1994.3
2024-09-01,1988.8
2024-10-01,1994.5
2024-11-01,1995.5
2024-12-01,1993.7
2025-01-01,1996.4
2025-02-01,2002.5
2025-03-01,1995.5
2025-04-01,1998.5
2025-05-01,1993.5
2025-06-01,1989.9
2025-07-01,1989.1
2025-08-01,1989.9
2025-09-01,1988.2
2025-10-01,1991.2
2025-11-01,1992.5
2025-12-01,1997.2
2026-01-01,1998.2
2026-02-01,2001.2
2026-03-01,2005.2
2026-04-01,2009.3
2026-05-01,2010.0
2026-06-01,2010.2
2026-07-01,2015.9
