date,value
1990-01-01,241.8
1990-02-01,242.2
1990-03-01,242.8
1990-04-01,240.0
1990-05-01,238.5
1990-06-01,237.6
1990-07-01,236.2
1990-08-01,235.6
1990-09-01,235.1
1990-10-01,232.2
1990-11-01,232.3
1990-12-01,232.0
1991-01-01,223.3
1991-02-01,221.4
1991-03-01,221.4
1991-04-01,221.9
1991-05-01,220.7
1991-06-01,222.2
1991-07-01,220.2
1991-08-01,219.4
1991-09-01,219.1
1991-10-01,222.0
1991-11-01,221.3
1991-12-01,221.8
1992-01-01,223.1
1992-02-01,223.8
1992-03-01,224.1
1992-04-01,222.1
1992-05-01,224.1
1992-06-01,223.8
1992-07-01,224.2
1992-08-01,223.8
1992-09-01,224.7
1992-10-01,226.1
1992-11-01,226.3
1992-12-01,225.7
1993-01-01,226.6
1993-02-01,227.1
1993-03-01,227.5
1993-04-01,229.2
1993-05-01,231.1
1993-06-01,231.7
1993-07-01,232.5
1993-08-01,234.2
1993-09-01,235.4
1993-10-01,235.4
1993-11-01,235.6
1993-12-01,237.2
1994-01-01,236.9
1994-02-01,236.6
1994-03-01,238.4
1994-04-01,239.4
1994-05-01,239.6
1994-06-01,240.5
1994-07-01,243.2
1994-08-01,244.1
1994-09-01,242.8
1994-10-01,244.1
1994-11-01,245.1
1994-12-01,245.4
1995-01-01,247.1
1995-02-01,246.4
1995-03-01,247.0
1995-04-01,248.0
1995-05-01,247.3
1995-06-01,248.4
1995-07-01,248.6
1995-08-01,249.4
1995-09-01,249.0
1995-10-01,247.1
1995-11-01,248.0
1995-12-01,248.7
1996-01-01,247.6
1996-02-01,248.8
1996-03-01,249.7
1996-04-01,249.7
1996-05-01,250.9
1996-06-01,252.5
1996-07-01,252.6
1996-08-01,252.8
1996-09-01,253.9
1996-10-01,254.7
1996-11-01,255.3
1996-12-01,255.7
1997-01-01,256.7
1997-02-01,256.8
1997-03-01,257.6
1997-04-01,257.1
1997-05-01,257.1
1997-06-01,257.3
1997-07-01,255.7
1997-08-01,256.5
1997-09-01,257.1
1997-10-01,258.2
1997-11-01,259.3
1997-12-01,261.3
1998-01-01,259.9
1998-02-01,261.9
1998-03-01,261.4
1998-04-01,261.4
1998-05-01,262.5
1998-06-01,261.2
1998-07-01,262.9
1998-08-01,263.8
1998-09-01,264.8
1998-10-01,262.9
1998-11-01,264.3
1998-12-01,266.2
1999-01-01,267.2
1999-02-01,267.8
1999-03-01,267.4
1999-04-01,272.9
1999-05-01,271.3
1999-06-01,271.1
1999-07-01,270.2
1999-08-01,270.3
1999-09-01,270.8
1999-10-01,272.6
1999-11-01,271.9
1999-12-01,271.6
2000-01-01,271.9
2000-02-01,273.2
2000-03-01,272.8
2000-04-01,275.6
2000-05-01,272.3
2000-06-01,273.2
2000-07-01,275.0
2000-08-01,274.7
2000-09-01,275.6
2000-10-01,276.8
2000-11-01,277.5
2000-12-01,278.6
2001-01-01,280.1
2001-02-01,281.8
2001-03-01,281.0
2001-04-01,280.3
2001-05-01,280.3
2001-06-01,281.4
2001-07-01,279.7
2001-08-01,279.4
2001-09-01,278.3
2001-10-01,277.2
2001-11-01,277.9
2001-12-01,278.5
2002-01-01,280.0
2002-02-01,281.1
2002-03-01,282.7
2002-04-01,285.2
2002-05-01,284.3
2002-06-01,285.7
2002-07-01,285.2
2002-08-01,285.7
2002-09-01,286.5
2002-10-01,287.6
2002-11-01,287.7
2002-12-01,289.1
2003-01-01,287.3
2003-02-01,286.7
2003-03-01,285.8
2003-04-01,285.2
2003-05-01,287.3
2003-06-01,287.7
2003-07-01,288.1
2003-08-01,288.4
2003-09-01,289.0
2003-10-01,289.4
2003-11-01,289.4
2003-12-01,288.3
2004-01-01,288.5
2004-02-01,288.8
2004-03-01,289.5
2004-04-01,290.0
2004-05-01,291.2
2004-06-01,291.0
2004-07-01,292.7
2004-08-01,291.9
2004-09-01,292.4
2004-10-01,292.3
2004-11-01,292.0
2004-12-01,292.6
2005-01-01,291.8
2005-02-01,292.0
2005-03-01,291.7
2005-04-01,293.3
2005-05-01,293.5
2005-06-01,292.9
2005-07-01,293.6
2005-08-01,293.8
2005-09-01,294.7
2005-10-01,291.7
2005-11-01,293.4
2005-12-01,294.1
2006-01-01,294.2
2006-02-01,294.3
2006-03-01,294.8
2006-04-01,296.9
2006-05-01,294.6
2006-06-01,295.9
2006-07-01,298.3
2006-08-01,298.7
2006-09-01,299.1
2006-10-01,299.3
2006-11-01,300.7
2006-12-01,302.2
2007-01-01,303.0
2007-02-01,302.6
2007-03-01,302.6
2007-04-01,301.4
2007-05-01,300.6
2007-06-01,303.7
2007-07-01,303.1
2007-08-01,303.1
2007-09-01,303.1
2007-10-01,304.5
2007-11-01,306.1
2007-12-01,305.2
2008-01-01,306.5
2008-02-01,307.2
2008-03-01,307.5
2008-04-01,307.6
2008-05-01,306.9
2008-06-01,307.6
2008-07-01,305.5
2008-08-01,305.8
2008-09-01,305.4
2008-10-01,305.7
2008-11-01,305.3
2008-12-01,304.0
2009-01-01,297.8
2009-02-01,300.5
2009-03-01,299.6
2009-04-01,298.2
2009-05-01,303.9
2009-06-01,300.6
2009-07-01,299.5
2009-08-01,300.1
2009-09-01,301.7
2009-10-01,300.5
2009-11-01,300.9
2009-12-01,302.0
2010-01-01,305.0
2010-02-01,304.2
2010-03-01,302.6
2010-04-01,306.6
2010-05-01,308.8
