date,value
1990-01-01,3046.9
1990-02-01,3042.4
1990-03-01,3036.7
1990-04-01,3015.6
1990-05-01,3010.5
1990-06-01,3002.8
1990-07-01,2987.1
1990-08-01,2974.7
1990-09-01,2963.1
1990-10-01,2939.1
1990-11-01,2927.4
1990-12-01,2917.9
1991-01-01,2877.1
1991-02-01,2858.3
1991-03-01,2850.0
1991-04-01,2837.2
1991-05-01,2828.0
1991-06-01,2830.2
1991-07-01,2815.1
1991-08-01,2810.6
1991-09-01,2803.1
1991-10-01,2800.4
1991-11-01,2796.0
1991-12-01,2795.9
1992-01-01,2794.7
1992-02-01,2796.0
1992-03-01,2795.5
1992-04-01,2788.9
1992-05-01,2796.6
1992-06-01,2795.8
1992-07-01,2795.9
1992-08-01,2795.3
1992-09-01,2800.0
1992-10-01,2806.4
1992-11-01,2808.0
1992-12-01,2805.8
1993-01-01,2815.5
1993-02-01,2818.6
1993-03-01,2812.4
1993-04-01,2830.7
1993-05-01,2839.1
1993-06-01,2842.5
1993-07-01,2850.2
1993-08-01,2853.1
1993-09-01,2855.3
1993-10-01,2864.8
1993-11-01,2868.4
1993-12-01,2874.0
1994-01-01,2872.9
1994-02-01,2874.6
1994-03-01,2880.6
1994-04-01,2889.8
1994-05-01,2896.1
1994-06-01,2904.4
1994-07-01,2910.1
1994-08-01,2917.3
1994-09-01,2927.2
1994-10-01,2931.2
1994-11-01,2941.6
1994-12-01,2950.5
1995-01-01,2956.1
1995-02-01,2960.4
1995-03-01,2967.9
1995-04-01,2972.1
1995-05-01,2969.0
1995-06-01,2973.4
1995-07-01,2979.4
1995-08-01,2989.5
1995-09-01,2996.0
1995-10-01,3004.3
1995-11-01,3007.3
1995-12-01,3012.9
1996-01-01,3000.9
1996-02-01,3014.6
1996-03-01,3019.5
1996-04-01,3024.1
1996-05-01,3033.8
1996-06-01,3040.2
1996-07-01,3043.0
1996-08-01,3050.4
1996-09-01,3057.5
1996-10-01,3064.8
1996-11-01,3076.2
1996-12-01,3078.2
1997-01-01,3087.5
1997-02-01,3091.2
1997-03-01,3103.4
1997-04-01,3103.9
1997-05-01,3111.8
1997-06-01,3116.4
1997-07-01,3111.2
1997-08-01,3115.3
1997-09-01,3124.1
1997-10-01,3132.7
1997-11-01,3140.8
1997-12-01,3155.9
1998-01-01,3155.6
1998-02-01,3165.0
1998-03-01,3171.6
1998-04-01,3173.3
1998-05-01,3181.0
1998-06-01,3182.3
1998-07-01,3189.2
1998-08-01,3195.6
1998-09-01,3198.2
1998-10-01,3200.4
1998-11-01,3207.3
1998-12-01,3215.0
1999-01-01,3206.7
1999-02-01,3221.0
1999-03-01,3227.6
1999-04-01,3240.9
1999-05-01,3239.7
1999-06-01,3248.0
1999-07-01,3255.4
1999-08-01,3258.7
1999-09-01,3262.4
1999-10-01,3273.9
1999-11-01,3277.0
1999-12-01,3286.1
2000-01-01,3294.6
2000-02-01,3302.4
2000-03-01,3310.3
2000-04-01,3323.8
2000-05-01,3326.2
2000-06-01,3332.8
2000-07-01,3348.6
2000-08-01,3344.3
2000-09-01,3356.6
2000-10-01,3366.2
2000-11-01,3373.3
2000-12-01,3381.0
2001-01-01,3393.0
