date,value
1990-01-01,183.5
1990-02-01,184.3
1990-03-01,185.1
1990-04-01,185.0
1990-05-01,182.4
1990-06-01,185.1
1990-07-01,186.0
1990-08-01,185.2
1990-09-01,185.4
1990-10-01,185.1
1990-11-01,184.7
1990-12-01,185.2
1991-01-01,180.5
1991-02-01,180.4
1991-03-01,180.2
1991-04-01,178.4
1991-05-01,175.3
1991-06-01,178.0
1991-07-01,177.4
1991-08-01,178.4
1991-09-01,178.8
1991-10-01,177.7
1991-11-01,178.9
1991-12-01,177.5
1992-01-01,177.3
1992-02-01,176.7
1992-03-01,176.5
1992-04-01,177.1
1992-05-01,178.3
1992-06-01,177.5
1992-07-01,176.3
1992-08-01,177.1
1992-09-01,178.0
1992-10-01,175.9
1992-11-01,175.5
1992-12-01,174.9
1993-01-01,178.1
1993-02-01,178.3
1993-03-01,174.6
1993-04-01,178.6
1993-05-01,179.5
1993-06-01,178.9
1993-07-01,179.5
1993-08-01,178.4
1993-09-01,179.4
1993-10-01,182.0
1993-11-01,181.7
1993-12-01,181.8
1994-01-01,180.6
1994-02-01,179.4
1994-03-01,181.4
1994-04-01,183.3
1994-05-01,183.9
1994-06-01,183.6
1994-07-01,185.9
1994-08-01,185.3
1994-09-01,185.3
1994-10-01,184.1
1994-11-01,185.1
1994-12-01,185.8
1995-01-01,186.9
1995-02-01,186.8
1995-03-01,187.6
1995-04-01,194.0
1995-05-01,187.7
1995-06-01,189.4
1995-07-01,188.2
1995-08-01,187.9
1995-09-01,188.1
1995-10-01,189.3
1995-11-01,190.7
1995-12-01,190.1
1996-01-01,185.1
1996-02-01,186.6
1996-03-01,188.0
1996-04-01,188.5
1996-05-01,188.4
1996-06-01,189.6
1996-07-01,187.6
1996-08-01,188.8
1996-09-01,189.4
1996-10-01,190.5
1996-11-01,190.2
1996-12-01,190.3
1997-01-01,191.0
1997-02-01,191.6
1997-03-01,192.5
1997-04-01,191.6
1997-05-01,192.3
1997-06-01,191.3
1997-07-01,190.6
1997-08-01,189.2
1997-09-01,192.1
1997-10-01,193.6
1997-11-01,193.7
1997-12-01,195.1
1998-01-01,193.0
1998-02-01,194.3
1998-03-01,194.9
1998-04-01,193.2
1998-05-01,193.9
1998-06-01,194.8
1998-07-01,195.7
1998-08-01,196.4
1998-09-01,196.5
1998-10-01,194.9
1998-11-01,195.5
1998-12-01,195.8
1999-01-01,196.1
1999-02-01,197.3
1999-03-01,196.2
1999-04-01,197.7
1999-05-01,198.6
1999-06-01,198.0
1999-07-01,199.1
1999-08-01,198.2
1999-09-01,196.7
1999-10-01,199.8
1999-11-01,200.0
1999-12-01,200.0
2000-01-01,201.3
2000-02-01,200.7
2000-03-01,202.0
2000-04-01,202.3
2000-05-01,201.6
2000-06-01,202.0
2000-07-01,203.3
2000-08-01,204.1
2000-09-01,203.7
2000-10-01,203.5
2000-11-01,203.9
2000-12-01,204.7
2001-01-01,202.8
2001-02-01,203.8
2001-03-01,204.0
2001-04-01,202.9
2001-05-01,203.7
2001-06-01,205.1
2001-07-01,204.2
2001-08-01,205.2
