date,value
1990-01-01,2185.9
1990-02-01,2198.9
1990-03-01,2206.1
1990-04-01,2204.1
1990-05-01,2196.5
1990-06-01,2201.5
1990-07-01,2189.7
1990-08-01,2190.5
1990-09-01,2196.2
1990-10-01,2179.3
1990-11-01,2177.2
1990-12-01,2173.4
1991-01-01,2146.6
1991-02-01,2142.2
1991-03-01,2138.5
1991-04-01,2127.4
1991-05-01,2123.6
1991-06-01,2124.5
1991-07-01,2111.9
1991-08-01,2113.8
1991-09-01,2117.8
1991-10-01,2110.5
1991-11-01,2114.2
1991-12-01,2107.4
1992-01-01,2105.3
1992-02-01,2101.8
1992-03-01,2098.7
1992-04-01,2103.1
1992-05-01,2104.2
1992-06-01,2101.6
1992-07-01,2107.2
1992-08-01,2103.1
1992-09-01,2101.1
1992-10-01,2105.5
1992-11-01,2102.9
1992-12-01,2105.3
1993-01-01,2111.6
1993-02-01,2116.4
1993-03-01,2103.6
1993-04-01,2116.2
1993-05-01,2122.2
1993-06-01,2122.1
1993-07-01,2132.6
1993-08-01,2126.4
1993-09-01,2129.6
1993-10-01,2136.5
1993-11-01,2138.6
1993-12-01,2143.9
1994-01-01,2140.7
1994-02-01,2137.4
1994-03-01,2150.8
1994-04-01,2162.7
1994-05-01,2167.0
1994-06-01,2170.0
1994-07-01,2176.4
1994-08-01,2168.6
1994-09-01,2180.8
1994-10-01,2184.1
1994-11-01,2189.3
1994-12-01,2192.1
1995-01-01,2196.5
1995-02-01,2195.7
1995-03-01,2200.4
1995-04-01,2212.2
1995-05-01,2204.0
1995-06-01,2209.4
1995-07-01,2200.8
1995-08-01,2204.6
1995-09-01,2213.8
1995-10-01,2210.9
1995-11-01,2215.0
1995-12-01,2219.3
1996-01-01,2186.0
1996-02-01,2212.1
1996-03-01,2221.8
1996-04-01,2226.0
1996-05-01,2232.8
1996-06-01,2240.4
1996-07-01,2239.8
1996-08-01,2247.7
1996-09-01,2253.8
1996-10-01,2258.7
1996-11-01,2261.3
1996-12-01,2259.0
1997-01-01,2265.0
1997-02-01,2268.3
1997-03-01,2278.0
1997-04-01,2280.5
1997-05-01,2286.9
1997-06-01,2288.0
1997-07-01,2296.7
1997-08-01,2294.6
1997-09-01,2300.8
1997-10-01,2308.1
1997-11-01,2312.0
1997-12-01,2319.7
1998-01-01,2325.2
1998-02-01,2329.6
1998-03-01,2333.3
1998-04-01,2331.0
1998-05-01,2336.7
1998-06-01,2341.6
1998-07-01,2344.0
1998-08-01,2351.6
1998-09-01,2358.0
1998-10-01,2365.2
1998-11-01,2368.4
1998-12-01,2373.8
1999-01-01,2376.4
1999-02-01,2386.1
1999-03-01,2386.6
1999-04-01,2397.9
1999-05-01,2400.4
1999-06-01,2402.0
1999-07-01,2413.6
1999-08-01,2411.1
1999-09-01,2417.0
1999-10-01,2435.1
1999-11-01,2438.5
1999-12-01,2440.8
2000-01-01,2444.1
2000-02-01,2442.8
2000-03-01,2458.9
2000-04-01,2463.0
2000-05-01,2463.5
2000-06-01,2470.2
2000-07-01,2474.9
2000-08-01,2477.3
2000-09-01,2488.5
2000-10-01,2487.8
2000-11-01,2491.9
2000-12-01,2500.0
2001-01-01,2485.9
2001-02-01,2489.0
2001-03-01,2488.5
2001-04-01,2484.9
2001-05-01,2488.2
2001-06-01,2490.1
2001-07-01,2483.9
2001-08-01,2488.3
2001-09-01,2482.1
2001-10-01,2486.7
2001-11-01,2489.0
2001-12-01,2491.7
2002-01-01,2491.9
2002-02-01,2495.9
2002-03-01,2499.3
2002-04-01,2494.8
2002-05-01,2496.6
2002-06-01,2496.1
2002-07-01,2497.0
2002-08-01,2499.2
2002-09-01,2497.5
2002-10-01,2493.0
2002-11-01,2495.3
2002-12-01,2493.6
2003-01-01,2500.7
2003-02-01,2490.6
2003-03-01,2490.3
2003-04-01,2503.3
2003-05-01,2505.5
2003-06-01,2505.7
2003-07-01,2503.2
2003-08-01,2502.7
2003-09-01,2506.8
2003-10-01,2508.0
2003-11-01,2508.8
2003-12-01,2510.4
2004-01-01,2513.5
2004-02-01,2512.7
2004-03-01,2520.3
2004-04-01,2521.4
2004-05-01,2526.3
2004-06-01,2528.1
2004-07-01,2533.0
2004-08-01,2536.2
2004-09-01,2537.1
2004-10-01,2547.3
2004-11-01,2548.0
2004-12-01,2551.0
2005-01-01,2551.0
2005-02-01,2556.6
2005-03-01,2549.6
2005-04-01,2563.6
2005-05-01,2566.4
2005-06-01,2565.8
2005-07-01,2574.3
2005-08-01,2578.1
2005-09-01,2587.0
2005-10-01,2581.0
2005-11-01,2585.6
2005-12-01,2586.4
2006-01-01,2593.4
2006-02-01,2597.3
2006-03-01,2604.5
2006-04-01,2603.8
2006-05-01,2603.0
2006-06-01,2604.8
2006-07-01,2602.3
2006-08-01,2604.4
2006-09-01,2607.9
2006-10-01,2609.3
2006-11-01,2612.2
2006-12-01,2617.4
2007-01-01,2623.5
2007-02-01,2616.4
2007-03-01,2626.0
2007-04-01,2621.5
2007-05-01,2625.5
2007-06-01,2625.4
2007-07-01,2627.8
2007-08-01,2629.4
2007-09-01,2627.3
2007-10-01,2626.0
2007-11-01,2628.3
2007-12-01,2630.5
2008-01-01,2635.0
2008-02-01,2634.3
2008-03-01,2629.9
2008-04-01,2631.5
2008-05-01,2626.8
2008-06-01,2618.4
2008-07-01,2620.0
2008-08-01,2617.1
2008-09-01,2609.8
2008-10-01,2604.6
2008-11-01,2592.9
2008-12-01,2584.8
2009-01-01,2571.9
2009-02-01,2564.2
2009-03-01,2552.6
2009-04-01,2546.4
2009-05-01,2546.6
2009-06-01,2542.6
2009-07-01,2532.8
2009-08-01,2531.5
2009-09-01,2526.2
2009-10-01,2526.9
2009-11-01,2523.4
2009-12-01,2519.5
2010-01-01,2521.0
2010-02-01,2488.1
2010-03-01,2521.9
2010-04-01,2538.2
2010-05-01,2544.9
2010-06-01,2543.8
2010-07-01,2541.9
2010-08-01,2541.9
2010-09-01,2541.3
2010-10-01,2548.7
2010-11-01,2546.7
2010-12-01,2549.4
2011-01-01,2549.6
2011-02-01,2555.3
2011-03-01,2558.5
2011-04-01,2560.9
2011-05-01,2557.8
2011-06-01,2557.1
2011-07-01,2567.9
2011-08-01,2560.7
2011-09-01,2565.4
2011-10-01,2570.7
2011-11-01,2567.7
2011-12-01,2572.9
2012-01-01,2581.9
2012-02-01,2585.3
2012-03-01,2591.8
2012-04-01,2586.9
2012-05-01,2586.0
2012-06-01,2588.8
2012-07-01,2590.2
2012-08-01,2591.3
2012-09-01,2599.2
2012-10-01,2601.2
2012-11-01,2598.2
2012-12-01,2605.3
2013-01-01,2611.6
2013-02-01,2614.3
2013-03-01,2616.6
2013-04-01,2614.2
2013-05-01,2614.4
2013-06-01,2619.2
2013-07-01,2619.4
2013-08-01,2617.6
2013-09-01,2620.2
2013-10-01,2617.8
2013-11-01,2622.6
2013-12-01,2618.3
2014-01-01,2621.8
2014-02-01,2621.8
2014-03-01,2623.6
2014-04-01,2631.0
2014-05-01,2637.9
2014-06-01,2641.1
2014-07-01,2637.5
2014-08-01,2646.1
2014-09-01,2650.4
2014-10-01,2652.0
2014-11-01,2654.2
2014-12-01,2656.7
2015-01-01,2655.6
2015-02-01,2660.9
2015-03-01,2656.8
2015-04-01,2668.3
2015-05-01,2680.2
2015-06-01,2680.5
2015-07-01,2683.3
2015-08-01,2687.1
2015-09-01,2687.4
2015-10-01,2698.8
2015-11-01,2698.0
2015-12-01,2703.9
2016-01-01,2699.4
2016-02-01,2697.9
2016-03-01,2704.0
2016-04-01,2712.2
2016-05-01,2708.1
2016-06-01,2707.5
2016-07-01,2713.8
2016-08-01,2720.0
2016-09-01,2728.8
2016-10-01,2725.7
2016-11-01,2732.1
2016-12-01,2734.1
2017-01-01,2735.4
2017-02-01,2740.4
2017-03-01,2741.3
2017-04-01,2740.7
2017-05-01,2742.0
2017-06-01,2746.6
2017-07-01,2742.7
2017-08-01,2745.8
2017-09-01,2748.7
2017-10-01,2750.7
2017-11-01,2754.5
2017-12-01,2751.8
2018-01-01,2753.3
2018-02-01,2762.4
2018-03-01,2765.6
2018-04-01,2764.3
2018-05-01,2767.8
2018-06-01,2771.1
2018-07-01,2772.4
2018-08-01,2775.2
2018-09-01,2772.1
2018-10-01,2774.6
2018-11-01,2781.4
2018-12-01,2777.9
2019-01-01,2784.4
2019-02-01,2784.8
2019-03-01,2789.4
