date,value
1990-01-01,545.0
1990-02-01,543.6
1990-03-01,544.7
1990-04-01,542.4
1990-05-01,540.5
1990-06-01,540.3
1990-07-01,536.1
1990-08-01,529.7
1990-09-01,528.5
1990-10-01,527.3
1990-11-01,523.6
1990-12-01,522.1
1991-01-01,526.1
1991-02-01,520.8
1991-03-01,517.8
1991-04-01,515.3
1991-05-01,513.6
1991-06-01,513.3
1991-07-01,512.0
1991-08-01,512.2
1991-09-01,511.3
1991-10-01,509.6
1991-11-01,509.5
1991-12-01,507.8
1992-01-01,510.5
1992-02-01,509.7
1992-03-01,508.8
1992-04-01,510.0
1992-05-01,509.5
1992-06-01,511.3
1992-07-01,514.9
1992-08-01,513.9
1992-09-01,514.0
1992-10-01,514.6
1992-11-01,515.2
1992-12-01,514.5
1993-01-01,514.3
1993-02-01,514.4
1993-03-01,516.1
1993-04-01,517.2
1993-05-01,518.3
1993-06-01,518.5
1993-07-01,520.1
1993-08-01,520.6
1993-09-01,521.9
1993-10-01,525.2
1993-11-01,525.2
1993-12-01,525.3
1994-01-01,526.0
1994-02-01,527.7
1994-03-01,528.7
1994-04-01,529.0
1994-05-01,530.0
1994-06-01,529.9
1994-07-01,530.9
1994-08-01,531.8
1994-09-01,535.5
1994-10-01,535.7
1994-11-01,537.8
1994-12-01,538.7
1995-01-01,537.1
1995-02-01,540.5
1995-03-01,540.2
1995-04-01,540.0
1995-05-01,541.3
1995-06-01,539.6
1995-07-01,534.7
1995-08-01,538.1
1995-09-01,539.0
1995-10-01,538.0
1995-11-01,537.7
1995-12-01,536.1
1996-01-01,540.2
1996-02-01,540.7
1996-03-01,540.3
1996-04-01,540.2
1996-05-01,539.8
1996-06-01,541.8
1996-07-01,543.0
1996-08-01,544.2
1996-09-01,543.9
1996-10-01,544.3
1996-11-01,548.3
1996-12-01,547.9
1997-01-01,549.6
1997-02-01,548.0
1997-03-01,549.5
1997-04-01,550.2
1997-05-01,551.9
1997-06-01,553.1
1997-07-01,554.5
1997-08-01,556.6
1997-09-01,557.1
1997-10-01,557.8
1997-11-01,560.5
1997-12-01,562.4
1998-01-01,560.0
1998-02-01,565.0
1998-03-01,564.8
1998-04-01,566.6
1998-05-01,567.1
1998-06-01,569.4
1998-07-01,568.9
1998-08-01,570.3
1998-09-01,573.3
1998-10-01,574.7
1998-11-01,576.5
1998-12-01,578.3
1999-01-01,579.0
1999-02-01,581.5
1999-03-01,582.8
1999-04-01,583.9
1999-05-01,582.3
1999-06-01,585.9
1999-07-01,587.2
1999-08-01,588.4
1999-09-01,589.9
1999-10-01,596.4
1999-11-01,592.2
1999-12-01,593.0
2000-01-01,597.8
2000-02-01,599.6
2000-03-01,603.3
2000-04-01,603.8
2000-05-01,604.5
2000-06-01,603.3
2000-07-01,607.0
2000-08-01,605.2
2000-09-01,603.6
2000-10-01,602.7
2000-11-01,607.3
2000-12-01,608.0
2001-01-01,610.0
2001-02-01,610.3
2001-03-01,609.7
2001-04-01,611.1
2001-05-01,610.3
2001-06-01,610.5
2001-07-01,608.2
2001-08-01,607.8
2001-09-01,607.1
2001-10-01,606.2
2001-11-01,604.7
2001-12-01,603.3
2002-01-01,605.4
2002-02-01,605.6
2002-03-01,606.8
2002-04-01,608.1
2002-05-01,607.9
2002-06-01,608.8
2002-07-01,608.2
2002-08-01,607.3
2002-09-01,606.4
2002-10-01,606.3
2002-11-01,604.9
2002-12-01,606.2
2003-01-01,607.0
2003-02-01,605.4
2003-03-01,605.9
2003-04-01,605.1
2003-05-01,605.9
2003-06-01,605.2
2003-07-01,606.5
2003-08-01,607.7
2003-09-01,608.2
