date,value
1990-01-01,326.3
1990-02-01,328.8
1990-03-01,328.7
1990-04-01,332.0
1990-05-01,331.7
1990-06-01,332.6
1990-07-01,332.6
1990-08-01,331.4
1990-09-01,332.1
1990-10-01,330.5
1990-11-01,331.9
1990-12-01,330.7
1991-01-01,332.1
1991-02-01,329.4
1991-03-01,330.1
1991-04-01,327.8
1991-05-01,328.0
1991-06-01,328.4
1991-07-01,328.1
1991-08-01,329.1
1991-09-01,328.7
1991-10-01,328.3
1991-11-01,328.4
1991-12-01,329.3
1992-01-01,329.6
1992-02-01,329.9
1992-03-01,330.0
1992-04-01,328.0
1992-05-01,329.7
1992-06-01,329.6
1992-07-01,329.8
1992-08-01,329.9
1992-09-01,329.4
1992-10-01,334.5
1992-11-01,335.6
1992-12-01,334.7
1993-01-01,334.6
1993-02-01,335.6
1993-03-01,335.7
1993-04-01,337.5
1993-05-01,337.9
1993-06-01,339.5
1993-07-01,341.2
1993-08-01,342.0
1993-09-01,342.5
1993-10-01,344.0
1993-11-01,342.8
1993-12-01,344.3
1994-01-01,345.3
1994-02-01,345.8
1994-03-01,346.8
1994-04-01,345.4
1994-05-01,347.1
1994-06-01,346.6
1994-07-01,347.8
1994-08-01,349.1
1994-09-01,348.9
1994-10-01,349.6
1994-11-01,351.9
1994-12-01,352.2
1995-01-01,354.9
1995-02-01,357.5
1995-03-01,359.0
1995-04-01,362.9
1995-05-01,363.3
1995-06-01,365.2
1995-07-01,365.6
1995-08-01,365.3
1995-09-01,367.4
1995-10-01,367.3
1995-11-01,368.5
1995-12-01,370.1
1996-01-01,369.6
1996-02-01,371.2
1996-03-01,371.6
1996-04-01,365.8
1996-05-01,367.7
1996-06-01,368.6
1996-07-01,369.9
1996-08-01,371.5
1996-09-01,373.7
1996-10-01,374.7
1996-11-01,375.2
1996-12-01,378.1
1997-01-01,375.5
1997-02-01,375.4
1997-03-01,377.5
1997-04-01,377.0
1997-05-01,378.1
1997-06-01,378.2
1997-07-01,381.2
1997-08-01,382.0
1997-09-01,378.4
1997-10-01,377.9
1997-11-01,378.8
1997-12-01,379.7
1998-01-01,382.6
1998-02-01,381.9
1998-03-01,381.4
1998-04-01,380.1
1998-05-01,380.3
1998-06-01,379.5
1998-07-01,379.7
1998-08-01,378.2
1998-09-01,377.8
1998-10-01,375.6
1998-11-01,375.7
1998-12-01,376.2
1999-01-01,375.9
1999-02-01,378.2
1999-03-01,378.2
1999-04-01,382.4
1999-05-01,383.5
1999-06-01,383.8
1999-07-01,383.7
1999-08-01,383.2
1999-09-01,383.4
1999-10-01,388.0
1999-11-01,389.0
1999-12-01,395.7
2000-01-01,396.7
2000-02-01,397.2
2000-03-01,396.8
2000-04-01,397.8
2000-05-01,395.8
2000-06-01,398.1
2000-07-01,398.4
2000-08-01,398.5
2000-09-01,399.2
2000-10-01,402.1
2000-11-01,401.7
2000-12-01,401.1
2001-01-01,395.6
2001-02-01,396.2
2001-03-01,396.7
2001-04-01,394.5
2001-05-01,394.6
2001-06-01,394.3
2001-07-01,394.9
2001-08-01,395.1
2001-09-01,394.2
2001-10-01,394.0
2001-11-01,393.3
2001-12-01,393.5
2002-01-01,395.5
2002-02-01,395.3
2002-03-01,397.2
2002-04-01,398.7
2002-05-01,398.0
2002-06-01,398.9
2002-07-01,399.0
2002-08-01,399.5
2002-09-01,400.3
2002-10-01,400.1
2002-11-01,400.5
2002-12-01,400.4
2003-01-01,397.4
2003-02-01,395.7
2003-03-01,395.4
2003-04-01,395.7
2003-05-01,399.1
2003-06-01,400.9
2003-07-01,399.3
2003-08-01,396.7
2003-09-01,400.7
2003-10-01,401.8
2003-11-01,401.8
2003-12-01,402.6
2004-01-01,404.3
2004-02-01,404.3
2004-03-01,403.7
2004-04-01,401.3
2004-05-01,402.3
2004-06-01,403.4
2004-07-01,403.1
2004-08-01,402.5
2004-09-01,404.2
2004-10-01,402.1
2004-11-01,403.1
2004-12-01,403.6
2005-01-01,402.5
2005-02-01,404.1
2005-03-01,404.6
2005-04-01,407.9
2005-05-01,407.1
2005-06-01,405.9
2005-07-01,405.9
2005-08-01,406.8
2005-09-01,406.8
2005-10-01,403.4
2005-11-01,405.3
2005-12-01,406.6
2006-01-01,406.3
2006-02-01,410.5
2006-03-01,409.4
2006-04-01,410.4
2006-05-01,406.3
2006-06-01,407.5
2006-07-01,406.3
2006-08-01,406.3
2006-09-01,406.3
2006-10-01,404.5
2006-11-01,404.2
2006-12-01,404.8
2007-01-01,407.7
2007-02-01,407.2
2007-03-01,407.3
2007-04-01,406.5
2007-05-01,407.8
2007-06-01,407.1
2007-07-01,406.3
2007-08-01,405.5
2007-09-01,406.4
2007-10-01,407.5
2007-11-01,407.6
2007-12-01,406.7
2008-01-01,404.6
2008-02-01,403.9
2008-03-01,402.9
2008-04-01,401.8
2008-05-01,401.4
2008-06-01,401.1
2008-07-01,400.0
2008-08-01,399.4
2008-09-01,397.6
2008-10-01,396.3
2008-11-01,395.2
2008-12-01,393.9
2009-01-01,385.8
2009-02-01,384.3
2009-03-01,381.1
2009-04-01,382.6
2009-05-01,384.6
2009-06-01,381.5
2009-07-01,381.7
2009-08-01,380.3
2009-09-01,381.9
2009-10-01,380.2
2009-11-01,378.5
2009-12-01,377.7
2010-01-01,376.8
2010-02-01,376.7
2010-03-01,374.4
2010-04-01,377.1
2010-05-01,376.9
2010-06-01,377.9
2010-07-01,377.7
2010-08-01,378.7
2010-09-01,378.5
2010-10-01,378.1
2010-11-01,378.4
2010-12-01,378.7
2011-01-01,378.4
2011-02-01,378.1
2011-03-01,378.6
2011-04-01,379.1
2011-05-01,378.9
2011-06-01,378.6
2011-07-01,381.5
2011-08-01,381.9
2011-09-01,382.7
2011-10-01,383.2
2011-11-01,383.2
2011-12-01,382.0
2012-01-01,384.6
2012-02-01,385.8
2012-03-01,387.5
2012-04-01,389.4
2012-05-01,385.8
2012-06-01,388.6
2012-07-01,388.5
2012-08-01,389.2
2012-09-01,390.1
2012-10-01,390.9
2012-11-01,392.3
2012-12-01,393.3
2013-01-01,396.9
2013-02-01,398.2
2013-03-01,396.9
2013-04-01,394.0
2013-05-01,397.5
2013-06-01,397.1
2013-07-01,397.3
2013-08-01,398.3
2013-09-01,398.8
2013-10-01,401.8
2013-11-01,401.0
2013-12-01,402.3
2014-01-01,401.7
2014-02-01,402.5
2014-03-01,403.5
2014-04-01,403.0
2014-05-01,407.1
2014-06-01,408.3
2014-07-01,407.8
2014-08-01,408.4
2014-09-01,407.4
2014-10-01,408.3
2014-11-01,409.0
2014-12-01,410.4
2015-01-01,410.4
2015-02-01,410.3
2015-03-01,410.7
2015-04-01,408.6
2015-05-01,413.7
2015-06-01,412.7
2015-07-01,414.8
2015-08-01,414.7
2015-09-01,417.8
2015-10-01,417.4
2015-11-01,417.4
2015-12-01,417.5
2016-01-01,420.3
2016-02-01,422.3
2016-03-01,422.2
2016-04-01,424.6
2016-05-01,423.7
2016-06-01,423.9
2016-07-01,426.7
2016-08-01,426.4
2016-09-01,428.2
2016-10-01,427.4
2016-11-01,429.7
2016-12-01,427.3
2017-01-01,429.6
2017-02-01,431.2
2017-03-01,430.9
2017-04-01,432.6
2017-05-01,431.9
2017-06-01,433.2
2017-07-01,432.1
2017-08-01,433.3
2017-09-01,432.6
2017-10-01,432.7
2017-11-01,434.1
2017-12-01,432.5
2018-01-01,434.2
2018-02-01,432.9
2018-03-01,434.4
2018-04-01,430.5
2018-05-01,433.0
2018-06-01,434.4
2018-07-01,433.6
2018-08-01,434.3
2018-09-01,432.6
2018-10-01,434.6
2018-11-01,433.7
2018-12-01,435.4
2019-01-01,436.4
2019-02-01,435.5
2019-03-01,436.9
2019-04-01,436.4
2019-05-01,436.4
2019-06-01,436.5
2019-07-01,434.6
2019-08-01,434.5
2019-09-01,434.1
2019-10-01,435.3
2019-11-01,434.5
2019-12-01,435.9
2020-01-01,435.2
2020-02-01,435.5
2020-03-01,419.5
2020-04-01,193.2
2020-05-01,212.0
2020-06-01,276.9
2020-07-01,307.0
2020-08-01,318.6
2020-09-01,336.8
2020-10-01,345.1
2020-11-01,339.2
2020-12-01,271.4
2021-01-01,282.3
2021-02-01,333.7
2021-03-01,341.6
2021-04-01,345.1
2021-05-01,347.9
2021-06-01,354.2
2021-07-01,370.5
2021-08-01,372.9
2021-09-01,377.6
2021-10-01,385.0
2021-11-01,389.4
2021-12-01,389.0
2022-01-01,390.8
2022-02-01,395.4
2022-03-01,398.7
2022-04-01,401.2
2022-05-01,401.7
2022-06-01,400.8
2022-07-01,406.4
2022-08-01,407.1
2022-09-01,406.9
2022-10-01,409.4
2022-11-01,413.3
2022-12-01,413.1
2023-01-01,417.1
2023-02-01,418.6
2023-03-01,420.1
2023-04-01,422.3
2023-05-01,423.3
2023-06-01,425.1
2023-07-01,425.0
2023-08-01,425.5
2023-09-01,426.0
2023-10-01,424.4
2023-11-01,421.3
2023-12-01,426.5
2024-01-01,423.1
2024-02-01,426.1
2024-03-01,425.8
2024-04-01,428.9
2024-05-01,430.1
2024-06-01,428.6
2024-07-01,427.7
2024-08-01,429.4
2024-09-01,431.2
2024-10-01,431.1
2024-11-01,430.1
2024-12-01,431.3
2025-01-01,431.7
2025-02-01,428.7
2025-03-01,428.0
2025-04-01,429.8
2025-05-01,433.6
2025-06-01,431.9
2025-07-01,431.2
2025-08-01,430.8
2025-09-01,428.8
2025-10-01,426.5
2025-11-01,425.6
2025-12-01,425.4
2026-01-01,424.5
2026-02-01,423.8
2026-03-01,425.5
2026-04-01,428.9
2026-05-01,429.1
2026-06-01,430.8
2026-07-01,432.7
