date,value
1990-01-01,3904.8
1990-02-01,3942.4
1990-03-01,3962.6
1990-04-01,3963.4
1990-05-01,3967.5
1990-06-01,3975.1
1990-07-01,3976.4
1990-08-01,3965.9
1990-09-01,3950.0
1990-10-01,3938.9
1990-11-01,3916.0
1990-12-01,3916.4
1991-01-01,3908.4
1991-02-01,3887.2
1991-03-01,3876.0
1991-04-01,3872.4
1991-05-01,3877.1
1991-06-01,3877.9
1991-07-01,3888.1
1991-08-01,3877.4
1991-09-01,3887.0
1991-10-01,3896.0
1991-11-01,3898.3
1991-12-01,3895.6
1992-01-01,3880.2
1992-02-01,3892.8
1992-03-01,3898.5
1992-04-01,3906.8
1992-05-01,3915.6
1992-06-01,3925.1
1992-07-01,3932.8
1992-08-01,3930.8
1992-09-01,3926.1
1992-10-01,3935.5
1992-11-01,3943.3
1992-12-01,3948.1
1993-01-01,3966.6
1993-02-01,3968.1
1993-03-01,3966.8
1993-04-01,3977.4
1993-05-01,3985.6
1993-06-01,3989.5
1993-07-01,4005.0
1993-08-01,3988.2
1993-09-01,4009.5
1993-10-01,4038.3
1993-11-01,4045.2
1993-12-01,4059.6
1994-01-01,4079.9
1994-02-01,4082.3
1994-03-01,4100.2
1994-04-01,4106.6
1994-05-01,4118.2
1994-06-01,4129.5
1994-07-01,4153.1
1994-08-01,4168.7
1994-09-01,4183.5
1994-10-01,4180.0
1994-11-01,4203.6
1994-12-01,4209.9
1995-01-01,4216.1
1995-02-01,4234.4
1995-03-01,4247.7
1995-04-01,4255.9
1995-05-01,4259.9
1995-06-01,4270.5
1995-07-01,4265.9
1995-08-01,4281.3
1995-09-01,4298.2
1995-10-01,4297.8
1995-11-01,4300.2
1995-12-01,4326.1
1996-01-01,4321.6
1996-02-01,4333.9
1996-03-01,4321.1
1996-04-01,4325.0
1996-05-01,4339.0
1996-06-01,4355.5
1996-07-01,4344.9
1996-08-01,4364.1
1996-09-01,4376.8
1996-10-01,4385.7
1996-11-01,4399.1
1996-12-01,4400.2
1997-01-01,4403.0
1997-02-01,4409.4
1997-03-01,4428.1
1997-04-01,4431.6
1997-05-01,4438.7
1997-06-01,4430.7
1997-07-01,4442.6
1997-08-01,4441.9
1997-09-01,4465.4
1997-10-01,4457.3
1997-11-01,4462.1
1997-12-01,4471.5
1998-01-01,4503.2
1998-02-01,4509.2
1998-03-01,4504.6
1998-04-01,4518.6
1998-05-01,4524.7
1998-06-01,4519.9
1998-07-01,4447.7
1998-08-01,4512.5
1998-09-01,4521.4
1998-10-01,4527.0
1998-11-01,4538.6
1998-12-01,4542.5
1999-01-01,4533.6
1999-02-01,4553.3
1999-03-01,4559.1
1999-04-01,4573.0
1999-05-01,4581.5
1999-06-01,4581.5
1999-07-01,4598.5
1999-08-01,4597.3
1999-09-01,4598.4
1999-10-01,4605.8
1999-11-01,4614.5
1999-12-01,4629.5
2000-01-01,4654.7
2000-02-01,4660.5
2000-03-01,4672.0
2000-04-01,4693.6
2000-05-01,4691.8
2000-06-01,4694.1
2000-07-01,4689.7
2000-08-01,4683.3
2000-09-01,4676.0
2000-10-01,4682.4
2000-11-01,4676.8
2000-12-01,4665.6
2001-01-01,4609.2
2001-02-01,4618.2
2001-03-01,4611.9
2001-04-01,4604.7
2001-05-01,4590.9
2001-06-01,4588.1
2001-07-01,4570.2
2001-08-01,4557.1
2001-09-01,4540.0
2001-10-01,4514.8
2001-11-01,4501.4
2001-12-01,4493.7
2002-01-01,4489.4
2002-02-01,4494.4
2002-03-01,4492.4
2002-04-01,4489.6
2002-05-01,4490.6
2002-06-01,4494.0
2002-07-01,4499.4
2002-08-01,4493.8
2002-09-01,4491.2
2002-10-01,4487.2
2002-11-01,4482.8
2002-12-01,4471.1
2003-01-01,4453.0
2003-02-01,4438.5
2003-03-01,4428.5
2003-04-01,4413.2
2003-05-01,4423.2
2003-06-01,4420.5
2003-07-01,4394.9
2003-08-01,4402.2
2003-09-01,4406.0
2003-10-01,4412.2
2003-11-01,4406.5
2003-12-01,4405.9
2004-01-01,4403.2
2004-02-01,4395.5
2004-03-01,4400.3
2004-04-01,4403.6
2004-05-01,4404.7
2004-06-01,4396.4
2004-07-01,4378.8
2004-08-01,4399.3
2004-09-01,4403.9
2004-10-01,4408.0
2004-11-01,4403.5
2004-12-01,4406.2
2005-01-01,4392.8
2005-02-01,4404.6
2005-03-01,4399.5
2005-04-01,4404.0
2005-05-01,4402.0
2005-06-01,4386.3
2005-07-01,4382.6
2005-08-01,4383.2
2005-09-01,4398.2
