date,value
1990-01-01,178.2
1990-02-01,178.8
1990-03-01,180.1
1990-04-01,180.5
1990-05-01,179.1
1990-06-01,179.4
1990-07-01,182.0
1990-08-01,180.7
1990-09-01,181.3
1990-10-01,180.7
1990-11-01,181.1
1990-12-01,182.7
1991-01-01,181.0
1991-02-01,181.1
1991-03-01,181.5
1991-04-01,181.2
1991-05-01,181.7
1991-06-01,181.9
1991-07-01,181.5
1991-08-01,181.9
1991-09-01,183.1
1991-10-01,182.4
1991-11-01,182.6
1991-12-01,183.1
1992-01-01,183.8
1992-02-01,183.3
1992-03-01,184.0
1992-04-01,184.5
1992-05-01,188.1
1992-06-01,187.1
1992-07-01,187.0
1992-08-01,186.5
1992-09-01,187.4
1992-10-01,188.5
1992-11-01,189.1
1992-12-01,189.2
1993-01-01,189.4
1993-02-01,189.9
1993-03-01,189.9
1993-04-01,189.3
1993-05-01,189.1
1993-06-01,188.4
1993-07-01,190.4
1993-08-01,191.2
1993-09-01,191.4
1993-10-01,193.1
1993-11-01,192.6
1993-12-01,194.0
1994-01-01,194.7
1994-02-01,195.2
1994-03-01,195.6
1994-04-01,197.3
1994-05-01,198.4
1994-06-01,197.7
1994-07-01,195.9
1994-08-01,195.9
1994-09-01,196.7
1994-10-01,197.0
1994-11-01,198.0
1994-12-01,198.6
1995-01-01,201.1
1995-02-01,202.4
1995-03-01,203.4
1995-04-01,203.5
1995-05-01,203.3
1995-06-01,204.3
1995-07-01,203.7
1995-08-01,204.6
1995-09-01,205.1
1995-10-01,205.4
1995-11-01,206.3
1995-12-01,206.6
1996-01-01,206.5
1996-02-01,206.2
1996-03-01,207.3
1996-04-01,206.0
1996-05-01,206.4
1996-06-01,206.3
1996-07-01,206.9
1996-08-01,206.9
1996-09-01,205.9
1996-10-01,206.0
1996-11-01,207.4
1996-12-01,206.7
1997-01-01,205.3
1997-02-01,206.1
1997-03-01,205.9
1997-04-01,206.2
1997-05-01,207.6
1997-06-01,208.8
1997-07-01,209.9
1997-08-01,209.3
1997-09-01,210.9
1997-10-01,210.8
1997-11-01,210.7
1997-12-01,211.0
1998-01-01,210.8
1998-02-01,211.5
1998-03-01,212.0
1998-04-01,211.1
1998-05-01,213.1
1998-06-01,213.1
1998-07-01,213.2
1998-08-01,214.2
1998-09-01,213.8
1998-10-01,211.9
1998-11-01,212.8
1998-12-01,213.0
1999-01-01,213.6
1999-02-01,214.7
1999-03-01,215.1
1999-04-01,215.7
1999-05-01,216.4
1999-06-01,217.3
1999-07-01,216.5
1999-08-01,217.7
1999-09-01,217.5
1999-10-01,218.7
1999-11-01,219.2
1999-12-01,219.5
2000-01-01,219.6
2000-02-01,220.2
2000-03-01,221.1
2000-04-01,221.1
2000-05-01,219.8
2000-06-01,220.4
2000-07-01,222.0
2000-08-01,223.0
2000-09-01,224.2
2000-10-01,223.0
2000-11-01,223.4
2000-12-01,222.5
2001-01-01,224.5
2001-02-01,225.7
2001-03-01,227.0
2001-04-01,225.1
2001-05-01,224.8
2001-06-01,226.0
2001-07-01,227.4
2001-08-01,229.6
2001-09-01,227.1
2001-10-01,227.2
2001-11-01,227.8
2001-12-01,227.1
2002-01-01,228.6
2002-02-01,228.2
2002-03-01,228.1
2002-04-01,227.9
2002-05-01,228.1
2002-06-01,229.1
2002-07-01,229.2
2002-08-01,229.1
2002-09-01,229.4
2002-10-01,229.3
2002-11-01,228.9
2002-12-01,229.7
2003-01-01,231.4
2003-02-01,230.3
2003-03-01,229.7
2003-04-01,231.3
2003-05-01,232.3
2003-06-01,231.7
2003-07-01,231.4
2003-08-01,231.9
2003-09-01,232.0
2003-10-01,232.3
2003-11-01,232.4
2003-12-01,232.8
2004-01-01,232.7
2004-02-01,232.3
2004-03-01,232.8
2004-04-01,234.6
2004-05-01,235.5
2004-06-01,236.0
2004-07-01,236.3
2004-08-01,236.4
2004-09-01,237.5
2004-10-01,238.5
2004-11-01,238.0
2004-12-01,238.2
2005-01-01,237.9
2005-02-01,237.9
2005-03-01,238.0
2005-04-01,240.5
2005-05-01,240.4
2005-06-01,240.9
2005-07-01,241.7
2005-08-01,242.7
2005-09-01,244.0
2005-10-01,246.2
2005-11-01,249.3
2005-12-01,248.5
2006-01-01,248.8
2006-02-01,249.2
2006-03-01,250.0
2006-04-01,245.3
2006-05-01,244.0
2006-06-01,244.5
2006-07-01,242.6
2006-08-01,243.5
2006-09-01,243.2
2006-10-01,243.3
2006-11-01,244.3
2006-12-01,245.1
2007-01-01,247.4
2007-02-01,247.3
2007-03-01,247.5
2007-04-01,248.4
2007-05-01,247.5
2007-06-01,247.5
2007-07-01,248.3
2007-08-01,247.2
2007-09-01,247.6
2007-10-01,247.6
2007-11-01,248.1
2007-12-01,247.8
2008-01-01,248.2
2008-02-01,248.2
2008-03-01,248.5
2008-04-01,245.1
2008-05-01,245.8
2008-06-01,246.9
2008-07-01,245.6
2008-08-01,245.7
2008-09-01,244.4
2008-10-01,244.4
2008-11-01,243.7
2008-12-01,242.5
2009-01-01,241.7
2009-02-01,240.5
2009-03-01,239.1
2009-04-01,238.1
2009-05-01,239.3
2009-06-01,237.5
2009-07-01,237.2
2009-08-01,236.8
2009-09-01,236.4
2009-10-01,236.0
2009-11-01,235.2
2009-12-01,235.4
2010-01-01,234.5
2010-02-01,234.1
2010-03-01,234.6
2010-04-01,236.0
2010-05-01,234.8
2010-06-01,233.8
2010-07-01,234.8
2010-08-01,235.0
2010-09-01,234.9
2010-10-01,237.6
2010-11-01,235.8
2010-12-01,235.6
2011-01-01,235.9
2011-02-01,236.0
2011-03-01,237.1
2011-04-01,237.9
2011-05-01,239.8
2011-06-01,239.9
2011-07-01,239.3
2011-08-01,240.5
2011-09-01,242.9
2011-10-01,240.9
2011-11-01,242.5
2011-12-01,242.4
2012-01-01,243.1
2012-02-01,244.4
2012-03-01,246.0
2012-04-01,246.4
2012-05-01,243.4
2012-06-01,244.3
2012-07-01,245.3
2012-08-01,245.5
2012-09-01,246.9
2012-10-01,246.5
2012-11-01,247.6
2012-12-01,247.5
2013-01-01,248.9
2013-02-01,248.8
2013-03-01,249.3
2013-04-01,247.1
2013-05-01,249.2
