date,value
1990-01-01,2123.6
1990-02-01,2129.7
1990-03-01,2130.6
1990-04-01,2133.3
1990-05-01,2131.1
1990-06-01,2132.3
1990-07-01,2138.8
1990-08-01,2141.4
1990-09-01,2142.2
1990-10-01,2139.7
1990-11-01,2142.2
1990-12-01,2141.4
1991-01-01,2143.0
1991-02-01,2138.4
1991-03-01,2138.7
1991-04-01,2140.5
1991-05-01,2141.0
1991-06-01,2143.6
1991-07-01,2145.0
1991-08-01,2149.5
1991-09-01,2150.2
1991-10-01,2154.5
1991-11-01,2148.3
1991-12-01,2157.6
1992-01-01,2169.8
1992-02-01,2170.1
1992-03-01,2174.9
1992-04-01,2180.7
1992-05-01,2189.2
1992-06-01,2188.5
1992-07-01,2197.0
1992-08-01,2200.9
1992-09-01,2204.7
1992-10-01,2212.4
1992-11-01,2216.1
1992-12-01,2222.1
1993-01-01,2230.0
1993-02-01,2232.4
1993-03-01,2236.6
1993-04-01,2239.3
1993-05-01,2243.0
1993-06-01,2243.4
1993-07-01,2251.3
1993-08-01,2254.0
1993-09-01,2256.3
1993-10-01,2273.0
1993-11-01,2277.8
1993-12-01,2285.8
1994-01-01,2284.7
1994-02-01,2292.9
1994-03-01,2299.3
1994-04-01,2304.9
1994-05-01,2313.3
1994-06-01,2318.1
1994-07-01,2320.2
1994-08-01,2326.2
1994-09-01,2335.9
1994-10-01,2334.0
1994-11-01,2346.8
1994-12-01,2350.8
1995-01-01,2359.2
1995-02-01,2367.7
1995-03-01,2375.0
1995-04-01,2376.7
1995-05-01,2377.1
1995-06-01,2384.2
1995-07-01,2389.6
1995-08-01,2395.7
1995-09-01,2394.9
1995-10-01,2402.3
1995-11-01,2408.3
1995-12-01,2415.5
1996-01-01,2419.0
1996-02-01,2423.4
1996-03-01,2431.1
1996-04-01,2432.4
1996-05-01,2436.9
1996-06-01,2440.2
1996-07-01,2444.0
1996-08-01,2447.0
1996-09-01,2448.5
1996-10-01,2453.4
1996-11-01,2461.3
1996-12-01,2463.9
1997-01-01,2465.1
1997-02-01,2470.8
1997-03-01,2476.6
1997-04-01,2479.3
1997-05-01,2489.4
1997-06-01,2495.0
1997-07-01,2506.2
1997-08-01,2507.9
1997-09-01,2516.5
1997-10-01,2522.8
1997-11-01,2529.9
1997-12-01,2536.9
1998-01-01,2540.6
1998-02-01,2545.4
1998-03-01,2549.7
1998-04-01,2555.4
1998-05-01,2567.0
1998-06-01,2569.3
1998-07-01,2562.6
1998-08-01,2570.3
1998-09-01,2556.1
1998-10-01,2572.4
1998-11-01,2580.1
1998-12-01,2589.1
1999-01-01,2589.8
1999-02-01,2592.9
1999-03-01,2597.3
1999-04-01,2611.4
1999-05-01,2613.0
1999-06-01,2617.9
1999-07-01,2631.6
1999-08-01,2632.8
1999-09-01,2626.5
1999-10-01,2642.8
