date,value
1990-01-01,2342.1
1990-02-01,2342.1
1990-03-01,2343.3
1990-04-01,2338.6
1990-05-01,2344.7
1990-06-01,2349.0
1990-07-01,2348.5
1990-08-01,2353.3
1990-09-01,2350.0
1990-10-01,2341.7
1990-11-01,2339.8
1990-12-01,2339.6
1991-01-01,2308.4
1991-02-01,2302.3
1991-03-01,2305.5
1991-04-01,2295.8
1991-05-01,2295.9
1991-06-01,2301.4
1991-07-01,2313.1
1991-08-01,2318.6
1991-09-01,2317.9
1991-10-01,2316.1
1991-11-01,2313.5
1991-12-01,2318.0
1992-01-01,2315.1
1992-02-01,2319.3
1992-03-01,2319.6
1992-04-01,2325.7
1992-05-01,2330.0
1992-06-01,2330.5
1992-07-01,2338.0
1992-08-01,2341.6
1992-09-01,2343.3
1992-10-01,2347.1
1992-11-01,2348.4
1992-12-01,2347.8
1993-01-01,2350.1
1993-02-01,2365.7
1993-03-01,2363.2
1993-04-01,2380.7
1993-05-01,2390.2
1993-06-01,2393.5
1993-07-01,2395.9
1993-08-01,2399.4
1993-09-01,2409.5
1993-10-01,2423.2
1993-11-01,2432.3
1993-12-01,2436.9
1994-01-01,2435.3
1994-02-01,2436.1
1994-03-01,2441.5
1994-04-01,2448.2
1994-05-01,2456.4
1994-06-01,2467.7
1994-07-01,2477.2
1994-08-01,2486.8
1994-09-01,2490.2
1994-10-01,2499.3
1994-11-01,2507.1
1994-12-01,2514.0
1995-01-01,2498.4
1995-02-01,2507.6
1995-03-01,2517.7
1995-04-01,2516.0
1995-05-01,2511.9
1995-06-01,2517.0
1995-07-01,2516.7
1995-08-01,2529.8
1995-09-01,2539.4
1995-10-01,2535.8
1995-11-01,2540.7
1995-12-01,2548.7
1996-01-01,2544.9
1996-02-01,2548.1
1996-03-01,2557.3
1996-04-01,2564.6
1996-05-01,2565.7
1996-06-01,2560.3
1996-07-01,2563.0
1996-08-01,2572.6
1996-09-01,2576.0
1996-10-01,2591.4
1996-11-01,2601.9
1996-12-01,2602.3
1997-01-01,2610.1
1997-02-01,2620.8
1997-03-01,2630.1
1997-04-01,2631.1
1997-05-01,2636.3
1997-06-01,2641.9
1997-07-01,2644.2
1997-08-01,2655.0
1997-09-01,2657.0
1997-10-01,2659.8
1997-11-01,2668.0
1997-12-01,2668.2
1998-01-01,2659.0
1998-02-01,2676.6
1998-03-01,2667.2
1998-04-01,2671.4
1998-05-01,2688.9
1998-06-01,2695.0
1998-07-01,2687.8
1998-08-01,2694.9
1998-09-01,2700.1
1998-10-01,2696.2
1998-11-01,2698.8
1998-12-01,2713.5
1999-01-01,2701.2
1999-02-01,2714.8
1999-03-01,2714.2
1999-04-01,2719.6
1999-05-01,2722.8
1999-06-01,2725.6
1999-07-01,2732.8
1999-08-01,2730.5
1999-09-01,2745.5
1999-10-01,2750.1
1999-11-01,2753.4
1999-12-01,2759.9
2000-01-01,2753.2
2000-02-01,2751.2
2000-03-01,2757.8
2000-04-01,2753.7
2000-05-01,2753.7
2000-06-01,2760.9
2000-07-01,2746.8
2000-08-01,2752.2
2000-09-01,2750.4
2000-10-01,2759.2
2000-11-01,2758.9
2000-12-01,2748.8
2001-01-01,2748.1
2001-02-01,2748.8
2001-03-01,2750.8
2001-04-01,2747.9
2001-05-01,2746.6
2001-06-01,2749.6
2001-07-01,2727.2
2001-08-01,2735.4
2001-09-01,2727.5
2001-10-01,2718.0
2001-11-01,2716.6
2001-12-01,2715.0
2002-01-01,2720.1
2002-02-01,2717.1
2002-03-01,2714.8
2002-04-01,2702.3
2002-05-01,2702.8
2002-06-01,2706.3
2002-07-01,2682.3
2002-08-01,2697.4
2002-09-01,2709.4
2002-10-01,2703.9
2002-11-01,2706.2
2002-12-01,2706.6
2003-01-01,2702.5
2003-02-01,2697.1
2003-03-01,2689.0
2003-04-01,2687.4
2003-05-01,2687.0
2003-06-01,2688.9
2003-07-01,2675.9
2003-08-01,2681.9
2003-09-01,2685.4
2003-10-01,2691.3
2003-11-01,2686.7
2003-12-01,2686.7
2004-01-01,2692.2
2004-02-01,2683.0
2004-03-01,2691.8
2004-04-01,2696.3
2004-05-01,2696.9
2004-06-01,2704.0
2004-07-01,2694.5
2004-08-01,2707.4
2004-09-01,2709.4
2004-10-01,2719.3
2004-11-01,2718.5
2004-12-01,2720.1
2005-01-01,2717.7
2005-02-01,2725.8
2005-03-01,2728.4
2005-04-01,2743.3
2005-05-01,2742.1
2005-06-01,2741.3
2005-07-01,2749.2
2005-08-01,2759.0
2005-09-01,2753.5
2005-10-01,2753.1
2005-11-01,2757.9
2005-12-01,2761.2
2006-01-01,2769.7
2006-02-01,2774.9
2006-03-01,2781.2
2006-04-01,2784.8
2006-05-01,2781.2
2006-06-01,2783.2
2006-07-01,2782.5
2006-08-01,2785.2
2006-09-01,2787.3
2006-10-01,2788.9
2006-11-01,2794.7
2006-12-01,2803.6
2007-01-01,2798.8
2007-02-01,2799.1
2007-03-01,2812.7
2007-04-01,2805.7
2007-05-01,2808.3
2007-06-01,2806.2
2007-07-01,2804.3
2007-08-01,2809.2
2007-09-01,2811.0
2007-10-01,2807.6
2007-11-01,2812.2
2007-12-01,2812.3
2008-01-01,2818.1
2008-02-01,2818.7
2008-03-01,2811.6
2008-04-01,2814.1
2008-05-01,2814.5
2008-06-01,2813.9
2008-07-01,2800.0
2008-08-01,2802.9
2008-09-01,2800.8
2008-10-01,2792.7
2008-11-01,2780.2
2008-12-01,2767.7
2009-01-01,2750.3
2009-02-01,2739.2
2009-03-01,2723.5
2009-04-01,2708.8
2009-05-01,2703.3
2009-06-01,2697.6
2009-07-01,2689.6
2009-08-01,2689.2
2009-09-01,2682.7
2009-10-01,2674.4
2009-11-01,2672.8
2009-12-01,2670.7
2010-01-01,2663.0
2010-02-01,2664.6
2010-03-01,2665.8
2010-04-01,2667.4
2010-05-01,2670.4
2010-06-01,2665.3
2010-07-01,2664.3
2010-08-01,2681.7
2010-09-01,2670.1
2010-10-01,2673.4
2010-11-01,2672.1
2010-12-01,2670.1
2011-01-01,2670.9
2011-02-01,2669.1
2011-03-01,2675.5
2011-04-01,2681.5
2011-05-01,2680.0
2011-06-01,2676.0
2011-07-01,2681.6
2011-08-01,2680.0
2011-09-01,2684.9
2011-10-01,2679.6
2011-11-01,2682.6
2011-12-01,2686.0
2012-01-01,2691.7
2012-02-01,2692.5
2012-03-01,2697.0
2012-04-01,2689.6
2012-05-01,2691.8
2012-06-01,2692.6
2012-07-01,2695.6
2012-08-01,2697.1
2012-09-01,2700.9
2012-10-01,2703.4
2012-11-01,2709.0
2012-12-01,2711.6
2013-01-01,2712.8
2013-02-01,2718.6
2013-03-01,2716.8
2013-04-01,2717.1
2013-05-01,2720.1
2013-06-01,2723.4
2013-07-01,2721.5
2013-08-01,2724.6
2013-09-01,2730.3
2013-10-01,2732.9
2013-11-01,2734.6
2013-12-01,2733.9
2014-01-01,2729.1
2014-02-01,2736.7
2014-03-01,2736.7
2014-04-01,2749.9
2014-05-01,2752.7
2014-06-01,2752.4
2014-07-01,2753.1
2014-08-01,2758.7
2014-09-01,2758.3
2014-10-01,2767.5
2014-11-01,2770.4
2014-12-01,2774.8
2015-01-01,2785.2
2015-02-01,2791.7
2015-03-01,2788.7
2015-04-01,2800.1
2015-05-01,2811.4
2015-06-01,2812.0
2015-07-01,2818.7
2015-08-01,2817.7
2015-09-01,2820.0
2015-10-01,2825.8
2015-11-01,2831.2
2015-12-01,2835.1
2016-01-01,2837.8
2016-02-01,2838.7
2016-03-01,2843.4
2016-04-01,2850.6
2016-05-01,2848.4
2016-06-01,2851.0
2016-07-01,2856.3
2016-08-01,2859.1
2016-09-01,2860.7
2016-10-01,2863.3
2016-11-01,2863.9
2016-12-01,2866.2
2017-01-01,2869.2
2017-02-01,2879.4
2017-03-01,2878.5
2017-04-01,2875.3
2017-05-01,2875.1
2017-06-01,2884.4
2017-07-01,2879.3
2017-08-01,2881.0
2017-09-01,2884.7
2017-10-01,2877.1
2017-11-01,2882.8
2017-12-01,2886.5
2018-01-01,2881.7
2018-02-01,2886.5
2018-03-01,2890.9
2018-04-01,2885.1
2018-05-01,2887.8
2018-06-01,2896.1
2018-07-01,2895.3
2018-08-01,2897.2
2018-09-01,2900.0
2018-10-01,2898.5
2018-11-01,2898.1
2018-12-01,2898.1
2019-01-01,2906.2
2019-02-01,2904.2
2019-03-01,2906.8
2019-04-01,2912.9
2019-05-01,2910.7
2019-06-01,2911.1
2019-07-01,2912.5
2019-08-01,2913.2
2019-09-01,2922.0
2019-10-01,2923.8
2019-11-01,2927.2
2019-12-01,2930.4
2020-01-01,2925.9
2020-02-01,2927.0
2020-03-01,2911.2
2020-04-01,2569.7
2020-05-01,2622.0
