date,value
1990-01-01,929.2
1990-02-01,931.2
1990-03-01,934.8
1990-04-01,936.9
1990-05-01,941.1
1990-06-01,937.7
1990-07-01,943.1
1990-08-01,932.0
1990-09-01,942.1
1990-10-01,942.2
1990-11-01,942.7
1990-12-01,941.5
1991-01-01,935.7
1991-02-01,932.3
1991-03-01,932.0
1991-04-01,933.9
1991-05-01,933.3
1991-06-01,935.5
1991-07-01,938.9
1991-08-01,935.9
1991-09-01,945.1
1991-10-01,946.9
1991-11-01,948.1
1991-12-01,948.8
1992-01-01,948.9
1992-02-01,950.8
1992-03-01,952.0
1992-04-01,955.6
1992-05-01,958.8
1992-06-01,958.4
1992-07-01,963.1
1992-08-01,965.5
1992-09-01,964.5
1992-10-01,968.6
1992-11-01,973.0
1992-12-01,976.5
1993-01-01,979.1
1993-02-01,984.7
1993-03-01,986.9
1993-04-01,993.7
1993-05-01,998.6
1993-06-01,999.0
1993-07-01,1000.4
1993-08-01,1005.7
1993-09-01,1010.0
1993-10-01,1022.1
1993-11-01,1027.0
1993-12-01,1033.1
1994-01-01,1036.1
1994-02-01,1039.6
1994-03-01,1045.2
1994-04-01,1047.8
1994-05-01,1053.5
1994-06-01,1060.1
1994-07-01,1066.0
1994-08-01,1066.1
1994-09-01,1067.0
1994-10-01,1062.7
1994-11-01,1067.5
1994-12-01,1070.4
1995-01-01,1072.9
1995-02-01,1076.6
1995-03-01,1073.5
1995-04-01,1074.4
1995-05-01,1075.9
1995-06-01,1075.8
1995-07-01,1069.7
1995-08-01,1079.0
1995-09-01,1080.0
1995-10-01,1078.6
1995-11-01,1078.3
1995-12-01,1079.4
1996-01-01,1080.7
1996-02-01,1082.1
1996-03-01,1085.2
1996-04-01,1089.4
1996-05-01,1091.5
1996-06-01,1093.9
1996-07-01,1089.7
1996-08-01,1092.1
1996-09-01,1094.1
1996-10-01,1092.1
1996-11-01,1095.5
1996-12-01,1096.9
1997-01-01,1095.9
1997-02-01,1099.4
1997-03-01,1102.4
1997-04-01,1103.9
1997-05-01,1107.3
1997-06-01,1102.3
1997-07-01,1105.8
1997-08-01,1108.8
1997-09-01,1110.7
1997-10-01,1117.5
1997-11-01,1120.8
1997-12-01,1125.6
1998-01-01,1126.0
1998-02-01,1129.5
1998-03-01,1126.7
1998-04-01,1131.4
1998-05-01,1133.6
1998-06-01,1132.1
1998-07-01,1135.4
1998-08-01,1137.0
1998-09-01,1137.4
1998-10-01,1142.3
1998-11-01,1143.8
1998-12-01,1146.2
1999-01-01,1144.2
1999-02-01,1146.1
1999-03-01,1150.8
1999-04-01,1154.5
1999-05-01,1154.8
1999-06-01,1157.0
1999-07-01,1157.8
1999-08-01,1158.4
1999-09-01,1159.8
1999-10-01,1157.8
1999-11-01,1157.5
1999-12-01,1159.3
2000-01-01,1159.4
2000-02-01,1158.1
2000-03-01,1160.6
2000-04-01,1158.7
2000-05-01,1162.1
2000-06-01,1159.9
2000-07-01,1157.0
2000-08-01,1154.5
2000-09-01,1149.9
2000-10-01,1150.3
2000-11-01,1148.6
2000-12-01,1146.3
2001-01-01,1142.8
2001-02-01,1140.1
2001-03-01,1136.3
2001-04-01,1135.8
2001-05-01,1133.5
2001-06-01,1132.1
2001-07-01,1131.5
2001-08-01,1128.6
2001-09-01,1126.0
2001-10-01,1125.3
2001-11-01,1124.9
2001-12-01,1122.4
2002-01-01,1124.2
2002-02-01,1124.0
2002-03-01,1124.4
2002-04-01,1126.3
2002-05-01,1127.2
2002-06-01,1131.0
2002-07-01,1130.9
2002-08-01,1126.6
2002-09-01,1126.0
2002-10-01,1122.2
2002-11-01,1119.9
2002-12-01,1119.6
2003-01-01,1120.9
2003-02-01,1118.2
2003-03-01,1115.3
2003-04-01,1113.9
2003-05-01,1112.3
2003-06-01,1109.7
2003-07-01,1116.2
2003-08-01,1111.2
2003-09-01,1115.4
2003-10-01,1119.7
2003-11-01,1121.9
2003-12-01,1119.7
2004-01-01,1122.2
2004-02-01,1121.9
2004-03-01,1122.8
2004-04-01,1125.5
2004-05-01,1125.3
2004-06-01,1125.4
2004-07-01,1126.3
2004-08-01,1126.3
2004-09-01,1128.6
2004-10-01,1129.7
2004-11-01,1129.5
2004-12-01,1130.4
2005-01-01,1131.6
2005-02-01,1134.2
2005-03-01,1135.1
2005-04-01,1135.2
2005-05-01,1134.8
2005-06-01,1134.2
2005-07-01,1137.0
2005-08-01,1137.3
2005-09-01,1116.4
2005-10-01,1124.0
2005-11-01,1132.9
2005-12-01,1128.3
2006-01-01,1129.8
2006-02-01,1133.6
2006-03-01,1138.0
2006-04-01,1139.1
2006-05-01,1141.2
2006-06-01,1144.5
2006-07-01,1139.3
2006-08-01,1146.9
2006-09-01,1148.8
2006-10-01,1149.4
2006-11-01,1150.9
2006-12-01,1152.0
2007-01-01,1152.1
2007-02-01,1152.3
2007-03-01,1149.3
2007-04-01,1151.7
2007-05-01,1152.2
2007-06-01,1153.1
2007-07-01,1151.0
2007-08-01,1155.8
2007-09-01,1156.9
2007-10-01,1157.9
2007-11-01,1158.3
2007-12-01,1160.1
2008-01-01,1161.7
2008-02-01,1161.7
2008-03-01,1158.7
