date,value
1990-01-01,293.4
1990-02-01,293.6
1990-03-01,295.0
1990-04-01,297.2
1990-05-01,297.2
1990-06-01,299.0
1990-07-01,297.7
1990-08-01,297.1
1990-09-01,296.4
1990-10-01,300.2
1990-11-01,300.0
1990-12-01,299.7
1991-01-01,299.3
1991-02-01,299.7
1991-03-01,298.7
1991-04-01,299.6
1991-05-01,300.5
1991-06-01,304.2
1991-07-01,304.1
1991-08-01,305.4
1991-09-01,306.5
1991-10-01,307.4
1991-11-01,308.5
1991-12-01,310.4
1992-01-01,312.7
1992-02-01,312.5
1992-03-01,313.8
1992-04-01,314.7
1992-05-01,316.6
1992-06-01,319.3
1992-07-01,316.9
1992-08-01,316.8
1992-09-01,316.8
1992-10-01,317.4
1992-11-01,320.6
1992-12-01,320.1
1993-01-01,319.7
1993-02-01,321.1
1993-03-01,321.3
1993-04-01,324.1
1993-05-01,324.7
1993-06-01,328.1
1993-07-01,325.3
1993-08-01,327.8
1993-09-01,326.9
1993-10-01,328.8
1993-11-01,328.8
1993-12-01,330.9
1994-01-01,331.8
1994-02-01,332.9
1994-03-01,333.7
1994-04-01,336.2
1994-05-01,338.7
1994-06-01,339.4
1994-07-01,341.4
1994-08-01,344.7
1994-09-01,346.2
1994-10-01,344.8
1994-11-01,346.3
1994-12-01,346.6
1995-01-01,347.5
1995-02-01,349.0
1995-03-01,349.7
1995-04-01,348.3
1995-05-01,348.6
1995-06-01,350.5
1995-07-01,353.3
1995-08-01,353.5
1995-09-01,354.7
1995-10-01,354.7
1995-11-01,354.9
1995-12-01,355.4
1996-01-01,356.6
1996-02-01,358.3
1996-03-01,359.0
1996-04-01,360.8
1996-05-01,361.1
1996-06-01,362.1
1996-07-01,362.3
1996-08-01,363.2
1996-09-01,363.4
1996-10-01,365.0
1996-11-01,366.0
1996-12-01,364.5
1997-01-01,364.4
1997-02-01,364.9
1997-03-01,364.3
1997-04-01,365.1
1997-05-01,366.6
1997-06-01,365.6
1997-07-01,366.7
1997-08-01,366.9
1997-09-01,368.1
1997-10-01,370.2
1997-11-01,370.6
1997-12-01,372.2
1998-01-01,372.3
1998-02-01,372.9
1998-03-01,372.5
1998-04-01,372.6
1998-05-01,374.2
1998-06-01,374.4
1998-07-01,376.0
1998-08-01,377.4
1998-09-01,377.5
1998-10-01,379.1
1998-11-01,379.6
1998-12-01,380.6
1999-01-01,379.5
1999-02-01,380.6
1999-03-01,381.8
1999-04-01,382.5
1999-05-01,382.1
1999-06-01,383.3
1999-07-01,384.0
1999-08-01,384.5
1999-09-01,384.7
1999-10-01,385.7
1999-11-01,386.3
1999-12-01,387.4
2000-01-01,388.5
2000-02-01,389.2
2000-03-01,392.8
2000-04-01,391.1
2000-05-01,392.8
2000-06-01,390.9
2000-07-01,391.6
2000-08-01,392.6
2000-09-01,392.5
2000-10-01,390.8
2000-11-01,392.2
2000-12-01,390.8
2001-01-01,391.7
2001-02-01,392.0
2001-03-01,392.3
2001-04-01,391.4
2001-05-01,392.6
2001-06-01,392.2
2001-07-01,391.1
2001-08-01,390.6
2001-09-01,389.8
2001-10-01,391.0
2001-11-01,391.3
2001-12-01,390.9
2002-01-01,393.8
2002-02-01,394.2
2002-03-01,392.7
2002-04-01,394.1
2002-05-01,394.8
2002-06-01,397.5
2002-07-01,395.3
2002-08-01,395.0
2002-09-01,396.8
2002-10-01,397.2
2002-11-01,398.3
2002-12-01,399.5
2003-01-01,399.2
2003-02-01,399.5
2003-03-01,397.5
2003-04-01,400.2
2003-05-01,399.8
2003-06-01,399.4
2003-07-01,399.1
2003-08-01,400.6
2003-09-01,401.0
2003-10-01,402.4
2003-11-01,401.9
2003-12-01,403.5
2004-01-01,403.6
2004-02-01,405.0
2004-03-01,406.6
2004-04-01,410.2
2004-05-01,410.2
2004-06-01,413.3
2004-07-01,412.4
2004-08-01,411.2
2004-09-01,412.7
2004-10-01,413.5
2004-11-01,414.3
2004-12-01,415.6
2005-01-01,413.5
2005-02-01,416.7
2005-03-01,417.7
2005-04-01,416.0
2005-05-01,417.2
2005-06-01,418.9
2005-07-01,422.0
2005-08-01,420.9
2005-09-01,423.1
2005-10-01,424.6
2005-11-01,425.8
2005-12-01,425.7
2006-01-01,427.7
2006-02-01,430.3
2006-03-01,431.2
2006-04-01,433.2
2006-05-01,433.7
2006-06-01,437.2
2006-07-01,439.9
2006-08-01,434.9
2006-09-01,434.1
2006-10-01,434.9
2006-11-01,435.8
2006-12-01,437.8
2007-01-01,440.4
2007-02-01,441.2
2007-03-01,443.9
2007-04-01,443.6
2007-05-01,443.6
2007-06-01,443.4
2007-07-01,445.4
2007-08-01,444.7
2007-09-01,443.3
2007-10-01,445.8
2007-11-01,445.6
2007-12-01,446.5
2008-01-01,447.1
2008-02-01,447.6
2008-03-01,448.0
2008-04-01,446.0
2008-05-01,446.1
2008-06-01,444.7
2008-07-01,445.4
2008-08-01,444.5
2008-09-01,443.7
2008-10-01,442.3
2008-11-01,441.5
2008-12-01,439.2
2009-01-01,433.9
2009-02-01,432.6
2009-03-01,428.9
2009-04-01,429.2
2009-05-01,429.1
2009-06-01,429.2
2009-07-01,427.9
2009-08-01,427.5
2009-09-01,427.0
2009-10-01,427.3
2009-11-01,427.5
2009-12-01,427.0
2010-01-01,427.6
2010-02-01,426.3
2010-03-01,427.9
2010-04-01,427.5
2010-05-01,429.7
2010-06-01,428.0
2010-07-01,428.4
2010-08-01,428.8
2010-09-01,428.1
2010-10-01,428.3
2010-11-01,427.6
2010-12-01,427.7
2011-01-01,427.9
2011-02-01,427.9
2011-03-01,429.4
2011-04-01,429.7
2011-05-01,430.3
2011-06-01,430.3
2011-07-01,429.5
2011-08-01,431.9
2011-09-01,433.4
2011-10-01,433.6
2011-11-01,434.7
2011-12-01,435.7
2012-01-01,437.0
2012-02-01,436.5
2012-03-01,437.0
2012-04-01,438.7
2012-05-01,440.0
2012-06-01,440.1
2012-07-01,440.6
2012-08-01,441.3
2012-09-01,443.2
2012-10-01,442.8
2012-11-01,442.9
2012-12-01,444.1
2013-01-01,445.4
2013-02-01,446.7
2013-03-01,447.5
2013-04-01,448.4
2013-05-01,448.5
2013-06-01,448.1
2013-07-01,447.1
2013-08-01,449.3
2013-09-01,450.4
2013-10-01,450.8
2013-11-01,451.2
2013-12-01,451.2
2014-01-01,451.6
2014-02-01,452.3
2014-03-01,451.1
2014-04-01,452.5
2014-05-01,452.5
2014-06-01,453.2
2014-07-01,454.5
2014-08-01,455.0
2014-09-01,455.6
2014-10-01,453.6
2014-11-01,453.5
2014-12-01,455.1
2015-01-01,458.9
2015-02-01,460.3
2015-03-01,460.9
2015-04-01,460.8
2015-05-01,460.9
2015-06-01,460.5
2015-07-01,461.2
2015-08-01,461.8
2015-09-01,463.5
2015-10-01,464.8
2015-11-01,465.6
2015-12-01,466.2
2016-01-01,466.0
2016-02-01,466.7
2016-03-01,467.3
2016-04-01,467.5
2016-05-01,467.3
2016-06-01,467.1
2016-07-01,467.5
2016-08-01,468.4
2016-09-01,469.6
2016-10-01,469.1
2016-11-01,470.3
2016-12-01,470.1
2017-01-01,470.3
2017-02-01,470.4
2017-03-01,472.1
2017-04-01,472.5
2017-05-01,472.8
2017-06-01,473.7
2017-07-01,472.9
2017-08-01,473.7
2017-09-01,474.2
2017-10-01,473.7
2017-11-01,473.8
2017-12-01,474.5
2018-01-01,476.0
2018-02-01,475.6
2018-03-01,476.6
2018-04-01,476.0
2018-05-01,478.2
2018-06-01,479.1
2018-07-01,479.1
2018-08-01,479.5
2018-09-01,480.1
2018-10-01,480.5
2018-11-01,481.9
2018-12-01,482.2
2019-01-01,482.2
2019-02-01,480.8
2019-03-01,480.1
2019-04-01,482.4
2019-05-01,484.2
2019-06-01,483.1
2019-07-01,485.7
2019-08-01,486.3
2019-09-01,486.4
2019-10-01,488.1
2019-11-01,487.6
2019-12-01,487.3
2020-01-01,488.7
2020-02-01,487.9
2020-03-01,486.6
2020-04-01,425.3
2020-05-01,449.3
2020-06-01,458.8
2020-07-01,464.3
2020-08-01,468.6
2020-09-01,475.4
2020-10-01,477.8
2020-11-01,479.2
2020-12-01,480.3
2021-01-01,482.3
2021-02-01,482.7
2021-03-01,486.9
2021-04-01,488.2
2021-05-01,490.0
2021-06-01,491.2
2021-07-01,491.8
2021-08-01,493.2
2021-09-01,494.9
2021-10-01,498.6
2021-11-01,500.0
2021-12-01,502.3
2022-01-01,502.7
2022-02-01,505.9
2022-03-01,507.2
2022-04-01,506.8
2022-05-01,507.0
2022-06-01,506.7
2022-07-01,512.2
2022-08-01,512.4
2022-09-01,513.6
2022-10-01,513.5
2022-11-01,513.7
2022-12-01,513.6
2023-01-01,518.2
