date,value
1990-01-01,3118.3
1990-02-01,3131.6
1990-03-01,3138.4
1990-04-01,3136.7
1990-05-01,3133.1
1990-06-01,3131.7
1990-07-01,3127.6
1990-08-01,3115.9
1990-09-01,3116.5
1990-10-01,3100.9
1990-11-01,3105.9
1990-12-01,3096.5
1991-01-01,3083.9
1991-02-01,3072.7
1991-03-01,3064.6
1991-04-01,3065.6
1991-05-01,3064.4
1991-06-01,3060.1
1991-07-01,3070.6
1991-08-01,3073.2
1991-09-01,3078.1
1991-10-01,3086.6
1991-11-01,3083.7
1991-12-01,3083.9
1992-01-01,3095.2
1992-02-01,3100.4
1992-03-01,3107.8
1992-04-01,3115.3
1992-05-01,3130.4
1992-06-01,3141.4
1992-07-01,3146.2
1992-08-01,3156.0
1992-09-01,3165.2
1992-10-01,3174.6
1992-11-01,3184.2
1992-12-01,3192.0
1993-01-01,3202.1
1993-02-01,3218.1
1993-03-01,3216.9
1993-04-01,3234.8
1993-05-01,3239.2
1993-06-01,3246.9
1993-07-01,3262.7
1993-08-01,3262.0
1993-09-01,3267.5
1993-10-01,3273.8
1993-11-01,3287.1
1993-12-01,3293.2
1994-01-01,3293.9
1994-02-01,3300.5
1994-03-01,3315.3
1994-04-01,3325.6
1994-05-01,3332.2
1994-06-01,3348.4
1994-07-01,3353.5
1994-08-01,3359.3
1994-09-01,3379.7
1994-10-01,3382.5
1994-11-01,3395.2
1994-12-01,3402.2
1995-01-01,3415.6
1995-02-01,3418.4
1995-03-01,3428.9
1995-04-01,3431.5
1995-05-01,3434.0
1995-06-01,3446.8
1995-07-01,3449.1
1995-08-01,3445.4
1995-09-01,3465.1
1995-10-01,3476.0
1995-11-01,3480.8
1995-12-01,3489.4
1996-01-01,3468.9
1996-02-01,3492.9
1996-03-01,3504.4
1996-04-01,3511.7
1996-05-01,3528.0
1996-06-01,3541.5
1996-07-01,3533.1
1996-08-01,3536.0
1996-09-01,3545.6
1996-10-01,3561.5
1996-11-01,3574.9
1996-12-01,3586.2
1997-01-01,3596.1
1997-02-01,3604.5
1997-03-01,3616.2
1997-04-01,3629.6
1997-05-01,3636.5
1997-06-01,3645.5
1997-07-01,3648.3
1997-08-01,3648.5
1997-09-01,3674.2
1997-10-01,3679.7
1997-11-01,3694.3
1997-12-01,3701.5
1998-01-01,3702.3
1998-02-01,3710.1
1998-03-01,3716.3
1998-04-01,3730.1
1998-05-01,3740.3
1998-06-01,3752.9
1998-07-01,3752.1
1998-08-01,3769.5
1998-09-01,3778.0
1998-10-01,3782.7
1998-11-01,3794.4
1998-12-01,3800.3
1999-01-01,3810.9
1999-02-01,3825.7
1999-03-01,3826.0
1999-04-01,3830.0
1999-05-01,3825.7
1999-06-01,3823.3
1999-07-01,3841.7
1999-08-01,3851.8
1999-09-01,3847.1
1999-10-01,3868.6
1999-11-01,3874.6
1999-12-01,3883.9
2000-01-01,3877.6
2000-02-01,3882.4
2000-03-01,3899.1
2000-04-01,3905.1
2000-05-01,3913.3
2000-06-01,3923.7
2000-07-01,3922.3
2000-08-01,3926.1
2000-09-01,3921.0
2000-10-01,3910.9
2000-11-01,3917.5
2000-12-01,3912.7
2001-01-01,3936.3
2001-02-01,3933.6
2001-03-01,3924.5
2001-04-01,3909.4
2001-05-01,3901.4
2001-06-01,3889.3
2001-07-01,3886.3
2001-08-01,3876.9
2001-09-01,3860.4
2001-10-01,3851.4
2001-11-01,3841.2
2001-12-01,3830.5
2002-01-01,3835.1
2002-02-01,3835.4
2002-03-01,3837.4
2002-04-01,3844.0
2002-05-01,3839.7
2002-06-01,3827.7
2002-07-01,3837.1
2002-08-01,3832.4
2002-09-01,3824.9
2002-10-01,3825.1
2002-11-01,3818.6
2002-12-01,3811.6
2003-01-01,3800.1
2003-02-01,3793.2
2003-03-01,3786.4
2003-04-01,3787.8
2003-05-01,3787.7
2003-06-01,3782.9
2003-07-01,3763.7
2003-08-01,3765.7
2003-09-01,3770.7
2003-10-01,3785.3
2003-11-01,3779.6
2003-12-01,3783.4
2004-01-01,3783.3
2004-02-01,3787.2
2004-03-01,3794.9
2004-04-01,3806.0
2004-05-01,3818.2
2004-06-01,3822.9
2004-07-01,3836.2
2004-08-01,3845.9
2004-09-01,3855.0
2004-10-01,3853.5
2004-11-01,3858.4
2004-12-01,3870.6
2005-01-01,3879.3
2005-02-01,3886.7
2005-03-01,3887.6
2005-04-01,3892.8
2005-05-01,3892.3
2005-06-01,3888.1
2005-07-01,3903.7
2005-08-01,3912.7
2005-09-01,3927.1
2005-10-01,3928.9
2005-11-01,3937.2
2005-12-01,3942.9
2006-01-01,3968.5
2006-02-01,3972.3
2006-03-01,3980.5
2006-04-01,4013.7
2006-05-01,4017.7
2006-06-01,4025.2
2006-07-01,4044.3
2006-08-01,4049.6
2006-09-01,4051.6
2006-10-01,4071.3
2006-11-01,4088.1
2006-12-01,4096.2
2007-01-01,4102.8
2007-02-01,4112.5
2007-03-01,4125.1
2007-04-01,4122.7
2007-05-01,4130.7
2007-06-01,4143.3
2007-07-01,4137.5
2007-08-01,4143.0
2007-09-01,4145.9
2007-10-01,4148.3
2007-11-01,4155.8
2007-12-01,4162.4
2008-01-01,4164.8
2008-02-01,4170.2
2008-03-01,4163.9
2008-04-01,4153.5
2008-05-01,4148.6
2008-06-01,4141.1
2008-07-01,4130.5
2008-08-01,4124.0
2008-09-01,4119.4
2008-10-01,4089.7
2008-11-01,4067.0
2008-12-01,4047.5
2009-01-01,3997.9
2009-02-01,3976.1
2009-03-01,3941.8
2009-04-01,3915.6
2009-05-01,3907.9
2009-06-01,3893.8
2009-07-01,3880.5
2009-08-01,3873.4
2009-09-01,3870.5
2009-10-01,3850.5
2009-11-01,3850.6
2009-12-01,3845.0
2010-01-01,3843.9
2010-02-01,3837.6
2010-03-01,3847.6
2010-04-01,3859.4
2010-05-01,3878.1
2010-06-01,3873.7
2010-07-01,3874.3
2010-08-01,3873.8
2010-09-01,3867.2
2010-10-01,3887.8
2010-11-01,3890.0
2010-12-01,3890.4
2011-01-01,3884.8
2011-02-01,3902.9
2011-03-01,3906.9
2011-04-01,3912.5
2011-05-01,3913.8
2011-06-01,3920.5
2011-07-01,3923.5
2011-08-01,3927.8
2011-09-01,3929.6
2011-10-01,3929.3
2011-11-01,3935.9
2011-12-01,3942.7
2012-01-01,3961.0
2012-02-01,3965.3
2012-03-01,3975.6
2012-04-01,3979.1
2012-05-01,3987.4
2012-06-01,3976.8
2012-07-01,3982.6
2012-08-01,3992.9
2012-09-01,4001.5
2012-10-01,4009.5
2012-11-01,4018.2
2012-12-01,4023.6
2013-01-01,4029.7
2013-02-01,4037.8
2013-03-01,4045.4
2013-04-01,4049.1
2013-05-01,4050.8
2013-06-01,4048.2
2013-07-01,4056.3
2013-08-01,4066.6
2013-09-01,4081.7
2013-10-01,4089.5
2013-11-01,4094.0
2013-12-01,4101.8
2014-01-01,4102.2
