date,value
1990-01-01,263.3
1990-02-01,263.6
1990-03-01,263.9
1990-04-01,265.8
1990-05-01,266.8
1990-06-01,266.1
1990-07-01,266.3
1990-08-01,266.6
1990-09-01,266.3
1990-10-01,267.1
1990-11-01,268.3
1990-12-01,268.5
1991-01-01,268.7
1991-02-01,269.3
1991-03-01,269.2
1991-04-01,269.9
1991-05-01,269.6
1991-06-01,270.4
1991-07-01,271.0
1991-08-01,271.3
1991-09-01,273.3
1991-10-01,272.7
1991-11-01,272.7
1991-12-01,272.9
1992-01-01,274.8
1992-02-01,274.7
1992-03-01,275.7
1992-04-01,275.7
1992-05-01,276.0
1992-06-01,276.9
1992-07-01,276.9
1992-08-01,277.9
1992-09-01,278.2
1992-10-01,279.2
1992-11-01,279.7
1992-12-01,281.0
1993-01-01,283.1
1993-02-01,282.1
1993-03-01,282.9
1993-04-01,282.6
1993-05-01,284.9
1993-06-01,284.3
1993-07-01,285.3
1993-08-01,285.5
1993-09-01,286.8
1993-10-01,287.2
1993-11-01,287.6
1993-12-01,288.5
1994-01-01,289.2
1994-02-01,290.1
1994-03-01,292.0
1994-04-01,292.8
1994-05-01,293.6
1994-06-01,294.4
1994-07-01,296.5
1994-08-01,296.5
1994-09-01,297.8
1994-10-01,298.5
1994-11-01,299.6
1994-12-01,300.3
1995-01-01,299.7
1995-02-01,300.3
1995-03-01,301.5
1995-04-01,301.5
1995-05-01,301.2
1995-06-01,302.3
1995-07-01,302.9
1995-08-01,303.8
1995-09-01,302.9
1995-10-01,302.9
1995-11-01,304.4
1995-12-01,303.8
1996-01-01,305.2
1996-02-01,306.7
1996-03-01,306.4
1996-04-01,307.0
1996-05-01,308.1
1996-06-01,310.3
1996-07-01,310.3
1996-08-01,311.3
1996-09-01,310.8
1996-10-01,311.2
1996-11-01,310.9
1996-12-01,310.5
1997-01-01,311.4
1997-02-01,312.4
1997-03-01,311.7
1997-04-01,311.6
1997-05-01,311.9
1997-06-01,313.1
1997-07-01,314.6
1997-08-01,315.4
1997-09-01,317.2
1997-10-01,317.0
1997-11-01,317.9
1997-12-01,319.2
1998-01-01,319.5
1998-02-01,319.0
1998-03-01,319.6
1998-04-01,317.9
1998-05-01,318.7
1998-06-01,317.1
1998-07-01,319.3
1998-08-01,318.6
1998-09-01,319.6
1998-10-01,321.5
1998-11-01,322.0
1998-12-01,321.1
1999-01-01,321.5
1999-02-01,320.9
1999-03-01,320.0
1999-04-01,323.3
1999-05-01,322.9
1999-06-01,324.0
1999-07-01,324.3
1999-08-01,324.9
1999-09-01,326.3
1999-10-01,325.6
1999-11-01,326.9
1999-12-01,327.2
2000-01-01,326.8
2000-02-01,326.4
2000-03-01,327.7
2000-04-01,327.7
2000-05-01,328.3
2000-06-01,326.9
2000-07-01,331.7
2000-08-01,329.5
2000-09-01,328.5
2000-10-01,327.8
2000-11-01,327.7
2000-12-01,328.2
2001-01-01,330.0
2001-02-01,330.2
2001-03-01,331.0
2001-04-01,330.5
2001-05-01,330.6
2001-06-01,330.7
2001-07-01,329.3
2001-08-01,328.5
2001-09-01,330.5
2001-10-01,330.0
2001-11-01,329.9
2001-12-01,329.3
2002-01-01,329.9
2002-02-01,329.9
2002-03-01,328.4
2002-04-01,328.9
2002-05-01,329.5
2002-06-01,330.7
2002-07-01,330.0
2002-08-01,330.4
2002-09-01,330.6
2002-10-01,330.6
2002-11-01,331.3
2002-12-01,331.8
2003-01-01,331.6
2003-02-01,331.7
2003-03-01,331.8
2003-04-01,331.8
2003-05-01,332.3
2003-06-01,332.3
2003-07-01,331.9
2003-08-01,334.7
2003-09-01,335.0
2003-10-01,333.9
2003-11-01,334.4
2003-12-01,334.8
2004-01-01,334.4
2004-02-01,334.5
2004-03-01,335.2
2004-04-01,336.0
2004-05-01,337.3
2004-06-01,338.1
2004-07-01,339.4
2004-08-01,339.7
2004-09-01,339.6
2004-10-01,341.2
2004-11-01,341.4
2004-12-01,341.2
2005-01-01,341.3
2005-02-01,342.8
2005-03-01,343.1
2005-04-01,345.0
2005-05-01,345.0
2005-06-01,345.0
2005-07-01,345.3
2005-08-01,345.9
2005-09-01,346.8
2005-10-01,345.7
2005-11-01,346.6
2005-12-01,347.6
2006-01-01,348.3
2006-02-01,350.1
2006-03-01,351.6
2006-04-01,352.3
2006-05-01,352.0
2006-06-01,352.3
2006-07-01,351.5
2006-08-01,353.0
2006-09-01,354.0
2006-10-01,353.6
2006-11-01,354.5
2006-12-01,356.1
2007-01-01,356.1
2007-02-01,355.9
2007-03-01,357.3
2007-04-01,356.8
2007-05-01,357.9
2007-06-01,358.5
2007-07-01,358.9
2007-08-01,358.7
2007-09-01,359.3
2007-10-01,360.5
2007-11-01,362.0
2007-12-01,362.3
2008-01-01,364.4
2008-02-01,365.7
2008-03-01,366.7
2008-04-01,366.5
2008-05-01,366.9
2008-06-01,367.0
2008-07-01,369.0
2008-08-01,368.1
2008-09-01,368.8
2008-10-01,368.8
2008-11-01,369.3
2008-12-01,368.6
2009-01-01,366.6
2009-02-01,367.1
2009-03-01,366.4
2009-04-01,363.6
2009-05-01,367.2
2009-06-01,367.2
2009-07-01,366.7
2009-08-01,366.5
2009-09-01,367.9
2009-10-01,367.8
2009-11-01,368.6
2009-12-01,368.9
2010-01-01,369.0
2010-02-01,370.3
2010-03-01,372.0
2010-04-01,375.3
2010-05-01,375.9
2010-06-01,375.0
2010-07-01,376.2
2010-08-01,377.1
2010-09-01,378.4
2010-10-01,382.2
2010-11-01,383.3
2010-12-01,385.0
2011-01-01,386.0
2011-02-01,387.4
2011-03-01,389.5
2011-04-01,390.9
2011-05-01,392.5
2011-06-01,393.4
2011-07-01,397.2
2011-08-01,399.6
2011-09-01,403.5
2011-10-01,405.3
2011-11-01,408.5
2011-12-01,412.4
2012-01-01,418.0
2012-02-01,420.9
2012-03-01,424.4
2012-04-01,427.2
2012-05-01,429.0
2012-06-01,432.2
2012-07-01,430.9
2012-08-01,432.3
2012-09-01,434.3
2012-10-01,434.9
2012-11-01,433.4
2012-12-01,436.7
2013-01-01,437.4
2013-02-01,440.0
2013-03-01,441.5
2013-04-01,438.7
2013-05-01,443.4
2013-06-01,445.1
2013-07-01,446.2
2013-08-01,447.7
2013-09-01,449.0
2013-10-01,449.4
2013-11-01,452.6
2013-12-01,450.4
2014-01-01,452.3
2014-02-01,454.2
2014-03-01,455.9
2014-04-01,457.5
2014-05-01,460.0
2014-06-01,462.1
2014-07-01,465.4
2014-08-01,465.6
2014-09-01,466.0
2014-10-01,467.8
2014-11-01,468.7
2014-12-01,468.9
2015-01-01,467.1
2015-02-01,464.9
2015-03-01,462.9
2015-04-01,458.5
2015-05-01,457.2
2015-06-01,454.3
2015-07-01,452.4
2015-08-01,451.0
2015-09-01,448.9
2015-10-01,446.9
2015-11-01,445.6
2015-12-01,443.6
2016-01-01,439.1
2016-02-01,437.4
2016-03-01,435.6
2016-04-01,436.2
2016-05-01,434.8
2016-06-01,434.2
2016-07-01,436.7
2016-08-01,436.1
2016-09-01,435.6
2016-10-01,434.1
2016-11-01,433.4
2016-12-01,431.5
2017-01-01,431.5
2017-02-01,432.1
2017-03-01,432.6
2017-04-01,435.2
2017-05-01,434.2
2017-06-01,433.4
2017-07-01,433.3
2017-08-01,432.6
2017-09-01,431.5
2017-10-01,432.4
2017-11-01,432.2
2017-12-01,432.9
2018-01-01,434.1
2018-02-01,434.3
2018-03-01,435.5
2018-04-01,433.0
2018-05-01,436.3
2018-06-01,437.3
2018-07-01,437.1
2018-08-01,436.8
2018-09-01,437.2
2018-10-01,437.9
2018-11-01,438.8
2018-12-01,439.8
2019-01-01,439.9
2019-02-01,439.7
2019-03-01,440.0
2019-04-01,440.9
2019-05-01,442.0
2019-06-01,441.5
2019-07-01,441.2
2019-08-01,442.0
2019-09-01,440.9
2019-10-01,441.7
2019-11-01,441.0
2019-12-01,440.8
2020-01-01,440.5
2020-02-01,440.5
2020-03-01,438.2
2020-04-01,386.4
2020-05-01,395.8
2020-06-01,399.2
2020-07-01,404.8
2020-08-01,407.9
2020-09-01,409.3
2020-10-01,411.0
2020-11-01,408.3
2020-12-01,408.7
2021-01-01,411.1
2021-02-01,411.1
2021-03-01,413.1
2021-04-01,415.9
2021-05-01,415.0
2021-06-01,416.3
2021-07-01,418.8
2021-08-01,418.8
2021-09-01,419.2
2021-10-01,420.8
2021-11-01,422.0
2021-12-01,422.1
2022-01-01,422.8
2022-02-01,424.0
2022-03-01,425.1
2022-04-01,424.6
2022-05-01,425.9
2022-06-01,427.9
2022-07-01,429.5
2022-08-01,429.7
2022-09-01,430.8
2022-10-01,432.1
2022-11-01,433.7
2022-12-01,431.7
2023-01-01,435.5
2023-02-01,436.6
2023-03-01,436.6
2023-04-01,435.1
2023-05-01,436.4
2023-06-01,438.4
2023-07-01,438.1
2023-08-01,438.5
2023-09-01,440.6
2023-10-01,441.0
2023-11-01,441.0
2023-12-01,443.1
2024-01-01,442.4
2024-02-01,443.4
2024-03-01,444.8
2024-04-01,445.9
2024-05-01,447.0
2024-06-01,447.0
2024-07-01,447.5
2024-08-01,448.1
2024-09-01,448.1
2024-10-01,447.9
2024-11-01,448.8
2024-12-01,447.7
2025-01-01,448.0
2025-02-01,447.4
2025-03-01,447.3
2025-04-01,447.8
2025-05-01,447.4
2025-06-01,447.2
2025-07-01,446.5
2025-08-01,446.1
2025-09-01,446.4
2025-10-01,445.4
2025-11-01,445.9
2025-12-01,444.6
2026-01-01,446.9
2026-02-01,448.5
2026-03-01,450.4
2026-04-01,448.3
2026-05-01,447.6
2026-06-01,447.4
2026-07-01,446.4
