date,value
1990-01-01,720.6
1990-02-01,723.7
1990-03-01,724.3
1990-04-01,730.2
1990-05-01,731.1
1990-06-01,732.8
1990-07-01,732.9
1990-08-01,734.3
1990-09-01,733.2
1990-10-01,732.3
1990-11-01,739.3
1990-12-01,736.7
1991-01-01,738.9
1991-02-01,738.3
1991-03-01,738.8
1991-04-01,738.6
1991-05-01,736.3
1991-06-01,738.0
1991-07-01,744.7
1991-08-01,745.4
1991-09-01,746.7
1991-10-01,742.0
1991-11-01,739.8
1991-12-01,742.2
1992-01-01,747.0
1992-02-01,747.8
1992-03-01,747.2
1992-04-01,748.0
1992-05-01,751.1
1992-06-01,752.0
1992-07-01,751.5
1992-08-01,752.7
1992-09-01,754.8
1992-10-01,756.1
1992-11-01,759.1
1992-12-01,756.9
1993-01-01,756.7
1993-02-01,758.8
1993-03-01,759.9
1993-04-01,766.4
1993-05-01,766.5
1993-06-01,768.2
1993-07-01,768.2
1993-08-01,774.1
1993-09-01,775.3
1993-10-01,779.3
1993-11-01,781.1
1993-12-01,781.7
1994-01-01,785.1
1994-02-01,787.2
1994-03-01,787.6
1994-04-01,792.4
1994-05-01,798.0
1994-06-01,799.0
1994-07-01,801.9
1994-08-01,801.6
1994-09-01,805.1
1994-10-01,806.0
1994-11-01,815.5
1994-12-01,811.7
1995-01-01,813.0
1995-02-01,814.5
1995-03-01,815.5
1995-04-01,816.8
1995-05-01,814.7
1995-06-01,817.9
1995-07-01,819.5
1995-08-01,827.5
1995-09-01,823.3
1995-10-01,826.4
1995-11-01,828.2
1995-12-01,827.5
1996-01-01,832.4
1996-02-01,834.3
1996-03-01,835.3
1996-04-01,836.3
1996-05-01,835.9
1996-06-01,837.9
1996-07-01,836.8
1996-08-01,841.0
1996-09-01,840.5
1996-10-01,844.2
1996-11-01,845.6
1996-12-01,845.4
1997-01-01,847.6
1997-02-01,847.9
1997-03-01,854.0
1997-04-01,852.6
1997-05-01,855.4
1997-06-01,857.1
1997-07-01,860.2
1997-08-01,858.9
1997-09-01,861.9
1997-10-01,862.0
1997-11-01,866.4
1997-12-01,868.4
1998-01-01,868.2
1998-02-01,871.3
1998-03-01,869.9
1998-04-01,875.4
1998-05-01,875.7
1998-06-01,876.7
1998-07-01,883.3
1998-08-01,881.9
1998-09-01,883.1
1998-10-01,886.2
1998-11-01,890.9
1998-12-01,892.3
1999-01-01,886.5
1999-02-01,889.7
1999-03-01,888.6
1999-04-01,891.4
1999-05-01,890.8
1999-06-01,895.5
1999-07-01,900.9
1999-08-01,899.5
1999-09-01,900.0
1999-10-01,901.1
1999-11-01,903.0
1999-12-01,905.7
2000-01-01,909.3
2000-02-01,908.7
2000-03-01,912.9
2000-04-01,909.7
2000-05-01,912.6
2000-06-01,916.6
2000-07-01,913.5
2000-08-01,915.6
2000-09-01,914.6
2000-10-01,914.9
2000-11-01,916.1
2000-12-01,914.1
2001-01-01,918.8
2001-02-01,917.7
2001-03-01,918.5
2001-04-01,919.4
2001-05-01,920.9
2001-06-01,922.2
2001-07-01,920.1
2001-08-01,922.8
2001-09-01,918.4
2001-10-01,916.8
2001-11-01,919.1
2001-12-01,916.9
2002-01-01,910.7
2002-02-01,911.8
2002-03-01,911.5
2002-04-01,912.6
2002-05-01,911.6
2002-06-01,912.3
2002-07-01,910.7
2002-08-01,910.2
2002-09-01,910.2
2002-10-01,910.6
2002-11-01,909.0
2002-12-01,910.4
2003-01-01,916.4
2003-02-01,914.3
2003-03-01,911.7
2003-04-01,915.7
2003-05-01,914.1
2003-06-01,914.0
2003-07-01,911.0
2003-08-01,911.0
2003-09-01,911.3
2003-10-01,913.3
2003-11-01,914.3
2003-12-01,915.0
2004-01-01,916.9
2004-02-01,913.3
2004-03-01,915.7
2004-04-01,919.2
2004-05-01,919.6
2004-06-01,921.4
2004-07-01,921.9
2004-08-01,924.7
2004-09-01,925.2
2004-10-01,925.2
2004-11-01,925.9
2004-12-01,927.3
2005-01-01,927.4
2005-02-01,929.9
2005-03-01,931.8
2005-04-01,932.7
2005-05-01,932.1
2005-06-01,933.4
2005-07-01,936.1
2005-08-01,935.6
2005-09-01,936.9
2005-10-01,937.5
2005-11-01,938.5
2005-12-01,938.3
2006-01-01,940.9
2006-02-01,944.3
2006-03-01,943.9
2006-04-01,942.5
2006-05-01,942.8
2006-06-01,946.1
2006-07-01,945.5
2006-08-01,946.0
2006-09-01,948.6
2006-10-01,947.7
2006-11-01,949.9
2006-12-01,951.6
2007-01-01,954.6
2007-02-01,955.6
2007-03-01,955.7
2007-04-01,957.8
2007-05-01,960.0
2007-06-01,962.1
2007-07-01,962.9
2007-08-01,964.6
2007-09-01,965.3
2007-10-01,966.5
2007-11-01,967.0
2007-12-01,967.9
2008-01-01,971.9
2008-02-01,970.9
2008-03-01,971.1
2008-04-01,970.5
2008-05-01,970.4
2008-06-01,968.7
2008-07-01,968.1
2008-08-01,968.8
2008-09-01,968.6
2008-10-01,969.9
2008-11-01,968.0
2008-12-01,966.5
2009-01-01,962.6
2009-02-01,959.4
2009-03-01,956.3
2009-04-01,950.7
2009-05-01,950.4
2009-06-01,947.8
2009-07-01,949.6
2009-08-01,946.6
2009-09-01,944.8
2009-10-01,944.1
2009-11-01,944.0
2009-12-01,939.7
2010-01-01,938.4
2010-02-01,939.7
2010-03-01,939.9
2010-04-01,943.2
2010-05-01,945.0
2010-06-01,947.5
2010-07-01,948.2
2010-08-01,949.0
2010-09-01,946.8
2010-10-01,947.9
2010-11-01,946.8
2010-12-01,947.5
2011-01-01,945.6
2011-02-01,946.0
2011-03-01,947.8
2011-04-01,951.8
2011-05-01,950.9
2011-06-01,952.7
2011-07-01,953.7
2011-08-01,953.3
2011-09-01,956.1
2011-10-01,957.1
2011-11-01,958.8
2011-12-01,959.7
2012-01-01,962.5
2012-02-01,963.2
2012-03-01,966.6
2012-04-01,966.9
2012-05-01,968.1
2012-06-01,969.4
2012-07-01,970.1
2012-08-01,969.6
2012-09-01,970.4
2012-10-01,971.8
2012-11-01,972.4
2012-12-01,974.2
2013-01-01,973.6
2013-02-01,975.3
2013-03-01,974.8
2013-04-01,974.9
2013-05-01,978.2
2013-06-01,978.6
2013-07-01,980.6
2013-08-01,982.5
2013-09-01,983.8
2013-10-01,985.5
2013-11-01,987.2
2013-12-01,987.9
2014-01-01,989.1
2014-02-01,991.3
2014-03-01,990.5
2014-04-01,990.9
2014-05-01,991.9
2014-06-01,991.2
2014-07-01,991.4
2014-08-01,992.6
2014-09-01,994.1
2014-10-01,994.9
2014-11-01,995.7
2014-12-01,998.7
2015-01-01,999.3
2015-02-01,1001.6
2015-03-01,1001.9
2015-04-01,1003.4
2015-05-01,1004.0
2015-06-01,1005.9
2015-07-01,1007.1
2015-08-01,1009.0
2015-09-01,1009.3
2015-10-01,1011.3
2015-11-01,1011.5
2015-12-01,1013.3
2016-01-01,1010.3
2016-02-01,1010.7
2016-03-01,1014.6
2016-04-01,1015.0
2016-05-01,1014.2
2016-06-01,1014.6
2016-07-01,1017.0
2016-08-01,1015.9
2016-09-01,1020.0
2016-10-01,1018.2
2016-11-01,1016.0
2016-12-01,1014.5
2017-01-01,1016.7
2017-02-01,1019.1
2017-03-01,1019.4
2017-04-01,1019.2
2017-05-01,1017.3
2017-06-01,1019.1
2017-07-01,1016.9
2017-08-01,1017.6
2017-09-01,1018.6
2017-10-01,1020.4
2017-11-01,1020.1
2017-12-01,1022.4
2018-01-01,1020.9
2018-02-01,1021.8
2018-03-01,1023.0
2018-04-01,1021.9
2018-05-01,1025.3
2018-06-01,1025.8
2018-07-01,1026.2
2018-08-01,1025.7
2018-09-01,1025.9
2018-10-01,1023.7
2018-11-01,1024.8
2018-12-01,1023.0
2019-01-01,1028.2
2019-02-01,1024.6
2019-03-01,1021.8
2019-04-01,1025.3
2019-05-01,1026.4
2019-06-01,1025.8
2019-07-01,1026.7
2019-08-01,1028.2
2019-09-01,1027.6
2019-10-01,1028.9
2019-11-01,1030.0
2019-12-01,1029.1
2020-01-01,1032.2
2020-02-01,1031.7
2020-03-01,1026.4
2020-04-01,934.0
2020-05-01,943.8
2020-06-01,960.9
2020-07-01,974.4
2020-08-01,984.1
2020-09-01,988.5
2020-10-01,992.4
2020-11-01,993.7
2020-12-01,996.5
2021-01-01,998.6
2021-02-01,996.4
2021-03-01,1000.9
2021-04-01,1003.0
2021-05-01,1003.2
2021-06-01,1007.2
2021-07-01,1012.5
2021-08-01,1011.6
2021-09-01,1007.1
2021-10-01,1012.7
2021-11-01,1015.3
2021-12-01,1018.4
2022-01-01,1016.1
2022-02-01,1022.3
2022-03-01,1021.9
2022-04-01,1021.3
2022-05-01,1020.3
2022-06-01,1022.9
2022-07-01,1027.6
2022-08-01,1029.6
2022-09-01,1030.6
2022-10-01,1031.6
2022-11-01,1034.4
2022-12-01,1035.4
2023-01-01,1039.0
2023-02-01,1042.6
2023-03-01,1043.1
2023-04-01,1045.6
2023-05-01,1046.4
2023-06-01,1054.5
2023-07-01,1050.0
2023-08-01,1051.1
2023-09-01,1053.9
2023-10-01,1052.4
2023-11-01,1052.7
2023-12-01,1054.4
2024-01-01,1048.4
2024-02-01,1055.7
2024-03-01,1059.3
2024-04-01,1057.1
2024-05-01,1059.3
2024-06-01,1058.9
2024-07-01,1058.6
2024-08-01,1058.0
2024-09-01,1060.8
2024-10-01,1062.2
2024-11-01,1063.1
2024-12-01,1061.2
2025-01-01,1062.3
2025-02-01,1058.7
2025-03-01,1058.5
2025-04-01,1061.0
2025-05-01,1063.5
2025-06-01,1062.4
2025-07-01,1061.5
2025-08-01,1060.9
2025-09-01,1059.2
2025-10-01,1057.9
2025-11-01,1060.2
2025-12-01,1059.7
2026-01-01,1059.9
2026-02-01,1053.8
2026-03-01,1055.2
2026-04-01,1058.6
2026-05-01,1059.8
2026-06-01,1060.1
2026-07-01,1059.8
