date,value
1990-01-01,518.6
1990-02-01,516.9
1990-03-01,517.1
1990-04-01,512.5
1990-05-01,509.7
1990-06-01,507.9
1990-07-01,504.8
1990-08-01,503.4
1990-09-01,503.9
1990-10-01,497.7
1990-11-01,495.4
1990-12-01,492.7
1991-01-01,488.7
1991-02-01,485.6
1991-03-01,483.6
1991-04-01,480.0
1991-05-01,478.7
1991-06-01,478.8
1991-07-01,475.6
1991-08-01,477.6
1991-09-01,478.3
1991-10-01,480.5
1991-11-01,481.6
1991-12-01,481.5
1992-01-01,482.6
1992-02-01,481.8
1992-03-01,482.4
1992-04-01,484.3
1992-05-01,486.8
1992-06-01,486.2
1992-07-01,484.6
1992-08-01,484.7
1992-09-01,486.7
1992-10-01,488.5
1992-11-01,489.9
1992-12-01,491.2
1993-01-01,494.0
1993-02-01,495.9
1993-03-01,495.5
1993-04-01,497.4
1993-05-01,499.1
1993-06-01,500.4
1993-07-01,503.4
1993-08-01,505.3
1993-09-01,505.8
1993-10-01,504.9
1993-11-01,506.2
1993-12-01,508.5
1994-01-01,512.2
1994-02-01,514.6
1994-03-01,516.3
1994-04-01,517.5
1994-05-01,518.1
1994-06-01,520.6
1994-07-01,522.6
1994-08-01,526.0
1994-09-01,526.7
1994-10-01,527.4
1994-11-01,529.0
1994-12-01,531.5
1995-01-01,531.1
1995-02-01,532.7
1995-03-01,535.5
1995-04-01,535.7
1995-05-01,535.5
1995-06-01,537.8
1995-07-01,536.0
1995-08-01,540.0
1995-09-01,541.6
1995-10-01,544.5
1995-11-01,545.0
1995-12-01,546.7
1996-01-01,546.5
1996-02-01,548.0
1996-03-01,548.6
1996-04-01,548.8
1996-05-01,550.0
1996-06-01,553.2
1996-07-01,552.9
1996-08-01,554.0
1996-09-01,554.8
1996-10-01,556.1
1996-11-01,557.8
1996-12-01,558.6
1997-01-01,560.7
1997-02-01,561.0
1997-03-01,561.8
1997-04-01,563.1
1997-05-01,567.3
1997-06-01,568.5
1997-07-01,570.6
1997-08-01,570.8
1997-09-01,573.6
1997-10-01,575.0
1997-11-01,576.8
1997-12-01,577.3
1998-01-01,581.2
1998-02-01,583.0
1998-03-01,585.1
1998-04-01,584.1
1998-05-01,585.7
1998-06-01,585.9
1998-07-01,588.2
1998-08-01,588.6
1998-09-01,589.4
1998-10-01,590.9
1998-11-01,593.6
1998-12-01,595.1
1999-01-01,597.4
1999-02-01,599.3
1999-03-01,599.4
1999-04-01,601.7
1999-05-01,601.7
1999-06-01,603.8
1999-07-01,605.8
1999-08-01,607.6
1999-09-01,606.8
1999-10-01,609.6
1999-11-01,608.9
1999-12-01,611.2
2000-01-01,613.1
2000-02-01,614.6
2000-03-01,616.7
2000-04-01,618.7
2000-05-01,619.6
2000-06-01,620.3
2000-07-01,621.6
2000-08-01,621.1
2000-09-01,622.5
2000-10-01,623.7
2000-11-01,626.3
2000-12-01,627.6
2001-01-01,631.1
2001-02-01,631.7
2001-03-01,630.8
2001-04-01,628.3
2001-05-01,628.9
2001-06-01,627.1
2001-07-01,623.5
2001-08-01,621.4
2001-09-01,621.5
2001-10-01,620.5
2001-11-01,618.6
2001-12-01,617.8
2002-01-01,617.5
2002-02-01,617.0
2002-03-01,617.8
2002-04-01,617.0
2002-05-01,616.1
2002-06-01,616.4
2002-07-01,616.8
2002-08-01,615.7
2002-09-01,616.5
2002-10-01,615.2
2002-11-01,614.2
2002-12-01,614.6
2003-01-01,613.3
2003-02-01,612.5
2003-03-01,612.1
2003-04-01,611.9
2003-05-01,612.7
2003-06-01,615.2
2003-07-01,615.8
2003-08-01,617.9
2003-09-01,616.8
2003-10-01,618.3
2003-11-01,619.8
2003-12-01,620.0
2004-01-01,618.3
2004-02-01,619.3
2004-03-01,622.9
2004-04-01,623.4
2004-05-01,625.4
2004-06-01,624.9
2004-07-01,626.9
2004-08-01,627.0
2004-09-01,627.4
2004-10-01,629.1
2004-11-01,628.5
2004-12-01,628.6
2005-01-01,632.0
2005-02-01,630.2
2005-03-01,629.7
2005-04-01,632.5
2005-05-01,633.3
2005-06-01,632.8
2005-07-01,635.2
2005-08-01,634.8
2005-09-01,637.1
2005-10-01,636.2
2005-11-01,637.5
2005-12-01,639.1
2006-01-01,635.8
2006-02-01,637.3
2006-03-01,638.5
2006-04-01,641.5
2006-05-01,639.1
2006-06-01,640.4
2006-07-01,641.8
2006-08-01,641.3
2006-09-01,641.8
2006-10-01,642.2
2006-11-01,641.5
2006-12-01,643.6
2007-01-01,643.5
2007-02-01,644.9
2007-03-01,644.9
2007-04-01,642.6
2007-05-01,645.2
2007-06-01,646.6
2007-07-01,646.7
2007-08-01,645.3
2007-09-01,645.7
2007-10-01,645.5
2007-11-01,646.7
2007-12-01,647.4
2008-01-01,649.9
2008-02-01,648.4
2008-03-01,648.1
2008-04-01,648.0
2008-05-01,647.6
2008-06-01,647.8
2008-07-01,647.4
2008-08-01,647.3
2008-09-01,647.4
2008-10-01,644.5
2008-11-01,642.9
2008-12-01,638.6
2009-01-01,637.3
2009-02-01,632.8
2009-03-01,629.1
2009-04-01,626.2
2009-05-01,627.7
2009-06-01,625.0
2009-07-01,621.0
2009-08-01,621.2
2009-09-01,622.2
2009-10-01,621.7
2009-11-01,620.5
2009-12-01,621.2
2010-01-01,620.0
2010-02-01,619.2
2010-03-01,621.5
2010-04-01,621.6
2010-05-01,624.0
2010-06-01,621.4
2010-07-01,621.9
2010-08-01,621.4
2010-09-01,621.1
2010-10-01,623.0
2010-11-01,622.4
2010-12-01,623.3
2011-01-01,623.2
2011-02-01,623.6
2011-03-01,624.5
2011-04-01,626.5
2011-05-01,624.8
2011-06-01,624.1
2011-07-01,624.0
2011-08-01,623.6
2011-09-01,625.4
2011-10-01,625.8
2011-11-01,627.6
2011-12-01,626.8
2012-01-01,629.1
2012-02-01,627.5
2012-03-01,629.8
2012-04-01,629.7
2012-05-01,629.7
2012-06-01,631.2
2012-07-01,631.3
2012-08-01,632.9
2012-09-01,634.9
2012-10-01,633.2
2012-11-01,633.9
2012-12-01,633.0
2013-01-01,634.4
2013-02-01,635.3
2013-03-01,634.2
2013-04-01,635.0
2013-05-01,636.3
2013-06-01,635.3
2013-07-01,635.0
2013-08-01,637.3
2013-09-01,636.2
2013-10-01,638.9
2013-11-01,639.7
2013-12-01,640.8
2014-01-01,641.2
2014-02-01,641.3
2014-03-01,641.1
2014-04-01,642.3
2014-05-01,640.2
2014-06-01,643.9
2014-07-01,644.8
2014-08-01,638.8
2014-09-01,646.5
2014-10-01,646.7
2014-11-01,647.0
2014-12-01,648.1
2015-01-01,648.7
2015-02-01,647.7
2015-03-01,650.2
2015-04-01,650.3
2015-05-01,654.2
2015-06-01,654.0
2015-07-01,654.6
2015-08-01,653.9
2015-09-01,655.9
2015-10-01,657.5
2015-11-01,659.4
2015-12-01,659.9
2016-01-01,660.7
2016-02-01,663.4
2016-03-01,662.9
2016-04-01,665.3
2016-05-01,664.1
2016-06-01,663.7
2016-07-01,666.3
2016-08-01,666.4
2016-09-01,670.1
2016-10-01,668.5
2016-11-01,669.3
2016-12-01,669.3
2017-01-01,669.5
2017-02-01,669.6
2017-03-01,670.8
2017-04-01,672.7
2017-05-01,672.6
2017-06-01,673.4
2017-07-01,674.3
2017-08-01,674.4
2017-09-01,673.7
2017-10-01,674.5
2017-11-01,674.6
2017-12-01,675.7
2018-01-01,675.4
2018-02-01,677.5
2018-03-01,677.0
2018-04-01,676.4
2018-05-01,677.4
2018-06-01,678.6
2018-07-01,678.0
2018-08-01,677.8
2018-09-01,677.6
2018-10-01,679.4
2018-11-01,680.3
2018-12-01,680.6
2019-01-01,681.9
2019-02-01,683.3
2019-03-01,684.1
2019-04-01,682.7
2019-05-01,684.1
2019-06-01,684.2
2019-07-01,683.3
2019-08-01,684.5
2019-09-01,684.4
2019-10-01,685.4
2019-11-01,686.0
2019-12-01,687.8
2020-01-01,687.5
2020-02-01,689.5
2020-03-01,682.8
2020-04-01,571.8
2020-05-01,589.1
2020-06-01,609.8
2020-07-01,621.5
2020-08-01,635.5
2020-09-01,644.3
2020-10-01,648.1
2020-11-01,649.4
2020-12-01,643.3
2021-01-01,650.6
2021-02-01,650.6
2021-03-01,654.5
