date,value
1990-01-01,3714.6
1990-02-01,3713.2
1990-03-01,3714.5
1990-04-01,3687.8
1990-05-01,3678.9
1990-06-01,3670.5
1990-07-01,3660.5
1990-08-01,3652.3
1990-09-01,3627.8
1990-10-01,3600.8
1990-11-01,3582.1
1990-12-01,3571.7
1991-01-01,3566.4
1991-02-01,3555.3
1991-03-01,3547.5
1991-04-01,3536.1
1991-05-01,3526.1
1991-06-01,3515.1
1991-07-01,3506.4
1991-08-01,3501.5
1991-09-01,3498.4
1991-10-01,3493.2
1991-11-01,3493.3
1991-12-01,3488.3
1992-01-01,3480.7
1992-02-01,3481.2
1992-03-01,3471.0
1992-04-01,3464.4
1992-05-01,3464.8
1992-06-01,3466.9
1992-07-01,3481.7
1992-08-01,3479.4
1992-09-01,3470.2
1992-10-01,3481.4
1992-11-01,3484.0
1992-12-01,3481.8
1993-01-01,3501.1
1993-02-01,3506.5
1993-03-01,3491.3
1993-04-01,3499.9
1993-05-01,3504.8
1993-06-01,3506.9
1993-07-01,3503.9
1993-08-01,3508.8
1993-09-01,3508.5
1993-10-01,3522.8
1993-11-01,3526.4
1993-12-01,3533.6
1994-01-01,3525.4
1994-02-01,3516.7
1994-03-01,3535.1
1994-04-01,3555.5
1994-05-01,3565.1
1994-06-01,3565.3
1994-07-01,3576.4
1994-08-01,3585.7
1994-09-01,3588.0
1994-10-01,3594.5
1994-11-01,3600.1
1994-12-01,3605.8
1995-01-01,3607.8
1995-02-01,3604.7
1995-03-01,3610.2
1995-04-01,3615.4
1995-05-01,3613.0
1995-06-01,3604.3
1995-07-01,3606.4
1995-08-01,3619.5
1995-09-01,3623.9
1995-10-01,3625.7
1995-11-01,3622.8
1995-12-01,3622.9
1996-01-01,3603.7
1996-02-01,3629.7
1996-03-01,3634.2
1996-04-01,3632.6
1996-05-01,3648.7
1996-06-01,3654.1
1996-07-01,3656.6
1996-08-01,3663.3
1996-09-01,3668.0
1996-10-01,3671.9
1996-11-01,3680.7
1996-12-01,3686.6
1997-01-01,3696.0
1997-02-01,3703.9
1997-03-01,3710.3
1997-04-01,3718.8
1997-05-01,3727.6
1997-06-01,3733.9
1997-07-01,3743.0
1997-08-01,3739.7
1997-09-01,3759.0
1997-10-01,3762.2
1997-11-01,3771.1
1997-12-01,3778.0
1998-01-01,3789.7
1998-02-01,3792.9
1998-03-01,3792.7
1998-04-01,3798.0
1998-05-01,3813.4
1998-06-01,3812.5
1998-07-01,3814.0
1998-08-01,3818.3
1998-09-01,3827.2
1998-10-01,3841.8
1998-11-01,3847.2
1998-12-01,3856.5
1999-01-01,3870.7
1999-02-01,3884.1
1999-03-01,3890.2
1999-04-01,3898.4
1999-05-01,3899.0
1999-06-01,3908.0
1999-07-01,3923.0
1999-08-01,3926.2
1999-09-01,3924.9
1999-10-01,3942.9
1999-11-01,3949.6
1999-12-01,3961.9
2000-01-01,3977.4
2000-02-01,3977.2
2000-03-01,3992.5
2000-04-01,3999.6
2000-05-01,4001.9
2000-06-01,4006.8
2000-07-01,4011.9
2000-08-01,4009.2
2000-09-01,4019.4
2000-10-01,4015.3
2000-11-01,4023.5
2000-12-01,4036.7
2001-01-01,4013.1
2001-02-01,4016.7
2001-03-01,4011.8
2001-04-01,4022.0
2001-05-01,4024.6
2001-06-01,4025.5
2001-07-01,4005.1
2001-08-01,4002.4
2001-09-01,4004.4
2001-10-01,4003.3
2001-11-01,3999.0
2001-12-01,3996.3
2002-01-01,4009.2
2002-02-01,4012.3
2002-03-01,4011.2
2002-04-01,3998.2
2002-05-01,3993.7
2002-06-01,3986.6
2002-07-01,3967.3
2002-08-01,3971.4
2002-09-01,3972.5
2002-10-01,3974.5
2002-11-01,3980.0
2002-12-01,3979.1
2003-01-01,3985.1
2003-02-01,3974.1
2003-03-01,3968.4
2003-04-01,3975.0
2003-05-01,3980.1
2003-06-01,3974.1
2003-07-01,3987.1
2003-08-01,3986.4
2003-09-01,3988.6
2003-10-01,3990.1
2003-11-01,3991.4
2003-12-01,3988.1
2004-01-01,3981.5
2004-02-01,3985.9
2004-03-01,3992.6
2004-04-01,3986.2
2004-05-01,3998.3
2004-06-01,4003.2
2004-07-01,4004.8
2004-08-01,4008.4
2004-09-01,4013.2
2004-10-01,4014.8
2004-11-01,4022.5
2004-12-01,4026.9
2005-01-01,4025.7
2005-02-01,4029.8
2005-03-01,4023.8
2005-04-01,4041.5
2005-05-01,4042.1
2005-06-01,4045.8
2005-07-01,4049.6
2005-08-01,4051.3
2005-09-01,4054.3
2005-10-01,4048.1
2005-11-01,4056.6
2005-12-01,4057.6
2006-01-01,4067.4
2006-02-01,4072.0
2006-03-01,4079.7
2006-04-01,4075.1
2006-05-01,4074.0
2006-06-01,4075.0
2006-07-01,4074.8
2006-08-01,4079.4
2006-09-01,4075.2
2006-10-01,4077.0
2006-11-01,4079.1
2006-12-01,4085.6
2007-01-01,4080.6
2007-02-01,4070.8
2007-03-01,4077.1
2007-04-01,4077.9
2007-05-01,4086.7
2007-06-01,4087.6
2007-07-01,4085.4
2007-08-01,4086.3
2007-09-01,4075.9
2007-10-01,4089.2
2007-11-01,4087.3
2007-12-01,4089.0
2008-01-01,4096.9
2008-02-01,4095.0
2008-03-01,4093.5
2008-04-01,4082.9
2008-05-01,4073.9
2008-06-01,4068.2
2008-07-01,4055.0
2008-08-01,4042.6
2008-09-01,4033.9
2008-10-01,4016.1
2008-11-01,3996.2
2008-12-01,3977.4
2009-01-01,3960.9
2009-02-01,3946.4
2009-03-01,3923.5
2009-04-01,3901.6
2009-05-01,3905.3
2009-06-01,3893.3
2009-07-01,3879.9
2009-08-01,3877.7
2009-09-01,3872.3
2009-10-01,3862.4
2009-11-01,3864.4
2009-12-01,3864.5
2010-01-01,3855.0
2010-02-01,3841.8
2010-03-01,3844.8
2010-04-01,3859.6
2010-05-01,3869.1
2010-06-01,3865.0
2010-07-01,3854.5
2010-08-01,3847.8
2010-09-01,3835.6
2010-10-01,3844.0
2010-11-01,3840.6
2010-12-01,3841.2
2011-01-01,3835.0
2011-02-01,3838.5
2011-03-01,3839.0
2011-04-01,3844.2
2011-05-01,3840.4
2011-06-01,3839.5
2011-07-01,3852.7
2011-08-01,3846.5
2011-09-01,3854.9
2011-10-01,3856.5
2011-11-01,3859.4
2011-12-01,3862.7
2012-01-01,3875.5
2012-02-01,3883.2
2012-03-01,3894.1
2012-04-01,3874.1
2012-05-01,3881.3
2012-06-01,3890.5
2012-07-01,3885.8
2012-08-01,3891.6
2012-09-01,3898.8
2012-10-01,3902.5
2012-11-01,3885.3
2012-12-01,3905.7
2013-01-01,3922.3
2013-02-01,3927.8
2013-03-01,3933.1
2013-04-01,3919.0
2013-05-01,3923.6
2013-06-01,3932.4
2013-07-01,3934.7
2013-08-01,3943.8
2013-09-01,3943.6
2013-10-01,3945.2
2013-11-01,3949.2
2013-12-01,3944.8
2014-01-01,3943.5
2014-02-01,3939.8
2014-03-01,3941.2
2014-04-01,3962.6
2014-05-01,3970.7
2014-06-01,3967.6
2014-07-01,3971.6
2014-08-01,3971.6
2014-09-01,3976.3
2014-10-01,3976.0
2014-11-01,3982.9
2014-12-01,3987.6
2015-01-01,3979.7
2015-02-01,3983.2
2015-03-01,3985.7
2015-04-01,3986.9
2015-05-01,4002.6
2015-06-01,4003.2
2015-07-01,4013.4
2015-08-01,4019.0
2015-09-01,4020.2
2015-10-01,4031.2
2015-11-01,4038.7
2015-12-01,4039.6
2016-01-01,4034.6
2016-02-01,4043.7
2016-03-01,4053.9
2016-04-01,4055.9
2016-05-01,4054.6
2016-06-01,4058.4
2016-07-01,4077.8
2016-08-01,4079.6
2016-09-01,4092.0
2016-10-01,4090.0
2016-11-01,4093.9
2016-12-01,4099.2
2017-01-01,4102.4
2017-02-01,4107.2
2017-03-01,4107.0
2017-04-01,4106.7
2017-05-01,4121.3
2017-06-01,4128.6
2017-07-01,4124.1
2017-08-01,4129.3
2017-09-01,4139.9
2017-10-01,4141.1
2017-11-01,4141.8
2017-12-01,4148.1
2018-01-01,4139.0
2018-02-01,4151.3
2018-03-01,4148.1
2018-04-01,4151.3
2018-05-01,4157.8
2018-06-01,4164.0
2018-07-01,4165.3
2018-08-01,4164.2
2018-09-01,4165.3
2018-10-01,4175.9
2018-11-01,4184.2
2018-12-01,4181.9
2019-01-01,4187.8
2019-02-01,4187.4
2019-03-01,4192.9
2019-04-01,4196.2
2019-05-01,4193.8
2019-06-01,4200.6
2019-07-01,4206.1
2019-08-01,4201.4
2019-09-01,4201.4
2019-10-01,4203.2
2019-11-01,4215.5
2019-12-01,4212.3
2020-01-01,4219.5
2020-02-01,4225.3
2020-03-01,4195.6
2020-04-01,3501.6
2020-05-01,3516.0
2020-06-01,3576.5
2020-07-01,3705.2
2020-08-01,3780.1
2020-09-01,3869.6
2020-10-01,3900.5
2020-11-01,3905.2
2020-12-01,3909.3
2021-01-01,3935.9
2021-02-01,3941.8
2021-03-01,3958.4
2021-04-01,3983.5
2021-05-01,3995.0
2021-06-01,4004.2
2021-07-01,4050.6
2021-08-01,4058.0
2021-09-01,4073.0
2021-10-01,4131.3
2021-11-01,4147.5
2021-12-01,4168.8
2022-01-01,4170.5
2022-02-01,4208.5
2022-03-01,4218.2
2022-04-01,4225.4
2022-05-01,4229.8
2022-06-01,4228.0
2022-07-01,4261.0
2022-08-01,4268.4
2022-09-01,4265.6
2022-10-01,4266.4
2022-11-01,4277.4
2022-12-01,4281.0
2023-01-01,4298.8
2023-02-01,4301.7
2023-03-01,4303.5
2023-04-01,4288.4
2023-05-01,4310.9
2023-06-01,4322.3
2023-07-01,4317.3
2023-08-01,4324.6
2023-09-01,4337.9
2023-10-01,4328.0
2023-11-01,4333.9
2023-12-01,4342.6
2024-01-01,4340.1
2024-02-01,4345.6
2024-03-01,4350.8
2024-04-01,4349.3
2024-05-01,4351.1
2024-06-01,4359.6
2024-07-01,4348.4
2024-08-01,4350.8
2024-09-01,4365.7
2024-10-01,4369.1
2024-11-01,4370.8
2024-12-01,4375.4
2025-01-01,4374.1
2025-02-01,4377.3
2025-03-01,4377.6
2025-04-01,4380.8
2025-05-01,4391.3
2025-06-01,4379.1
2025-07-01,4377.2
2025-08-01,4369.5
2025-09-01,4373.8
2025-10-01,4373.4
2025-11-01,4375.1
2025-12-01,4380.5
2026-01-01,4384.0
2026-02-01,4375.8
2026-03-01,4378.9
2026-04-01,4386.0
2026-05-01,4387.4
2026-06-01,4383.2
2026-07-01,4357.6
