date,value
1990-01-01,572.6
1990-02-01,572.7
1990-03-01,575.3
1990-04-01,579.9
1990-05-01,581.7
1990-06-01,585.9
1990-07-01,581.6
1990-08-01,581.9
1990-09-01,581.5
1990-10-01,582.1
1990-11-01,586.1
1990-12-01,582.7
1991-01-01,581.9
1991-02-01,582.7
1991-03-01,581.8
1991-04-01,583.1
1991-05-01,583.4
1991-06-01,584.4
1991-07-01,587.2
1991-08-01,587.5
1991-09-01,589.4
1991-10-01,587.1
1991-11-01,587.4
1991-12-01,589.5
1992-01-01,591.0
1992-02-01,591.7
1992-03-01,593.5
1992-04-01,595.8
1992-05-01,597.8
1992-06-01,602.3
1992-07-01,603.5
1992-08-01,603.8
1992-09-01,606.2
1992-10-01,607.8
1992-11-01,614.0
1992-12-01,610.6
1993-01-01,611.5
1993-02-01,614.0
1993-03-01,616.4
1993-04-01,621.2
1993-05-01,621.4
1993-06-01,624.6
1993-07-01,625.3
1993-08-01,627.6
1993-09-01,633.0
1993-10-01,638.0
1993-11-01,638.9
1993-12-01,641.9
1994-01-01,641.9
1994-02-01,644.8
1994-03-01,647.0
1994-04-01,648.9
1994-05-01,651.2
1994-06-01,656.4
1994-07-01,661.2
1994-08-01,660.5
1994-09-01,663.5
1994-10-01,665.1
1994-11-01,672.0
1994-12-01,674.0
1995-01-01,677.5
1995-02-01,679.3
1995-03-01,679.5
1995-04-01,678.7
1995-05-01,680.6
1995-06-01,683.3
1995-07-01,681.6
1995-08-01,683.9
1995-09-01,685.6
1995-10-01,685.1
1995-11-01,686.8
1995-12-01,687.5
1996-01-01,688.2
1996-02-01,690.0
1996-03-01,689.9
1996-04-01,692.7
1996-05-01,693.5
1996-06-01,694.5
1996-07-01,695.1
1996-08-01,694.4
1996-09-01,696.0
1996-10-01,698.5
1996-11-01,700.3
1996-12-01,701.7
1997-01-01,699.8
1997-02-01,701.7
1997-03-01,701.6
1997-04-01,704.6
1997-05-01,706.5
1997-06-01,707.9
1997-07-01,710.7
1997-08-01,710.7
1997-09-01,712.0
1997-10-01,714.4
1997-11-01,716.1
1997-12-01,717.9
1998-01-01,716.4
1998-02-01,718.4
1998-03-01,718.9
1998-04-01,718.8
1998-05-01,720.2
1998-06-01,720.9
1998-07-01,721.1
1998-08-01,720.4
1998-09-01,720.9
1998-10-01,719.5
1998-11-01,721.5
1998-12-01,723.0
1999-01-01,724.7
1999-02-01,724.0
1999-03-01,725.0
1999-04-01,725.9
1999-05-01,727.0
1999-06-01,729.8
1999-07-01,730.6
1999-08-01,732.8
1999-09-01,734.0
1999-10-01,734.9
1999-11-01,734.8
1999-12-01,734.5
2000-01-01,735.9
2000-02-01,737.6
2000-03-01,740.4
2000-04-01,742.2
2000-05-01,743.7
2000-06-01,742.4
2000-07-01,745.5
2000-08-01,747.6
2000-09-01,748.5
2000-10-01,748.9
2000-11-01,751.7
2000-12-01,753.6
2001-01-01,752.8
2001-02-01,754.7
2001-03-01,757.1
2001-04-01,757.0
2001-05-01,758.1
2001-06-01,759.3
2001-07-01,758.2
2001-08-01,758.8
2001-09-01,758.9
2001-10-01,756.4
2001-11-01,757.2
2001-12-01,757.0
2002-01-01,760.7
2002-02-01,760.5
2002-03-01,762.4
2002-04-01,764.3
2002-05-01,765.3
2002-06-01,767.0
2002-07-01,767.5
2002-08-01,767.6
2002-09-01,769.4
2002-10-01,767.0
2002-11-01,769.2
2002-12-01,770.4
2003-01-01,772.5
2003-02-01,772.1
2003-03-01,771.5
2003-04-01,772.7
2003-05-01,772.5
2003-06-01,774.1
2003-07-01,776.1
2003-08-01,776.6
2003-09-01,776.9
2003-10-01,778.7
2003-11-01,780.5
2003-12-01,781.4
2004-01-01,782.6
2004-02-01,784.2
2004-03-01,785.2
2004-04-01,786.5
2004-05-01,788.3
2004-06-01,788.8
2004-07-01,790.9
2004-08-01,790.7
2004-09-01,789.7
2004-10-01,796.8
2004-11-01,797.6
2004-12-01,799.2
2005-01-01,798.6
2005-02-01,799.7
2005-03-01,800.0
2005-04-01,804.9
2005-05-01,805.8
2005-06-01,805.6
2005-07-01,809.9
2005-08-01,811.1
2005-09-01,812.6
2005-10-01,813.2
2005-11-01,817.0
2005-12-01,818.1
2006-01-01,821.4
2006-02-01,825.4
2006-03-01,828.3
2006-04-01,828.9
2006-05-01,830.7
2006-06-01,834.0
2006-07-01,832.5
2006-08-01,833.2
2006-09-01,835.8
2006-10-01,833.4
2006-11-01,836.1
2006-12-01,837.6
2007-01-01,836.8
2007-02-01,839.5
2007-03-01,843.5
2007-04-01,840.0
2007-05-01,841.0
2007-06-01,842.9
2007-07-01,842.4
2007-08-01,843.6
2007-09-01,844.0
2007-10-01,845.7
2007-11-01,846.9
2007-12-01,848.4
2008-01-01,846.5
2008-02-01,848.7
2008-03-01,848.7
2008-04-01,848.7
2008-05-01,847.6
2008-06-01,847.9
2008-07-01,846.4
2008-08-01,847.1
2008-09-01,847.7
2008-10-01,844.6
2008-11-01,840.7
2008-12-01,835.3
2009-01-01,829.1
2009-02-01,823.7
2009-03-01,817.1
2009-04-01,812.7
2009-05-01,812.3
2009-06-01,810.0
2009-07-01,808.2
2009-08-01,808.3
2009-09-01,806.2
2009-10-01,803.1
2009-11-01,802.1
2009-12-01,801.1
2010-01-01,800.2
2010-02-01,800.5
2010-03-01,801.3
2010-04-01,803.0
2010-05-01,805.7
2010-06-01,807.8
2010-07-01,805.7
2010-08-01,802.1
2010-09-01,796.6
2010-10-01,799.8
2010-11-01,799.2
2010-12-01,800.3
2011-01-01,798.3
2011-02-01,799.9
2011-03-01,800.7
