date,value
1990-01-01,189.3
1990-02-01,189.8
1990-03-01,189.5
1990-04-01,190.0
1990-05-01,189.6
1990-06-01,190.8
1990-07-01,195.7
1990-08-01,196.9
1990-09-01,195.2
1990-10-01,195.4
1990-11-01,195.5
1990-12-01,194.9
1991-01-01,194.1
1991-02-01,193.3
1991-03-01,194.1
1991-04-01,194.5
1991-05-01,194.1
1991-06-01,193.5
1991-07-01,193.0
1991-08-01,192.9
1991-09-01,193.5
1991-10-01,194.7
1991-11-01,193.7
1991-12-01,193.6
1992-01-01,193.1
1992-02-01,193.5
1992-03-01,193.0
1992-04-01,193.5
1992-05-01,194.6
1992-06-01,194.3
1992-07-01,194.1
1992-08-01,193.8
1992-09-01,194.6
1992-10-01,194.6
1992-11-01,195.0
1992-12-01,195.2
1993-01-01,195.3
1993-02-01,193.7
1993-03-01,194.4
1993-04-01,196.5
1993-05-01,197.1
1993-06-01,198.0
1993-07-01,198.8
1993-08-01,200.0
1993-09-01,200.8
1993-10-01,208.9
1993-11-01,211.7
1993-12-01,217.0
1994-01-01,221.7
1994-02-01,223.4
1994-03-01,224.0
1994-04-01,224.1
1994-05-01,224.7
1994-06-01,225.1
1994-07-01,226.5
1994-08-01,230.2
1994-09-01,229.8
1994-10-01,230.4
1994-11-01,231.5
1994-12-01,232.6
1995-01-01,232.7
1995-02-01,233.2
1995-03-01,235.0
1995-04-01,236.0
1995-05-01,236.7
1995-06-01,238.3
1995-07-01,239.9
1995-08-01,240.6
1995-09-01,240.9
1995-10-01,241.6
1995-11-01,241.1
1995-12-01,241.8
1996-01-01,242.7
1996-02-01,243.2
1996-03-01,244.0
1996-04-01,250.5
1996-05-01,251.2
1996-06-01,253.1
1996-07-01,254.1
1996-08-01,253.8
1996-09-01,253.6
1996-10-01,253.3
1996-11-01,255.1
1996-12-01,258.2
1997-01-01,261.5
1997-02-01,261.7
1997-03-01,261.1
1997-04-01,260.6
1997-05-01,260.9
1997-06-01,261.0
1997-07-01,261.1
1997-08-01,260.9
1997-09-01,262.0
1997-10-01,263.2
1997-11-01,265.2
1997-12-01,265.6
1998-01-01,264.8
1998-02-01,265.9
1998-03-01,266.4
1998-04-01,266.5
1998-05-01,267.5
1998-06-01,267.9
1998-07-01,267.6
1998-08-01,268.1
1998-09-01,269.6
1998-10-01,274.7
1998-11-01,274.9
1998-12-01,276.5
1999-01-01,278.4
1999-02-01,280.4
1999-03-01,285.1
1999-04-01,289.1
1999-05-01,291.4
1999-06-01,292.9
1999-07-01,294.3
1999-08-01,297.0
1999-09-01,298.4
1999-10-01,300.8
1999-11-01,301.9
1999-12-01,303.2
2000-01-01,302.6
2000-02-01,302.3
2000-03-01,301.3
2000-04-01,302.2
2000-05-01,302.4
2000-06-01,303.9
2000-07-01,305.0
2000-08-01,307.3
2000-09-01,306.6
2000-10-01,307.1
2000-11-01,307.6
2000-12-01,307.6
2001-01-01,308.4
2001-02-01,308.8
2001-03-01,308.2
2001-04-01,307.3
2001-05-01,306.7
2001-06-01,306.1
2001-07-01,307.0
2001-08-01,306.7
2001-09-01,306.8
2001-10-01,295.6
2001-11-01,295.8
2001-12-01,297.0
2002-01-01,294.8
2002-02-01,295.4
2002-03-01,295.8
2002-04-01,297.3
2002-05-01,298.0
2002-06-01,298.2
2002-07-01,297.7
2002-08-01,297.7
2002-09-01,298.1
2002-10-01,298.8
2002-11-01,299.1
2002-12-01,300.6
2003-01-01,301.9
2003-02-01,302.8
2003-03-01,302.4
2003-04-01,301.9
2003-05-01,302.5
2003-06-01,302.3
2003-07-01,303.1
2003-08-01,304.2
2003-09-01,304.9
2003-10-01,306.1
2003-11-01,305.9
2003-12-01,306.6
2004-01-01,308.6
2004-02-01,307.9
2004-03-01,308.1
2004-04-01,310.2
2004-05-01,311.1
2004-06-01,312.0
2004-07-01,313.3
2004-08-01,314.3
2004-09-01,314.7
2004-10-01,315.3
2004-11-01,317.1
2004-12-01,317.8
2005-01-01,317.6
2005-02-01,318.2
2005-03-01,319.2
2005-04-01,327.1
2005-05-01,327.4
2005-06-01,329.1
2005-07-01,329.8
2005-08-01,330.2
2005-09-01,331.7
2005-10-01,331.2
2005-11-01,331.5
2005-12-01,331.2
2006-01-01,333.8
2006-02-01,334.8
2006-03-01,335.5
2006-04-01,335.6
2006-05-01,336.1
2006-06-01,337.0
2006-07-01,337.5
2006-08-01,338.4
2006-09-01,338.8
2006-10-01,338.2
2006-11-01,338.5
2006-12-01,339.3
2007-01-01,339.2
2007-02-01,340.6
2007-03-01,340.5
2007-04-01,339.1
2007-05-01,338.9
2007-06-01,338.6
2007-07-01,337.8
2007-08-01,337.2
2007-09-01,337.3
2007-10-01,338.8
2007-11-01,340.8
2007-12-01,342.9
2008-01-01,341.2
2008-02-01,339.8
2008-03-01,338.7
2008-04-01,338.3
2008-05-01,336.7
2008-06-01,335.4
2008-07-01,331.7
2008-08-01,331.6
2008-09-01,329.1
2008-10-01,326.4
2008-11-01,322.9
2008-12-01,319.8
2009-01-01,316.4
2009-02-01,313.4
2009-03-01,310.1
2009-04-01,308.9
2009-05-01,308.6
2009-06-01,306.5
2009-07-01,305.9
2009-08-01,305.0
2009-09-01,304.7
2009-10-01,304.5
2009-11-01,304.0
2009-12-01,309.3
2010-01-01,308.5
2010-02-01,309.0
