date,value
1990-01-01,609.8
1990-02-01,610.0
1990-03-01,613.0
1990-04-01,615.9
1990-05-01,616.0
1990-06-01,619.1
1990-07-01,626.5
1990-08-01,626.3
1990-09-01,626.8
1990-10-01,628.0
1990-11-01,629.3
1990-12-01,628.0
1991-01-01,628.4
1991-02-01,628.1
1991-03-01,627.6
1991-04-01,628.9
1991-05-01,628.3
1991-06-01,630.1
1991-07-01,629.1
1991-08-01,627.5
1991-09-01,630.5
1991-10-01,628.6
1991-11-01,625.8
1991-12-01,628.4
1992-01-01,627.8
1992-02-01,629.1
1992-03-01,629.9
1992-04-01,632.6
1992-05-01,636.9
1992-06-01,633.7
1992-07-01,639.8
1992-08-01,641.2
1992-09-01,647.3
1992-10-01,643.5
1992-11-01,650.9
1992-12-01,647.9
1993-01-01,652.4
1993-02-01,654.0
1993-03-01,657.0
1993-04-01,659.5
1993-05-01,662.6
1993-06-01,667.8
1993-07-01,669.8
1993-08-01,672.8
1993-09-01,675.0
1993-10-01,689.2
1993-11-01,693.5
1993-12-01,703.0
1994-01-01,711.2
1994-02-01,715.7
1994-03-01,719.6
1994-04-01,726.2
1994-05-01,731.3
1994-06-01,732.2
1994-07-01,741.7
1994-08-01,747.0
1994-09-01,751.5
1994-10-01,753.4
1994-11-01,760.2
1994-12-01,763.0
1995-01-01,762.1
1995-02-01,767.0
1995-03-01,775.0
1995-04-01,777.2
1995-05-01,778.9
1995-06-01,781.9
1995-07-01,787.3
1995-08-01,791.1
1995-09-01,797.6
1995-10-01,800.4
1995-11-01,804.9
1995-12-01,807.6
1996-01-01,815.4
1996-02-01,820.2
1996-03-01,823.3
1996-04-01,832.9
1996-05-01,835.3
1996-06-01,839.1
1996-07-01,846.6
1996-08-01,847.9
1996-09-01,855.1
1996-10-01,858.4
1996-11-01,868.6
1996-12-01,868.9
1997-01-01,875.9
1997-02-01,879.3
1997-03-01,881.4
1997-04-01,881.3
1997-05-01,884.9
1997-06-01,887.2
1997-07-01,892.0
1997-08-01,892.0
1997-09-01,897.5
1997-10-01,900.9
1997-11-01,904.0
1997-12-01,909.2
1998-01-01,903.4
1998-02-01,906.4
1998-03-01,908.4
1998-04-01,912.7
1998-05-01,918.3
1998-06-01,923.6
1998-07-01,927.5
1998-08-01,931.5
1998-09-01,934.4
1998-10-01,941.6
1998-11-01,947.5
1998-12-01,952.6
1999-01-01,958.2
1999-02-01,963.4
1999-03-01,971.4
1999-04-01,974.5
1999-05-01,977.3
1999-06-01,979.8
1999-07-01,983.8
1999-08-01,986.9
1999-09-01,990.7
1999-10-01,999.4
1999-11-01,1003.6
1999-12-01,1007.7
2000-01-01,1009.1
2000-02-01,1010.5
2000-03-01,1012.7
2000-04-01,1017.6
2000-05-01,1023.2
2000-06-01,1021.7
2000-07-01,1028.1
2000-08-01,1038.1
2000-09-01,1037.3
2000-10-01,1038.3
2000-11-01,1042.1
2000-12-01,1045.7
2001-01-01,1051.5
2001-02-01,1056.0
2001-03-01,1056.7
2001-04-01,1055.5
2001-05-01,1055.2
2001-06-01,1056.3
2001-07-01,1056.1
2001-08-01,1055.8
2001-09-01,1056.3
2001-10-01,1039.3
2001-11-01,1038.2
2001-12-01,1037.9
2002-01-01,1036.1
2002-02-01,1037.3
2002-03-01,1042.2
2002-04-01,1047.9
2002-05-01,1050.5
2002-06-01,1049.7
2002-07-01,1052.9
2002-08-01,1055.6
2002-09-01,1057.0
2002-10-01,1061.9
2002-11-01,1063.8
2002-12-01,1067.0
2003-01-01,1071.1
2003-02-01,1075.6
2003-03-01,1076.6
2003-04-01,1075.3
2003-05-01,1078.5
2003-06-01,1079.7
2003-07-01,1086.6
2003-08-01,1091.9
2003-09-01,1097.4
2003-10-01,1104.7
2003-11-01,1108.1
2003-12-01,1114.2
2004-01-01,1120.1
2004-02-01,1121.2
2004-03-01,1127.0
2004-04-01,1137.3
2004-05-01,1142.2
2004-06-01,1149.1
2004-07-01,1156.6
2004-08-01,1160.1
2004-09-01,1167.4
2004-10-01,1180.2
2004-11-01,1181.7
2004-12-01,1186.7
2005-01-01,1186.4
2005-02-01,1193.1
2005-03-01,1200.8
2005-04-01,1212.8
2005-05-01,1215.3
2005-06-01,1219.4
2005-07-01,1228.1
2005-08-01,1231.6
2005-09-01,1239.6
2005-10-01,1241.2
2005-11-01,1248.2
2005-12-01,1254.3
2006-01-01,1261.4
2006-02-01,1268.4
2006-03-01,1275.0
2006-04-01,1276.7
2006-05-01,1279.5
2006-06-01,1283.4
2006-07-01,1282.2
2006-08-01,1285.7
2006-09-01,1285.6
2006-10-01,1282.6
2006-11-01,1284.4
2006-12-01,1288.4
2007-01-01,1289.0
2007-02-01,1296.8
2007-03-01,1298.0
2007-04-01,1295.5
2007-05-01,1297.0
2007-06-01,1294.2
2007-07-01,1289.9
2007-08-01,1288.2
2007-09-01,1285.8
2007-10-01,1287.7
2007-11-01,1289.7
2007-12-01,1293.0
2008-01-01,1289.1
2008-02-01,1286.7
2008-03-01,1283.5
2008-04-01,1282.4
2008-05-01,1279.8
2008-06-01,1274.4
2008-07-01,1268.2
2008-08-01,1261.8
2008-09-01,1255.7
2008-10-01,1240.8
2008-11-01,1227.7
2008-12-01,1213.4
2009-01-01,1197.6
2009-02-01,1184.7
2009-03-01,1170.4
2009-04-01,1156.4
2009-05-01,1149.5
2009-06-01,1143.5
2009-07-01,1137.2
2009-08-01,1133.0
2009-09-01,1131.7
2009-10-01,1125.3
2009-11-01,1124.9
2009-12-01,1126.7
2010-01-01,1119.2
2010-02-01,1117.5
2010-03-01,1115.4
2010-04-01,1118.7
2010-05-01,1122.3
2010-06-01,1120.6
2010-07-01,1120.3
2010-08-01,1119.2
2010-09-01,1112.4
2010-10-01,1115.9
2010-11-01,1116.2
2010-12-01,1117.6
2011-01-01,1120.9
2011-02-01,1121.4
2011-03-01,1121.2
2011-04-01,1123.7
2011-05-01,1124.5
2011-06-01,1123.2
2011-07-01,1127.0
2011-08-01,1127.3
