date,value
1990-01-01,581.2
1990-02-01,580.3
1990-03-01,581.5
1990-04-01,580.0
1990-05-01,578.5
1990-06-01,576.3
1990-07-01,574.4
1990-08-01,573.8
1990-09-01,573.4
1990-10-01,567.8
1990-11-01,568.5
1990-12-01,567.5
1991-01-01,561.0
1991-02-01,560.3
1991-03-01,558.7
1991-04-01,550.4
1991-05-01,546.1
1991-06-01,547.5
1991-07-01,541.6
1991-08-01,541.0
1991-09-01,538.4
1991-10-01,541.6
1991-11-01,540.4
1991-12-01,539.8
1992-01-01,532.2
1992-02-01,533.3
1992-03-01,532.4
1992-04-01,533.1
1992-05-01,533.4
1992-06-01,531.4
1992-07-01,533.1
1992-08-01,530.9
1992-09-01,531.3
1992-10-01,529.9
1992-11-01,529.8
1992-12-01,529.4
1993-01-01,533.1
1993-02-01,538.0
1993-03-01,532.9
1993-04-01,532.8
1993-05-01,537.6
1993-06-01,536.6
1993-07-01,537.1
1993-08-01,539.5
1993-09-01,540.9
1993-10-01,540.2
1993-11-01,539.7
1993-12-01,541.9
1994-01-01,543.6
1994-02-01,540.1
1994-03-01,543.1
1994-04-01,545.6
1994-05-01,544.6
1994-06-01,547.1
1994-07-01,550.0
1994-08-01,549.8
1994-09-01,550.0
1994-10-01,551.3
1994-11-01,552.5
1994-12-01,553.3
1995-01-01,557.8
1995-02-01,557.1
1995-03-01,560.1
1995-04-01,559.9
1995-05-01,558.5
1995-06-01,560.3
1995-07-01,562.6
1995-08-01,565.2
1995-09-01,565.2
1995-10-01,562.7
1995-11-01,567.8
1995-12-01,567.0
1996-01-01,565.5
1996-02-01,568.1
1996-03-01,567.7
1996-04-01,568.6
1996-05-01,571.9
1996-06-01,572.6
1996-07-01,570.9
1996-08-01,572.4
1996-09-01,571.8
1996-10-01,574.2
1996-11-01,574.6
1996-12-01,576.5
1997-01-01,579.3
1997-02-01,580.2
1997-03-01,582.6
1997-04-01,584.3
1997-05-01,584.8
1997-06-01,586.8
1997-07-01,587.7
1997-08-01,587.7
1997-09-01,590.4
1997-10-01,588.6
1997-11-01,592.4
1997-12-01,595.1
1998-01-01,594.0
1998-02-01,598.4
1998-03-01,597.2
1998-04-01,592.7
1998-05-01,600.4
1998-06-01,600.9
1998-07-01,602.2
1998-08-01,601.6
1998-09-01,606.3
1998-10-01,606.8
1998-11-01,606.4
1998-12-01,609.0
1999-01-01,615.8
1999-02-01,618.7
1999-03-01,621.8
1999-04-01,623.0
