date,value
1990-01-01,8264.6
1990-02-01,8263.7
1990-03-01,8267.6
1990-04-01,8244.6
1990-05-01,8255.6
1990-06-01,8233.4
1990-07-01,8209.2
1990-08-01,8201.7
1990-09-01,8180.4
1990-10-01,8135.3
1990-11-01,8105.8
1990-12-01,8088.2
1991-01-01,8011.6
1991-02-01,7980.5
1991-03-01,7957.4
1991-04-01,7934.1
1991-05-01,7911.9
1991-06-01,7899.2
1991-07-01,7839.2
1991-08-01,7831.5
1991-09-01,7814.8
1991-10-01,7810.7
1991-11-01,7800.3
1991-12-01,7775.5
1992-01-01,7761.6
1992-02-01,7748.8
1992-03-01,7734.9
1992-04-01,7740.5
1992-05-01,7731.4
1992-06-01,7718.0
1992-07-01,7719.4
1992-08-01,7711.5
1992-09-01,7702.0
1992-10-01,7699.1
1992-11-01,7690.5
1992-12-01,7693.9
1993-01-01,7726.3
1993-02-01,7732.1
1993-03-01,7715.8
1993-04-01,7723.9
1993-05-01,7738.8
1993-06-01,7745.7
1993-07-01,7772.2
1993-08-01,7764.5
1993-09-01,7754.5
1993-10-01,7765.3
1993-11-01,7769.7
1993-12-01,7786.6
1994-01-01,7772.2
1994-02-01,7770.1
1994-03-01,7782.9
1994-04-01,7789.9
1994-05-01,7802.0
1994-06-01,7804.8
1994-07-01,7832.0
1994-08-01,7840.5
1994-09-01,7838.4
1994-10-01,7853.2
1994-11-01,7867.6
1994-12-01,7869.9
1995-01-01,7887.6
1995-02-01,7884.9
1995-03-01,7891.6
1995-04-01,7887.8
1995-05-01,7868.7
1995-06-01,7870.2
1995-07-01,7868.0
1995-08-01,7881.0
1995-09-01,7881.7
1995-10-01,7870.0
1995-11-01,7878.4
1995-12-01,7879.8
1996-01-01,7861.4
1996-02-01,7898.2
1996-03-01,7897.7
1996-04-01,7896.4
1996-05-01,7918.0
1996-06-01,7927.4
1996-07-01,7917.3
1996-08-01,7929.4
1996-09-01,7943.8
1996-10-01,7958.6
1996-11-01,7968.7
1996-12-01,7977.2
1997-01-01,7975.8
1997-02-01,7987.5
1997-03-01,8014.4
1997-04-01,8019.4
1997-05-01,8027.3
1997-06-01,8035.4
1997-07-01,8069.8
1997-08-01,8068.8
1997-09-01,8101.5
1997-10-01,8111.8
1997-11-01,8122.4
1997-12-01,8142.3
1998-01-01,8134.4
1998-02-01,8163.8
1998-03-01,8176.5
1998-04-01,8168.8
1998-05-01,8205.8
1998-06-01,8217.3
1998-07-01,8225.5
1998-08-01,8245.8
1998-09-01,8254.3
1998-10-01,8270.3
1998-11-01,8289.1
1998-12-01,8305.0
1999-01-01,8361.9
1999-02-01,8386.0
1999-03-01,8386.3
1999-04-01,8418.2
1999-05-01,8424.8
1999-06-01,8438.0
1999-07-01,8455.8
1999-08-01,8472.1
1999-09-01,8455.3
1999-10-01,8489.4
1999-11-01,8509.7
1999-12-01,8533.4
2000-01-01,8538.3
2000-02-01,8544.9
2000-03-01,8567.9
2000-04-01,8606.7
2000-05-01,8617.0
2000-06-01,8610.9
2000-07-01,8638.0
2000-08-01,8606.5
2000-09-01,8659.3
2000-10-01,8667.5
2000-11-01,8675.2
2000-12-01,8682.6
2001-01-01,8673.9
2001-02-01,8666.7
2001-03-01,8657.9
2001-04-01,8626.6
2001-05-01,8628.0
2001-06-01,8614.4
2001-07-01,8579.7
2001-08-01,8558.2
2001-09-01,8547.5
2001-10-01,8458.9
2001-11-01,8454.0
2001-12-01,8442.5
2002-01-01,8444.7
2002-02-01,8449.0
2002-03-01,8449.4
2002-04-01,8453.2
2002-05-01,8457.9
2002-06-01,8451.9
2002-07-01,8456.6
2002-08-01,8458.1
2002-09-01,8442.8
2002-10-01,8446.4
2002-11-01,8441.2
2002-12-01,8438.0
2003-01-01,8425.4
2003-02-01,8417.2
2003-03-01,8412.0
2003-04-01,8399.9
2003-05-01,8399.8
2003-06-01,8394.1
2003-07-01,8382.3
2003-08-01,8381.2
2003-09-01,8390.9
2003-10-01,8391.7
2003-11-01,8401.7
2003-12-01,8398.0
2004-01-01,8392.6
2004-02-01,8408.3
2004-03-01,8431.3
2004-04-01,8414.5
2004-05-01,8445.0
2004-06-01,8456.6
2004-07-01,8463.2
2004-08-01,8467.3
2004-09-01,8471.0
2004-10-01,8486.8
2004-11-01,8485.0
2004-12-01,8494.2
2005-01-01,8490.6
2005-02-01,8487.2
2005-03-01,8483.7
2005-04-01,8518.8
2005-05-01,8510.3
2005-06-01,8513.6
2005-07-01,8531.8
2005-08-01,8542.2
2005-09-01,8552.4
2005-10-01,8528.7
2005-11-01,8543.6
2005-12-01,8560.0
2006-01-01,8562.0
2006-02-01,8563.6
2006-03-01,8580.3
2006-04-01,8588.9
2006-05-01,8592.4
2006-06-01,8600.1
2006-07-01,8599.2
2006-08-01,8603.0
2006-09-01,8617.0
2006-10-01,8627.1
2006-11-01,8646.3
2006-12-01,8666.6
2007-01-01,8686.5
2007-02-01,8685.8
2007-03-01,8696.5
2007-04-01,8687.8
2007-05-01,8705.8
2007-06-01,8721.4
2007-07-01,8722.1
2007-08-01,8720.8
2007-09-01,8721.1
2007-10-01,8749.3
2007-11-01,8762.0
2007-12-01,8768.4
2008-01-01,8790.4
2008-02-01,8790.8
2008-03-01,8789.9
2008-04-01,8806.1
2008-05-01,8803.3
2008-06-01,8804.7
2008-07-01,8812.2
2008-08-01,8801.0
2008-09-01,8777.7
2008-10-01,8750.0
2008-11-01,8723.7
2008-12-01,8694.9
2009-01-01,8652.1
2009-02-01,8628.9
2009-03-01,8594.7
2009-04-01,8528.0
2009-05-01,8535.4
2009-06-01,8520.7
2009-07-01,8554.0
2009-08-01,8537.1
2009-09-01,8491.6
2009-10-01,8474.9
2009-11-01,8478.6
2009-12-01,8478.0
2010-01-01,8487.1
2010-02-01,8490.2
2010-03-01,8509.7
2010-04-01,8545.3
2010-05-01,8580.0
2010-06-01,8565.6
2010-07-01,8556.6
2010-08-01,8530.9
2010-09-01,8536.3
