date,value
1990-01-01,401.5
1990-02-01,401.2
1990-03-01,401.2
1990-04-01,400.1
1990-05-01,397.4
1990-06-01,400.6
1990-07-01,398.7
1990-08-01,398.1
1990-09-01,399.2
1990-10-01,397.7
1990-11-01,399.1
1990-12-01,400.5
1991-01-01,395.7
1991-02-01,394.6
1991-03-01,393.8
1991-04-01,392.5
1991-05-01,387.4
1991-06-01,390.5
1991-07-01,393.6
1991-08-01,391.8
1991-09-01,392.5
1991-10-01,390.8
1991-11-01,391.5
1991-12-01,392.9
1992-01-01,394.6
1992-02-01,396.4
1992-03-01,397.6
1992-04-01,399.1
1992-05-01,401.2
1992-06-01,401.7
1992-07-01,403.0
1992-08-01,404.5
1992-09-01,404.1
1992-10-01,406.0
1992-11-01,405.9
1992-12-01,406.3
1993-01-01,409.2
1993-02-01,411.2
1993-03-01,406.9
1993-04-01,408.2
1993-05-01,410.4
1993-06-01,411.0
1993-07-01,412.2
1993-08-01,415.2
1993-09-01,418.9
1993-10-01,422.5
1993-11-01,424.3
1993-12-01,425.3
1994-01-01,428.7
1994-02-01,429.8
1994-03-01,431.8
1994-04-01,430.7
1994-05-01,430.4
1994-06-01,430.2
1994-07-01,431.0
1994-08-01,430.3
1994-09-01,431.2
1994-10-01,433.3
1994-11-01,435.6
1994-12-01,437.9
1995-01-01,439.2
1995-02-01,440.8
1995-03-01,442.8
1995-04-01,443.9
1995-05-01,444.9
1995-06-01,449.4
1995-07-01,449.8
1995-08-01,450.5
1995-09-01,453.0
1995-10-01,448.5
1995-11-01,449.8
1995-12-01,450.8
1996-01-01,454.0
1996-02-01,456.8
1996-03-01,456.6
1996-04-01,456.0
1996-05-01,457.0
1996-06-01,457.4
1996-07-01,456.6
1996-08-01,456.7
1996-09-01,457.9
1996-10-01,456.9
1996-11-01,458.4
1996-12-01,458.4
1997-01-01,459.8
1997-02-01,460.6
1997-03-01,462.5
1997-04-01,464.0
1997-05-01,465.8
1997-06-01,464.6
1997-07-01,464.5
1997-08-01,463.3
1997-09-01,465.5
1997-10-01,466.2
1997-11-01,465.7
1997-12-01,466.2
1998-01-01,465.0
1998-02-01,467.2
1998-03-01,467.4
1998-04-01,468.5
1998-05-01,473.0
1998-06-01,470.1
1998-07-01,468.1
1998-08-01,467.3
1998-09-01,468.2
1998-10-01,469.1
1998-11-01,469.9
1998-12-01,471.2
1999-01-01,466.5
1999-02-01,473.6
1999-03-01,472.7
1999-04-01,475.1
1999-05-01,475.0
1999-06-01,471.5
1999-07-01,479.9
1999-08-01,480.5
1999-09-01,481.0
1999-10-01,481.5
1999-11-01,484.5
1999-12-01,486.9
2000-01-01,483.7
2000-02-01,483.2
2000-03-01,484.7
2000-04-01,483.8
2000-05-01,482.6
2000-06-01,482.3
2000-07-01,483.9
2000-08-01,484.4
2000-09-01,486.0
2000-10-01,484.5
2000-11-01,485.0
2000-12-01,483.8
2001-01-01,480.7
2001-02-01,482.9
2001-03-01,482.9
2001-04-01,482.0
2001-05-01,483.3
2001-06-01,483.9
2001-07-01,483.1
2001-08-01,483.3
2001-09-01,480.6
2001-10-01,480.9
2001-11-01,481.0
2001-12-01,480.6
2002-01-01,484.8
2002-02-01,485.8
2002-03-01,485.9
2002-04-01,484.9
2002-05-01,486.7
2002-06-01,487.0
2002-07-01,486.5
2002-08-01,484.4
2002-09-01,486.9
2002-10-01,486.5
2002-11-01,485.8
2002-12-01,484.8
2003-01-01,485.0
2003-02-01,483.2
2003-03-01,481.5
2003-04-01,486.6
2003-05-01,487.9
2003-06-01,489.1
2003-07-01,490.3
2003-08-01,490.6
2003-09-01,490.0
2003-10-01,491.2
2003-11-01,491.6
2003-12-01,493.3
2004-01-01,493.9
2004-02-01,494.3
2004-03-01,495.0
2004-04-01,494.5
2004-05-01,495.2
2004-06-01,494.3
2004-07-01,494.5
2004-08-01,496.5
2004-09-01,498.0
2004-10-01,498.8
2004-11-01,500.0
2004-12-01,498.7
2005-01-01,497.7
2005-02-01,499.1
2005-03-01,499.3
2005-04-01,502.3
2005-05-01,500.0
2005-06-01,499.5
2005-07-01,500.4
2005-08-01,499.8
2005-09-01,502.1
2005-10-01,499.3
2005-11-01,500.9
2005-12-01,498.8
2006-01-01,500.8
2006-02-01,502.9
2006-03-01,503.3
2006-04-01,500.8
2006-05-01,499.1
2006-06-01,500.6
2006-07-01,501.1
2006-08-01,500.9
2006-09-01,499.6
2006-10-01,500.2
2006-11-01,501.5
2006-12-01,501.6
2007-01-01,504.9
2007-02-01,501.7
2007-03-01,502.0
2007-04-01,500.6
2007-05-01,501.0
2007-06-01,501.5
2007-07-01,498.9
2007-08-01,498.9
2007-09-01,497.0
2007-10-01,500.7
2007-11-01,500.4
2007-12-01,498.8
2008-01-01,499.1
2008-02-01,498.4
2008-03-01,491.3
2008-04-01,496.2
2008-05-01,498.3
2008-06-01,494.0
2008-07-01,491.8
2008-08-01,490.5
2008-09-01,488.0
2008-10-01,486.5
2008-11-01,484.4
2008-12-01,484.7
2009-01-01,481.5
2009-02-01,480.5
2009-03-01,479.7
2009-04-01,477.5
2009-05-01,479.0
2009-06-01,476.9
2009-07-01,476.4
2009-08-01,474.9
2009-09-01,475.6
2009-10-01,473.2
2009-11-01,472.5
2009-12-01,472.6
2010-01-01,472.9
2010-02-01,472.8
2010-03-01,472.7
2010-04-01,474.4
2010-05-01,472.8
2010-06-01,472.9
2010-07-01,475.0
2010-08-01,475.8
2010-09-01,477.2
2010-10-01,478.5
2010-11-01,479.7
2010-12-01,479.1
2011-01-01,479.4
2011-02-01,480.2
2011-03-01,479.9
2011-04-01,481.1
2011-05-01,480.5
2011-06-01,480.4
2011-07-01,483.7
2011-08-01,487.1
2011-09-01,486.4
2011-10-01,485.2
2011-11-01,489.9
2011-12-01,488.3
2012-01-01,491.0
2012-02-01,495.0
2012-03-01,498.3
2012-04-01,497.4
2012-05-01,497.0
2012-06-01,500.5
2012-07-01,500.7
2012-08-01,502.7
2012-09-01,503.3
2012-10-01,506.8
2012-11-01,506.6
2012-12-01,509.2
2013-01-01,511.1
2013-02-01,513.0
2013-03-01,514.5
2013-04-01,515.5
2013-05-01,518.0
2013-06-01,517.9
2013-07-01,519.0
2013-08-01,518.8
2013-09-01,520.5
2013-10-01,522.4
2013-11-01,522.2
2013-12-01,522.9
2014-01-01,522.4
2014-02-01,522.5
2014-03-01,523.6
2014-04-01,524.8
2014-05-01,526.6
2014-06-01,527.1
2014-07-01,527.1
2014-08-01,528.1
2014-09-01,527.8
2014-10-01,528.9
2014-11-01,530.1
2014-12-01,531.1
2015-01-01,532.0
2015-02-01,532.9
2015-03-01,533.3
2015-04-01,535.0
2015-05-01,538.7
2015-06-01,538.4
2015-07-01,539.5
2015-08-01,541.2
2015-09-01,545.4
2015-10-01,543.4
2015-11-01,546.3
2015-12-01,547.2
2016-01-01,549.6
2016-02-01,548.8
2016-03-01,549.8
2016-04-01,550.3
2016-05-01,550.6
2016-06-01,549.8
2016-07-01,552.6
2016-08-01,552.7
2016-09-01,553.8
2016-10-01,554.4
2016-11-01,557.8
2016-12-01,555.7
2017-01-01,556.3
2017-02-01,558.9
2017-03-01,559.2
2017-04-01,560.2
2017-05-01,558.3
2017-06-01,559.6
2017-07-01,560.5
2017-08-01,562.6
