date,value
1990-01-01,4841.7
1990-02-01,4865.8
1990-03-01,4877.4
1990-04-01,4888.8
1990-05-01,4894.9
1990-06-01,4904.3
1990-07-01,4900.2
1990-08-01,4899.6
1990-09-01,4899.4
1990-10-01,4883.6
1990-11-01,4868.9
1990-12-01,4862.1
1991-01-01,4849.0
1991-02-01,4820.4
1991-03-01,4818.3
1991-04-01,4811.1
1991-05-01,4802.0
1991-06-01,4808.4
1991-07-01,4822.0
1991-08-01,4816.9
1991-09-01,4822.5
1991-10-01,4817.7
1991-11-01,4822.1
1991-12-01,4815.2
1992-01-01,4824.2
1992-02-01,4827.9
1992-03-01,4828.5
1992-04-01,4856.0
1992-05-01,4860.0
1992-06-01,4850.7
1992-07-01,4856.4
1992-08-01,4847.3
1992-09-01,4839.9
1992-10-01,4863.4
1992-11-01,4854.3
1992-12-01,4858.6
1993-01-01,4886.3
1993-02-01,4889.6
1993-03-01,4874.2
1993-04-01,4882.5
1993-05-01,4893.9
1993-06-01,4903.1
1993-07-01,4919.9
1993-08-01,4930.3
1993-09-01,4944.2
1993-10-01,4956.2
1993-11-01,4965.3
1993-12-01,4977.8
1994-01-01,5008.0
1994-02-01,5024.4
1994-03-01,5042.1
1994-04-01,5042.9
1994-05-01,5058.2
1994-06-01,5065.6
1994-07-01,5071.5
1994-08-01,5080.2
1994-09-01,5103.3
1994-10-01,5122.4
1994-11-01,5139.8
1994-12-01,5160.7
1995-01-01,5168.8
1995-02-01,5178.9
1995-03-01,5200.5
1995-04-01,5211.3
1995-05-01,5210.5
1995-06-01,5226.3
1995-07-01,5215.9
1995-08-01,5233.1
1995-09-01,5252.0
1995-10-01,5245.9
1995-11-01,5254.3
1995-12-01,5260.0
1996-01-01,5256.3
1996-02-01,5275.7
1996-03-01,5267.2
1996-04-01,5279.4
1996-05-01,5289.3
1996-06-01,5300.8
1996-07-01,5301.9
1996-08-01,5311.2
1996-09-01,5306.1
1996-10-01,5316.8
1996-11-01,5324.9
1996-12-01,5328.9
1997-01-01,5341.2
1997-02-01,5347.4
1997-03-01,5361.7
1997-04-01,5371.8
1997-05-01,5385.2
1997-06-01,5391.0
1997-07-01,5400.5
1997-08-01,5406.6
1997-09-01,5415.0
1997-10-01,5421.1
1997-11-01,5428.5
1997-12-01,5437.1
1998-01-01,5444.7
1998-02-01,5452.5
1998-03-01,5456.0
1998-04-01,5469.7
1998-05-01,5485.3
1998-06-01,5483.8
1998-07-01,5455.2
1998-08-01,5492.5
1998-09-01,5499.1
1998-10-01,5509.8
1998-11-01,5513.9
1998-12-01,5517.7
1999-01-01,5491.0
1999-02-01,5526.6
1999-03-01,5528.1
1999-04-01,5550.3
1999-05-01,5549.4
1999-06-01,5550.5
1999-07-01,5579.8
1999-08-01,5579.2
1999-09-01,5584.5
1999-10-01,5594.3
1999-11-01,5607.1
1999-12-01,5627.0
2000-01-01,5617.7
2000-02-01,5618.5
2000-03-01,5632.4
2000-04-01,5629.7
2000-05-01,5638.4
2000-06-01,5636.8
2000-07-01,5630.2
2000-08-01,5627.1
2000-09-01,5619.9
2000-10-01,5620.0
2000-11-01,5619.4
2000-12-01,5616.7
2001-01-01,5602.9
2001-02-01,5597.0
2001-03-01,5591.6
2001-04-01,5578.2
2001-05-01,5566.1
2001-06-01,5558.5
2001-07-01,5532.5
2001-08-01,5521.7
2001-09-01,5505.9
2001-10-01,5497.4
2001-11-01,5485.2
2001-12-01,5474.9
2002-01-01,5464.5
2002-02-01,5462.6
2002-03-01,5457.9
2002-04-01,5446.3
2002-05-01,5446.5
2002-06-01,5443.2
2002-07-01,5444.9
2002-08-01,5443.3
2002-09-01,5442.7
2002-10-01,5436.3
2002-11-01,5431.0
2002-12-01,5422.4
2003-01-01,5423.0
2003-02-01,5408.1
2003-03-01,5398.9
2003-04-01,5405.7
2003-05-01,5405.1
2003-06-01,5391.5
2003-07-01,5390.7
2003-08-01,5391.2
2003-09-01,5386.7
2003-10-01,5393.3
2003-11-01,5387.8
2003-12-01,5389.2
2004-01-01,5390.6
2004-02-01,5394.6
2004-03-01,5403.1
2004-04-01,5405.6
2004-05-01,5404.2
2004-06-01,5406.9
2004-07-01,5416.0
2004-08-01,5413.9
2004-09-01,5410.4
2004-10-01,5423.0
2004-11-01,5418.4
2004-12-01,5421.0
2005-01-01,5404.8
2005-02-01,5414.6
2005-03-01,5415.4
2005-04-01,5434.2
2005-05-01,5430.2
2005-06-01,5420.9
2005-07-01,5433.2
2005-08-01,5431.5
2005-09-01,5439.3
2005-10-01,5434.6
2005-11-01,5438.0
2005-12-01,5438.6
2006-01-01,5441.0
2006-02-01,5446.0
2006-03-01,5452.1
2006-04-01,5449.0
2006-05-01,5442.0
2006-06-01,5442.8
2006-07-01,5430.6
2006-08-01,5432.0
2006-09-01,5430.4
2006-10-01,5423.6
2006-11-01,5420.4
2006-12-01,5426.0
2007-01-01,5434.4
2007-02-01,5417.5
2007-03-01,5432.5
2007-04-01,5431.5
2007-05-01,5436.2
2007-06-01,5443.8
2007-07-01,5426.6
2007-08-01,5425.5
2007-09-01,5419.6
2007-10-01,5421.3
