date,value
1990-01-01,93.5
1990-02-01,93.5
1990-03-01,93.2
1990-04-01,94.3
1990-05-01,94.8
1990-06-01,95.2
1990-07-01,95.4
1990-08-01,95.7
1990-09-01,96.4
1990-10-01,95.7
1990-11-01,96.0
1990-12-01,96.0
1991-01-01,97.2
1991-02-01,96.8
1991-03-01,97.0
1991-04-01,97.4
1991-05-01,96.4
1991-06-01,97.7
1991-07-01,97.1
1991-08-01,97.5
1991-09-01,98.2
1991-10-01,97.6
1991-11-01,97.9
1991-12-01,97.9
1992-01-01,98.3
1992-02-01,98.9
1992-03-01,99.2
1992-04-01,99.2
1992-05-01,99.9
1992-06-01,99.6
1992-07-01,100.7
1992-08-01,100.7
1992-09-01,100.1
1992-10-01,101.0
1992-11-01,101.5
1992-12-01,101.2
1993-01-01,100.7
1993-02-01,101.7
1993-03-01,102.2
1993-04-01,102.8
1993-05-01,102.9
1993-06-01,103.3
1993-07-01,102.9
1993-08-01,103.5
1993-09-01,104.0
1993-10-01,105.2
1993-11-01,105.5
1993-12-01,106.5
1994-01-01,106.7
1994-02-01,106.3
1994-03-01,106.3
1994-04-01,107.1
1994-05-01,107.5
1994-06-01,107.9
1994-07-01,109.2
1994-08-01,109.7
1994-09-01,110.3
1994-10-01,109.6
1994-11-01,110.5
1994-12-01,110.9
1995-01-01,111.9
1995-02-01,112.4
1995-03-01,112.4
1995-04-01,112.8
1995-05-01,113.2
1995-06-01,113.2
1995-07-01,113.2
1995-08-01,112.9
1995-09-01,112.6
1995-10-01,113.5
1995-11-01,113.3
1995-12-01,113.9
1996-01-01,113.2
1996-02-01,112.9
1996-03-01,113.5
1996-04-01,112.7
1996-05-01,113.1
1996-06-01,113.3
1996-07-01,113.0
1996-08-01,113.7
1996-09-01,114.1
1996-10-01,113.5
1996-11-01,113.5
1996-12-01,113.8
1997-01-01,114.5
1997-02-01,115.4
1997-03-01,116.1
1997-04-01,114.4
1997-05-01,114.5
1997-06-01,115.4
1997-07-01,111.8
1997-08-01,112.4
1997-09-01,113.1
1997-10-01,116.2
1997-11-01,116.5
1997-12-01,117.5
1998-01-01,115.3
1998-02-01,116.1
1998-03-01,115.9
1998-04-01,117.6
1998-05-01,117.7
1998-06-01,117.3
1998-07-01,116.5
1998-08-01,116.8
1998-09-01,116.4
1998-10-01,115.3
1998-11-01,115.8
1998-12-01,116.5
1999-01-01,118.0
1999-02-01,119.3
1999-03-01,119.1
1999-04-01,119.6
1999-05-01,119.7
1999-06-01,119.7
1999-07-01,120.7
1999-08-01,121.3
1999-09-01,121.9
1999-10-01,123.1
1999-11-01,124.6
1999-12-01,125.7
2000-01-01,125.2
2000-02-01,125.1
2000-03-01,125.8
2000-04-01,125.0
2000-05-01,124.7
2000-06-01,125.3
2000-07-01,125.9
2000-08-01,126.2
2000-09-01,126.7
2000-10-01,127.3
2000-11-01,126.7
2000-12-01,125.8
2001-01-01,125.4
2001-02-01,126.5
2001-03-01,126.6
2001-04-01,128.1
2001-05-01,127.8
2001-06-01,128.5
2001-07-01,128.1
2001-08-01,128.1
2001-09-01,127.2
2001-10-01,126.4
2001-11-01,127.2
2001-12-01,127.3
2002-01-01,126.5
2002-02-01,127.0
2002-03-01,126.9
2002-04-01,126.9
2002-05-01,127.7
2002-06-01,127.2
2002-07-01,127.2
2002-08-01,127.4
2002-09-01,127.4
2002-10-01,127.3
2002-11-01,126.8
2002-12-01,126.4
2003-01-01,126.9
2003-02-01,126.6
2003-03-01,125.4
2003-04-01,126.4
2003-05-01,126.8
2003-06-01,126.2
2003-07-01,126.4
2003-08-01,126.7
2003-09-01,126.3
2003-10-01,127.4
2003-11-01,127.4
2003-12-01,127.4
2004-01-01,127.6
2004-02-01,127.8
2004-03-01,127.9
2004-04-01,127.3
2004-05-01,127.9
2004-06-01,128.7
2004-07-01,129.1
2004-08-01,129.5
2004-09-01,130.7
2004-10-01,130.8
2004-11-01,131.1
2004-12-01,131.5
2005-01-01,131.3
2005-02-01,131.5
2005-03-01,132.0
2005-04-01,132.5
2005-05-01,133.1
2005-06-01,133.8
2005-07-01,132.1
2005-08-01,132.3
2005-09-01,132.2
2005-10-01,132.5
2005-11-01,133.2
2005-12-01,132.9
2006-01-01,135.1
2006-02-01,135.1
2006-03-01,135.3
2006-04-01,135.0
2006-05-01,134.7
2006-06-01,135.0
2006-07-01,135.7
2006-08-01,136.2
2006-09-01,135.9
2006-10-01,136.2
2006-11-01,135.8
2006-12-01,137.0
2007-01-01,135.8
2007-02-01,136.6
2007-03-01,137.6
2007-04-01,136.0
2007-05-01,136.6
2007-06-01,137.0
2007-07-01,137.9
2007-08-01,138.5
2007-09-01,138.7
2007-10-01,139.4
2007-11-01,140.1
2007-12-01,138.9
2008-01-01,143.5
2008-02-01,143.5
2008-03-01,142.7
2008-04-01,139.2
2008-05-01,139.1
2008-06-01,139.9
2008-07-01,140.0
2008-08-01,140.1
2008-09-01,140.6
2008-10-01,140.9
2008-11-01,141.1
2008-12-01,142.0
2009-01-01,141.6
2009-02-01,141.6
2009-03-01,141.8
2009-04-01,140.7
2009-05-01,140.2
2009-06-01,140.6
2009-07-01,140.3
2009-08-01,139.7
2009-09-01,139.2
2009-10-01,138.5
2009-11-01,138.6
2009-12-01,137.6
2010-01-01,137.6
2010-02-01,137.6
2010-03-01,138.1
2010-04-01,138.6
2010-05-01,138.7
2010-06-01,138.9
2010-07-01,138.8
2010-08-01,139.0
2010-09-01,139.7
2010-10-01,140.5
2010-11-01,140.8
2010-12-01,141.6
2011-01-01,141.6
2011-02-01,139.6
2011-03-01,142.1
2011-04-01,142.5
2011-05-01,142.8
2011-06-01,143.1
2011-07-01,143.8
2011-08-01,143.9
2011-09-01,144.6
2011-10-01,144.4
2011-11-01,144.6
2011-12-01,144.9
2012-01-01,145.6
2012-02-01,146.1
2012-03-01,146.8
2012-04-01,147.2
2012-05-01,147.2
2012-06-01,147.7
2012-07-01,146.3
2012-08-01,146.5
2012-09-01,147.3
2012-10-01,148.7
2012-11-01,148.8
2012-12-01,150.4
2013-01-01,150.0
2013-02-01,150.3
2013-03-01,150.3
2013-04-01,150.2
2013-05-01,151.3
2013-06-01,151.4
2013-07-01,152.2
2013-08-01,152.8
2013-09-01,153.8
2013-10-01,153.2
2013-11-01,153.6
2013-12-01,152.7
2014-01-01,154.8
2014-02-01,154.5
2014-03-01,154.5
2014-04-01,155.5
2014-05-01,155.3
2014-06-01,155.8
2014-07-01,156.3
2014-08-01,156.6
2014-09-01,157.3
2014-10-01,157.4
2014-11-01,157.6
2014-12-01,158.5
2015-01-01,158.7
2015-02-01,159.4
2015-03-01,158.6
2015-04-01,160.1
2015-05-01,161.3
2015-06-01,162.8
2015-07-01,162.9
2015-08-01,163.3
