date,value
1990-01-01,1196.5
1990-02-01,1199.9
1990-03-01,1200.0
1990-04-01,1204.4
1990-05-01,1207.4
1990-06-01,1211.6
1990-07-01,1215.8
1990-08-01,1216.8
1990-09-01,1220.2
1990-10-01,1213.7
1990-11-01,1215.4
1990-12-01,1216.6
1991-01-01,1218.5
1991-02-01,1221.4
1991-03-01,1222.6
1991-04-01,1227.5
1991-05-01,1226.0
1991-06-01,1227.9
1991-07-01,1223.5
1991-08-01,1223.2
1991-09-01,1226.5
1991-10-01,1227.3
1991-11-01,1228.0
1991-12-01,1229.2
1992-01-01,1232.0
1992-02-01,1228.4
1992-03-01,1227.1
1992-04-01,1231.0
1992-05-01,1235.5
1992-06-01,1231.1
1992-07-01,1234.0
1992-08-01,1235.4
1992-09-01,1238.5
1992-10-01,1242.9
1992-11-01,1244.6
1992-12-01,1244.7
1993-01-01,1248.2
1993-02-01,1252.2
1993-03-01,1252.9
1993-04-01,1253.7
1993-05-01,1254.9
1993-06-01,1259.9
1993-07-01,1264.2
1993-08-01,1265.5
1993-09-01,1264.0
1993-10-01,1268.7
1993-11-01,1270.3
1993-12-01,1273.6
1994-01-01,1278.5
1994-02-01,1276.8
1994-03-01,1279.4
1994-04-01,1284.4
1994-05-01,1286.8
1994-06-01,1291.2
1994-07-01,1300.4
1994-08-01,1300.4
1994-09-01,1303.9
1994-10-01,1301.3
1994-11-01,1307.3
1994-12-01,1310.8
1995-01-01,1315.1
1995-02-01,1318.3
1995-03-01,1319.6
1995-04-01,1323.2
1995-05-01,1324.2
1995-06-01,1326.8
1995-07-01,1328.5
1995-08-01,1332.9
1995-09-01,1335.7
1995-10-01,1340.8
1995-11-01,1344.9
1995-12-01,1348.6
1996-01-01,1350.7
1996-02-01,1351.6
1996-03-01,1358.6
1996-04-01,1359.7
1996-05-01,1364.6
1996-06-01,1367.6
1996-07-01,1366.8
1996-08-01,1375.1
1996-09-01,1375.3
1996-10-01,1377.2
1996-11-01,1379.4
1996-12-01,1383.0
1997-01-01,1385.2
1997-02-01,1390.3
1997-03-01,1394.0
