date,value
1990-01-01,108.3
1990-02-01,108.4
1990-03-01,108.5
1990-04-01,108.4
1990-05-01,108.8
1990-06-01,109.0
1990-07-01,108.8
1990-08-01,110.2
1990-09-01,110.0
1990-10-01,109.4
1990-11-01,109.7
1990-12-01,110.2
1991-01-01,109.6
1991-02-01,109.8
1991-03-01,109.9
1991-04-01,109.4
1991-05-01,109.7
1991-06-01,109.9
1991-07-01,109.6
1991-08-01,109.9
1991-09-01,110.0
1991-10-01,110.7
1991-11-01,110.3
1991-12-01,110.9
1992-01-01,111.1
1992-02-01,111.2
1992-03-01,111.6
1992-04-01,111.9
1992-05-01,112.2
1992-06-01,112.0
1992-07-01,112.8
1992-08-01,113.0
1992-09-01,114.1
1992-10-01,114.2
1992-11-01,114.2
1992-12-01,114.0
1993-01-01,114.3
1993-02-01,114.6
1993-03-01,115.2
1993-04-01,115.6
1993-05-01,116.3
1993-06-01,116.7
1993-07-01,117.1
1993-08-01,117.6
1993-09-01,117.9
1993-10-01,118.5
1993-11-01,119.1
1993-12-01,119.6
1994-01-01,119.9
1994-02-01,120.6
1994-03-01,120.7
1994-04-01,121.1
1994-05-01,121.3
1994-06-01,121.6
1994-07-01,121.8
1994-08-01,122.8
1994-09-01,123.7
1994-10-01,124.6
1994-11-01,124.9
1994-12-01,125.9
1995-01-01,127.5
1995-02-01,127.7
1995-03-01,128.2
1995-04-01,128.6
1995-05-01,129.2
1995-06-01,130.1
1995-07-01,130.9
1995-08-01,131.9
1995-09-01,132.8
1995-10-01,133.3
1995-11-01,133.3
1995-12-01,134.0
1996-01-01,136.8
1996-02-01,135.3
1996-03-01,136.0
1996-04-01,136.0
1996-05-01,136.8
1996-06-01,137.1
1996-07-01,137.4
1996-08-01,137.3
1996-09-01,138.1
1996-10-01,138.0
1996-11-01,138.9
1996-12-01,138.9
1997-01-01,139.3
1997-02-01,139.5
1997-03-01,140.0
1997-04-01,140.4
1997-05-01,140.9
1997-06-01,141.1
1997-07-01,141.2
1997-08-01,141.1
1997-09-01,140.3
1997-10-01,140.7
1997-11-01,141.3
1997-12-01,142.0
1998-01-01,141.9
1998-02-01,142.0
1998-03-01,142.2
1998-04-01,142.3
1998-05-01,142.8
1998-06-01,142.3
1998-07-01,142.3
1998-08-01,142.9
1998-09-01,143.1
1998-10-01,141.5
1998-11-01,141.7
1998-12-01,141.7
1999-01-01,143.2
1999-02-01,143.2
1999-03-01,143.5
1999-04-01,143.9
1999-05-01,144.1
1999-06-01,144.6
1999-07-01,145.6
1999-08-01,145.4
1999-09-01,145.8
1999-10-01,146.3
1999-11-01,146.8
1999-12-01,146.8
2000-01-01,146.8
2000-02-01,147.0
2000-03-01,146.9
2000-04-01,146.9
2000-05-01,147.5
2000-06-01,148.2
2000-07-01,149.2
2000-08-01,148.5
2000-09-01,148.4
2000-10-01,149.0
2000-11-01,149.7
2000-12-01,149.6
2001-01-01,149.5
2001-02-01,149.8
2001-03-01,149.8
2001-04-01,150.1
2001-05-01,150.4
2001-06-01,149.8
2001-07-01,150.0
2001-08-01,149.9
2001-09-01,149.8
2001-10-01,149.2
2001-11-01,148.2
2001-12-01,148.4
2002-01-01,148.7
2002-02-01,148.8
2002-03-01,148.4
2002-04-01,149.3
2002-05-01,149.7
2002-06-01,150.0
2002-07-01,149.7
2002-08-01,150.1
2002-09-01,150.5
2002-10-01,150.5
2002-11-01,150.8
2002-12-01,149.3
2003-01-01,151.4
2003-02-01,151.2
2003-03-01,151.0
2003-04-01,150.3
2003-05-01,149.1
2003-06-01,150.9
2003-07-01,152.2
2003-08-01,151.7
2003-09-01,151.7
2003-10-01,152.8
2003-11-01,153.0
2003-12-01,153.3
2004-01-01,152.4
2004-02-01,153.0
2004-03-01,153.6
2004-04-01,154.6
2004-05-01,154.9
2004-06-01,154.4
2004-07-01,155.7
2004-08-01,156.2
2004-09-01,156.5
2004-10-01,156.4
2004-11-01,156.8
2004-12-01,157.0
2005-01-01,157.1
2005-02-01,157.3
2005-03-01,158.6
2005-04-01,158.0
2005-05-01,158.4
2005-06-01,159.1
2005-07-01,159.2
2005-08-01,159.6
2005-09-01,160.2
2005-10-01,160.1
2005-11-01,161.1
2005-12-01,161.5
2006-01-01,162.3
2006-02-01,162.9
2006-03-01,163.0
2006-04-01,164.0
2006-05-01,164.1
2006-06-01,164.4
2006-07-01,165.0
2006-08-01,165.5
2006-09-01,165.6
2006-10-01,166.8
2006-11-01,167.5
2006-12-01,168.9
2007-01-01,169.5
2007-02-01,170.7
2007-03-01,170.9
2007-04-01,170.7
2007-05-01,171.3
2007-06-01,171.1
2007-07-01,171.9
2007-08-01,172.2
2007-09-01,172.3
2007-10-01,173.0
2007-11-01,174.0
2007-12-01,174.6
2008-01-01,175.0
2008-02-01,174.9
2008-03-01,175.2
2008-04-01,174.9
2008-05-01,174.5
2008-06-01,173.8
2008-07-01,173.4
2008-08-01,172.3
2008-09-01,172.3
2008-10-01,171.1
2008-11-01,169.9
2008-12-01,166.7
2009-01-01,165.9
2009-02-01,165.1
2009-03-01,164.0
2009-04-01,163.2
2009-05-01,163.1
2009-06-01,162.8
2009-07-01,162.2
2009-08-01,161.9
2009-09-01,161.9
2009-10-01,161.6
2009-11-01,161.8
2009-12-01,160.9
2010-01-01,161.1
2010-02-01,161.3
2010-03-01,161.4
2010-04-01,162.1
2010-05-01,162.0
2010-06-01,162.3
2010-07-01,162.3
2010-08-01,162.5
2010-09-01,162.4
2010-10-01,163.8
2010-11-01,163.3
2010-12-01,164.0
2011-01-01,164.5
2011-02-01,165.1
2011-03-01,165.0
2011-04-01,165.1
2011-05-01,164.3
2011-06-01,165.4
2011-07-01,165.5
2011-08-01,166.1
2011-09-01,166.9
2011-10-01,166.5
2011-11-01,166.2
2011-12-01,167.1
2012-01-01,167.5
2012-02-01,167.9
2012-03-01,168.4
2012-04-01,168.5
2012-05-01,169.0
2012-06-01,169.5
2012-07-01,170.1
2012-08-01,170.7
2012-09-01,171.7
2012-10-01,172.4
2012-11-01,172.3
2012-12-01,173.2
2013-01-01,173.6
2013-02-01,173.9
2013-03-01,174.5
2013-04-01,175.1
2013-05-01,175.7
2013-06-01,176.9
2013-07-01,177.2
2013-08-01,177.5
2013-09-01,177.9
2013-10-01,178.2
2013-11-01,179.3
2013-12-01,179.7
2014-01-01,180.1
2014-02-01,179.7
2014-03-01,181.0
2014-04-01,181.8
2014-05-01,182.4
2014-06-01,182.3
2014-07-01,182.8
2014-08-01,183.4
2014-09-01,183.7
2014-10-01,185.0
2014-11-01,185.6
2014-12-01,186.2
2015-01-01,187.4
2015-02-01,188.6
2015-03-01,189.0
2015-04-01,189.2
2015-05-01,190.4
2015-06-01,191.1
2015-07-01,192.1
2015-08-01,192.8
2015-09-01,193.5
2015-10-01,194.2
2015-11-01,194.9
2015-12-01,195.1
2016-01-01,196.3
2016-02-01,197.7
2016-03-01,198.3
2016-04-01,199.0
2016-05-01,199.3
2016-06-01,199.7
2016-07-01,200.5
2016-08-01,199.9
2016-09-01,201.2
2016-10-01,201.5
2016-11-01,202.0
2016-12-01,202.3
2017-01-01,202.0
2017-02-01,203.8
2017-03-01,204.3
2017-04-01,205.4
2017-05-01,205.5
2017-06-01,207.0
2017-07-01,207.3
2017-08-01,207.4
2017-09-01,208.0
2017-10-01,208.2
2017-11-01,208.8
2017-12-01,209.0
2018-01-01,209.7
2018-02-01,209.8
2018-03-01,210.3
2018-04-01,210.6
2018-05-01,211.5
2018-06-01,212.0
2018-07-01,210.9
2018-08-01,211.4
2018-09-01,211.3
2018-10-01,212.2
2018-11-01,212.8
2018-12-01,213.9
2019-01-01,213.5
2019-02-01,212.3
2019-03-01,212.6
2019-04-01,212.8
2019-05-01,213.4
