date,value
1990-01-01,1246.3
1990-02-01,1242.7
1990-03-01,1248.9
1990-04-01,1255.3
1990-05-01,1258.3
1990-06-01,1261.1
1990-07-01,1261.9
1990-08-01,1271.0
1990-09-01,1261.8
1990-10-01,1258.7
1990-11-01,1261.1
1990-12-01,1259.1
1991-01-01,1253.9
1991-02-01,1254.1
1991-03-01,1252.3
1991-04-01,1249.6
1991-05-01,1249.5
1991-06-01,1253.5
1991-07-01,1253.8
1991-08-01,1255.5
1991-09-01,1257.3
1991-10-01,1263.0
1991-11-01,1258.8
1991-12-01,1259.8
1992-01-01,1264.0
1992-02-01,1265.4
1992-03-01,1265.6
1992-04-01,1271.1
1992-05-01,1276.1
1992-06-01,1276.1
1992-07-01,1283.0
1992-08-01,1282.3
1992-09-01,1282.7
1992-10-01,1286.3
1992-11-01,1290.2
1992-12-01,1288.0
1993-01-01,1292.6
1993-02-01,1300.9
1993-03-01,1305.8
1993-04-01,1308.3
1993-05-01,1310.4
1993-06-01,1316.2
1993-07-01,1318.0
1993-08-01,1322.8
1993-09-01,1329.2
1993-10-01,1336.6
1993-11-01,1340.5
1993-12-01,1345.6
1994-01-01,1348.8
1994-02-01,1352.2
1994-03-01,1356.1
1994-04-01,1360.2
1994-05-01,1365.7
1994-06-01,1370.2
1994-07-01,1377.1
1994-08-01,1381.8
1994-09-01,1386.6
1994-10-01,1390.5
1994-11-01,1399.4
1994-12-01,1402.2
1995-01-01,1405.0
1995-02-01,1409.5
1995-03-01,1414.4
1995-04-01,1414.4
1995-05-01,1418.6
1995-06-01,1425.4
1995-07-01,1429.1
1995-08-01,1438.8
1995-09-01,1447.8
1995-10-01,1450.0
1995-11-01,1452.9
1995-12-01,1458.3
1996-01-01,1467.3
1996-02-01,1465.3
1996-03-01,1470.1
1996-04-01,1472.7
1996-05-01,1477.2
1996-06-01,1481.7
1996-07-01,1487.1
1996-08-01,1492.7
1996-09-01,1498.8
1996-10-01,1504.4
1996-11-01,1514.4
1996-12-01,1512.6
1997-01-01,1519.4
1997-02-01,1524.0
1997-03-01,1527.5
1997-04-01,1533.2
1997-05-01,1539.1
1997-06-01,1539.9
1997-07-01,1541.8
1997-08-01,1540.4
1997-09-01,1544.1
1997-10-01,1548.6
1997-11-01,1550.3
1997-12-01,1556.0
1998-01-01,1554.9
1998-02-01,1559.7
1998-03-01,1560.5
1998-04-01,1561.7
1998-05-01,1565.7
1998-06-01,1566.4
1998-07-01,1559.2
1998-08-01,1565.0
1998-09-01,1567.4
1998-10-01,1565.6
1998-11-01,1570.3
1998-12-01,1571.2
1999-01-01,1573.8
1999-02-01,1574.9
1999-03-01,1579.8
1999-04-01,1581.3
1999-05-01,1578.9
1999-06-01,1580.8
1999-07-01,1589.2
1999-08-01,1589.1
1999-09-01,1592.2
1999-10-01,1598.4
1999-11-01,1603.5
1999-12-01,1606.0
2000-01-01,1605.5
2000-02-01,1608.0
2000-03-01,1610.2
2000-04-01,1614.1
2000-05-01,1620.4
2000-06-01,1621.9
2000-07-01,1620.9
2000-08-01,1621.2
2000-09-01,1625.2
2000-10-01,1625.4
2000-11-01,1632.7
2000-12-01,1632.6
2001-01-01,1631.1
2001-02-01,1628.6
2001-03-01,1624.0
2001-04-01,1618.1
2001-05-01,1614.7
2001-06-01,1613.3
2001-07-01,1604.5
2001-08-01,1599.7
2001-09-01,1596.4
2001-10-01,1591.9
2001-11-01,1586.2
2001-12-01,1584.1
2002-01-01,1584.7
2002-02-01,1584.8
2002-03-01,1583.9
2002-04-01,1586.1
2002-05-01,1586.9
2002-06-01,1587.9
2002-07-01,1591.7
2002-08-01,1591.7
2002-09-01,1590.8
2002-10-01,1589.6
2002-11-01,1587.4
2002-12-01,1584.3
2003-01-01,1588.1
2003-02-01,1583.3
2003-03-01,1578.4
2003-04-01,1571.5
2003-05-01,1569.3
2003-06-01,1568.5
2003-07-01,1568.8
2003-08-01,1571.6
2003-09-01,1573.7
2003-10-01,1579.3
2003-11-01,1580.0
2003-12-01,1585.0
2004-01-01,1577.0
2004-02-01,1583.8
2004-03-01,1591.5
