date,value
1990-01-01,388.6
1990-02-01,387.3
1990-03-01,387.8
1990-04-01,381.4
1990-05-01,376.6
1990-06-01,378.4
1990-07-01,381.7
1990-08-01,383.2
1990-09-01,384.8
1990-10-01,385.4
1990-11-01,384.5
1990-12-01,384.9
1991-01-01,383.7
1991-02-01,383.3
1991-03-01,383.4
1991-04-01,383.0
1991-05-01,380.4
1991-06-01,382.8
1991-07-01,381.1
1991-08-01,382.2
1991-09-01,381.2
1991-10-01,379.1
1991-11-01,381.1
1991-12-01,381.6
1992-01-01,382.4
1992-02-01,383.2
1992-03-01,383.0
1992-04-01,383.0
1992-05-01,383.9
1992-06-01,382.5
1992-07-01,384.5
1992-08-01,385.2
1992-09-01,386.7
1992-10-01,388.6
1992-11-01,389.1
1992-12-01,388.5
1993-01-01,391.6
1993-02-01,393.6
1993-03-01,387.5
1993-04-01,394.6
1993-05-01,394.9
1993-06-01,394.8
1993-07-01,394.5
1993-08-01,394.1
1993-09-01,394.5
1993-10-01,395.9
1993-11-01,395.2
1993-12-01,396.5
1994-01-01,394.5
1994-02-01,391.5
1994-03-01,392.6
1994-04-01,395.2
1994-05-01,395.4
1994-06-01,396.3
1994-07-01,396.8
1994-08-01,397.3
1994-09-01,396.9
1994-10-01,397.5
1994-11-01,398.2
1994-12-01,400.0
1995-01-01,403.3
1995-02-01,402.6
1995-03-01,404.3
1995-04-01,404.0
1995-05-01,404.7
1995-06-01,406.4
1995-07-01,406.2
1995-08-01,408.7
1995-09-01,411.4
1995-10-01,410.7
1995-11-01,411.8
1995-12-01,411.4
1996-01-01,407.9
1996-02-01,410.2
1996-03-01,412.0
1996-04-01,414.2
1996-05-01,413.8
1996-06-01,415.0
1996-07-01,413.4
1996-08-01,414.9
1996-09-01,414.5
1996-10-01,416.3
1996-11-01,416.7
1996-12-01,418.3
1997-01-01,420.7
1997-02-01,420.8
1997-03-01,419.1
1997-04-01,421.3
1997-05-01,422.6
1997-06-01,422.1
1997-07-01,424.0
1997-08-01,425.1
1997-09-01,427.1
1997-10-01,424.5
1997-11-01,426.6
1997-12-01,427.1
1998-01-01,428.2
1998-02-01,430.1
1998-03-01,429.1
1998-04-01,426.9
1998-05-01,429.8
1998-06-01,429.4
1998-07-01,429.8
1998-08-01,429.2
1998-09-01,430.2
1998-10-01,431.7
1998-11-01,432.2
1998-12-01,433.4
1999-01-01,434.2
1999-02-01,437.9
1999-03-01,437.1
1999-04-01,441.6
1999-05-01,441.1
1999-06-01,443.4
1999-07-01,443.8
1999-08-01,442.2
1999-09-01,437.2
1999-10-01,444.1
1999-11-01,443.7
1999-12-01,447.3
2000-01-01,445.8
2000-02-01,445.6
2000-03-01,449.7
2000-04-01,448.9
2000-05-01,447.2
2000-06-01,448.0
2000-07-01,449.6
2000-08-01,450.3
2000-09-01,450.9
2000-10-01,451.6
2000-11-01,452.4
2000-12-01,453.5
2001-01-01,453.2
2001-02-01,455.3
2001-03-01,455.2
2001-04-01,452.6
2001-05-01,455.1
2001-06-01,456.5
2001-07-01,456.6
2001-08-01,456.9
2001-09-01,454.9
2001-10-01,455.2
2001-11-01,457.3
