date,value
1990-01-01,5193.1
1990-02-01,5191.5
1990-03-01,5197.3
1990-04-01,5180.7
1990-05-01,5180.6
1990-06-01,5178.1
1990-07-01,5178.3
1990-08-01,5174.1
1990-09-01,5171.3
1990-10-01,5153.2
1990-11-01,5144.9
1990-12-01,5137.2
1991-01-01,5135.2
1991-02-01,5116.7
1991-03-01,5106.8
1991-04-01,5094.4
1991-05-01,5081.4
1991-06-01,5082.0
1991-07-01,5065.7
1991-08-01,5070.3
1991-09-01,5073.2
1991-10-01,5072.9
1991-11-01,5075.0
1991-12-01,5070.7
1992-01-01,5075.3
1992-02-01,5069.7
1992-03-01,5064.1
1992-04-01,5071.1
1992-05-01,5079.8
1992-06-01,5081.0
1992-07-01,5082.1
1992-08-01,5080.6
1992-09-01,5074.9
1992-10-01,5083.4
1992-11-01,5081.7
1992-12-01,5078.9
1993-01-01,5107.0
1993-02-01,5121.2
1993-03-01,5094.2
1993-04-01,5109.0
1993-05-01,5116.8
1993-06-01,5113.1
1993-07-01,5124.0
1993-08-01,5130.5
1993-09-01,5129.4
1993-10-01,5145.9
1993-11-01,5147.5
1993-12-01,5156.7
1994-01-01,5139.4
1994-02-01,5139.1
1994-03-01,5156.3
1994-04-01,5169.8
1994-05-01,5184.9
1994-06-01,5202.8
1994-07-01,5207.5
1994-08-01,5213.6
1994-09-01,5224.7
1994-10-01,5227.0
1994-11-01,5235.5
1994-12-01,5241.2
1995-01-01,5240.8
1995-02-01,5242.4
1995-03-01,5252.7
1995-04-01,5250.5
1995-05-01,5247.6
1995-06-01,5259.6
1995-07-01,5241.4
1995-08-01,5262.1
1995-09-01,5268.7
1995-10-01,5270.3
1995-11-01,5269.2
1995-12-01,5271.3
1996-01-01,5223.1
1996-02-01,5275.3
1996-03-01,5282.0
1996-04-01,5299.4
1996-05-01,5306.0
1996-06-01,5306.8
1996-07-01,5315.1
1996-08-01,5324.9
1996-09-01,5328.6
1996-10-01,5343.4
1996-11-01,5353.4
1996-12-01,5361.9
1997-01-01,5370.7
1997-02-01,5378.6
1997-03-01,5381.5
1997-04-01,5384.0
1997-05-01,5390.8
1997-06-01,5392.3
1997-07-01,5412.5
1997-08-01,5408.3
1997-09-01,5432.6
1997-10-01,5441.7
1997-11-01,5455.5
1997-12-01,5466.2
1998-01-01,5468.0
1998-02-01,5477.2
1998-03-01,5474.9
1998-04-01,5485.1
1998-05-01,5502.1
1998-06-01,5485.2
1998-07-01,5487.4
1998-08-01,5495.9
1998-09-01,5501.8
1998-10-01,5515.1
1998-11-01,5529.0
1998-12-01,5538.4
1999-01-01,5537.5
1999-02-01,5562.0
1999-03-01,5563.5
1999-04-01,5571.6
1999-05-01,5576.4
1999-06-01,5584.7
1999-07-01,5597.8
1999-08-01,5602.8
