date,value
1990-01-01,464.6
1990-02-01,464.4
1990-03-01,464.8
1990-04-01,459.6
1990-05-01,458.8
1990-06-01,457.6
1990-07-01,455.8
1990-08-01,454.3
1990-09-01,455.1
1990-10-01,452.6
1990-11-01,452.3
1990-12-01,450.3
1991-01-01,441.2
1991-02-01,437.3
1991-03-01,434.7
1991-04-01,429.6
1991-05-01,428.2
1991-06-01,426.5
1991-07-01,424.7
1991-08-01,423.7
1991-09-01,421.5
1991-10-01,421.4
1991-11-01,421.5
1991-12-01,419.6
1992-01-01,425.8
1992-02-01,426.4
1992-03-01,426.5
1992-04-01,427.9
1992-05-01,426.7
1992-06-01,426.8
1992-07-01,428.2
1992-08-01,426.5
1992-09-01,426.5
1992-10-01,428.5
1992-11-01,429.1
1992-12-01,428.8
1993-01-01,430.5
1993-02-01,430.5
1993-03-01,429.7
1993-04-01,430.3
1993-05-01,432.2
1993-06-01,432.4
1993-07-01,434.7
1993-08-01,435.7
1993-09-01,435.0
1993-10-01,435.0
1993-11-01,435.0
1993-12-01,436.2
1994-01-01,436.0
1994-02-01,435.0
1994-03-01,436.2
1994-04-01,436.3
1994-05-01,435.3
1994-06-01,436.8
1994-07-01,436.1
1994-08-01,439.6
1994-09-01,437.0
1994-10-01,437.5
1994-11-01,440.4
1994-12-01,438.9
1995-01-01,442.2
1995-02-01,441.7
1995-03-01,442.5
1995-04-01,441.6
1995-05-01,440.6
1995-06-01,440.6
1995-07-01,439.3
1995-08-01,444.6
1995-09-01,442.5
1995-10-01,442.6
1995-11-01,442.1
1995-12-01,441.6
1996-01-01,440.8
1996-02-01,442.1
1996-03-01,442.8
1996-04-01,440.9
1996-05-01,442.7
1996-06-01,443.4
1996-07-01,439.4
1996-08-01,443.8
1996-09-01,443.9
1996-10-01,445.7
1996-11-01,447.2
1996-12-01,448.4
1997-01-01,448.5
1997-02-01,448.9
1997-03-01,450.4
1997-04-01,450.8
1997-05-01,451.0
1997-06-01,452.0
1997-07-01,452.6
1997-08-01,453.8
1997-09-01,456.6
1997-10-01,454.8
1997-11-01,454.9
1997-12-01,457.2
1998-01-01,457.4
1998-02-01,458.6
1998-03-01,458.4
