date,value
1990-01-01,131.8
1990-02-01,132.5
1990-03-01,132.2
1990-04-01,132.1
1990-05-01,132.0
1990-06-01,133.9
1990-07-01,133.6
1990-08-01,134.2
1990-09-01,134.6
1990-10-01,134.2
1990-11-01,134.7
1990-12-01,134.0
1991-01-01,133.9
1991-02-01,133.1
1991-03-01,133.7
1991-04-01,133.4
1991-05-01,133.7
1991-06-01,133.9
1991-07-01,133.5
1991-08-01,133.5
1991-09-01,134.1
1991-10-01,133.9
1991-11-01,134.4
1991-12-01,133.6
1992-01-01,135.1
1992-02-01,135.1
1992-03-01,135.6
1992-04-01,136.2
1992-05-01,137.0
1992-06-01,136.6
1992-07-01,137.2
1992-08-01,137.5
1992-09-01,137.8
1992-10-01,138.4
1992-11-01,138.8
1992-12-01,138.2
1993-01-01,140.4
1993-02-01,141.8
1993-03-01,140.8
1993-04-01,143.3
1993-05-01,143.9
1993-06-01,144.2
1993-07-01,145.0
1993-08-01,145.9
1993-09-01,147.6
1993-10-01,146.3
1993-11-01,146.6
1993-12-01,147.2
1994-01-01,148.5
1994-02-01,148.1
1994-03-01,149.3
1994-04-01,149.0
1994-05-01,147.4
1994-06-01,150.0
1994-07-01,150.4
1994-08-01,151.3
1994-09-01,152.0
1994-10-01,152.4
1994-11-01,153.8
1994-12-01,154.4
1995-01-01,154.7
1995-02-01,155.1
1995-03-01,154.9
1995-04-01,156.0
1995-05-01,157.2
1995-06-01,158.7
1995-07-01,159.3
1995-08-01,160.2
1995-09-01,162.2
1995-10-01,160.9
1995-11-01,161.6
1995-12-01,162.3
1996-01-01,161.2
1996-02-01,161.8
1996-03-01,162.1
1996-04-01,163.4
1996-05-01,163.9
1996-06-01,164.2
1996-07-01,164.7
1996-08-01,165.4
1996-09-01,166.0
1996-10-01,166.6
1996-11-01,166.9
1996-12-01,167.5
1997-01-01,169.1
1997-02-01,170.0
1997-03-01,170.9
1997-04-01,170.6
1997-05-01,170.4
1997-06-01,170.5
1997-07-01,171.2
1997-08-01,172.2
1997-09-01,173.6
1997-10-01,174.8
1997-11-01,175.1
1997-12-01,175.2
1998-01-01,175.1
1998-02-01,175.5
1998-03-01,178.7
1998-04-01,176.2
1998-05-01,177.2
1998-06-01,177.7
1998-07-01,180.2
1998-08-01,179.7
1998-09-01,179.9
1998-10-01,179.5
1998-11-01,179.0
1998-12-01,180.2
1999-01-01,181.3
1999-02-01,184.1
1999-03-01,183.8
1999-04-01,185.1
1999-05-01,186.4
1999-06-01,186.9
1999-07-01,185.5
1999-08-01,187.1
1999-09-01,187.0
1999-10-01,188.1
1999-11-01,188.4
1999-12-01,190.1
2000-01-01,190.8
2000-02-01,190.6
2000-03-01,190.4
2000-04-01,188.4
2000-05-01,188.3
2000-06-01,187.7
2000-07-01,184.7
2000-08-01,184.4
2000-09-01,184.2
2000-10-01,185.8
2000-11-01,186.8
2000-12-01,187.3
2001-01-01,184.7
2001-02-01,184.9
2001-03-01,184.5
2001-04-01,184.7
2001-05-01,184.4
2001-06-01,183.0
2001-07-01,185.4
