date,value
1990-01-01,1517.8
1990-02-01,1521.5
1990-03-01,1522.8
1990-04-01,1528.1
1990-05-01,1532.4
1990-06-01,1536.0
1990-07-01,1529.6
1990-08-01,1529.2
1990-09-01,1535.2
1990-10-01,1531.7
1990-11-01,1527.0
1990-12-01,1519.7
1991-01-01,1511.3
1991-02-01,1506.6
1991-03-01,1504.6
1991-04-01,1495.3
1991-05-01,1496.5
1991-06-01,1492.4
1991-07-01,1489.7
1991-08-01,1489.7
1991-09-01,1491.6
1991-10-01,1493.5
1991-11-01,1500.6
1991-12-01,1496.8
1992-01-01,1500.6
1992-02-01,1501.7
1992-03-01,1503.0
1992-04-01,1504.3
1992-05-01,1507.6
1992-06-01,1509.7
1992-07-01,1511.7
1992-08-01,1515.6
1992-09-01,1516.4
1992-10-01,1520.8
1992-11-01,1523.3
1992-12-01,1523.5
1993-01-01,1530.2
1993-02-01,1536.4
1993-03-01,1536.4
1993-04-01,1547.3
1993-05-01,1549.1
1993-06-01,1551.3
1993-07-01,1555.4
1993-08-01,1557.8
1993-09-01,1563.6
1993-10-01,1566.7
1993-11-01,1569.0
1993-12-01,1574.7
1994-01-01,1574.8
1994-02-01,1578.2
1994-03-01,1583.1
1994-04-01,1583.2
1994-05-01,1585.7
1994-06-01,1592.6
1994-07-01,1594.7
1994-08-01,1597.0
1994-09-01,1604.3
1994-10-01,1602.8
1994-11-01,1606.4
1994-12-01,1610.1
1995-01-01,1618.4
1995-02-01,1620.8
1995-03-01,1624.0
1995-04-01,1630.7
1995-05-01,1633.8
1995-06-01,1637.5
1995-07-01,1639.4
1995-08-01,1645.7
1995-09-01,1650.7
1995-10-01,1646.2
1995-11-01,1648.7
1995-12-01,1652.1
1996-01-01,1649.5
1996-02-01,1654.7
1996-03-01,1657.3
1996-04-01,1658.9
1996-05-01,1664.4
1996-06-01,1669.9
1996-07-01,1670.4
1996-08-01,1678.1
1996-09-01,1678.1
1996-10-01,1682.5
1996-11-01,1684.9
1996-12-01,1687.8
1997-01-01,1694.9
1997-02-01,1700.9
1997-03-01,1704.6
1997-04-01,1708.0
1997-05-01,1711.4
1997-06-01,1713.8
1997-07-01,1718.8
1997-08-01,1721.4
1997-09-01,1728.0
1997-10-01,1736.5
1997-11-01,1740.7
1997-12-01,1745.7
1998-01-01,1757.6
1998-02-01,1759.1
1998-03-01,1765.4
1998-04-01,1761.4
1998-05-01,1771.2
1998-06-01,1776.4
1998-07-01,1787.5
1998-08-01,1789.4
1998-09-01,1794.1
1998-10-01,1792.9
1998-11-01,1797.4
1998-12-01,1803.2
1999-01-01,1806.1
1999-02-01,1812.7
1999-03-01,1814.1
1999-04-01,1819.5
1999-05-01,1821.4
1999-06-01,1824.7
1999-07-01,1826.9
1999-08-01,1829.1
1999-09-01,1829.7
1999-10-01,1840.1
1999-11-01,1844.7
1999-12-01,1853.4
2000-01-01,1853.7
2000-02-01,1853.3
2000-03-01,1860.7
2000-04-01,1859.6
2000-05-01,1867.8
2000-06-01,1873.6
2000-07-01,1847.9
2000-08-01,1848.3
2000-09-01,1844.8
2000-10-01,1851.9
2000-11-01,1851.8
2000-12-01,1850.6
2001-01-01,1838.0
2001-02-01,1834.5
2001-03-01,1830.0
2001-04-01,1825.1
2001-05-01,1820.0
2001-06-01,1813.9
2001-07-01,1816.3
2001-08-01,1814.4
2001-09-01,1809.3
2001-10-01,1797.8
2001-11-01,1798.0
2001-12-01,1792.8
2002-01-01,1787.7
2002-02-01,1787.4
2002-03-01,1788.7
2002-04-01,1798.1
2002-05-01,1798.6
2002-06-01,1800.8
2002-07-01,1795.9
2002-08-01,1801.0
2002-09-01,1797.7
2002-10-01,1801.1
2002-11-01,1799.5
2002-12-01,1798.2
2003-01-01,1800.5
2003-02-01,1803.9
2003-03-01,1802.5
2003-04-01,1798.9
2003-05-01,1797.0
2003-06-01,1795.2
2003-07-01,1797.3
2003-08-01,1799.2
2003-09-01,1799.1
2003-10-01,1799.2
2003-11-01,1799.6
2003-12-01,1803.0
2004-01-01,1804.4
2004-02-01,1804.6
2004-03-01,1812.4
2004-04-01,1818.6
2004-05-01,1823.7
2004-06-01,1827.3
2004-07-01,1829.7
2004-08-01,1835.6
2004-09-01,1839.2
2004-10-01,1842.7
2004-11-01,1846.3
2004-12-01,1848.7
2005-01-01,1853.1
2005-02-01,1853.9
2005-03-01,1849.0
2005-04-01,1855.2
2005-05-01,1859.2
2005-06-01,1849.7
2005-07-01,1869.5
2005-08-01,1876.7
2005-09-01,1874.5
2005-10-01,1877.0
2005-11-01,1882.5
2005-12-01,1875.5
2006-01-01,1894.4
2006-02-01,1900.8
2006-03-01,1902.2
2006-04-01,1909.9
2006-05-01,1907.7
2006-06-01,1888.9
2006-07-01,1897.6
2006-08-01,1901.4
2006-09-01,1908.4
2006-10-01,1924.2
2006-11-01,1923.8
2006-12-01,1934.1
2007-01-01,1941.8
2007-02-01,1940.9
2007-03-01,1945.5
2007-04-01,1943.3
2007-05-01,1943.6
2007-06-01,1952.5
2007-07-01,1946.4
2007-08-01,1946.3
2007-09-01,1950.4
2007-10-01,1949.0
2007-11-01,1949.0
2007-12-01,1950.6
2008-01-01,1955.9
2008-02-01,1954.7
2008-03-01,1950.8
2008-04-01,1943.9
2008-05-01,1944.2
2008-06-01,1936.9
2008-07-01,1923.7
2008-08-01,1919.5
2008-09-01,1918.6
2008-10-01,1907.5
2008-11-01,1896.9
2008-12-01,1883.9
2009-01-01,1861.2
2009-02-01,1847.6
2009-03-01,1834.3
2009-04-01,1824.1
2009-05-01,1819.2
2009-06-01,1810.7
2009-07-01,1807.6
2009-08-01,1803.8
2009-09-01,1797.5
2009-10-01,1796.7
2009-11-01,1795.2
2009-12-01,1791.0
2010-01-01,1794.1
2010-02-01,1795.9
2010-03-01,1797.4
2010-04-01,1809.2
2010-05-01,1821.7
2010-06-01,1816.3
2010-07-01,1820.8
2010-08-01,1820.9
2010-09-01,1816.6
2010-10-01,1820.8
2010-11-01,1818.6
2010-12-01,1824.0
2011-01-01,1817.1
2011-02-01,1824.9
2011-03-01,1827.9
2011-04-01,1834.7
2011-05-01,1834.8
2011-06-01,1835.2
2011-07-01,1839.0
2011-08-01,1839.7
2011-09-01,1840.3
2011-10-01,1839.8
2011-11-01,1840.2
2011-12-01,1844.3
2012-01-01,1853.6
2012-02-01,1856.1
2012-03-01,1860.7
2012-04-01,1860.7
2012-05-01,1860.9
2012-06-01,1865.7
2012-07-01,1865.0
2012-08-01,1869.0
2012-09-01,1871.0
2012-10-01,1874.2
2012-11-01,1880.5
2012-12-01,1882.3
2013-01-01,1884.7
2013-02-01,1886.5
2013-03-01,1887.5
2013-04-01,1891.7
2013-05-01,1895.0
2013-06-01,1900.5
2013-07-01,1904.6
2013-08-01,1908.9
2013-09-01,1914.1
2013-10-01,1919.3
2013-11-01,1921.4
2013-12-01,1926.9
2014-01-01,1928.9
2014-02-01,1925.9
2014-03-01,1938.9
2014-04-01,1945.8
2014-05-01,1949.9
2014-06-01,1951.4
2014-07-01,1950.6
2014-08-01,1956.2
2014-09-01,1964.1
2014-10-01,1970.9
2014-11-01,1978.2
2014-12-01,1983.7
2015-01-01,1982.6
2015-02-01,1987.7
2015-03-01,1990.1
2015-04-01,1991.2
2015-05-01,2000.8
2015-06-01,2006.5
2015-07-01,2011.9
2015-08-01,2017.8
2015-09-01,2021.6
2015-10-01,2029.7
