date,value
1990-01-01,283.4
1990-02-01,284.1
1990-03-01,285.6
1990-04-01,286.4
1990-05-01,287.7
1990-06-01,287.5
1990-07-01,290.1
1990-08-01,289.5
1990-09-01,289.8
1990-10-01,290.7
1990-11-01,291.6
1990-12-01,292.2
1991-01-01,292.1
1991-02-01,293.1
1991-03-01,293.4
1991-04-01,294.5
1991-05-01,295.2
1991-06-01,295.1
1991-07-01,297.3
1991-08-01,296.6
1991-09-01,296.7
1991-10-01,297.2
1991-11-01,298.3
1991-12-01,299.6
1992-01-01,302.9
1992-02-01,304.3
1992-03-01,304.2
1992-04-01,305.5
1992-05-01,306.8
1992-06-01,307.9
1992-07-01,308.1
1992-08-01,309.5
1992-09-01,309.1
1992-10-01,309.9
1992-11-01,311.0
1992-12-01,311.3
1993-01-01,311.2
1993-02-01,312.6
1993-03-01,313.2
1993-04-01,314.0
1993-05-01,315.6
1993-06-01,316.9
1993-07-01,318.1
1993-08-01,319.3
1993-09-01,319.5
1993-10-01,321.9
1993-11-01,323.4
1993-12-01,323.0
1994-01-01,325.1
1994-02-01,325.8
1994-03-01,327.5
1994-04-01,327.6
1994-05-01,328.0
1994-06-01,330.4
1994-07-01,332.1
1994-08-01,331.1
1994-09-01,332.6
1994-10-01,333.1
1994-11-01,334.0
1994-12-01,335.6
1995-01-01,338.4
1995-02-01,339.2
1995-03-01,341.0
1995-04-01,339.5
1995-05-01,339.3
1995-06-01,341.3
1995-07-01,341.2
1995-08-01,343.0
1995-09-01,343.4
1995-10-01,343.3
1995-11-01,345.1
1995-12-01,345.1
1996-01-01,346.0
1996-02-01,345.7
1996-03-01,345.1
1996-04-01,346.1
1996-05-01,345.6
1996-06-01,345.6
1996-07-01,345.8
1996-08-01,346.9
1996-09-01,347.3
1996-10-01,348.7
1996-11-01,349.4
1996-12-01,347.4
1997-01-01,347.4
1997-02-01,349.7
1997-03-01,350.3
1997-04-01,351.0
1997-05-01,353.4
1997-06-01,352.7
1997-07-01,354.1
1997-08-01,353.8
1997-09-01,354.7
1997-10-01,354.1
1997-11-01,355.2
1997-12-01,355.5
1998-01-01,356.2
1998-02-01,357.5
1998-03-01,357.0
1998-04-01,357.4
1998-05-01,358.7
1998-06-01,358.9
1998-07-01,360.5
1998-08-01,360.7
1998-09-01,361.5
1998-10-01,361.5
1998-11-01,363.4
1998-12-01,363.8
1999-01-01,365.0
1999-02-01,365.4
1999-03-01,365.7
1999-04-01,367.7
1999-05-01,368.6
1999-06-01,368.9
1999-07-01,370.4
1999-08-01,371.2
1999-09-01,371.1
1999-10-01,373.3
1999-11-01,374.8
1999-12-01,375.1
2000-01-01,377.4
2000-02-01,377.7
2000-03-01,379.9
2000-04-01,379.4
2000-05-01,377.9
2000-06-01,377.2
2000-07-01,376.5
2000-08-01,376.5
2000-09-01,377.2
2000-10-01,377.4
2000-11-01,376.9
2000-12-01,377.2
2001-01-01,379.5
2001-02-01,380.0
2001-03-01,379.6
2001-04-01,378.8
2001-05-01,379.4
2001-06-01,378.6
2001-07-01,378.5
2001-08-01,377.9
2001-09-01,377.4
2001-10-01,377.0
2001-11-01,377.1
2001-12-01,376.5
2002-01-01,376.0
2002-02-01,375.8
2002-03-01,375.6
2002-04-01,376.2
2002-05-01,377.2
2002-06-01,377.7
2002-07-01,377.8
2002-08-01,377.9
2002-09-01,378.2
2002-10-01,378.5
2002-11-01,377.9
2002-12-01,378.1
2003-01-01,377.9
2003-02-01,377.3
2003-03-01,377.2
2003-04-01,377.6
2003-05-01,377.2
2003-06-01,377.4
2003-07-01,378.0
2003-08-01,378.7
2003-09-01,377.6
2003-10-01,378.9
2003-11-01,379.5
2003-12-01,379.2
2004-01-01,379.9
2004-02-01,380.2
2004-03-01,380.2
2004-04-01,382.6
2004-05-01,383.2
2004-06-01,383.4
2004-07-01,382.9
2004-08-01,384.1
2004-09-01,385.5
2004-10-01,385.5
2004-11-01,385.5
2004-12-01,385.0
2005-01-01,385.7
2005-02-01,386.5
2005-03-01,387.9
2005-04-01,388.9
2005-05-01,388.5
2005-06-01,388.8
2005-07-01,390.2
2005-08-01,390.7
2005-09-01,392.0
2005-10-01,391.0
2005-11-01,392.5
2005-12-01,393.3
2006-01-01,394.6
2006-02-01,395.5
2006-03-01,396.4
2006-04-01,396.4
2006-05-01,397.1
2006-06-01,397.7
2006-07-01,398.3
2006-08-01,399.7
2006-09-01,399.6
2006-10-01,399.8
2006-11-01,400.9
2006-12-01,402.3
2007-01-01,402.8
2007-02-01,403.3
2007-03-01,404.7
2007-04-01,405.3
2007-05-01,406.2
2007-06-01,406.0
2007-07-01,407.2
2007-08-01,407.3
2007-09-01,406.9
2007-10-01,407.4
2007-11-01,407.9
2007-12-01,407.9
2008-01-01,410.7
2008-02-01,411.6
2008-03-01,411.6
2008-04-01,410.7
2008-05-01,411.2
2008-06-01,410.7
2008-07-01,410.6
2008-08-01,411.9
2008-09-01,411.4
2008-10-01,411.3
2008-11-01,410.3
2008-12-01,410.0
2009-01-01,408.6
2009-02-01,407.4
2009-03-01,405.5
2009-04-01,401.5
2009-05-01,404.3
2009-06-01,402.8
2009-07-01,403.4
2009-08-01,401.8
2009-09-01,402.2
2009-10-01,400.9
2009-11-01,401.4
2009-12-01,400.2
2010-01-01,398.7
2010-02-01,398.9
2010-03-01,399.8
2010-04-01,401.5
2010-05-01,401.8
2010-06-01,402.9
2010-07-01,403.2
2010-08-01,403.7
2010-09-01,403.2
2010-10-01,404.6
2010-11-01,405.2
2010-12-01,404.4
2011-01-01,403.7
2011-02-01,404.3
2011-03-01,404.5
2011-04-01,405.2
2011-05-01,405.9
2011-06-01,407.7
2011-07-01,406.9
2011-08-01,407.2
2011-09-01,408.5
2011-10-01,409.4
2011-11-01,409.5
2011-12-01,411.0
2012-01-01,411.1
2012-02-01,411.2
2012-03-01,412.7
2012-04-01,414.7
2012-05-01,413.7
2012-06-01,414.4
2012-07-01,413.5
2012-08-01,413.7
2012-09-01,414.7
2012-10-01,414.7
2012-11-01,415.4
2012-12-01,415.6
2013-01-01,415.9
2013-02-01,416.5
2013-03-01,416.5
2013-04-01,414.2
2013-05-01,417.2
2013-06-01,416.9
2013-07-01,417.1
2013-08-01,417.5
2013-09-01,418.3
2013-10-01,419.1
2013-11-01,420.3
2013-12-01,420.0
2014-01-01,421.9
2014-02-01,421.8
2014-03-01,421.4
2014-04-01,422.5
2014-05-01,422.9
2014-06-01,423.2
2014-07-01,424.6
2014-08-01,424.9
2014-09-01,425.4
2014-10-01,425.6
2014-11-01,424.9
2014-12-01,425.9
2015-01-01,426.1
2015-02-01,426.8
2015-03-01,427.3
2015-04-01,427.4
2015-05-01,428.0
2015-06-01,428.1
2015-07-01,428.6
2015-08-01,428.3
2015-09-01,428.6
2015-10-01,429.4
2015-11-01,430.0
2015-12-01,430.6
2016-01-01,429.9
2016-02-01,430.1
2016-03-01,430.7
2016-04-01,431.6
2016-05-01,431.5
2016-06-01,431.8
2016-07-01,433.9
2016-08-01,432.9
2016-09-01,433.4
2016-10-01,433.0
2016-11-01,433.3
2016-12-01,433.0
2017-01-01,432.8
2017-02-01,432.8
2017-03-01,433.1
2017-04-01,435.1
2017-05-01,433.8
2017-06-01,433.9
2017-07-01,433.1
2017-08-01,434.1
2017-09-01,434.4
2017-10-01,435.2
2017-11-01,434.5
2017-12-01,435.3
2018-01-01,435.9
2018-02-01,436.5
2018-03-01,436.8
2018-04-01,435.2
2018-05-01,437.8
2018-06-01,437.6
2018-07-01,437.8
2018-08-01,438.6
2018-09-01,439.0
2018-10-01,438.9
2018-11-01,438.8
2018-12-01,439.4
2019-01-01,440.2
2019-02-01,439.2
2019-03-01,438.7
2019-04-01,438.7
2019-05-01,439.8
2019-06-01,440.1
2019-07-01,440.6
2019-08-01,441.0
2019-09-01,440.8
2019-10-01,441.9
2019-11-01,442.5
2019-12-01,441.8
2020-01-01,441.9
2020-02-01,443.2
2020-03-01,440.1
2020-04-01,398.6
2020-05-01,404.6
2020-06-01,413.8
2020-07-01,419.3
2020-08-01,425.3
2020-09-01,428.9
2020-10-01,433.4
2020-11-01,432.2
2020-12-01,432.4
2021-01-01,434.2
2021-02-01,433.8
2021-03-01,435.8
2021-04-01,438.3
2021-05-01,439.3
2021-06-01,440.2
2021-07-01,442.9
2021-08-01,442.5
2021-09-01,442.5
2021-10-01,444.0
2021-11-01,445.2
2021-12-01,446.4
2022-01-01,447.7
2022-02-01,449.3
2022-03-01,450.1
2022-04-01,450.9
2022-05-01,450.6
2022-06-01,451.6
2022-07-01,453.8
2022-08-01,454.7
2022-09-01,454.6
2022-10-01,455.8
2022-11-01,456.0
2022-12-01,455.2
2023-01-01,457.8
2023-02-01,458.6
2023-03-01,459.0
2023-04-01,458.9
2023-05-01,459.7
2023-06-01,462.6
2023-07-01,461.8
2023-08-01,463.6
2023-09-01,464.1
2023-10-01,464.5
2023-11-01,464.8
2023-12-01,466.5
2024-01-01,465.4
2024-02-01,466.5
2024-03-01,467.8
2024-04-01,467.3
2024-05-01,468.6
2024-06-01,467.1
2024-07-01,467.2
2024-08-01,467.4
2024-09-01,468.6
2024-10-01,468.8
2024-11-01,470.0
2024-12-01,470.0
2025-01-01,469.8
2025-02-01,468.9
2025-03-01,468.5
2025-04-01,470.2
2025-05-01,470.0
2025-06-01,469.2
2025-07-01,469.5
2025-08-01,469.2
2025-09-01,468.7
2025-10-01,470.6
2025-11-01,470.0
2025-12-01,470.1
2026-01-01,470.0
2026-02-01,470.2
2026-03-01,470.0
2026-04-01,469.9
2026-05-01,471.4
2026-06-01,471.4
2026-07-01,471.3
