date,value
1990-01-01,87.0
1990-02-01,87.3
1990-03-01,87.7
1990-04-01,88.4
1990-05-01,88.7
1990-06-01,89.5
1990-07-01,89.7
1990-08-01,90.1
1990-09-01,91.0
1990-10-01,91.0
1990-11-01,90.9
1990-12-01,90.7
1991-01-01,91.5
1991-02-01,91.7
1991-03-01,92.1
1991-04-01,92.0
1991-05-01,92.0
1991-06-01,92.6
1991-07-01,92.1
1991-08-01,92.5
1991-09-01,92.8
1991-10-01,93.1
1991-11-01,93.6
1991-12-01,93.8
1992-01-01,94.5
1992-02-01,94.8
1992-03-01,95.1
1992-04-01,95.2
1992-05-01,95.8
1992-06-01,95.8
1992-07-01,96.0
1992-08-01,96.1
1992-09-01,96.3
1992-10-01,96.6
1992-11-01,96.9
1992-12-01,97.2
1993-01-01,97.6
1993-02-01,98.0
1993-03-01,98.3
1993-04-01,99.4
1993-05-01,99.3
1993-06-01,99.7
1993-07-01,100.4
1993-08-01,100.6
1993-09-01,100.8
1993-10-01,101.8
1993-11-01,101.7
1993-12-01,102.7
1994-01-01,102.4
1994-02-01,102.9
1994-03-01,103.4
1994-04-01,104.3
1994-05-01,105.0
1994-06-01,106.0
1994-07-01,106.9
1994-08-01,107.8
1994-09-01,108.5
1994-10-01,108.8
1994-11-01,109.9
1994-12-01,110.1
1995-01-01,110.8
1995-02-01,111.6
1995-03-01,112.6
1995-04-01,113.1
1995-05-01,113.3
1995-06-01,113.7
1995-07-01,114.2
1995-08-01,114.8
1995-09-01,116.1
1995-10-01,115.7
1995-11-01,115.8
1995-12-01,116.0
1996-01-01,116.5
1996-02-01,116.8
1996-03-01,116.8
1996-04-01,117.8
1996-05-01,118.5
1996-06-01,119.3
1996-07-01,120.0
1996-08-01,120.7
1996-09-01,120.0
1996-10-01,120.6
1996-11-01,121.3
1996-12-01,121.8
1997-01-01,122.1
1997-02-01,122.8
1997-03-01,123.3
1997-04-01,122.9
1997-05-01,123.2
1997-06-01,123.5
1997-07-01,123.6
1997-08-01,123.7
1997-09-01,124.0
1997-10-01,124.6
1997-11-01,124.8
1997-12-01,125.4
1998-01-01,125.7
1998-02-01,125.6
1998-03-01,125.4
1998-04-01,124.8
1998-05-01,125.1
1998-06-01,125.3
1998-07-01,125.7
1998-08-01,126.1
1998-09-01,126.5
1998-10-01,127.0
1998-11-01,127.3
1998-12-01,127.7
1999-01-01,128.1
1999-02-01,127.7
1999-03-01,128.0
1999-04-01,128.9
1999-05-01,129.1
1999-06-01,129.3
1999-07-01,129.5
1999-08-01,129.6
1999-09-01,129.5
1999-10-01,129.6
1999-11-01,130.0
1999-12-01,130.8
2000-01-01,130.2
2000-02-01,130.2
2000-03-01,130.3
2000-04-01,130.4
2000-05-01,130.4
2000-06-01,131.0
2000-07-01,130.6
2000-08-01,131.0
2000-09-01,131.7
2000-10-01,132.6
2000-11-01,132.2
2000-12-01,132.4
2001-01-01,132.7
2001-02-01,132.9
2001-03-01,132.8
2001-04-01,132.7
2001-05-01,132.4
2001-06-01,131.8
2001-07-01,131.3
2001-08-01,130.8
2001-09-01,130.2
2001-10-01,129.5
2001-11-01,129.1
2001-12-01,128.5
2002-01-01,130.8
2002-02-01,130.7
2002-03-01,130.3
2002-04-01,131.2
2002-05-01,131.6
2002-06-01,131.3
2002-07-01,131.1
2002-08-01,130.9
2002-09-01,130.8
2002-10-01,130.6
2002-11-01,130.2
2002-12-01,130.2
2003-01-01,129.6
2003-02-01,129.7
2003-03-01,129.4
2003-04-01,129.3
2003-05-01,129.6
2003-06-01,129.5
2003-07-01,129.7
2003-08-01,130.1
2003-09-01,130.2
