date,value
1990-01-01,175.4
1990-02-01,175.8
1990-03-01,176.4
1990-04-01,177.5
1990-05-01,177.1
1990-06-01,178.3
1990-07-01,177.9
1990-08-01,178.1
1990-09-01,178.0
1990-10-01,178.3
1990-11-01,178.0
1990-12-01,177.8
1991-01-01,177.9
1991-02-01,177.6
1991-03-01,178.0
1991-04-01,177.8
1991-05-01,178.0
1991-06-01,178.7
1991-07-01,177.3
1991-08-01,177.5
1991-09-01,179.0
1991-10-01,177.9
1991-11-01,178.4
1991-12-01,178.1
1992-01-01,178.5
1992-02-01,179.2
1992-03-01,180.5
1992-04-01,179.5
1992-05-01,181.0
1992-06-01,181.6
1992-07-01,183.0
1992-08-01,183.9
1992-09-01,185.3
1992-10-01,186.9
1992-11-01,187.1
1992-12-01,186.7
1993-01-01,191.1
1993-02-01,192.2
1993-03-01,189.3
1993-04-01,192.8
1993-05-01,193.1
1993-06-01,192.8
1993-07-01,195.2
1993-08-01,196.2
1993-09-01,196.0
1993-10-01,198.4
1993-11-01,198.5
1993-12-01,200.3
1994-01-01,201.0
1994-02-01,201.7
1994-03-01,202.9
1994-04-01,204.3
1994-05-01,204.6
1994-06-01,205.2
1994-07-01,206.0
1994-08-01,206.9
1994-09-01,207.6
1994-10-01,205.9
1994-11-01,206.7
1994-12-01,209.2
1995-01-01,210.9
1995-02-01,212.7
1995-03-01,213.8
1995-04-01,211.6
1995-05-01,212.0
1995-06-01,213.1
1995-07-01,212.8
1995-08-01,213.9
1995-09-01,214.6
1995-10-01,214.0
1995-11-01,214.9
1995-12-01,215.7
1996-01-01,215.6
1996-02-01,215.6
1996-03-01,216.5
1996-04-01,215.6
1996-05-01,216.1
1996-06-01,216.0
1996-07-01,217.0
1996-08-01,216.6
1996-09-01,217.4
1996-10-01,218.0
1996-11-01,218.7
1996-12-01,218.7
1997-01-01,219.2
1997-02-01,220.2
1997-03-01,220.5
1997-04-01,224.2
1997-05-01,223.3
1997-06-01,223.4
1997-07-01,221.3
1997-08-01,221.7
1997-09-01,222.0
1997-10-01,222.4
1997-11-01,222.4
1997-12-01,222.2
1998-01-01,222.4
1998-02-01,222.5
1998-03-01,226.7
1998-04-01,226.9
1998-05-01,226.1
1998-06-01,225.3
1998-07-01,226.8
1998-08-01,225.7
1998-09-01,223.8
1998-10-01,225.2
1998-11-01,226.1
1998-12-01,226.6
1999-01-01,226.9
1999-02-01,228.0
1999-03-01,228.1
1999-04-01,226.6
1999-05-01,226.3
1999-06-01,227.2
1999-07-01,228.6
1999-08-01,227.9
1999-09-01,228.7
1999-10-01,231.4
1999-11-01,231.8
1999-12-01,232.5
2000-01-01,234.3
2000-02-01,232.4
2000-03-01,231.8
2000-04-01,233.5
2000-05-01,234.3
2000-06-01,235.4
2000-07-01,236.9
2000-08-01,237.8
2000-09-01,237.8
2000-10-01,237.5
2000-11-01,237.8
2000-12-01,237.8
2001-01-01,235.4
2001-02-01,235.2
2001-03-01,236.1
2001-04-01,236.1
2001-05-01,236.5
2001-06-01,236.3
2001-07-01,235.7
2001-08-01,235.8
2001-09-01,236.0
2001-10-01,235.9
2001-11-01,235.2
2001-12-01,235.4
2002-01-01,236.7
2002-02-01,237.2
2002-03-01,236.6
2002-04-01,238.0
2002-05-01,237.6
2002-06-01,237.8
2002-07-01,241.1
2002-08-01,241.7
2002-09-01,242.4
2002-10-01,243.0
2002-11-01,243.7
2002-12-01,244.0
2003-01-01,245.0
2003-02-01,245.0
2003-03-01,245.8
2003-04-01,245.8
2003-05-01,246.9
2003-06-01,246.6
2003-07-01,246.2
2003-08-01,246.1
2003-09-01,247.4
2003-10-01,247.2
2003-11-01,248.9
2003-12-01,249.3
2004-01-01,249.5
2004-02-01,250.9
2004-03-01,251.9
2004-04-01,252.4
2004-05-01,252.8
2004-06-01,251.7
2004-07-01,253.1
2004-08-01,255.1
2004-09-01,255.6
2004-10-01,256.0
2004-11-01,256.7
2004-12-01,257.7
2005-01-01,258.0
2005-02-01,258.0
2005-03-01,258.7
2005-04-01,261.5
2005-05-01,261.7
2005-06-01,261.8
2005-07-01,263.7
2005-08-01,263.4
2005-09-01,264.3
2005-10-01,264.5
2005-11-01,264.7
2005-12-01,264.7
2006-01-01,268.0
2006-02-01,268.3
2006-03-01,269.1
2006-04-01,269.0
2006-05-01,268.9
2006-06-01,268.6
2006-07-01,271.8
2006-08-01,271.4
2006-09-01,271.4
2006-10-01,272.2
2006-11-01,271.7
2006-12-01,272.8
2007-01-01,273.9
2007-02-01,274.3
2007-03-01,275.2
2007-04-01,275.0
2007-05-01,274.6
2007-06-01,276.6
2007-07-01,277.0
2007-08-01,278.2
2007-09-01,277.9
2007-10-01,277.2
2007-11-01,278.1
2007-12-01,278.3
2008-01-01,277.4
2008-02-01,278.3
2008-03-01,276.9
2008-04-01,275.5
2008-05-01,276.0
2008-06-01,274.0
2008-07-01,274.4
2008-08-01,272.8
2008-09-01,273.9
2008-10-01,269.9
2008-11-01,269.5
2008-12-01,268.4
2009-01-01,267.2
2009-02-01,266.3
2009-03-01,265.1
2009-04-01,264.1
2009-05-01,264.9
2009-06-01,264.4
2009-07-01,262.4
2009-08-01,262.2
2009-09-01,262.2
2009-10-01,260.4
2009-11-01,261.2
