date,value
1990-01-01,2196.4
1990-02-01,2199.2
1990-03-01,2202.2
1990-04-01,2202.5
1990-05-01,2207.1
1990-06-01,2207.9
1990-07-01,2203.1
1990-08-01,2207.5
1990-09-01,2201.9
1990-10-01,2194.3
1990-11-01,2191.6
1990-12-01,2186.9
1991-01-01,2185.4
1991-02-01,2183.1
1991-03-01,2181.4
1991-04-01,2175.6
1991-05-01,2183.0
1991-06-01,2182.3
1991-07-01,2187.6
1991-08-01,2195.7
1991-09-01,2200.2
1991-10-01,2203.8
1991-11-01,2205.9
1991-12-01,2203.1
1992-01-01,2215.8
1992-02-01,2218.8
1992-03-01,2242.0
1992-04-01,2229.4
1992-05-01,2238.8
1992-06-01,2242.8
1992-07-01,2251.3
1992-08-01,2255.7
1992-09-01,2260.9
1992-10-01,2278.9
1992-11-01,2287.1
1992-12-01,2293.0
1993-01-01,2300.7
1993-02-01,2309.4
1993-03-01,2306.8
1993-04-01,2318.3
1993-05-01,2323.8
1993-06-01,2330.2
1993-07-01,2340.2
1993-08-01,2343.7
1993-09-01,2349.2
1993-10-01,2362.9
1993-11-01,2366.4
1993-12-01,2375.3
1994-01-01,2381.6
1994-02-01,2390.6
1994-03-01,2403.7
1994-04-01,2407.2
1994-05-01,2423.8
1994-06-01,2427.8
1994-07-01,2432.3
1994-08-01,2438.5
1994-09-01,2453.7
1994-10-01,2453.8
1994-11-01,2486.3
1994-12-01,2475.8
1995-01-01,2483.5
1995-02-01,2489.3
1995-03-01,2496.0
1995-04-01,2489.1
1995-05-01,2498.1
1995-06-01,2502.5
1995-07-01,2500.7
1995-08-01,2515.4
1995-09-01,2529.0
1995-10-01,2527.7
1995-11-01,2531.2
1995-12-01,2538.2
1996-01-01,2525.7
1996-02-01,2531.3
1996-03-01,2559.3
1996-04-01,2524.4
1996-05-01,2538.9
1996-06-01,2535.3
1996-07-01,2536.4
1996-08-01,2542.7
1996-09-01,2551.6
1996-10-01,2553.8
1996-11-01,2558.3
1996-12-01,2559.3
1997-01-01,2561.7
1997-02-01,2572.0
1997-03-01,2578.1
1997-04-01,2588.5
1997-05-01,2589.7
1997-06-01,2595.0
1997-07-01,2591.0
1997-08-01,2595.3
1997-09-01,2599.9
1997-10-01,2611.1
1997-11-01,2616.2
1997-12-01,2621.9
1998-01-01,2621.2
1998-02-01,2625.3
1998-03-01,2629.1
1998-04-01,2631.6
1998-05-01,2646.0
1998-06-01,2650.8
1998-07-01,2648.4
1998-08-01,2654.6
1998-09-01,2655.3
1998-10-01,2662.4
1998-11-01,2669.5
1998-12-01,2674.4
1999-01-01,2660.9
1999-02-01,2672.7
1999-03-01,2678.5
1999-04-01,2682.0
1999-05-01,2686.1
1999-06-01,2691.3
1999-07-01,2701.6
1999-08-01,2705.7
1999-09-01,2704.4
1999-10-01,2716.5
1999-11-01,2717.2
1999-12-01,2722.7
2000-01-01,2726.0
2000-02-01,2728.8
2000-03-01,2751.7
2000-04-01,2736.3
2000-05-01,2741.7
2000-06-01,2744.9
2000-07-01,2743.3
2000-08-01,2744.3
2000-09-01,2739.2
2000-10-01,2741.0
2000-11-01,2736.8
2000-12-01,2735.5
2001-01-01,2730.0
2001-02-01,2727.6
2001-03-01,2722.0
2001-04-01,2711.2
2001-05-01,2704.8
2001-06-01,2699.1
2001-07-01,2687.0
2001-08-01,2684.2
2001-09-01,2679.5
2001-10-01,2668.2
2001-11-01,2662.9
2001-12-01,2660.2
2002-01-01,2667.5
2002-02-01,2666.1
2002-03-01,2663.8
2002-04-01,2664.6
2002-05-01,2665.8
2002-06-01,2668.3
2002-07-01,2678.3
2002-08-01,2674.5
2002-09-01,2673.7
2002-10-01,2677.3
2002-11-01,2673.4
2002-12-01,2676.2
2003-01-01,2670.7
2003-02-01,2667.6
2003-03-01,2665.4
2003-04-01,2667.0
2003-05-01,2667.2
2003-06-01,2665.9
2003-07-01,2658.7
2003-08-01,2661.5
2003-09-01,2665.3
2003-10-01,2672.7
2003-11-01,2677.3
2003-12-01,2679.9
2004-01-01,2687.0
2004-02-01,2707.3
2004-03-01,2697.3
2004-04-01,2700.9
2004-05-01,2702.9
2004-06-01,2710.3
2004-07-01,2711.7
2004-08-01,2717.8
2004-09-01,2714.2
2004-10-01,2727.6
2004-11-01,2728.6
2004-12-01,2734.8
2005-01-01,2723.2
2005-02-01,2734.5
2005-03-01,2735.9
2005-04-01,2740.5
2005-05-01,2743.2
2005-06-01,2746.1
2005-07-01,2755.1
2005-08-01,2755.2
2005-09-01,2764.4
2005-10-01,2762.6
2005-11-01,2766.5
2005-12-01,2766.2
2006-01-01,2778.1
2006-02-01,2776.3
2006-03-01,2782.9
2006-04-01,2787.0
2006-05-01,2788.3
2006-06-01,2796.0
2006-07-01,2794.3
2006-08-01,2797.8
2006-09-01,2797.7
2006-10-01,2788.5
2006-11-01,2789.6
2006-12-01,2794.6
2007-01-01,2795.3
2007-02-01,2795.6
2007-03-01,2802.2
2007-04-01,2794.5
2007-05-01,2796.3
2007-06-01,2805.2
2007-07-01,2807.9
2007-08-01,2811.2
2007-09-01,2810.4
2007-10-01,2808.7
2007-11-01,2810.5
2007-12-01,2812.4
2008-01-01,2812.6
2008-02-01,2814.0
2008-03-01,2809.0
2008-04-01,2803.4
2008-05-01,2801.8
2008-06-01,2793.4
2008-07-01,2785.6
2008-08-01,2780.5
2008-09-01,2769.0
2008-10-01,2753.1
2008-11-01,2736.6
2008-12-01,2720.9
2009-01-01,2694.0
2009-02-01,2674.8
2009-03-01,2653.9
2009-04-01,2633.1
2009-05-01,2626.7
2009-06-01,2611.3
2009-07-01,2607.5
2009-08-01,2603.7
2009-09-01,2600.1
2009-10-01,2601.4
2009-11-01,2605.0
2009-12-01,2597.7
2010-01-01,2604.2
2010-02-01,2601.1
2010-03-01,2604.7
2010-04-01,2616.5
2010-05-01,2633.1
2010-06-01,2627.1
2010-07-01,2626.5
2010-08-01,2625.9
2010-09-01,2625.7
2010-10-01,2635.1
2010-11-01,2631.9
2010-12-01,2632.6
2011-01-01,2639.6
2011-02-01,2647.4
2011-03-01,2651.8
2011-04-01,2660.2
2011-05-01,2664.6
2011-06-01,2662.4
2011-07-01,2675.1
2011-08-01,2679.1
2011-09-01,2681.6
2011-10-01,2686.6
2011-11-01,2690.3
2011-12-01,2693.1
2012-01-01,2700.9
2012-02-01,2708.4
2012-03-01,2718.7
2012-04-01,2717.7
2012-05-01,2720.7
2012-06-01,2724.4
2012-07-01,2722.4
2012-08-01,2725.0
2012-09-01,2730.6
2012-10-01,2735.1
2012-11-01,2737.2
2012-12-01,2742.7
2013-01-01,2743.2
2013-02-01,2751.7
2013-03-01,2752.4
2013-04-01,2759.7
2013-05-01,2763.5
2013-06-01,2766.5
2013-07-01,2765.1
2013-08-01,2770.8
2013-09-01,2775.5
2013-10-01,2785.4
2013-11-01,2794.1
2013-12-01,2799.4
2014-01-01,2798.3
2014-02-01,2800.1
2014-03-01,2810.2
2014-04-01,2817.1
2014-05-01,2821.7
2014-06-01,2823.0
2014-07-01,2828.8
2014-08-01,2838.6
2014-09-01,2844.6
2014-10-01,2847.7
2014-11-01,2860.6
2014-12-01,2867.8
2015-01-01,2866.8
2015-02-01,2865.7
2015-03-01,2864.9
2015-04-01,2879.8
2015-05-01,2893.6
2015-06-01,2898.9
2015-07-01,2904.6
2015-08-01,2910.2
2015-09-01,2918.7
2015-10-01,2930.1
2015-11-01,2935.5
2015-12-01,2943.2
2016-01-01,2943.7
2016-02-01,2946.6
2016-03-01,2957.6
2016-04-01,2961.8
2016-05-01,2963.1
2016-06-01,2966.6
2016-07-01,2977.6
2016-08-01,2983.5
2016-09-01,2991.9
2016-10-01,2992.4
2016-11-01,2993.4
2016-12-01,3000.4
2017-01-01,2998.2
2017-02-01,3007.9
2017-03-01,3007.1
2017-04-01,3012.2
2017-05-01,3012.1
2017-06-01,3018.2
2017-07-01,3023.3
2017-08-01,3026.4
2017-09-01,3032.8
2017-10-01,3035.2
2017-11-01,3037.9
2017-12-01,3042.4
2018-01-01,3041.6
2018-02-01,3050.1
2018-03-01,3056.2
2018-04-01,3058.9
2018-05-01,3065.8
2018-06-01,3067.0
2018-07-01,3073.3
2018-08-01,3081.5
2018-09-01,3086.7
2018-10-01,3089.5
2018-11-01,3095.4
2018-12-01,3095.0
2019-01-01,3107.3
2019-02-01,3110.2
2019-03-01,3114.9
2019-04-01,3119.0
2019-05-01,3122.4
2019-06-01,3117.3
2019-07-01,3127.3
2019-08-01,3135.6
2019-09-01,3139.5
2019-10-01,3129.0
2019-11-01,3143.1
2019-12-01,3145.5
2020-01-01,3151.3
2020-02-01,3153.8
2020-03-01,3138.5
2020-04-01,2779.0
2020-05-01,2839.0
2020-06-01,2922.4
2020-07-01,2951.2
2020-08-01,2983.7
2020-09-01,3002.2
2020-10-01,3036.2
2020-11-01,3056.2
2020-12-01,3073.8
2021-01-01,3060.1
2021-02-01,3061.2
2021-03-01,3074.7
2021-04-01,3063.7
2021-05-01,3078.3
2021-06-01,3094.2
2021-07-01,3122.1
2021-08-01,3128.7
2021-09-01,3124.8
2021-10-01,3150.9
2021-11-01,3155.4
2021-12-01,3169.1
2022-01-01,3184.6
2022-02-01,3208.8
2022-03-01,3215.2
2022-04-01,3226.9
2022-05-01,3236.7
2022-06-01,3240.5
2022-07-01,3260.5
2022-08-01,3267.6
2022-09-01,3280.5
2022-10-01,3284.3
2022-11-01,3287.3
2022-12-01,3289.0
2023-01-01,3303.5
2023-02-01,3308.2
2023-03-01,3310.7
2023-04-01,3309.1
2023-05-01,3317.5
2023-06-01,3332.7
2023-07-01,3330.9
2023-08-01,3329.7
2023-09-01,3344.7
2023-10-01,3345.7
2023-11-01,3354.5
2023-12-01,3361.5
2024-01-01,3349.1
2024-02-01,3359.5
2024-03-01,3371.3
2024-04-01,3364.3
2024-05-01,3369.6
2024-06-01,3375.3
2024-07-01,3370.2
2024-08-01,3371.1
2024-09-01,3373.7
2024-10-01,3367.7
2024-11-01,3368.0
2024-12-01,3368.8
2025-01-01,3371.5
2025-02-01,3373.1
2025-03-01,3369.7
2025-04-01,3375.2
2025-05-01,3374.2
2025-06-01,3360.0
2025-07-01,3363.8
2025-08-01,3367.9
2025-09-01,3359.8
2025-10-01,3355.9
2025-11-01,3366.0
2025-12-01,3370.2
2026-01-01,3375.9
2026-02-01,3366.8
2026-03-01,3374.9
2026-04-01,3376.5
2026-05-01,3382.8
2026-06-01,3385.5
2026-07-01,3385.1
