date,value
1990-01-01,585.8
1990-02-01,584.7
1990-03-01,583.9
1990-04-01,588.7
1990-05-01,591.7
1990-06-01,595.7
1990-07-01,598.9
1990-08-01,600.5
1990-09-01,598.7
1990-10-01,600.0
1990-11-01,599.7
1990-12-01,599.0
1991-01-01,595.2
1991-02-01,595.3
1991-03-01,596.1
1991-04-01,598.7
1991-05-01,601.5
1991-06-01,602.8
1991-07-01,602.5
1991-08-01,602.6
1991-09-01,606.7
1991-10-01,606.8
1991-11-01,607.5
1991-12-01,609.3
1992-01-01,609.4
1992-02-01,610.7
1992-03-01,612.7
1992-04-01,612.3
1992-05-01,615.9
1992-06-01,611.4
1992-07-01,616.8
1992-08-01,619.6
1992-09-01,618.1
1992-10-01,626.2
1992-11-01,629.1
1992-12-01,627.8
1993-01-01,632.2
1993-02-01,637.5
1993-03-01,638.9
1993-04-01,638.1
1993-05-01,633.1
1993-06-01,634.8
1993-07-01,634.5
1993-08-01,638.8
1993-09-01,641.3
1993-10-01,640.5
1993-11-01,639.3
1993-12-01,644.3
1994-01-01,645.9
1994-02-01,646.0
1994-03-01,649.5
1994-04-01,656.3
1994-05-01,654.7
1994-06-01,654.7
1994-07-01,665.4
1994-08-01,666.6
1994-09-01,664.7
1994-10-01,674.0
1994-11-01,677.2
1994-12-01,679.6
1995-01-01,681.5
1995-02-01,684.2
1995-03-01,684.9
1995-04-01,685.4
1995-05-01,689.5
1995-06-01,691.7
1995-07-01,693.4
1995-08-01,694.6
1995-09-01,694.7
1995-10-01,693.5
1995-11-01,694.4
1995-12-01,696.5
1996-01-01,698.6
1996-02-01,697.1
1996-03-01,699.0
1996-04-01,705.7
1996-05-01,708.3
1996-06-01,708.2
1996-07-01,710.0
1996-08-01,710.0
1996-09-01,710.7
1996-10-01,719.5
1996-11-01,722.7
1996-12-01,723.0
1997-01-01,726.9
1997-02-01,731.4
1997-03-01,735.6
1997-04-01,735.1
1997-05-01,738.9
1997-06-01,742.3
1997-07-01,743.1
1997-08-01,744.9
1997-09-01,750.0
1997-10-01,745.9
1997-11-01,750.9
1997-12-01,753.1
1998-01-01,754.1
1998-02-01,756.8
1998-03-01,756.7
1998-04-01,760.0
1998-05-01,763.1
1998-06-01,765.1
1998-07-01,769.1
1998-08-01,772.8
1998-09-01,776.0
1998-10-01,772.0
1998-11-01,775.5
1998-12-01,779.3
1999-01-01,780.3
1999-02-01,782.7
1999-03-01,785.5
1999-04-01,787.5
1999-05-01,789.5
1999-06-01,791.9
1999-07-01,792.8
1999-08-01,794.8
1999-09-01,798.7
1999-10-01,803.5
1999-11-01,806.0
1999-12-01,807.2
2000-01-01,810.8
2000-02-01,812.2
2000-03-01,815.8
2000-04-01,814.5
2000-05-01,815.0
2000-06-01,818.2
2000-07-01,818.5
2000-08-01,820.3
2000-09-01,822.4
2000-10-01,824.9
2000-11-01,827.3
2000-12-01,828.7
2001-01-01,829.1
2001-02-01,832.8
2001-03-01,834.4
2001-04-01,837.1
2001-05-01,838.0
2001-06-01,838.1
2001-07-01,839.6
2001-08-01,840.9
2001-09-01,837.9
2001-10-01,832.3
2001-11-01,834.2
2001-12-01,835.0
2002-01-01,836.8
2002-02-01,838.9
2002-03-01,841.4
2002-04-01,843.8
2002-05-01,846.6
2002-06-01,846.3
2002-07-01,847.3
2002-08-01,849.7
2002-09-01,852.8
2002-10-01,849.7
2002-11-01,854.5
2002-12-01,855.7
2003-01-01,856.9
2003-02-01,855.1
2003-03-01,854.7
2003-04-01,853.2
2003-05-01,854.0
2003-06-01,855.0
2003-07-01,855.7
2003-08-01,858.6
2003-09-01,860.1
2003-10-01,865.1
2003-11-01,867.3
2003-12-01,870.4
2004-01-01,874.3
2004-02-01,875.0
2004-03-01,876.7
2004-04-01,877.3
2004-05-01,879.3
2004-06-01,881.9
2004-07-01,886.1
2004-08-01,889.1
2004-09-01,891.1
2004-10-01,894.4
2004-11-01,894.8
2004-12-01,896.7
2005-01-01,898.5
2005-02-01,899.3
2005-03-01,900.3
2005-04-01,904.6
2005-05-01,906.4
2005-06-01,906.2
2005-07-01,908.5
2005-08-01,908.2
2005-09-01,910.0
2005-10-01,910.9
2005-11-01,914.3
2005-12-01,915.0
2006-01-01,925.6
2006-02-01,926.9
2006-03-01,930.5
2006-04-01,932.1
2006-05-01,935.0
2006-06-01,939.4
2006-07-01,941.8
2006-08-01,945.2
2006-09-01,950.4
2006-10-01,950.1
2006-11-01,954.4
2006-12-01,957.7
2007-01-01,958.7
2007-02-01,962.6
